Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
23.08.2025;17:45;91.85;91.85;90.00;91.80;90.92;4956069;0
23.08.2025;18:00;91.85;91.85;91.75;91.85;91.80;873572;0
24.08.2025;10:00;90.85;90.85;86.40;86.40;88.62;2469811;0
24.08.2025;10:15;86.55;93.30;86.50;89.90;89.90;11097473;0
24.08.2025;10:30;89.90;91.85;87.05;90.45;89.45;3326907;0
24.08.2025;10:45;90.40;90.75;88.00;88.70;89.38;1423885;0
24.08.2025;11:00;88.70;90.50;86.45;90.30;88.47;2468386;0
24.08.2025;11:15;89.60;90.30;87.05;89.30;88.68;536185;0
24.08.2025;11:30;88.15;90.00;88.10;90.00;89.05;657809;0
24.08.2025;11:45;90.00;90.00;88.25;88.25;89.12;849583;0
24.08.2025;12:00;88.25;89.40;88.25;89.40;88.83;851926;0
24.08.2025;12:15;89.40;89.95;88.40;89.20;89.17;938215;0
24.08.2025;12:30;89.40;89.90;88.25;88.25;89.08;410754;0
24.08.2025;12:45;88.30;89.20;88.30;89.20;88.75;374413;0
24.08.2025;13:00;88.80;89.20;87.50;88.50;88.35;1116033;0
24.08.2025;13:15;88.45;88.50;87.50;88.35;88.00;90892;0
24.08.2025;13:30;88.00;88.45;87.90;88.45;88.17;312165;0
24.08.2025;13:45;88.45;88.70;87.50;88.65;88.10;252146;0
24.08.2025;14:00;87.80;88.70;87.00;87.10;87.85;339054;0
24.08.2025;14:15;87.15;89.90;87.00;87.35;88.45;1242129;0
24.08.2025;14:30;87.35;88.00;86.75;86.75;87.38;492431;0
24.08.2025;14:45;87.00;89.00;86.60;88.90;87.80;748108;0
24.08.2025;15:00;88.90;89.00;87.50;88.90;88.25;324851;0
24.08.2025;15:15;87.50;88.80;87.50;88.80;88.15;347083;0
24.08.2025;15:30;88.80;89.45;87.30;89.40;88.38;966236;0
24.08.2025;15:45;89.40;89.45;88.00;89.00;88.72;397492;0
24.08.2025;16:00;88.95;91.70;87.40;90.05;89.55;1326543;0
24.08.2025;16:15;90.40;91.70;90.00;91.70;90.85;1240959;0
24.08.2025;16:30;91.70;91.70;87.55;90.30;89.62;935757;0
24.08.2025;16:45;88.60;91.70;88.00;91.35;89.85;758226;0
24.08.2025;17:00;89.20;91.60;89.20;90.00;90.40;619835;0
24.08.2025;17:15;91.50;91.60;89.80;91.45;90.70;515223;0
24.08.2025;17:30;91.00;91.00;88.20;88.85;89.60;1078224;0
24.08.2025;17:45;88.85;89.10;88.50;89.10;88.80;492703;0
24.08.2025;18:00;89.10;91.60;89.10;91.60;90.35;1130591;0
27.08.2025;10:00;89.75;89.90;85.50;89.00;87.70;3111413;0
27.08.2025;10:15;88.95;89.00;86.50;88.00;87.75;1829374;0
27.08.2025;10:30;87.95;88.60;87.60;87.90;88.10;736769;0
27.08.2025;10:45;87.90;88.45;86.10;86.60;87.27;1017344;0
27.08.2025;11:00;86.60;87.00;86.00;87.00;86.50;642177;0
27.08.2025;11:15;87.00;87.10;86.05;87.10;86.58;906357;0
27.08.2025;11:30;87.10;87.60;86.05;87.30;86.83;469023;0
27.08.2025;11:45;87.70;88.65;87.30;88.60;87.98;297741;0
27.08.2025;12:00;88.35;88.35;86.10;86.10;87.22;435136;0
27.08.2025;12:15;86.10;88.40;86.10;87.80;87.25;124674;0
27.08.2025;12:30;87.90;88.55;87.00;87.10;87.78;137082;0
27.08.2025;12:45;87.10;88.35;87.00;87.90;87.67;343463;0
27.08.2025;13:00;87.90;87.90;87.00;87.20;87.45;80463;0
27.08.2025;13:15;87.20;87.90;86.55;86.55;87.23;384045;0
27.08.2025;13:30;86.55;86.60;86.35;86.50;86.47;461141;0
27.08.2025;13:45;86.50;86.60;86.00;86.40;86.30;1595225;0
27.08.2025;14:00;86.40;86.40;85.30;85.30;85.85;914101;0
27.08.2025;14:15;86.00;86.00;83.60;85.00;84.80;2782642;0
27.08.2025;14:30;85.00;86.00;84.75;85.00;85.38;516743;0
27.08.2025;14:45;85.00;88.65;84.75;86.95;86.70;798828;0
27.08.2025;15:00;86.95;86.95;85.05;85.65;86.00;413612;0
27.08.2025;15:15;85.70;87.60;85.70;86.40;86.65;397913;0
27.08.2025;15:30;86.40;86.80;84.75;84.75;85.78;551507;0
27.08.2025;15:45;84.75;86.80;84.75;86.80;85.78;614667;0
27.08.2025;16:00;85.90;86.80;85.00;85.90;85.90;167300;0
27.08.2025;16:15;85.90;85.90;85.10;85.45;85.50;44199;0
27.08.2025;16:30;85.70;85.85;85.55;85.85;85.70;209432;0
27.08.2025;16:45;85.85;85.85;84.35;84.35;85.10;1448613;0
27.08.2025;17:00;84.35;85.90;84.05;85.50;84.98;223452;0
27.08.2025;17:15;85.50;85.85;83.85;85.80;84.85;665667;0
27.08.2025;17:30;84.50;85.80;83.00;83.00;84.40;893637;0
27.08.2025;17:45;82.95;84.55;82.95;83.50;83.75;1501178;0
27.08.2025;18:00;83.25;84.85;83.00;83.00;83.92;1188609;0
28.08.2025;10:00;80.00;85.40;80.00;83.00;82.70;2744051;0
28.08.2025;10:15;83.00;83.00;81.05;81.80;82.03;1425914;0
28.08.2025;10:30;81.75;81.80;80.30;81.30;81.05;1160041;0
28.08.2025;10:45;81.40;81.80;81.40;81.70;81.60;631812;0
28.08.2025;11:00;81.65;81.90;81.40;81.90;81.65;315007;0
28.08.2025;11:15;81.70;81.70;80.40;80.40;81.05;451118;0
28.08.2025;11:30;80.45;81.90;79.50;81.90;80.70;1166409;0
28.08.2025;11:45;81.85;81.85;80.20;81.85;81.02;50537;0
28.08.2025;12:00;81.80;81.80;80.80;81.15;81.30;90948;0
28.08.2025;12:15;80.95;81.00;79.05;79.50;80.03;1183930;0
28.08.2025;12:30;79.50;79.50;78.00;78.10;78.75;1937784;0
28.08.2025;12:45;78.20;80.00;78.20;79.00;79.10;959934;0
28.08.2025;13:00;78.90;81.80;78.90;80.10;80.35;619882;0
28.08.2025;13:15;80.10;81.60;79.30;80.65;80.45;589480;0
28.08.2025;13:30;79.85;81.85;79.55;81.80;80.70;762308;0
28.08.2025;13:45;81.70;81.80;80.65;81.00;81.23;551636;0
28.08.2025;14:00;81.00;81.70;81.00;81.50;81.35;160932;0
28.08.2025;14:15;81.00;81.50;80.00;80.00;80.75;199701;0
28.08.2025;14:30;80.10;81.40;79.95;80.05;80.67;87314;0
28.08.2025;14:45;80.95;81.50;80.05;81.40;80.78;124865;0
28.08.2025;15:00;81.40;81.65;80.10;81.65;80.88;37871;0
28.08.2025;15:15;81.45;81.80;81.45;81.75;81.62;236326;0
28.08.2025;15:30;81.75;81.75;81.70;81.70;81.72;212983;0
28.08.2025;15:45;81.70;81.70;79.30;79.30;80.50;727845;0
28.08.2025;16:00;79.30;79.55;78.00;79.00;78.78;1331802;0
28.08.2025;16:15;78.60;79.55;78.00;79.55;78.78;274118;0
28.08.2025;16:30;79.45;79.45;78.00;79.05;78.72;177940;0
28.08.2025;16:45;79.40;79.40;77.50;78.25;78.45;727028;0
28.08.2025;17:00;79.30;79.40;78.40;79.15;78.90;162890;0
28.08.2025;17:15;78.45;78.45;76.50;76.50;77.47;2056586;0
28.08.2025;17:30;76.50;76.75;76.50;76.65;76.62;1181952;0
28.08.2025;17:45;76.70;77.10;76.65;77.10;76.88;1695860;0
28.08.2025;18:00;77.10;79.40;77.05;79.30;78.23;596711;0
29.08.2025;10:00;79.20;79.30;76.30;77.20;77.80;2399410;0
29.08.2025;10:15;77.15;77.25;75.85;76.80;76.55;1662654;0
29.08.2025;10:30;76.75;76.90;75.90;76.00;76.40;1739303;0
29.08.2025;10:45;76.10;76.10;75.85;76.00;75.97;1068706;0
29.08.2025;11:00;76.00;76.10;75.90;76.05;76.00;541801;0
29.08.2025;11:15;76.05;76.05;75.55;75.80;75.80;1102718;0
29.08.2025;11:30;75.80;75.80;75.40;75.40;75.60;650862;0
29.08.2025;11:45;75.50;75.50;75.25;75.25;75.38;170395;0
29.08.2025;12:00;75.20;75.25;75.05;75.05;75.15;1252852;0
29.08.2025;12:15;75.05;75.20;74.90;75.00;75.05;1172780;0
29.08.2025;12:30;75.00;75.80;74.90;75.60;75.35;823368;0
29.08.2025;12:45;75.65;76.00;75.60;76.00;75.80;167733;0
29.08.2025;13:00;75.60;75.60;75.15;75.55;75.38;172888;0
29.08.2025;13:15;75.55;75.55;75.00;75.55;75.28;290067;0
29.08.2025;13:30;75.40;76.10;75.40;76.10;75.75;293860;0
29.08.2025;13:45;76.10;77.80;76.10;77.80;76.95;495503;0
29.08.2025;14:00;77.80;77.80;76.40;77.40;77.10;524653;0
29.08.2025;14:15;77.80;77.80;77.65;77.65;77.73;164909;0
29.08.2025;14:30;77.65;77.70;77.40;77.40;77.55;82061;0
29.08.2025;14:45;77.40;78.50;77.30;78.00;77.90;703122;0
29.08.2025;15:00;77.95;78.50;76.40;77.20;77.45;299607;0
29.08.2025;15:15;77.20;78.95;76.95;76.95;77.95;510034;0
29.08.2025;15:30;77.20;78.00;77.20;77.95;77.60;69000;0
29.08.2025;15:45;77.95;77.95;77.90;77.90;77.92;11302;0
29.08.2025;16:00;77.90;77.90;76.45;77.10;77.17;23087;0
29.08.2025;16:15;77.10;77.90;77.10;77.10;77.50;73787;0
29.08.2025;16:30;76.50;77.10;76.20;76.20;76.65;568072;0
29.08.2025;16:45;76.20;77.00;76.00;77.00;76.50;605467;0
29.08.2025;17:00;76.00;77.15;75.70;77.00;76.42;998260;0
29.08.2025;17:15;77.15;77.40;76.45;77.30;76.92;456740;0
29.08.2025;17:30;77.30;77.30;76.30;76.30;76.80;230075;0
29.08.2025;17:45;76.30;76.50;75.40;75.90;75.95;989911;0
29.08.2025;18:00;75.90;76.00;75.35;75.40;75.67;888850;0
30.08.2025;10:00;75.40;77.75;73.50;76.80;75.62;2676503;0
30.08.2025;10:15;76.80;78.00;76.70;77.15;77.35;1735336;0
30.08.2025;10:30;77.15;80.20;77.15;79.70;78.67;5969312;0
30.08.2025;10:45;79.70;80.20;78.45;79.60;79.32;2207907;0
30.08.2025;11:00;79.55;80.50;79.50;80.30;80.00;831915;0
30.08.2025;11:15;80.40;80.50;79.85;80.50;80.17;1009733;0
30.08.2025;11:30;80.50;80.50;79.15;79.15;79.83;581110;0
30.08.2025;11:45;79.10;79.10;77.80;78.90;78.45;428964;0
30.08.2025;12:00;78.90;79.50;78.85;79.35;79.17;461832;0
30.08.2025;12:15;79.25;80.25;79.25;80.25;79.75;405236;0
30.08.2025;12:30;80.30;80.40;79.95;79.95;80.17;251816;0
30.08.2025;12:45;79.95;80.10;79.30;80.00;79.70;245562;0
30.08.2025;13:00;80.00;80.00;79.70;79.70;79.85;245652;0
30.08.2025;13:15;79.70;79.75;79.50;79.75;79.62;535193;0
30.08.2025;13:30;79.75;79.80;79.15;79.75;79.48;166674;0
30.08.2025;13:45;79.75;80.45;79.15;80.45;79.80;754251;0
30.08.2025;14:00;80.40;80.50;79.15;79.15;79.83;340904;0
30.08.2025;14:15;79.90;79.90;79.75;79.80;79.83;89296;0
30.08.2025;14:30;79.85;79.85;79.80;79.85;79.83;254323;0
30.08.2025;14:45;79.85;79.85;79.15;79.40;79.50;319984;0
30.08.2025;15:00;79.15;79.40;79.15;79.15;79.28;269386;0
30.08.2025;15:15;79.20;79.40;79.00;79.00;79.20;134381;0
30.08.2025;15:30;79.00;80.50;78.80;80.50;79.65;643734;0
30.08.2025;15:45;80.50;82.90;80.45;82.80;81.67;3498815;0
30.08.2025;16:00;82.75;82.90;82.70;82.90;82.80;1502942;0
30.08.2025;16:15;82.90;82.90;82.90;82.90;82.90;644547;0
30.08.2025;16:30;82.90;82.90;82.90;82.90;82.90;131893;0
30.08.2025;16:45;82.90;82.90;82.90;82.90;82.90;358376;0
30.08.2025;17:00;82.90;82.90;82.90;82.90;82.90;81905;0
30.08.2025;17:15;82.90;82.90;82.90;82.90;82.90;721229;0
30.08.2025;17:30;82.90;82.90;82.90;82.90;82.90;394106;0
30.08.2025;17:45;82.90;82.90;82.90;82.90;82.90;2794310;0
30.08.2025;18:00;82.90;82.90;82.90;82.90;82.90;943982;0
31.08.2025;10:00;82.90;87.80;80.00;85.30;83.90;10001062;0
31.08.2025;10:15;85.30;87.15;85.00;85.75;86.08;7354287;0
31.08.2025;10:30;86.90;86.95;85.75;86.00;86.35;1928808;0
31.08.2025;10:45;85.95;86.00;85.70;85.95;85.85;704607;0
31.08.2025;11:00;85.90;85.90;80.05;83.75;82.98;2965017;0
31.08.2025;11:15;83.75;84.25;83.35;83.95;83.80;460143;0
31.08.2025;11:30;83.90;83.90;81.95;81.95;82.92;252489;0
31.08.2025;11:45;81.15;83.00;80.70;82.00;81.85;873660;0
31.08.2025;12:00;82.00;83.00;82.00;82.50;82.50;104413;0
31.08.2025;12:15;82.50;82.95;82.00;82.00;82.47;317596;0
31.08.2025;12:30;82.05;82.50;81.95;82.40;82.22;255724;0
31.08.2025;12:45;82.40;82.40;81.25;82.05;81.83;339313;0
31.08.2025;13:00;82.00;82.40;82.00;82.40;82.20;150582;0
31.08.2025;13:15;82.10;82.10;81.20;81.30;81.65;266631;0
31.08.2025;13:30;81.30;81.35;79.50;79.80;80.42;2630083;0
31.08.2025;13:45;79.80;79.80;79.70;79.80;79.75;643821;0
31.08.2025;14:00;79.80;82.30;79.80;82.00;81.05;641877;0
31.08.2025;14:15;82.00;82.10;82.00;82.00;82.05;128741;0
31.08.2025;14:30;81.00;81.00;80.00;80.90;80.50;38519;0
31.08.2025;14:45;80.50;81.00;80.50;80.90;80.75;386148;0
31.08.2025;15:00;80.75;80.75;80.40;80.40;80.58;46112;0
31.08.2025;15:15;80.30;80.75;80.00;80.25;80.38;116521;0
31.08.2025;15:30;80.25;82.00;80.20;82.00;81.10;257574;0
31.08.2025;15:45;81.95;81.95;80.75;81.95;81.35;197142;0
31.08.2025;16:00;81.95;81.95;81.25;81.25;81.60;82102;0
31.08.2025;16:15;81.95;81.95;81.95;81.95;81.95;81;0
31.08.2025;16:30;81.95;82.40;81.95;82.40;82.17;144348;0
31.08.2025;16:45;82.40;86.90;82.40;86.80;84.65;3646056;0
31.08.2025;17:00;86.50;86.80;86.25;86.70;86.53;1016124;0
31.08.2025;17:15;86.70;86.75;85.65;86.20;86.20;588327;0
31.08.2025;17:30;85.65;86.20;85.40;85.45;85.80;1572882;0
31.08.2025;17:45;85.40;85.45;82.40;83.10;83.92;306419;0
31.08.2025;18:00;82.85;85.45;82.85;84.40;84.15;786510;0
03.09.2025;10:00;78.05;83.25;78.05;82.80;80.65;3524687;0
03.09.2025;10:15;82.80;84.00;81.15;81.80;82.58;1972230;0
03.09.2025;10:30;82.10;82.75;80.55;81.00;81.65;1596910;0
03.09.2025;10:45;81.00;81.35;80.55;80.55;80.95;462341;0
03.09.2025;11:00;80.55;81.35;80.15;80.60;80.75;709478;0
03.09.2025;11:15;81.00;82.80;80.05;82.80;81.43;1305575;0
03.09.2025;11:30;82.80;83.80;82.80;83.60;83.30;2019471;0
03.09.2025;11:45;83.60;83.60;83.20;83.20;83.40;430245;0
03.09.2025;12:00;83.20;83.95;83.20;83.50;83.57;817739;0
03.09.2025;12:15;83.40;83.50;83.05;83.10;83.28;532950;0
03.09.2025;12:30;83.10;83.50;83.10;83.50;83.30;464881;0
03.09.2025;12:45;83.50;85.35;83.30;84.90;84.33;2150634;0
03.09.2025;13:00;85.35;88.25;85.35;86.95;86.80;1553369;0
03.09.2025;13:15;86.85;87.25;86.40;87.00;86.83;638488;0
03.09.2025;13:30;87.05;87.65;86.00;87.65;86.83;553449;0
03.09.2025;13:45;87.65;87.95;86.70;87.40;87.32;473415;0
03.09.2025;14:00;87.35;87.40;87.00;87.40;87.20;254216;0
03.09.2025;14:15;87.40;87.50;85.80;85.80;86.65;928930;0
03.09.2025;14:30;85.80;85.80;85.00;85.40;85.40;492258;0
03.09.2025;14:45;85.40;87.00;84.90;86.90;85.95;180796;0
03.09.2025;15:00;86.95;86.95;84.00;86.80;85.47;932574;0
03.09.2025;15:15;86.80;86.80;82.80;86.60;84.80;429170;0
03.09.2025;15:30;86.60;86.65;84.20;86.10;85.42;574986;0
03.09.2025;15:45;86.10;86.10;84.50;85.60;85.30;91679;0
03.09.2025;16:00;85.00;85.60;84.60;84.60;85.10;243120;0
03.09.2025;16:15;84.55;85.50;84.25;84.25;84.88;727108;0
03.09.2025;16:30;84.25;85.40;84.00;85.05;84.70;597237;0
03.09.2025;16:45;84.30;85.05;84.30;85.05;84.68;886410;0
03.09.2025;17:00;85.00;85.50;84.55;85.50;85.03;356123;0
03.09.2025;17:15;85.50;85.50;83.40;84.30;84.45;916292;0
03.09.2025;17:30;84.60;85.30;84.10;84.50;84.70;946993;0
03.09.2025;17:45;84.50;84.50;83.55;83.70;84.03;906627;0
03.09.2025;18:00;83.60;85.20;83.60;85.20;84.40;1227347;0
04.09.2025;10:00;83.85;84.90;83.65;84.00;84.28;2077525;0
04.09.2025;10:15;84.05;86.00;84.05;85.45;85.03;1999910;0
04.09.2025;10:30;85.45;85.45;83.00;84.20;84.22;1826122;0
04.09.2025;10:45;84.20;84.25;83.65;83.80;83.95;963185;0
04.09.2025;11:00;84.00;84.10;83.80;84.10;83.95;628548;0
04.09.2025;11:15;84.10;84.10;83.35;83.50;83.72;934084;0
04.09.2025;11:30;83.45;83.50;82.80;83.40;83.15;1445986;0
04.09.2025;11:45;83.25;83.40;82.85;82.90;83.12;457113;0
04.09.2025;12:00;82.90;83.50;82.60;83.50;83.05;737130;0
04.09.2025;12:15;83.50;84.10;83.50;84.00;83.80;288664;0
04.09.2025;12:30;84.00;84.10;82.45;83.25;83.27;613784;0
04.09.2025;12:45;83.20;83.20;82.40;82.70;82.80;283278;0
04.09.2025;13:00;82.70;83.25;82.40;82.50;82.83;337125;0
04.09.2025;13:15;83.00;83.90;83.00;83.35;83.45;303881;0
04.09.2025;13:30;83.35;83.80;83.00;83.80;83.40;177893;0
04.09.2025;13:45;83.85;83.95;83.25;83.90;83.60;93464;0
04.09.2025;14:00;83.90;83.95;83.75;83.75;83.85;185843;0
04.09.2025;14:15;83.75;83.75;83.15;83.30;83.45;176677;0
04.09.2025;14:30;83.30;83.75;83.20;83.75;83.47;156515;0
04.09.2025;14:45;83.25;83.30;83.00;83.00;83.15;416185;0
04.09.2025;15:00;83.00;83.00;82.40;83.00;82.70;763226;0
04.09.2025;15:15;83.00;83.10;82.45;83.00;82.77;245663;0
04.09.2025;15:30;83.05;83.10;82.60;82.85;82.85;162004;0
04.09.2025;15:45;82.85;82.90;82.00;82.00;82.45;1389432;0
04.09.2025;16:00;82.00;82.80;82.00;82.25;82.40;495044;0
04.09.2025;16:15;82.35;83.75;82.35;83.70;83.05;550502;0
04.09.2025;16:30;83.70;83.90;83.00;83.70;83.45;121993;0
04.09.2025;16:45;83.70;83.80;83.10;83.10;83.45;184806;0
04.09.2025;17:00;83.70;83.70;83.00;83.55;83.35;124963;0
04.09.2025;17:15;83.55;83.55;82.60;83.05;83.08;374474;0
04.09.2025;17:30;82.90;82.90;82.00;82.50;82.45;1106382;0
04.09.2025;17:45;82.50;83.30;82.05;82.05;82.68;735363;0
04.09.2025;18:00;82.20;83.50;82.15;83.45;82.83;1042843;0
05.09.2025;10:00;83.00;83.45;82.45;82.50;82.95;1470220;0
05.09.2025;10:15;82.65;82.65;80.25;81.90;81.45;1363269;0
05.09.2025;10:30;81.90;82.00;81.25;82.00;81.62;1245129;0
05.09.2025;10:45;82.00;82.00;81.20;81.20;81.60;571377;0
05.09.2025;11:00;81.20;81.60;80.65;80.90;81.12;615532;0
05.09.2025;11:15;80.95;81.60;80.45;81.00;81.02;1125944;0
05.09.2025;11:30;81.00;81.05;80.70;81.00;80.88;204307;0
05.09.2025;11:45;81.00;81.55;80.75;81.55;81.15;640692;0
05.09.2025;12:00;81.05;81.55;81.00;81.00;81.28;317059;0
05.09.2025;12:15;80.90;81.55;80.80;81.40;81.18;460176;0
05.09.2025;12:30;81.20;81.40;81.00;81.20;81.20;521859;0
05.09.2025;12:45;81.00;81.20;80.85;81.10;81.02;884472;0
05.09.2025;13:00;81.20;81.30;81.00;81.30;81.15;410215;0
05.09.2025;13:15;81.30;81.30;80.85;80.95;81.08;441088;0
05.09.2025;13:30;80.95;81.15;80.85;81.15;81.00;194965;0
05.09.2025;13:45;81.30;81.40;81.30;81.40;81.35;414136;0
05.09.2025;14:00;81.40;81.40;80.85;81.40;81.12;410035;0
05.09.2025;14:15;81.00;81.40;81.00;81.00;81.20;3088;0
05.09.2025;14:30;81.00;81.00;80.85;80.95;80.92;264612;0
05.09.2025;14:45;81.00;81.40;80.95;81.30;81.17;526840;0
05.09.2025;15:00;81.30;81.30;80.00;80.00;80.65;2443823;0
05.09.2025;15:15;80.00;80.30;79.25;80.25;79.78;1748861;0
05.09.2025;15:30;80.25;80.50;80.25;80.50;80.38;275049;0
05.09.2025;15:45;80.50;80.50;80.20;80.50;80.35;331593;0
05.09.2025;16:00;80.50;81.20;80.45;81.20;80.82;181522;0
05.09.2025;16:15;81.20;81.20;81.00;81.05;81.10;82518;0
05.09.2025;16:30;81.05;81.20;80.85;80.85;81.02;70848;0
05.09.2025;16:45;80.85;80.90;79.85;80.85;80.38;288829;0
05.09.2025;17:00;80.75;80.90;80.70;80.75;80.80;249112;0
05.09.2025;17:15;80.75;80.85;80.05;80.10;80.45;346616;0
05.09.2025;17:30;80.10;80.75;79.50;80.30;80.12;1311720;0
05.09.2025;17:45;80.30;80.70;79.60;79.60;80.15;961821;0
05.09.2025;18:00;79.65;80.00;79.00;79.00;79.50;2354599;0
06.09.2025;10:00;79.00;79.80;77.20;78.55;78.50;1118008;0
06.09.2025;10:15;78.55;78.80;76.55;77.60;77.68;2594538;0
06.09.2025;10:30;77.60;78.50;77.50;77.50;78.00;1909613;0
06.09.2025;10:45;77.50;77.50;77.00;77.30;77.25;639023;0
06.09.2025;11:00;77.30;77.60;77.20;77.60;77.40;710384;0
06.09.2025;11:15;77.60;77.60;76.95;77.00;77.27;739952;0
06.09.2025;11:30;77.20;80.50;77.20;80.50;78.85;2106476;0
06.09.2025;11:45;80.50;82.70;79.25;80.65;80.97;2113607;0
06.09.2025;12:00;80.65;80.90;80.00;80.90;80.45;1029472;0
06.09.2025;12:15;81.00;81.50;80.40;80.95;80.95;869413;0
06.09.2025;12:30;80.95;80.95;80.25;80.85;80.60;186361;0
06.09.2025;12:45;80.85;80.90;80.45;80.50;80.67;66311;0
06.09.2025;13:00;80.80;80.85;80.50;80.80;80.67;307313;0
06.09.2025;13:15;80.45;80.45;79.60;79.60;80.02;172861;0
06.09.2025;13:30;79.70;80.70;79.60;80.45;80.15;181527;0
06.09.2025;13:45;80.35;80.90;79.50;80.90;80.20;144568;0
