Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;36.98;36.98;36.98;36.98;36.98;734727;0
27.02.2024;10:05;37.01;38.17;36.79;37.48;37.48;117331600;0
27.02.2024;11:05;37.48;37.60;37.10;37.17;37.35;35589568;0
27.02.2024;12:05;37.17;37.85;37.07;37.48;37.46;29393660;0
27.02.2024;13:05;37.51;37.54;37.07;37.20;37.30;15204990;0
27.02.2024;14:05;37.20;37.76;37.14;37.39;37.45;29025750;0
27.02.2024;15:05;37.39;37.57;37.32;37.42;37.44;15769690;0
27.02.2024;16:05;37.42;38.01;37.29;37.73;37.65;34212820;0
27.02.2024;17:05;37.73;38.38;37.54;37.70;37.96;52117300;0
27.02.2024;18:05;37.79;37.79;37.79;37.79;37.79;1771035;0
01.03.2024;09:05;37.79;37.79;37.79;37.79;37.79;1504698;0
01.03.2024;10:05;37.79;38.42;37.04;37.89;37.73;135976304;0
01.03.2024;11:05;37.89;38.98;37.85;37.92;38.41;89516848;0
01.03.2024;12:05;37.92;38.20;37.64;37.76;37.92;42171940;0
01.03.2024;13:05;37.79;38.04;37.64;37.79;37.84;29611550;0
01.03.2024;14:05;37.79;37.82;37.64;37.76;37.73;24349460;0
01.03.2024;15:05;37.79;37.79;37.57;37.60;37.68;19619290;0
01.03.2024;16:05;37.60;37.67;37.48;37.60;37.57;21809610;0
01.03.2024;17:05;37.64;37.76;37.48;37.57;37.62;35501260;0
01.03.2024;18:05;37.57;37.57;37.57;37.57;37.57;1744539;0
02.03.2024;09:05;37.60;37.60;37.60;37.60;37.60;732947;0
02.03.2024;10:05;37.60;39.72;37.32;39.03;38.52;252209600;0
02.03.2024;11:05;39.01;39.75;38.67;39.59;39.21;76082632;0
02.03.2024;12:05;39.62;41.31;39.62;41.31;40.47;281792288;0
08.03.2024;09:05;41.15;41.15;41.15;41.15;41.15;9798690;0
08.03.2024;10:05;41.12;42.90;40.03;40.59;41.47;291793888;0
08.03.2024;11:05;40.59;40.93;40.25;40.40;40.59;65506808;0
08.03.2024;12:05;40.37;40.65;40.22;40.50;40.44;43017608;0
08.03.2024;13:05;40.44;40.56;40.28;40.34;40.42;22177320;0
08.03.2024;14:05;40.37;40.47;40.12;40.28;40.30;26697030;0
08.03.2024;15:05;40.28;40.90;40.15;40.37;40.53;30625900;0
08.03.2024;16:05;40.34;40.40;40.06;40.09;40.23;21039660;0
08.03.2024;17:05;40.09;40.09;39.72;39.84;39.91;49429032;0
08.03.2024;18:05;39.65;39.65;39.65;39.65;39.65;3579726;0
09.03.2024;09:05;39.65;39.65;39.65;39.65;39.65;3441078;0
09.03.2024;10:05;39.65;41.09;38.63;38.98;39.86;161055904;0
09.03.2024;11:05;38.98;39.03;38.63;38.70;38.83;35931140;0
09.03.2024;12:05;38.67;39.03;38.45;38.60;38.74;37039168;0
09.03.2024;13:05;38.60;38.98;38.42;38.92;38.70;17239230;0
09.03.2024;14:05;38.92;39.65;38.85;39.01;39.25;45569880;0
09.03.2024;15:05;39.01;39.34;38.79;39.09;39.06;24071360;0
09.03.2024;16:05;39.06;39.44;38.76;38.85;39.10;25537460;0
09.03.2024;17:05;38.85;39.44;38.73;39.28;39.08;44141840;0
09.03.2024;18:05;39.16;39.16;39.16;39.16;39.16;1792940;0
10.03.2024;09:05;39.44;39.44;39.44;39.44;39.44;532249;0
10.03.2024;10:05;39.47;40.09;39.22;39.53;39.66;79449800;0
10.03.2024;11:05;39.53;40.37;39.25;39.37;39.81;79898416;0
10.03.2024;12:05;39.44;39.56;39.31;39.37;39.44;18806420;0
10.03.2024;13:05;39.37;39.50;38.82;38.88;39.16;33173580;0
10.03.2024;14:05;38.95;38.95;38.54;38.60;38.74;24224090;0
10.03.2024;15:05;38.57;38.70;38.32;38.60;38.51;24942400;0
10.03.2024;16:05;38.60;38.82;38.54;38.57;38.68;14356290;0
10.03.2024;17:05;38.57;39.01;38.42;38.92;38.71;44967488;0
10.03.2024;18:05;38.76;38.76;38.76;38.76;38.76;2495944;0
11.03.2024;09:05;38.82;38.82;38.82;38.82;38.82;964564;0
11.03.2024;10:05;38.82;39.56;38.29;38.88;38.93;121884496;0
11.03.2024;11:05;38.85;39.16;38.54;38.88;38.85;28984780;0
11.03.2024;12:05;38.85;40.15;38.85;40.15;39.50;86471264;0
11.03.2024;13:05;40.15;40.65;39.25;39.50;39.95;120092896;0
11.03.2024;14:05;39.50;41.87;39.44;41.28;40.66;228772400;0
11.03.2024;15:05;41.25;41.50;40.47;41.22;40.99;108668896;0
11.03.2024;16:05;41.18;42.62;40.65;40.84;41.64;386525088;0
11.03.2024;17:05;40.84;41.09;39.25;39.78;40.17;220076192;0
11.03.2024;18:05;40.40;40.40;40.40;40.40;40.40;8556192;0
12.03.2024;09:05;39.59;39.59;39.59;39.59;39.59;1273810;0
12.03.2024;10:05;39.59;40.84;39.34;39.65;40.09;119953296;0
12.03.2024;11:05;39.62;40.12;39.53;39.75;39.83;42454660;0
12.03.2024;12:05;39.75;40.15;39.53;39.65;39.84;43437760;0
12.03.2024;13:05;39.65;40.03;39.44;39.75;39.74;59525940;0
12.03.2024;14:05;39.75;39.75;39.56;39.69;39.66;21486030;0
12.03.2024;15:05;39.69;40.31;39.65;40.09;39.98;59015760;0
12.03.2024;16:05;40.09;40.69;39.69;39.87;40.19;78930176;0
12.03.2024;17:05;39.87;42.03;39.81;41.15;40.92;197417504;0
12.03.2024;18:05;40.90;40.90;40.90;40.90;40.90;8922912;0
15.03.2024;09:05;41.53;41.53;41.53;41.53;41.53;4505823;0
15.03.2024;10:05;41.50;42.65;41.28;41.59;41.97;183234400;0
15.03.2024;11:05;41.56;41.65;41.15;41.40;41.40;50297072;0
15.03.2024;12:05;41.40;41.47;41.28;41.31;41.38;25749020;0
15.03.2024;13:05;41.28;41.37;40.50;40.53;40.94;53962720;0
15.03.2024;14:05;40.53;40.65;40.03;40.34;40.34;46590832;0
15.03.2024;15:05;40.34;40.40;40.15;40.19;40.28;17953100;0
15.03.2024;16:05;40.15;40.19;39.90;39.97;40.05;31041710;0
15.03.2024;17:05;39.97;40.15;39.47;39.47;39.81;40903240;0
15.03.2024;18:05;39.47;39.47;39.47;39.47;39.47;7865975;0
17.03.2024;09:05;39.53;39.53;39.53;39.53;39.53;1366904;0
17.03.2024;10:05;39.56;39.97;38.98;39.25;39.47;91258592;0
17.03.2024;11:05;39.31;40.15;39.28;39.72;39.72;65807920;0
17.03.2024;12:05;39.65;39.72;39.40;39.44;39.56;21538510;0
17.03.2024;13:05;39.47;40.09;39.44;39.94;39.77;36407768;0
17.03.2024;14:05;39.97;40.00;39.53;39.65;39.77;25267090;0
17.03.2024;15:05;39.65;41.28;39.53;40.97;40.41;177476496;0
17.03.2024;16:05;40.97;41.53;40.34;40.50;40.94;92931960;0
17.03.2024;17:05;40.50;41.15;40.28;41.03;40.72;77691616;0
17.03.2024;18:05;41.22;41.22;41.22;41.22;41.22;7216468;0
18.03.2024;09:05;41.53;41.53;41.53;41.53;41.53;3156174;0
18.03.2024;10:05;41.53;41.90;40.90;41.03;41.40;129766000;0
18.03.2024;11:05;41.03;41.12;40.65;40.87;40.89;36076760;0
18.03.2024;12:05;40.87;41.03;40.78;40.90;40.91;17460010;0
18.03.2024;13:05;40.90;41.06;40.81;40.81;40.94;21726480;0
18.03.2024;14:05;40.81;41.12;40.65;40.65;40.89;33878408;0
18.03.2024;15:05;40.65;40.65;40.37;40.56;40.51;33795752;0
18.03.2024;16:05;40.56;40.59;39.75;39.87;40.17;54221020;0
18.03.2024;17:05;39.84;40.03;39.09;39.28;39.56;80679448;0
18.03.2024;18:05;39.28;39.28;39.28;39.28;39.28;10573610;0
19.03.2024;09:05;39.28;39.28;39.28;39.28;39.28;2717190;0
19.03.2024;10:05;39.28;39.78;38.95;39.44;39.36;77372248;0
19.03.2024;11:05;39.44;39.62;39.22;39.28;39.42;23313940;0
19.03.2024;12:05;39.28;39.44;39.19;39.31;39.32;24422280;0
19.03.2024;13:05;39.28;40.12;39.22;39.72;39.67;49140888;0
19.03.2024;14:05;39.72;39.84;39.19;39.22;39.52;25058040;0
19.03.2024;15:05;39.19;39.28;39.03;39.16;39.16;26120040;0
19.03.2024;16:05;39.16;39.37;38.79;39.09;39.08;35104660;0
19.03.2024;17:05;39.09;39.09;38.70;38.85;38.90;35642280;0
19.03.2024;18:05;38.85;38.85;38.85;38.85;38.85;4080339;0
22.03.2024;09:05;39.03;39.03;39.03;39.03;39.03;1009425;0
22.03.2024;10:05;39.03;39.72;38.88;38.92;39.30;77242336;0
22.03.2024;11:05;38.88;39.06;38.76;38.85;38.91;25288760;0
22.03.2024;12:05;38.85;38.92;38.42;38.48;38.67;26021210;0
22.03.2024;13:05;38.48;38.73;38.23;38.29;38.48;24393560;0
22.03.2024;14:05;38.29;38.48;38.26;38.42;38.37;15962280;0
22.03.2024;15:05;38.45;38.73;38.38;38.60;38.55;18764180;0
22.03.2024;16:05;38.60;38.70;38.38;38.45;38.54;13336210;0
22.03.2024;17:05;38.45;38.54;38.07;38.35;38.30;36259368;0
22.03.2024;18:05;38.17;38.17;38.17;38.17;38.17;4780332;0
23.03.2024;09:05;38.17;38.17;38.17;38.17;38.17;1234710;0
23.03.2024;10:05;38.17;39.44;37.95;39.06;38.70;114584496;0
