Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
25.01.2010;00:00;0.44;0.44;0.39;0.40;0.41;12686780;0
26.01.2010;00:00;0.19;0.20;0.19;0.19;0.19;1072588;0
29.01.2010;00:00;0.19;0.19;0.18;0.18;0.19;189917;0
05.02.2010;00:00;0.18;0.19;0.18;0.18;0.18;432189;0
06.02.2010;00:00;0.18;0.20;0.18;0.18;0.19;5838967;0
07.02.2010;00:00;0.18;0.20;0.18;0.20;0.19;3484234;0
08.02.2010;00:00;0.20;0.21;0.20;0.21;0.20;2893502;0
09.02.2010;00:00;0.20;0.21;0.19;0.20;0.20;1859225;0
12.02.2010;00:00;0.20;0.20;0.20;0.20;0.20;1392004;0
13.02.2010;00:00;0.20;0.20;0.19;0.20;0.19;1377209;0
16.02.2010;00:00;0.20;0.20;0.20;0.20;0.20;1857630;0
17.02.2010;00:00;0.20;0.20;0.19;0.20;0.19;437227;0
18.02.2010;00:00;0.20;0.20;0.20;0.20;0.20;149820;0
21.02.2010;00:00;0.20;0.21;0.20;0.21;0.21;3065970;0
22.02.2010;00:00;0.21;0.21;0.20;0.20;0.20;824802;0
23.02.2010;00:00;0.20;0.21;0.20;0.21;0.20;883251;0
24.02.2010;00:00;0.21;0.21;0.20;0.20;0.20;321576;0
25.02.2010;00:00;0.20;0.20;0.20;0.20;0.20;179894;0
28.02.2010;00:00;0.20;0.21;0.20;0.21;0.20;906476;0
01.03.2010;00:00;0.21;0.21;0.20;0.21;0.20;920527;0
02.03.2010;00:00;0.21;0.21;0.21;0.21;0.21;216833;0
03.03.2010;00:00;0.21;0.21;0.20;0.20;0.20;1288706;0
04.03.2010;00:00;0.21;0.21;0.19;0.20;0.20;284699;0
07.03.2010;00:00;0.20;0.20;0.20;0.20;0.20;151795;0
08.03.2010;00:00;0.20;0.21;0.20;0.21;0.20;156725;0
09.03.2010;00:00;0.20;0.21;0.20;0.20;0.20;221527;0
10.03.2010;00:00;0.21;0.21;0.20;0.20;0.20;84929;0
11.03.2010;00:00;0.21;0.21;0.20;0.20;0.20;335355;0
14.03.2010;00:00;0.20;0.20;0.20;0.20;0.20;113168;0
15.03.2010;00:00;0.20;0.20;0.20;0.20;0.20;109370;0
16.03.2010;00:00;0.20;0.20;0.20;0.20;0.20;187311;0
17.03.2010;00:00;0.20;0.20;0.20;0.20;0.20;81561;0
18.03.2010;00:00;0.20;0.20;0.20;0.20;0.20;176603;0
22.03.2010;00:00;0.20;0.21;0.20;0.21;0.20;495055;0
23.03.2010;00:00;0.21;0.21;0.20;0.20;0.20;161832;0
24.03.2010;00:00;0.20;0.21;0.20;0.21;0.20;1251114;0
25.03.2010;00:00;0.21;0.21;0.21;0.21;0.21;5036664;0
26.03.2010;00:00;0.21;0.22;0.21;0.22;0.22;2817902;0
29.03.2010;00:00;0.22;0.23;0.22;0.23;0.23;2874854;0
30.03.2010;00:00;0.23;0.24;0.23;0.23;0.23;2046884;0
31.03.2010;00:00;0.23;0.25;0.23;0.25;0.24;2065153;0
01.04.2010;00:00;0.25;0.25;0.24;0.25;0.25;1014568;0
02.04.2010;00:00;0.25;0.26;0.24;0.26;0.25;1701783;0
05.04.2010;00:00;0.26;0.27;0.26;0.26;0.26;1508923;0
06.04.2010;00:00;0.27;0.28;0.26;0.27;0.27;1565690;0
07.04.2010;00:00;0.27;0.27;0.26;0.26;0.26;1951634;0
08.04.2010;00:00;0.26;0.26;0.26;0.26;0.26;915755;0
09.04.2010;00:00;0.26;0.27;0.26;0.26;0.27;421806;0
12.04.2010;00:00;0.27;0.28;0.26;0.28;0.27;1313138;0
13.04.2010;00:00;0.28;0.29;0.25;0.26;0.27;2127243;0
14.04.2010;00:00;0.26;0.26;0.26;0.26;0.26;585606;0
15.04.2010;00:00;0.26;0.26;0.26;0.26;0.26;361722;0
16.04.2010;00:00;0.26;0.26;0.26;0.26;0.26;311511;0
19.04.2010;00:00;0.26;0.27;0.26;0.27;0.27;621026;0
21.04.2010;00:00;0.27;0.27;0.26;0.26;0.27;714299;0
22.04.2010;00:00;0.26;0.26;0.25;0.25;0.26;1527310;0
23.04.2010;00:00;0.25;0.25;0.24;0.25;0.25;317361;0
24.04.2010;00:00;0.25;0.25;0.24;0.25;0.25;197322;0
27.04.2010;00:00;0.25;0.25;0.24;0.25;0.25;204292;0
28.04.2010;00:00;0.25;0.25;0.24;0.25;0.25;90705;0
29.04.2010;00:00;0.25;0.25;0.24;0.24;0.25;238224;0
30.04.2010;00:00;0.24;0.25;0.24;0.25;0.25;303645;0
01.05.2010;00:00;0.25;0.25;0.24;0.24;0.25;183702;0
04.05.2010;00:00;0.24;0.25;0.24;0.24;0.25;425127;0
05.05.2010;00:00;0.24;0.26;0.24;0.26;0.25;482524;0
06.05.2010;00:00;0.26;0.26;0.25;0.25;0.25;322560;0
07.05.2010;00:00;0.25;0.25;0.24;0.24;0.25;275393;0
08.05.2010;00:00;0.24;0.24;0.24;0.24;0.24;173235;0
11.05.2010;00:00;0.24;0.24;0.24;0.24;0.24;164118;0
12.05.2010;00:00;0.24;0.24;0.23;0.23;0.24;129116;0
13.05.2010;00:00;0.23;0.23;0.22;0.23;0.23;290316;0
14.05.2010;00:00;0.23;0.23;0.21;0.22;0.22;192392;0
15.05.2010;00:00;0.22;0.23;0.21;0.22;0.22;850155;0
18.05.2010;00:00;0.22;0.22;0.21;0.22;0.22;161280;0
23.05.2010;00:00;0.22;0.23;0.21;0.22;0.22;172909;0
24.05.2010;00:00;0.21;0.22;0.21;0.22;0.22;140643;0
25.05.2010;00:00;0.22;0.23;0.22;0.23;0.22;119740;0
26.05.2010;00:00;0.23;0.23;0.22;0.23;0.22;256601;0
29.05.2010;00:00;0.23;0.23;0.22;0.23;0.22;131131;0
30.05.2010;00:00;0.23;0.23;0.23;0.23;0.23;653140;0
31.05.2010;00:00;0.23;0.23;0.23;0.23;0.23;270960;0
01.06.2010;00:00;0.23;0.23;0.22;0.22;0.23;375897;0
02.06.2010;00:00;0.22;0.23;0.22;0.22;0.22;859369;0
05.06.2010;00:00;0.23;0.23;0.23;0.23;0.23;428937;0
06.06.2010;00:00;0.23;0.23;0.23;0.23;0.23;273490;0
07.06.2010;00:00;0.23;0.23;0.22;0.23;0.23;765265;0
08.06.2010;00:00;0.23;0.23;0.23;0.23;0.23;352575;0
09.06.2010;00:00;0.23;0.23;0.23;0.23;0.23;943172;0
12.06.2010;00:00;0.23;0.25;0.23;0.25;0.24;2041619;0
13.06.2010;00:00;0.25;0.26;0.25;0.26;0.26;1043428;0
14.06.2010;00:00;0.26;0.28;0.26;0.28;0.27;2630929;0
15.06.2010;00:00;0.28;0.28;0.27;0.28;0.28;1624246;0
16.06.2010;00:00;0.28;0.28;0.27;0.28;0.28;1153558;0
19.06.2010;00:00;0.28;0.29;0.28;0.29;0.28;1202832;0
20.06.2010;00:00;0.29;0.29;0.28;0.29;0.29;1841485;0
21.06.2010;00:00;0.29;0.30;0.29;0.30;0.30;820092;0
22.06.2010;00:00;0.30;0.31;0.30;0.31;0.30;622021;0
24.06.2010;00:00;0.30;0.32;0.30;0.32;0.31;869887;0
27.06.2010;00:00;0.32;0.32;0.31;0.32;0.32;541699;0
28.06.2010;00:00;0.32;0.32;0.32;0.32;0.32;1239913;0
29.06.2010;00:00;0.32;0.32;0.30;0.32;0.31;2138473;0
30.06.2010;00:00;0.31;0.33;0.31;0.32;0.32;1321506;0
01.07.2010;00:00;0.32;0.33;0.32;0.33;0.33;2953619;0
04.07.2010;00:00;0.33;0.36;0.33;0.35;0.34;2479918;0
05.07.2010;00:00;0.35;0.41;0.35;0.40;0.38;6170241;0
06.07.2010;00:00;0.40;0.41;0.36;0.40;0.39;3807864;0
07.07.2010;00:00;0.40;0.40;0.36;0.39;0.38;2352473;0
08.07.2010;00:00;0.39;0.40;0.39;0.40;0.40;2156290;0
11.07.2010;00:00;0.40;0.42;0.37;0.40;0.40;4581155;0
12.07.2010;00:00;0.40;0.43;0.40;0.42;0.41;3644631;0
13.07.2010;00:00;0.43;0.43;0.41;0.42;0.42;2651998;0
14.07.2010;00:00;0.42;0.44;0.42;0.43;0.43;3513697;0
15.07.2010;00:00;0.43;0.43;0.43;0.43;0.43;1997227;0
18.07.2010;00:00;0.43;0.43;0.43;0.43;0.43;1188837;0
19.07.2010;00:00;0.43;0.43;0.42;0.43;0.42;610948;0
20.07.2010;00:00;0.43;0.43;0.39;0.43;0.41;1675778;0
21.07.2010;00:00;0.43;0.43;0.42;0.43;0.43;1161944;0
22.07.2010;00:00;0.43;0.44;0.43;0.43;0.43;1267502;0
27.07.2010;00:00;0.43;0.45;0.43;0.45;0.44;1878089;0
28.07.2010;00:00;0.45;0.45;0.44;0.45;0.45;1258050;0
29.07.2010;00:00;0.45;0.46;0.45;0.45;0.45;1401541;0
30.07.2010;00:00;0.45;0.46;0.45;0.46;0.46;925689;0
31.07.2010;00:00;0.46;0.49;0.46;0.46;0.48;3637922;0
03.08.2010;00:00;0.46;0.47;0.45;0.46;0.46;1994677;0
04.08.2010;00:00;0.46;0.48;0.46;0.46;0.47;1966054;0
05.08.2010;00:00;0.47;0.48;0.45;0.45;0.47;1574812;0
06.08.2010;00:00;0.46;0.48;0.43;0.45;0.45;3090620;0
07.08.2010;00:00;0.44;0.45;0.43;0.44;0.44;1956348;0
10.08.2010;00:00;0.44;0.45;0.44;0.45;0.45;1418796;0
11.08.2010;00:00;0.45;0.45;0.44;0.45;0.45;729530;0
12.08.2010;00:00;0.45;0.46;0.43;0.44;0.44;1336494;0
14.08.2010;00:00;0.45;0.45;0.44;0.44;0.44;254102;0
17.08.2010;00:00;0.44;0.44;0.42;0.44;0.43;674482;0
18.08.2010;00:00;0.44;0.45;0.43;0.44;0.44;386847;0
19.08.2010;00:00;0.44;0.45;0.43;0.44;0.44;345086;0
20.08.2010;00:00;0.44;0.44;0.43;0.43;0.43;943817;0
21.08.2010;00:00;0.43;0.44;0.43;0.43;0.43;350491;0
24.08.2010;00:00;0.43;0.44;0.43;0.44;0.43;425543;0
25.08.2010;00:00;0.44;0.45;0.44;0.45;0.45;1364202;0
27.08.2010;00:00;0.45;0.45;0.44;0.45;0.45;1120779;0
28.08.2010;00:00;0.45;0.45;0.43;0.44;0.44;2587225;0
29.08.2010;00:00;0.44;0.44;0.44;0.44;0.44;430542;0
01.09.2010;00:00;0.44;0.44;0.44;0.44;0.44;892829;0
02.09.2010;00:00;0.44;0.45;0.44;0.45;0.45;1365152;0
03.09.2010;00:00;0.44;0.45;0.43;0.43;0.44;724658;0
04.09.2010;00:00;0.43;0.43;0.41;0.43;0.42;376157;0
05.09.2010;00:00;0.43;0.43;0.42;0.43;0.43;392465;0
08.09.2010;00:00;0.43;0.43;0.43;0.43;0.43;558817;0
09.09.2010;00:00;0.43;0.43;0.43;0.43;0.43;556604;0
10.09.2010;00:00;0.43;0.46;0.43;0.45;0.45;1227492;0
