Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
19.04.2022;00:00;3.20;3.23;3.09;3.20;3.16;248038896;0
22.04.2022;00:00;3.19;3.19;3.08;3.08;3.13;74965776;0
25.04.2022;00:00;3.08;3.08;2.94;3.05;3.01;105926800;0
26.04.2022;00:00;3.04;3.06;2.96;3.05;3.01;72775136;0
27.04.2022;00:00;3.06;3.23;3.06;3.14;3.14;132276896;0
28.04.2022;00:00;3.16;3.17;3.08;3.14;3.12;36740912;0
29.04.2022;00:00;3.14;3.15;3.11;3.14;3.13;16899570;0
04.05.2022;00:00;3.14;3.15;3.08;3.13;3.12;25159050;0
05.05.2022;00:00;3.13;3.14;3.10;3.12;3.12;19412890;0
09.05.2022;00:00;3.12;3.17;3.08;3.14;3.12;47173128;0
10.05.2022;00:00;3.14;3.27;3.13;3.24;3.20;119771104;0
11.05.2022;00:00;3.24;3.27;3.22;3.26;3.25;77717264;0
12.05.2022;00:00;3.25;3.41;3.22;3.26;3.32;132470096;0
13.05.2022;00:00;3.25;3.34;3.25;3.33;3.29;64798080;0
16.05.2022;00:00;3.36;3.38;3.32;3.32;3.35;38696580;0
17.05.2022;00:00;3.33;3.34;3.24;3.26;3.29;28451180;0
18.05.2022;00:00;3.26;3.31;3.24;3.28;3.27;24487750;0
19.05.2022;00:00;3.28;3.28;3.25;3.26;3.26;15360620;0
20.05.2022;00:00;3.26;3.33;3.25;3.32;3.29;46172912;0
24.05.2022;00:00;3.29;3.33;3.24;3.24;3.28;28239220;0
25.05.2022;00:00;3.26;3.27;3.18;3.20;3.23;20932050;0
26.05.2022;00:00;3.27;3.28;3.18;3.18;3.23;30955950;0
27.05.2022;00:00;3.28;3.28;3.20;3.22;3.24;31659190;0
28.05.2022;00:00;3.22;3.23;3.14;3.17;3.19;32190470;0
31.05.2022;00:00;3.17;3.23;3.11;3.17;3.17;50546640;0
01.06.2022;00:00;3.16;3.17;3.14;3.15;3.16;17217030;0
02.06.2022;00:00;3.14;3.17;3.10;3.16;3.13;27040740;0
03.06.2022;00:00;3.15;3.17;3.12;3.12;3.14;18176810;0
04.06.2022;00:00;3.13;3.18;3.12;3.14;3.15;18730820;0
07.06.2022;00:00;3.15;3.26;3.12;3.22;3.19;42571000;0
08.06.2022;00:00;3.27;3.32;3.05;3.13;3.18;71847616;0
09.06.2022;00:00;3.14;3.17;3.10;3.12;3.13;29459060;0
10.06.2022;00:00;3.13;3.23;3.10;3.15;3.16;75100408;0
11.06.2022;00:00;3.15;3.21;3.14;3.18;3.18;26278450;0
14.06.2022;00:00;3.18;3.21;3.14;3.16;3.18;17937050;0
15.06.2022;00:00;3.16;3.21;3.15;3.19;3.18;36313472;0
16.06.2022;00:00;3.20;3.20;3.12;3.14;3.16;26886390;0
17.06.2022;00:00;3.14;3.16;3.11;3.13;3.13;26255480;0
18.06.2022;00:00;3.13;3.14;3.08;3.09;3.11;26520220;0
21.06.2022;00:00;3.08;3.09;3.04;3.06;3.06;18945320;0
23.06.2022;00:00;3.09;3.29;3.07;3.29;3.18;59353888;0
25.06.2022;00:00;3.29;3.33;3.21;3.31;3.27;84419264;0
26.06.2022;00:00;3.29;3.41;3.28;3.30;3.35;51353040;0
29.06.2022;00:00;3.31;3.51;3.24;3.45;3.38;143673600;0
30.06.2022;00:00;3.48;3.54;3.31;3.39;3.42;95688224;0
01.07.2022;00:00;3.41;3.44;3.31;3.32;3.38;42096580;0
02.07.2022;00:00;3.34;3.40;3.29;3.30;3.35;28393610;0
03.07.2022;00:00;3.33;3.38;3.26;3.29;3.32;39614152;0
06.07.2022;00:00;3.27;3.33;3.20;3.20;3.26;59303520;0
07.07.2022;00:00;3.21;3.21;3.11;3.11;3.16;33512950;0
08.07.2022;00:00;3.11;3.18;2.96;3.14;3.07;40098660;0
09.07.2022;00:00;3.14;3.15;3.11;3.13;3.13;25144850;0
10.07.2022;00:00;3.13;3.16;3.12;3.15;3.14;14805800;0
13.07.2022;00:00;3.15;3.25;3.15;3.17;3.20;27449470;0
14.07.2022;00:00;3.18;3.22;3.09;3.15;3.15;28580800;0
15.07.2022;00:00;3.15;3.20;3.12;3.16;3.16;18102370;0
16.07.2022;00:00;3.16;3.25;3.16;3.21;3.21;27658120;0
17.07.2022;00:00;3.21;3.24;3.16;3.17;3.20;21911190;0
20.07.2022;00:00;3.17;3.34;3.15;3.22;3.25;47622840;0
21.07.2022;00:00;3.23;3.29;3.21;3.24;3.25;53816320;0
22.07.2022;00:00;3.24;3.32;3.21;3.29;3.26;58769320;0
23.07.2022;00:00;3.32;3.36;3.15;3.22;3.25;45607820;0
24.07.2022;00:00;3.27;3.35;3.22;3.35;3.28;30403850;0
29.07.2022;00:00;3.38;3.48;3.36;3.44;3.42;79610944;0
30.07.2022;00:00;3.47;3.57;3.39;3.46;3.48;86552648;0
31.07.2022;00:00;3.48;3.50;3.40;3.41;3.45;44998780;0
01.08.2022;00:00;3.42;3.53;3.41;3.50;3.47;41577992;0
02.08.2022;00:00;3.50;3.71;3.45;3.66;3.58;110674000;0
05.08.2022;00:00;3.82;4.02;3.82;3.95;3.92;267892992;0
06.08.2022;00:00;4.00;4.12;3.83;3.98;3.97;188311296;0
07.08.2022;00:00;3.98;4.05;3.91;4.01;3.98;93020848;0
08.08.2022;00:00;4.01;4.26;3.97;4.05;4.12;129761400;0
09.08.2022;00:00;4.06;4.08;3.99;4.01;4.03;54339980;0
12.08.2022;00:00;4.05;4.15;4.01;4.10;4.08;75374384;0
13.08.2022;00:00;4.11;4.21;4.04;4.05;4.12;69229328;0
14.08.2022;00:00;4.07;4.32;4.06;4.26;4.19;90481632;0
15.08.2022;00:00;4.22;4.31;4.15;4.23;4.23;100405504;0
16.08.2022;00:00;4.23;4.36;4.20;4.21;4.28;96716520;0
19.08.2022;00:00;4.21;4.37;4.21;4.28;4.29;156530800;0
20.08.2022;00:00;4.34;4.43;4.24;4.36;4.33;126855600;0
21.08.2022;00:00;4.37;4.45;4.34;4.43;4.39;68921264;0
22.08.2022;00:00;4.46;4.87;4.42;4.72;4.64;248378592;0
23.08.2022;00:00;4.72;4.72;4.56;4.58;4.64;45020672;0
26.08.2022;00:00;4.68;4.87;4.60;4.73;4.73;119612096;0
28.08.2022;00:00;4.73;4.76;4.63;4.64;4.70;73366944;0
29.08.2022;00:00;4.64;4.68;4.40;4.40;4.54;113902896;0
30.08.2022;00:00;4.44;4.53;4.32;4.34;4.43;94223536;0
31.08.2022;00:00;4.37;4.69;4.35;4.44;4.52;161988608;0
03.09.2022;00:00;4.53;4.65;4.46;4.59;4.56;125094000;0
04.09.2022;00:00;4.62;4.63;4.43;4.46;4.53;87546224;0
05.09.2022;00:00;4.48;4.57;4.43;4.45;4.50;81414496;0
06.09.2022;00:00;4.47;4.89;4.44;4.88;4.66;215806800;0
07.09.2022;00:00;4.92;5.24;4.90;5.19;5.07;246815200;0
10.09.2022;00:00;5.19;5.71;5.10;5.70;5.40;231192800;0
11.09.2022;00:00;5.71;6.18;5.56;6.01;5.87;458844704;0
12.09.2022;00:00;6.03;6.17;5.78;5.81;5.98;210923200;0
13.09.2022;00:00;5.82;6.35;5.39;6.00;5.87;420430016;0
14.09.2022;00:00;6.29;6.42;6.11;6.39;6.27;341457216;0
17.09.2022;00:00;6.59;7.02;6.40;7.02;6.71;462202400;0
18.09.2022;00:00;7.11;7.46;6.94;7.16;7.20;500697600;0
19.09.2022;00:00;7.18;7.55;6.94;7.38;7.25;415227392;0
20.09.2022;00:00;7.52;7.81;7.38;7.70;7.60;371375904;0
21.09.2022;00:00;8.46;8.47;7.32;7.41;7.90;718505280;0
24.09.2022;00:00;7.50;7.58;7.14;7.22;7.36;412396192;0
25.09.2022;00:00;7.29;7.45;7.09;7.27;7.27;249053296;0
26.09.2022;00:00;7.30;7.80;7.20;7.70;7.50;384251712;0
29.09.2022;00:00;7.81;7.82;7.55;7.66;7.69;230491296;0
30.09.2022;00:00;7.67;8.00;7.44;7.76;7.72;368890816;0
03.10.2022;00:00;7.86;8.45;7.77;8.18;8.11;448916608;0
04.10.2022;00:00;8.17;8.78;7.79;7.88;8.28;368739200;0
05.10.2022;00:00;8.00;8.27;7.75;7.95;8.01;299807296;0
06.10.2022;00:00;7.95;8.14;7.57;7.82;7.86;216468496;0
07.10.2022;00:00;7.84;7.96;7.71;7.81;7.84;199987808;0
10.10.2022;00:00;8.02;8.46;8.00;8.31;8.23;434859104;0
11.10.2022;00:00;8.41;8.44;8.01;8.07;8.22;236392704;0
12.10.2022;00:00;8.11;8.13;7.55;7.59;7.84;249623392;0
13.10.2022;00:00;7.77;7.87;7.39;7.70;7.63;152074096;0
14.10.2022;00:00;7.85;7.87;7.38;7.61;7.62;220033792;0
17.10.2022;00:00;7.61;7.67;7.24;7.27;7.45;226791104;0
18.10.2022;00:00;7.41;7.69;7.20;7.25;7.44;253162800;0
19.10.2022;00:00;7.30;7.45;7.24;7.29;7.34;188257792;0
20.10.2022;00:00;7.31;7.40;7.11;7.19;7.26;130179400;0
21.10.2022;00:00;7.21;7.25;7.01;7.08;7.13;89473072;0
24.10.2022;00:00;7.14;7.43;7.08;7.22;7.25;177475104;0
25.10.2022;00:00;7.24;7.29;6.64;6.75;6.96;226312704;0
26.10.2022;00:00;6.75;6.91;6.42;6.51;6.66;236962800;0
27.10.2022;00:00;6.52;6.76;6.43;6.75;6.60;106642800;0
28.10.2022;00:00;6.76;7.07;6.67;7.01;6.87;140529296;0
01.11.2022;00:00;7.03;7.31;6.89;6.92;7.10;146651392;0
02.11.2022;00:00;6.96;6.99;6.55;6.59;6.77;199252800;0
03.11.2022;00:00;6.59;7.01;6.26;6.34;6.64;239995008;0
04.11.2022;00:00;6.43;6.47;5.89;5.89;6.18;160090800;0
05.11.2022;00:00;5.89;6.17;5.60;6.10;5.88;158269504;0
08.11.2022;00:00;6.17;6.34;5.87;6.05;6.11;158593408;0
09.11.2022;00:00;6.05;6.10;5.78;5.85;5.94;83362120;0
10.11.2022;00:00;5.85;5.95;5.42;5.46;5.68;84640016;0
11.11.2022;00:00;5.59;5.66;5.31;5.62;5.48;87079928;0
12.11.2022;00:00;5.63;6.18;5.57;6.11;5.88;209187904;0
15.11.2022;00:00;6.15;6.39;6.05;6.26;6.22;142175200;0
16.11.2022;00:00;6.34;6.48;6.17;6.22;6.33;135979904;0
17.11.2022;00:00;6.24;6.32;6.12;6.15;6.22;105261904;0
18.11.2022;00:00;6.15;6.32;6.07;6.16;6.20;129308600;0
19.11.2022;00:00;6.19;6.70;6.12;6.67;6.41;241271296;0
22.11.2022;00:00;6.95;7.01;6.60;6.60;6.81;277526112;0
23.11.2022;00:00;6.57;6.57;6.23;6.39;6.40;146132800;0
24.11.2022;00:00;6.41;6.52;6.10;6.20;6.31;126569800;0
25.11.2022;00:00;6.22;6.41;6.17;6.17;6.29;75499024;0
26.11.2022;00:00;6.10;6.17;5.86;5.96;6.02;85317928;0
29.11.2022;00:00;5.97;6.14;5.89;5.95;6.01;64510860;0
30.11.2022;00:00;5.95;5.97;5.68;5.68;5.82;79436336;0
02.12.2022;00:00;5.69;6.05;5.51;5.53;5.78;156390704;0
03.12.2022;00:00;5.53;5.69;5.26;5.66;5.48;117846896;0
04.12.2022;00:00;5.69;5.93;5.61;5.92;5.77;72674200;0
07.12.2022;00:00;5.78;6.09;5.64;6.00;5.87;36608328;0
08.12.2022;00:00;5.96;5.99;5.40;5.40;5.69;54687600;0
16.12.2022;00:00;5.47;5.94;5.47;5.94;5.70;72102168;0
17.12.2022;00:00;6.22;6.43;5.81;6.00;6.12;161254096;0
18.12.2022;00:00;5.98;6.00;5.74;5.90;5.87;71675560;0
21.12.2022;00:00;5.91;6.49;5.87;6.49;6.18;199399696;0
22.12.2022;00:00;6.74;7.10;6.51;6.83;6.81;364907904;0
23.12.2022;00:00;6.82;6.82;6.15;6.16;6.49;199884704;0
24.12.2022;00:00;6.12;6.27;5.91;6.07;6.09;112303400;0
25.12.2022;00:00;6.07;6.35;6.01;6.04;6.18;132229104;0
28.12.2022;00:00;6.04;6.07;5.89;6.07;5.98;90897664;0
29.12.2022;00:00;6.07;6.28;6.03;6.14;6.16;391117408;0
03.01.2023;00:00;6.13;6.22;6.09;6.12;6.15;112781200;0
04.01.2023;00:00;6.12;6.13;5.92;5.93;6.03;96222016;0
05.01.2023;00:00;5.93;6.04;5.75;5.84;5.89;76985088;0
08.01.2023;00:00;5.87;6.11;5.84;6.02;5.98;85150384;0
09.01.2023;00:00;6.04;6.09;5.90;5.90;6.00;80511376;0
10.01.2023;00:00;5.90;5.92;5.80;5.81;5.86;62265888;0
11.01.2023;00:00;5.85;5.96;5.83;5.89;5.89;81063184;0
12.01.2023;00:00;5.85;6.02;5.79;5.89;5.90;85126336;0
15.01.2023;00:00;5.99;5.99;5.75;5.76;5.87;147824192;0
16.01.2023;00:00;5.76;5.81;5.66;5.72;5.73;66597520;0
17.01.2023;00:00;5.72;5.76;5.47;5.50;5.62;70877672;0
18.01.2023;00:00;5.57;5.64;5.48;5.57;5.56;45527472;0
19.01.2023;00:00;5.67;5.68;5.49;5.52;5.58;60589160;0
22.01.2023;00:00;5.52;5.52;5.28;5.31;5.40;69011536;0
23.01.2023;00:00;5.32;5.37;5.08;5.14;5.22;54032848;0
24.01.2023;00:00;5.16;5.28;5.13;5.26;5.21;40781840;0
25.01.2023;00:00;5.25;5.52;5.21;5.33;5.37;64744320;0
26.01.2023;00:00;5.34;5.44;5.20;5.26;5.32;42066540;0
29.01.2023;00:00;5.27;5.50;5.24;5.42;5.37;80485672;0
30.01.2023;00:00;5.42;5.44;5.24;5.28;5.34;73190816;0
31.01.2023;00:00;5.24;5.72;5.08;5.62;5.40;164391600;0
01.02.2023;00:00;5.60;5.74;5.55;5.61;5.64;96262816;0
02.02.2023;00:00;5.61;5.82;5.57;5.72;5.70;132315104;0
06.02.2023;00:00;5.73;5.86;5.66;5.76;5.76;95674240;0
07.02.2023;00:00;6.01;6.11;5.77;5.82;5.94;140962400;0
08.02.2023;00:00;5.86;5.87;5.60;5.63;5.73;76532704;0
09.02.2023;00:00;5.64;5.66;5.47;5.51;5.56;61146632;0
10.02.2023;00:00;5.49;5.58;5.31;5.44;5.44;93298848;0
13.02.2023;00:00;5.44;5.57;5.38;5.57;5.48;66858160;0
14.02.2023;00:00;5.58;5.71;5.51;5.61;5.61;95446008;0
15.02.2023;00:00;5.62;5.64;5.54;5.56;5.59;48908808;0
16.02.2023;00:00;5.57;5.68;5.54;5.57;5.61;59369160;0
17.02.2023;00:00;5.57;5.61;5.39;5.44;5.50;33535280;0
20.02.2023;00:00;5.44;5.46;5.33;5.37;5.39;35989288;0
21.02.2023;00:00;5.37;5.43;5.30;5.33;5.37;34930720;0
22.02.2023;00:00;5.33;5.38;5.31;5.31;5.35;32660360;0
23.02.2023;00:00;5.31;5.31;5.24;5.28;5.27;11545300;0
27.02.2023;00:00;5.28;5.40;5.26;5.26;5.33;30038410;0
28.02.2023;00:00;5.27;5.45;5.27;5.33;5.36;54896328;0
01.03.2023;00:00;5.31;5.34;5.19;5.21;5.27;31569690;0
02.03.2023;00:00;5.24;5.29;5.02;5.02;5.15;37331460;0
03.03.2023;00:00;5.07;5.08;4.81;4.85;4.94;36914232;0
09.03.2023;00:00;4.85;4.88;4.55;4.61;4.72;42104440;0
10.03.2023;00:00;4.61;4.67;4.25;4.55;4.46;44882100;0
11.03.2023;00:00;4.56;4.70;4.55;4.60;4.62;23201260;0
12.03.2023;00:00;4.61;4.64;4.43;4.43;4.53;16639780;0
15.03.2023;00:00;4.43;4.53;4.37;4.47;4.45;23461820;0
16.03.2023;00:00;4.52;4.64;4.42;4.42;4.53;39329648;0
17.03.2023;00:00;4.42;4.47;4.27;4.27;4.37;22397770;0
18.03.2023;00:00;4.27;4.64;4.26;4.52;4.45;60608420;0
19.03.2023;00:00;4.64;4.64;4.35;4.39;4.49;46130720;0
22.03.2023;00:00;4.20;4.58;4.18;4.42;4.38;37382040;0
23.03.2023;00:00;4.50;4.64;4.45;4.63;4.54;35195968;0
24.03.2023;00:00;4.63;4.69;4.58;4.67;4.63;45794088;0
25.03.2023;00:00;4.67;4.67;4.44;4.44;4.56;30124060;0
29.03.2023;00:00;4.45;4.57;4.38;4.42;4.48;29960420;0
30.03.2023;00:00;4.42;4.54;4.39;4.48;4.46;27109770;0
31.03.2023;00:00;4.49;4.62;4.34;4.38;4.48;30307060;0
01.04.2023;00:00;4.40;4.44;4.34;4.36;4.39;17272180;0
02.04.2023;00:00;4.37;4.55;4.34;4.55;4.45;28989730;0
05.04.2023;00:00;4.67;4.94;4.56;4.88;4.75;47937540;0
06.04.2023;00:00;4.89;5.26;4.85;5.26;5.06;49772672;0
07.04.2023;00:00;5.32;5.53;5.14;5.53;5.34;72093584;0
