Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;18:05;2.15;2.15;2.15;2.15;2.15;215964;0
27.02.2024;09:05;2.15;2.15;2.15;2.15;2.15;40006;0
27.02.2024;10:05;2.15;2.23;2.15;2.21;2.19;9175113;0
27.02.2024;11:05;2.21;2.27;2.21;2.25;2.24;6804592;0
27.02.2024;12:05;2.25;2.26;2.24;2.26;2.25;10553840;0
27.02.2024;13:05;2.26;2.26;2.25;2.25;2.26;1462340;0
27.02.2024;14:05;2.26;2.27;2.26;2.27;2.26;1419854;0
27.02.2024;15:05;2.27;2.28;2.26;2.27;2.27;4452259;0
27.02.2024;16:05;2.27;2.30;2.27;2.29;2.29;3177237;0
27.02.2024;17:05;2.29;2.30;2.28;2.29;2.29;2852858;0
27.02.2024;18:05;2.26;2.26;2.26;2.26;2.26;271400;0
01.03.2024;09:05;2.26;2.26;2.26;2.26;2.26;69146;0
01.03.2024;10:05;2.26;2.27;2.23;2.26;2.25;3215743;0
01.03.2024;11:05;2.26;2.26;2.21;2.24;2.24;1283065;0
01.03.2024;12:05;2.24;2.26;2.22;2.25;2.24;2023184;0
01.03.2024;13:05;2.25;2.25;2.24;2.24;2.24;559424;0
01.03.2024;14:05;2.24;2.25;2.24;2.25;2.25;1739048;0
01.03.2024;15:05;2.25;2.25;2.23;2.24;2.24;1854191;0
01.03.2024;16:05;2.25;2.25;2.24;2.24;2.24;738886;0
01.03.2024;17:05;2.24;2.29;2.22;2.28;2.25;5842277;0
01.03.2024;18:05;2.28;2.28;2.28;2.28;2.28;477540;0
02.03.2024;09:05;2.28;2.28;2.28;2.28;2.28;97322;0
02.03.2024;10:05;2.28;2.35;2.27;2.32;2.31;5200135;0
02.03.2024;11:05;2.32;2.36;2.32;2.35;2.34;5458904;0
02.03.2024;12:05;2.35;2.35;2.34;2.35;2.34;2092764;0
08.03.2024;09:05;2.33;2.33;2.33;2.33;2.33;63389;0
08.03.2024;10:05;2.31;2.33;2.30;2.32;2.32;1021260;0
08.03.2024;11:05;2.32;2.33;2.30;2.31;2.31;874141;0
08.03.2024;12:05;2.31;2.32;2.29;2.31;2.31;1149404;0
08.03.2024;13:05;2.31;2.31;2.29;2.29;2.30;847640;0
08.03.2024;14:05;2.29;2.29;2.27;2.29;2.28;510312;0
08.03.2024;15:05;2.29;2.31;2.29;2.31;2.30;1862525;0
08.03.2024;16:05;2.31;2.32;2.31;2.31;2.31;791031;0
08.03.2024;17:05;2.31;2.34;2.29;2.34;2.32;3907597;0
08.03.2024;18:05;2.34;2.34;2.34;2.34;2.34;314414;0
09.03.2024;09:05;2.34;2.34;2.34;2.34;2.34;8487;0
09.03.2024;10:05;2.34;2.35;2.28;2.29;2.31;5125529;0
09.03.2024;11:05;2.30;2.30;2.27;2.27;2.29;711595;0
09.03.2024;12:05;2.27;2.27;2.24;2.27;2.26;990557;0
09.03.2024;13:05;2.27;2.27;2.24;2.24;2.26;498997;0
09.03.2024;14:05;2.24;2.26;2.23;2.24;2.24;1136354;0
09.03.2024;15:05;2.24;2.24;2.20;2.21;2.22;1685449;0
09.03.2024;16:05;2.21;2.21;2.18;2.19;2.19;926010;0
09.03.2024;17:05;2.19;2.21;2.17;2.18;2.19;953153;0
09.03.2024;18:05;2.15;2.15;2.15;2.15;2.15;275537;0
10.03.2024;09:05;2.15;2.15;2.15;2.15;2.15;48902;0
10.03.2024;10:05;2.15;2.19;2.12;2.17;2.16;2811605;0
10.03.2024;11:05;2.16;2.18;2.14;2.15;2.16;1057616;0
10.03.2024;12:05;2.14;2.16;2.13;2.13;2.14;918151;0
10.03.2024;13:05;2.13;2.13;2.09;2.12;2.11;1700763;0
10.03.2024;14:05;2.11;2.13;2.09;2.13;2.11;1405553;0
10.03.2024;15:05;2.13;2.13;2.11;2.12;2.12;580509;0
10.03.2024;16:05;2.12;2.13;2.11;2.11;2.12;491015;0
10.03.2024;17:05;2.11;2.12;2.09;2.09;2.11;1496297;0
10.03.2024;18:05;2.09;2.09;2.09;2.09;2.09;353106;0
11.03.2024;09:05;2.10;2.10;2.10;2.10;2.10;21260;0
11.03.2024;10:05;2.10;2.11;2.06;2.07;2.08;3969587;0
11.03.2024;11:05;2.06;2.08;2.06;2.07;2.07;726235;0
11.03.2024;12:05;2.07;2.12;2.06;2.09;2.09;1335111;0
11.03.2024;13:05;2.09;2.14;2.09;2.13;2.11;1259035;0
11.03.2024;14:05;2.13;2.16;2.12;2.14;2.14;1113682;0
11.03.2024;15:05;2.14;2.18;2.13;2.18;2.16;1395555;0
11.03.2024;16:05;2.17;2.18;2.15;2.15;2.16;724200;0
11.03.2024;17:05;2.15;2.16;2.12;2.14;2.14;940104;0
11.03.2024;18:05;2.14;2.14;2.14;2.14;2.14;59020;0
12.03.2024;09:05;2.14;2.14;2.14;2.14;2.14;3552;0
12.03.2024;10:05;2.14;2.16;2.10;2.12;2.13;1421397;0
12.03.2024;11:05;2.12;2.14;2.11;2.14;2.13;510972;0
12.03.2024;12:05;2.14;2.18;2.14;2.15;2.16;1042902;0
12.03.2024;13:05;2.15;2.17;2.15;2.17;2.16;1233383;0
12.03.2024;14:05;2.16;2.17;2.15;2.17;2.16;604982;0
12.03.2024;15:05;2.17;2.19;2.16;2.17;2.18;1277109;0
12.03.2024;16:05;2.17;2.18;2.15;2.17;2.17;1027167;0
12.03.2024;17:05;2.17;2.18;2.16;2.18;2.17;1201888;0
12.03.2024;18:05;2.19;2.19;2.19;2.19;2.19;149545;0
15.03.2024;09:05;2.23;2.23;2.23;2.23;2.23;59343;0
15.03.2024;10:05;2.23;2.32;2.23;2.31;2.28;2811333;0
15.03.2024;11:05;2.30;2.35;2.28;2.34;2.32;2431649;0
15.03.2024;12:05;2.35;2.35;2.32;2.34;2.33;540129;0
15.03.2024;13:05;2.33;2.34;2.32;2.34;2.33;1031938;0
15.03.2024;14:05;2.34;2.36;2.33;2.36;2.35;1665604;0
15.03.2024;15:05;2.35;2.36;2.34;2.35;2.35;802484;0
15.03.2024;16:05;2.34;2.34;2.31;2.32;2.33;739315;0
15.03.2024;17:05;2.32;2.36;2.29;2.33;2.32;1912642;0
15.03.2024;18:05;2.36;2.36;2.36;2.36;2.36;382572;0
17.03.2024;09:05;2.37;2.37;2.37;2.37;2.37;14846;0
17.03.2024;10:05;2.37;2.44;2.36;2.38;2.40;3884377;0
17.03.2024;11:05;2.38;2.38;2.34;2.36;2.36;885085;0
17.03.2024;12:05;2.36;2.36;2.31;2.34;2.34;1185257;0
17.03.2024;13:05;2.34;2.35;2.32;2.35;2.33;555931;0
17.03.2024;14:05;2.35;2.38;2.32;2.34;2.35;743696;0
17.03.2024;15:05;2.34;2.34;2.32;2.33;2.33;1642753;0
17.03.2024;16:05;2.33;2.33;2.32;2.33;2.32;400103;0
17.03.2024;17:05;2.33;2.33;2.30;2.31;2.31;1067609;0
17.03.2024;18:05;2.31;2.31;2.31;2.31;2.31;37127;0
18.03.2024;09:05;2.33;2.33;2.33;2.33;2.33;7026;0
18.03.2024;10:05;2.31;2.38;2.30;2.33;2.34;1563736;0
18.03.2024;11:05;2.33;2.35;2.32;2.33;2.33;582975;0
18.03.2024;12:05;2.33;2.33;2.31;2.32;2.32;532099;0
18.03.2024;13:05;2.32;2.32;2.31;2.32;2.31;573137;0
18.03.2024;14:05;2.32;2.32;2.26;2.30;2.29;1278001;0
18.03.2024;15:05;2.30;2.33;2.26;2.28;2.29;1685611;0
18.03.2024;16:05;2.28;2.32;2.22;2.27;2.27;1015898;0
18.03.2024;17:05;2.27;2.29;2.25;2.29;2.27;857873;0
18.03.2024;18:05;2.32;2.32;2.32;2.32;2.32;115313;0
19.03.2024;09:05;2.38;2.38;2.38;2.38;2.38;14457;0
19.03.2024;10:05;2.32;2.38;2.27;2.30;2.33;1736443;0
19.03.2024;11:05;2.30;2.34;2.30;2.31;2.32;1129554;0
19.03.2024;12:05;2.31;2.32;2.30;2.31;2.31;923394;0
19.03.2024;13:05;2.31;2.31;2.29;2.29;2.30;393974;0
19.03.2024;14:05;2.29;2.33;2.27;2.32;2.30;1969535;0
19.03.2024;15:05;2.31;2.32;2.30;2.30;2.31;660484;0
19.03.2024;16:05;2.31;2.32;2.29;2.30;2.31;530111;0
19.03.2024;17:05;2.30;2.31;2.27;2.28;2.29;1590419;0
19.03.2024;18:05;2.28;2.28;2.28;2.28;2.28;113589;0
22.03.2024;09:05;2.27;2.27;2.27;2.27;2.27;112221;0
22.03.2024;10:05;2.27;2.28;2.21;2.21;2.25;1337420;0
22.03.2024;11:05;2.21;2.24;2.20;2.22;2.22;1012846;0
22.03.2024;12:05;2.22;2.22;2.21;2.21;2.21;637157;0
22.03.2024;13:05;2.21;2.25;2.19;2.23;2.22;972876;0
22.03.2024;14:05;2.22;2.23;2.20;2.20;2.22;497354;0
22.03.2024;15:05;2.20;2.25;2.20;2.23;2.22;1672797;0
22.03.2024;16:05;2.23;2.24;2.21;2.22;2.22;423869;0
22.03.2024;17:05;2.22;2.23;2.19;2.19;2.21;1437213;0
22.03.2024;18:05;2.23;2.23;2.23;2.23;2.23;75602;0
23.03.2024;09:05;2.25;2.25;2.25;2.25;2.25;9175;0
23.03.2024;10:05;2.25;2.25;2.18;2.19;2.22;2165837;0
23.03.2024;11:05;2.19;2.20;2.14;2.14;2.17;623362;0
23.03.2024;12:05;2.17;2.18;2.14;2.15;2.16;2070421;0
23.03.2024;13:05;2.14;2.16;2.13;2.14;2.15;1626337;0
23.03.2024;14:05;2.15;2.17;2.13;2.15;2.15;1584025;0
23.03.2024;15:05;2.14;2.21;2.14;2.21;2.17;1656920;0
23.03.2024;16:05;2.19;2.33;2.19;2.27;2.26;4135352;0
23.03.2024;17:05;2.27;2.27;2.19;2.26;2.23;768279;0
23.03.2024;18:05;2.21;2.21;2.21;2.21;2.21;308196;0
27.03.2024;09:05;2.21;2.21;2.21;2.21;2.21;44950;0
27.03.2024;10:05;2.21;2.25;2.18;2.19;2.22;1663938;0
27.03.2024;11:05;2.20;2.22;2.19;2.20;2.20;1084329;0
27.03.2024;12:05;2.19;2.20;2.15;2.17;2.18;2139096;0
27.03.2024;13:05;2.17;2.19;2.16;2.18;2.17;525540;0
27.03.2024;14:05;2.17;2.18;2.17;2.17;2.17;759436;0
27.03.2024;15:05;2.17;2.17;2.16;2.17;2.17;718596;0
27.03.2024;16:05;2.17;2.19;2.16;2.16;2.17;1375789;0
27.03.2024;17:05;2.17;2.18;2.15;2.16;2.16;1876998;0
27.03.2024;18:05;2.16;2.16;2.16;2.16;2.16;46578;0
28.03.2024;09:05;2.16;2.16;2.16;2.16;2.16;12778;0
28.03.2024;10:05;2.16;2.16;2.07;2.13;2.12;1691156;0
28.03.2024;11:05;2.13;2.15;2.13;2.13;2.14;2257582;0
28.03.2024;12:05;2.13;2.15;2.13;2.14;2.14;486199;0
28.03.2024;13:05;2.14;2.16;2.14;2.15;2.15;670069;0
28.03.2024;14:05;2.15;2.16;2.15;2.16;2.16;809382;0
28.03.2024;15:05;2.15;2.16;2.14;2.15;2.15;378772;0
28.03.2024;16:05;2.15;2.17;2.14;2.17;2.16;1171653;0
28.03.2024;17:05;2.16;2.17;2.13;2.13;2.15;933414;0
28.03.2024;18:05;2.15;2.15;2.15;2.15;2.15;238860;0
31.03.2024;09:05;2.15;2.15;2.15;2.15;2.15;31958;0
31.03.2024;10:05;2.15;2.16;2.05;2.14;2.11;2818763;0
31.03.2024;11:05;2.15;2.16;2.12;2.12;2.14;1291059;0
31.03.2024;12:05;2.12;2.12;2.11;2.12;2.12;591784;0
31.03.2024;13:05;2.12;2.13;2.12;2.13;2.13;328962;0
31.03.2024;14:05;2.13;2.13;2.12;2.12;2.12;372983;0
31.03.2024;15:05;2.12;2.12;2.11;2.11;2.12;446344;0
31.03.2024;16:05;2.11;2.12;2.11;2.11;2.11;266232;0
31.03.2024;17:05;2.11;2.12;2.10;2.10;2.11;828709;0
31.03.2024;18:05;2.10;2.10;2.10;2.10;2.10;36594;0
01.04.2024;09:05;2.07;2.07;2.07;2.07;2.07;46825;0
01.04.2024;10:05;2.07;2.15;2.07;2.08;2.11;2873352;0
01.04.2024;11:05;2.07;2.11;2.07;2.10;2.09;1271048;0
01.04.2024;12:05;2.09;2.10;2.07;2.09;2.08;1129771;0
01.04.2024;13:05;2.09;2.10;2.07;2.08;2.09;867486;0
01.04.2024;14:05;2.08;2.09;2.07;2.08;2.08;818173;0
01.04.2024;15:05;2.08;2.08;2.07;2.08;2.07;580918;0
01.04.2024;16:05;2.08;2.09;2.07;2.09;2.08;388894;0
01.04.2024;17:05;2.09;2.11;2.08;2.11;2.10;617453;0
01.04.2024;18:05;2.11;2.11;2.11;2.11;2.11;65639;0
02.04.2024;09:05;2.12;2.12;2.12;2.12;2.12;86147;0
02.04.2024;10:05;2.14;2.20;2.07;2.10;2.13;1254034;0
02.04.2024;11:05;2.10;2.10;2.08;2.10;2.09;309783;0
02.04.2024;12:05;2.09;2.10;2.09;2.10;2.10;350742;0
02.04.2024;13:05;2.10;2.11;2.09;2.10;2.10;857775;0
02.04.2024;14:05;2.10;2.10;2.08;2.09;2.09;513169;0
02.04.2024;15:05;2.09;2.09;2.07;2.08;2.08;943350;0
02.04.2024;16:05;2.08;2.09;2.07;2.08;2.08;1473423;0
02.04.2024;17:05;2.08;2.09;2.07;2.09;2.08;1118025;0
02.04.2024;18:05;2.09;2.09;2.09;2.09;2.09;4958;0
03.04.2024;09:05;2.09;2.09;2.09;2.09;2.09;4007;0
03.04.2024;10:05;2.09;2.09;2.06;2.07;2.07;1269164;0
03.04.2024;11:05;2.07;2.10;2.07;2.08;2.09;865022;0
03.04.2024;12:05;2.08;2.09;2.08;2.09;2.08;797119;0
03.04.2024;13:05;2.09;2.10;2.08;2.08;2.09;1052261;0
03.04.2024;14:05;2.09;2.09;2.08;2.09;2.08;517633;0
03.04.2024;15:05;2.09;2.09;2.08;2.09;2.09;811143;0
03.04.2024;16:05;2.09;2.09;2.09;2.09;2.09;593850;0
03.04.2024;17:05;2.09;2.09;2.08;2.09;2.09;597350;0
03.04.2024;18:05;2.09;2.09;2.09;2.09;2.09;63913;0
04.04.2024;09:05;2.08;2.08;2.08;2.08;2.08;21628;0
04.04.2024;10:05;2.08;2.08;2.02;2.05;2.05;2468854;0
04.04.2024;11:05;2.05;2.06;2.02;2.05;2.04;1701258;0
04.04.2024;12:05;2.05;2.07;2.04;2.06;2.05;276610;0
04.04.2024;13:05;2.06;2.07;2.06;2.07;2.07;621506;0
04.04.2024;14:05;2.07;2.08;2.06;2.07;2.07;870195;0
04.04.2024;15:05;2.07;2.07;2.06;2.07;2.07;499631;0
04.04.2024;16:05;2.06;2.07;2.06;2.06;2.06;238282;0
04.04.2024;17:05;2.06;2.07;2.06;2.07;2.06;767228;0
04.04.2024;18:05;2.06;2.06;2.06;2.06;2.06;171760;0
07.04.2024;09:05;2.06;2.06;2.06;2.06;2.06;13055;0
07.04.2024;10:05;2.06;2.06;1.97;2.04;2.01;1643526;0
07.04.2024;11:05;2.05;2.07;2.04;2.05;2.05;684760;0
07.04.2024;12:05;2.05;2.22;2.05;2.10;2.13;4691622;0
07.04.2024;13:05;2.10;2.13;2.07;2.08;2.10;1952343;0
07.04.2024;14:05;2.08;2.08;2.07;2.07;2.08;664720;0
07.04.2024;15:05;2.07;2.07;2.01;2.03;2.04;2645419;0
07.04.2024;16:05;2.03;2.05;2.01;2.03;2.03;1016434;0
07.04.2024;17:05;2.04;2.08;2.01;2.01;2.05;1625226;0
07.04.2024;18:05;2.01;2.01;2.01;2.01;2.01;74405;0
08.04.2024;09:05;2.01;2.01;2.01;2.01;2.01;7666;0
08.04.2024;10:05;2.03;2.05;2.00;2.02;2.02;1188263;0
08.04.2024;11:05;2.02;2.05;2.01;2.03;2.03;929356;0
08.04.2024;12:05;2.03;2.03;2.02;2.03;2.03;121107;0
08.04.2024;13:05;2.02;2.03;2.02;2.02;2.02;334147;0
08.04.2024;14:05;2.02;2.05;2.01;2.03;2.03;1385075;0
08.04.2024;15:05;2.03;2.07;2.03;2.06;2.05;781933;0
08.04.2024;16:05;2.06;2.08;2.05;2.06;2.07;853419;0
08.04.2024;17:05;2.05;2.06;2.05;2.06;2.06;396977;0
08.04.2024;18:05;2.06;2.06;2.06;2.06;2.06;71693;0
09.04.2024;09:05;2.06;2.06;2.06;2.06;2.06;37072;0
09.04.2024;10:05;2.07;2.10;2.05;2.08;2.08;797844;0
09.04.2024;11:05;2.08;2.11;2.08;2.09;2.09;577892;0
09.04.2024;12:05;2.09;2.09;2.08;2.09;2.09;445370;0
09.04.2024;13:05;2.09;2.11;2.09;2.10;2.10;756483;0
09.04.2024;14:05;2.10;2.11;2.10;2.11;2.11;688798;0
09.04.2024;15:05;2.11;2.11;2.10;2.11;2.11;201599;0
09.04.2024;16:05;2.10;2.11;2.09;2.10;2.10;451821;0
09.04.2024;17:05;2.09;2.12;2.08;2.11;2.10;1120726;0
09.04.2024;18:05;2.12;2.12;2.12;2.12;2.12;136699;0
10.04.2024;09:05;2.12;2.12;2.12;2.12;2.12;21057;0
10.04.2024;10:05;2.12;2.21;2.11;2.12;2.16;2230663;0
10.04.2024;11:05;2.12;2.19;2.12;2.18;2.16;4068044;0
10.04.2024;12:05;2.18;2.19;2.16;2.17;2.17;1237602;0
10.04.2024;13:05;2.17;2.19;2.15;2.17;2.17;609556;0
10.04.2024;14:05;2.16;2.20;2.16;2.20;2.18;1260291;0
10.04.2024;15:05;2.20;2.24;2.18;2.22;2.21;2830664;0
10.04.2024;16:05;2.23;2.29;2.20;2.21;2.24;2369140;0
10.04.2024;17:05;2.21;2.22;2.16;2.19;2.19;1950594;0
10.04.2024;18:05;2.20;2.20;2.20;2.20;2.20;104738;0
11.04.2024;09:05;2.22;2.22;2.22;2.22;2.22;13285;0
11.04.2024;10:05;2.22;2.30;2.21;2.25;2.25;6035810;0
11.04.2024;11:05;2.25;2.26;2.11;2.11;2.18;2144308;0
11.04.2024;12:05;2.19;2.24;2.19;2.22;2.21;2206213;0
11.04.2024;13:05;2.22;2.27;2.21;2.23;2.24;1128033;0
11.04.2024;14:05;2.22;2.22;2.19;2.19;2.20;1543428;0
11.04.2024;15:05;2.19;2.20;2.18;2.19;2.19;736644;0
11.04.2024;16:05;2.19;2.22;2.19;2.21;2.20;862803;0
11.04.2024;17:05;2.21;2.24;2.20;2.24;2.22;1861371;0
11.04.2024;18:05;2.24;2.24;2.24;2.24;2.24;549635;0
14.04.2024;09:05;2.47;2.47;2.47;2.47;2.47;1058944;0
14.04.2024;10:05;2.47;2.47;2.47;2.47;2.47;6408911;0
14.04.2024;11:05;2.47;2.47;2.47;2.47;2.47;516795;0
14.04.2024;12:05;2.47;2.47;2.47;2.47;2.47;259764;0
14.04.2024;13:05;2.47;2.47;2.47;2.47;2.47;301712;0
14.04.2024;14:05;2.47;2.47;2.47;2.47;2.47;244576;0
14.04.2024;15:05;2.47;2.47;2.47;2.47;2.47;37046;0
14.04.2024;16:05;2.47;2.47;2.47;2.47;2.47;19487;0
14.04.2024;17:05;2.47;2.47;2.47;2.47;2.47;201463;0
14.04.2024;18:05;2.47;2.47;2.47;2.47;2.47;100490;0
15.04.2024;09:05;2.49;2.49;2.49;2.49;2.49;2263115;0
15.04.2024;10:05;2.51;2.54;2.41;2.46;2.48;25588650;0
15.04.2024;11:05;2.47;2.48;2.42;2.43;2.45;6134615;0
15.04.2024;12:05;2.46;2.61;2.44;2.55;2.53;13333980;0
15.04.2024;13:05;2.55;2.57;2.46;2.50;2.51;6530379;0
15.04.2024;14:05;2.50;2.53;2.45;2.47;2.49;5543135;0
15.04.2024;15:05;2.47;2.50;2.45;2.50;2.48;2494292;0
15.04.2024;16:05;2.50;2.50;2.47;2.48;2.48;2392576;0
15.04.2024;17:05;2.48;2.48;2.41;2.41;2.45;4509692;0
15.04.2024;18:05;2.41;2.41;2.41;2.41;2.41;316754;0
16.04.2024;09:05;2.41;2.41;2.41;2.41;2.41;63005;0
16.04.2024;10:05;2.41;2.45;2.39;2.45;2.42;4727968;0
16.04.2024;11:05;2.45;2.52;2.43;2.47;2.48;5612475;0
16.04.2024;12:05;2.47;2.47;2.42;2.47;2.45;1974040;0
16.04.2024;13:05;2.46;2.47;2.42;2.44;2.44;1131076;0
16.04.2024;14:05;2.44;2.46;2.43;2.45;2.45;2603474;0
16.04.2024;15:05;2.45;2.45;2.33;2.34;2.39;6943788;0
16.04.2024;16:05;2.34;2.40;2.33;2.33;2.36;5847963;0
16.04.2024;17:05;2.33;2.35;2.29;2.29;2.32;4944484;0
16.04.2024;18:05;2.29;2.29;2.29;2.29;2.29;710685;0
17.04.2024;09:05;2.32;2.32;2.32;2.32;2.32;38780;0
17.04.2024;10:05;2.32;2.32;2.24;2.27;2.28;5146871;0
17.04.2024;11:05;2.26;2.32;2.25;2.30;2.29;3388481;0
17.04.2024;12:05;2.29;2.32;2.27;2.31;2.30;1828605;0
17.04.2024;13:05;2.31;2.31;2.29;2.29;2.30;980777;0
17.04.2024;14:05;2.29;2.31;2.28;2.28;2.29;1346571;0
17.04.2024;15:05;2.29;2.29;2.27;2.27;2.28;642981;0
17.04.2024;16:05;2.27;2.28;2.25;2.26;2.27;1351383;0
17.04.2024;17:05;2.25;2.26;2.23;2.24;2.24;2261439;0
17.04.2024;18:05;2.28;2.28;2.28;2.28;2.28;375675;0
18.04.2024;09:05;2.31;2.31;2.31;2.31;2.31;19466;0
18.04.2024;10:05;2.31;2.31;2.21;2.24;2.26;3353349;0
18.04.2024;11:05;2.24;2.25;2.23;2.24;2.24;598727;0
18.04.2024;12:05;2.24;2.25;2.23;2.23;2.24;526555;0
18.04.2024;13:05;2.23;2.25;2.22;2.24;2.24;884947;0
18.04.2024;14:05;2.24;2.24;2.21;2.21;2.23;959229;0
18.04.2024;15:05;2.21;2.22;2.19;2.19;2.20;1581471;0
18.04.2024;16:05;2.19;2.20;2.17;2.20;2.19;2180093;0
18.04.2024;17:05;2.20;2.20;2.17;2.17;2.18;1150299;0
18.04.2024;18:05;2.16;2.16;2.16;2.16;2.16;191892;0
21.04.2024;09:05;2.16;2.16;2.16;2.16;2.16;204247;0
21.04.2024;10:05;2.16;2.18;2.12;2.17;2.15;3949217;0
21.04.2024;11:05;2.17;2.19;2.14;2.17;2.17;2102977;0
21.04.2024;12:05;2.17;2.18;2.15;2.17;2.16;1823346;0
21.04.2024;13:05;2.16;2.16;2.13;2.16;2.15;1362686;0
21.04.2024;14:05;2.16;2.16;2.13;2.15;2.15;796077;0
21.04.2024;15:05;2.15;2.15;2.13;2.13;2.14;1247811;0
21.04.2024;16:05;2.13;2.13;2.09;2.10;2.11;1317752;0
21.04.2024;17:05;2.10;2.11;2.08;2.09;2.10;895018;0
21.04.2024;18:05;2.09;2.09;2.09;2.09;2.09;66655;0
22.04.2024;09:05;2.09;2.09;2.09;2.09;2.09;38318;0
22.04.2024;10:05;2.09;2.16;2.08;2.12;2.12;2085590;0
22.04.2024;11:05;2.12;2.13;2.10;2.12;2.12;512947;0
22.04.2024;12:05;2.13;2.17;2.13;2.15;2.15;2178438;0
22.04.2024;13:05;2.14;2.15;2.09;2.10;2.12;1317451;0
22.04.2024;14:05;2.10;2.11;2.08;2.10;2.10;1447657;0
22.04.2024;15:05;2.10;2.15;2.10;2.14;2.12;974043;0
22.04.2024;16:05;2.14;2.15;2.13;2.14;2.14;430574;0
22.04.2024;17:05;2.14;2.16;2.13;2.15;2.15;1978704;0
22.04.2024;18:05;2.14;2.14;2.14;2.14;2.14;355776;0
23.04.2024;09:05;2.14;2.14;2.14;2.14;2.14;12138;0
23.04.2024;10:05;2.14;2.17;2.09;2.15;2.13;2391856;0
23.04.2024;11:05;2.15;2.27;2.10;2.25;2.18;6827861;0
23.04.2024;12:05;2.24;2.25;2.20;2.24;2.22;2464025;0
23.04.2024;13:05;2.25;2.27;2.23;2.26;2.25;2450113;0
23.04.2024;14:05;2.25;2.26;2.16;2.17;2.21;3611066;0
23.04.2024;15:05;2.16;2.19;2.15;2.16;2.17;2779949;0
23.04.2024;16:05;2.15;2.17;2.14;2.16;2.16;832906;0
23.04.2024;17:05;2.16;2.16;2.12;2.14;2.14;1935788;0
23.04.2024;18:05;2.12;2.12;2.12;2.12;2.12;35763;0
24.04.2024;09:05;2.14;2.14;2.14;2.14;2.14;23407;0
24.04.2024;10:05;2.14;2.16;2.10;2.13;2.13;2214801;0
24.04.2024;11:05;2.13;2.14;2.12;2.13;2.13;635231;0
24.04.2024;12:05;2.13;2.15;2.13;2.15;2.14;814836;0
24.04.2024;13:05;2.14;2.15;2.13;2.14;2.14;700860;0
24.04.2024;14:05;2.14;2.16;2.13;2.15;2.14;668805;0
24.04.2024;15:05;2.15;2.20;2.14;2.15;2.17;960965;0
24.04.2024;16:05;2.16;2.19;2.15;2.17;2.17;1451866;0
24.04.2024;17:05;2.16;2.18;2.16;2.17;2.17;700089;0
24.04.2024;18:05;2.17;2.17;2.17;2.17;2.17;15373;0
25.04.2024;09:05;2.21;2.21;2.21;2.21;2.21;25130;0
25.04.2024;10:05;2.21;2.23;2.17;2.19;2.20;3266022;0
25.04.2024;11:05;2.19;2.19;2.17;2.17;2.18;894368;0
25.04.2024;12:05;2.17;2.18;2.15;2.17;2.16;1762810;0
25.04.2024;13:05;2.16;2.19;2.15;2.16;2.17;1323303;0
25.04.2024;14:05;2.16;2.18;2.15;2.16;2.16;2676577;0
