Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
07.05.2005;00:00;55.83;55.83;51.61;51.61;53.72;605430;0
08.05.2005;00:00;51.94;53.89;51.94;53.56;52.91;324237;0
09.05.2005;00:00;53.89;55.18;52.92;53.24;54.05;280757;0
10.05.2005;00:00;52.58;52.58;49.35;51.61;50.97;535913;0
14.05.2005;00:00;51.94;53.89;48.04;50.64;50.97;490747;0
15.05.2005;00:00;49.99;51.29;45.45;50.64;48.37;437401;0
16.05.2005;00:00;49.99;49.99;45.45;48.69;47.72;268779;0
17.05.2005;00:00;49.02;49.67;48.04;49.02;48.85;243446;0
18.05.2005;00:00;49.99;51.61;49.35;50.32;50.48;264837;0
21.05.2005;00:00;50.64;50.64;49.35;49.99;49.99;310827;0
22.05.2005;00:00;49.99;50.32;48.69;49.35;49.50;230218;0
23.05.2005;00:00;50.22;50.22;46.85;48.54;48.53;356797;0
25.05.2005;00:00;47.87;49.21;47.87;47.87;48.54;241007;0
26.05.2005;00:00;48.20;48.88;48.20;48.54;48.54;323864;0
29.05.2005;00:00;48.20;48.20;44.50;46.85;46.35;219735;0
30.05.2005;00:00;45.84;47.87;45.84;47.87;46.85;464983;0
31.05.2005;00:00;46.85;48.20;45.84;46.18;47.02;245911;0
01.06.2005;00:00;46.18;46.85;44.50;44.83;45.67;187858;0
02.06.2005;00:00;46.51;46.51;43.48;43.82;44.99;207087;0
05.06.2005;00:00;43.82;44.50;42.14;43.14;43.32;158788;0
06.06.2005;00:00;42.14;42.14;38.09;39.43;40.11;438675;0
07.06.2005;00:00;39.77;40.11;38.09;39.10;39.10;133102;0
08.06.2005;00:00;39.77;41.13;39.77;39.77;40.45;482898;0
09.06.2005;00:00;40.45;41.46;40.11;40.45;40.78;298682;0
12.06.2005;00:00;37.08;41.80;37.08;40.79;39.44;323119;0
13.06.2005;00:00;40.45;40.45;39.43;39.77;39.94;131110;0
14.06.2005;00:00;39.43;40.11;38.43;39.10;39.27;85559;0
15.06.2005;00:00;39.77;40.11;38.43;38.43;39.27;133978;0
16.06.2005;00:00;38.77;39.10;37.08;37.75;38.09;478619;0
19.06.2005;00:00;37.75;38.09;35.40;37.08;36.75;225084;0
20.06.2005;00:00;37.42;38.09;36.74;37.08;37.42;390249;0
21.06.2005;00:00;37.42;39.43;37.42;39.43;38.42;799453;0
22.06.2005;00:00;40.11;40.45;39.43;40.11;39.94;434424;0
23.06.2005;00:00;40.79;40.79;39.77;40.79;40.28;523800;0
28.06.2005;00:00;41.13;42.81;40.79;41.46;41.80;636343;0
29.06.2005;00:00;41.80;42.47;39.77;41.46;41.12;149686;0
30.06.2005;00:00;40.11;41.80;39.10;39.10;40.45;164485;0
01.07.2005;00:00;38.09;39.10;37.75;39.10;38.42;331992;0
02.07.2005;00:00;39.43;39.77;39.10;39.43;39.43;200888;0
05.07.2005;00:00;39.43;40.45;39.43;39.43;39.94;73052;0
06.07.2005;00:00;39.43;40.11;38.43;38.77;39.27;138915;0
07.07.2005;00:00;38.77;40.11;38.77;39.10;39.44;147444;0
08.07.2005;00:00;39.10;39.10;37.42;38.09;38.26;142160;0
09.07.2005;00:00;37.75;38.09;35.73;36.74;36.91;401295;0
12.07.2005;00:00;36.40;36.40;33.37;34.72;34.89;791961;0
13.07.2005;00:00;35.06;35.73;34.38;35.73;35.06;129506;0
14.07.2005;00:00;36.40;37.08;35.73;37.08;36.41;391175;0
15.07.2005;00:00;37.75;38.09;37.42;38.09;37.75;502026;0
16.07.2005;00:00;37.42;38.43;37.08;38.09;37.76;192768;0
19.07.2005;00:00;38.09;40.11;37.75;38.09;38.93;176449;0
20.07.2005;00:00;39.10;39.43;38.09;39.43;38.76;306150;0
21.07.2005;00:00;39.77;41.80;39.10;41.46;40.45;411539;0
22.07.2005;00:00;41.80;42.81;41.46;42.14;42.14;353231;0
23.07.2005;00:00;42.47;42.47;41.13;41.46;41.80;80541;0
26.07.2005;00:00;43.82;42.81;41.46;42.14;42.14;68334;0
28.07.2005;00:00;42.14;43.82;41.13;41.80;42.48;751359;0
29.07.2005;00:00;42.14;43.82;41.80;42.47;42.81;278722;0
30.07.2005;00:00;43.14;44.83;42.14;43.14;43.49;302167;0
31.07.2005;00:00;42.14;44.50;42.14;44.16;43.32;130968;0
03.08.2005;00:00;43.82;44.50;43.48;43.82;43.99;144381;0
04.08.2005;00:00;43.82;44.50;43.48;43.82;43.99;85242;0
05.08.2005;00:00;47.87;48.54;46.51;47.87;47.52;2959893;0
06.08.2005;00:00;47.87;48.20;46.51;47.53;47.35;4958648;0
07.08.2005;00:00;48.54;51.58;47.87;51.24;49.73;1222681;0
10.08.2005;00:00;51.91;55.96;51.24;55.28;53.60;1511123;0
11.08.2005;00:00;55.62;58.32;55.28;55.62;56.80;1535238;0
12.08.2005;00:00;57.30;57.30;55.28;55.62;56.29;593748;0
13.08.2005;00:00;55.96;55.96;55.28;55.62;55.62;432644;0
14.08.2005;00:00;55.96;56.29;54.95;55.28;55.62;1194487;0
17.08.2005;00:00;55.28;55.62;54.95;55.62;55.28;560093;0
18.08.2005;00:00;55.62;56.29;55.28;55.62;55.78;589990;0
19.08.2005;00:00;55.62;57.64;55.28;56.29;56.46;908677;0
20.08.2005;00:00;55.62;56.29;55.28;55.62;55.78;462464;0
21.08.2005;00:00;55.96;55.96;55.28;55.62;55.62;204478;0
24.08.2005;00:00;57.30;57.30;53.93;54.95;55.61;475903;0
25.08.2005;00:00;55.62;55.62;52.58;53.26;54.10;417372;0
27.08.2005;00:00;53.59;53.59;52.92;52.92;53.25;272578;0
29.08.2005;00:00;53.26;53.26;51.91;52.58;52.58;410046;0
01.09.2005;00:00;52.92;53.93;52.58;53.93;53.26;336149;0
02.09.2005;00:00;53.93;53.93;52.92;53.59;53.42;273905;0
03.09.2005;00:00;53.59;54.27;52.92;52.92;53.59;159948;0
04.09.2005;00:00;52.58;53.59;52.58;52.92;53.09;198659;0
05.09.2005;00:00;52.92;53.93;52.58;53.26;53.26;280992;0
08.09.2005;00:00;53.59;55.28;52.58;53.59;53.93;406091;0
09.09.2005;00:00;54.27;54.27;53.26;53.59;53.76;101795;0
10.09.2005;00:00;53.93;54.95;53.26;53.59;54.10;314935;0
11.09.2005;00:00;53.26;54.27;52.58;52.92;53.43;283497;0
12.09.2005;00:00;52.92;53.59;52.58;53.59;53.09;118940;0
15.09.2005;00:00;53.59;54.61;53.26;53.93;53.93;625205;0
16.09.2005;00:00;54.27;55.62;53.59;55.62;54.60;625771;0
17.09.2005;00:00;55.28;56.63;54.95;56.29;55.79;374594;0
18.09.2005;00:00;56.29;56.63;54.27;54.27;55.45;153976;0
19.09.2005;00:00;53.93;54.61;52.25;52.92;53.43;598471;0
22.09.2005;00:00;53.26;53.93;52.58;52.58;53.26;209410;0
23.09.2005;00:00;52.92;53.26;51.58;52.92;52.42;130284;0
24.09.2005;00:00;53.26;54.27;52.92;54.27;53.59;385397;0
25.09.2005;00:00;54.61;54.61;53.26;53.93;53.93;32872;0
26.09.2005;00:00;54.61;54.61;52.92;53.26;53.76;115645;0
01.10.2005;00:00;53.26;53.26;51.24;52.58;52.25;256879;0
02.10.2005;00:00;52.92;52.92;51.58;51.91;52.25;153717;0
03.10.2005;00:00;51.91;51.91;50.22;51.58;51.07;253333;0
04.10.2005;00:00;51.91;52.25;51.24;51.58;51.75;267914;0
05.10.2005;00:00;51.91;51.91;51.24;51.58;51.58;160074;0
08.10.2005;00:00;50.56;50.90;49.21;50.22;50.06;602845;0
09.10.2005;00:00;49.89;50.56;48.88;49.89;49.72;240112;0
10.10.2005;00:00;49.89;50.22;48.88;49.55;49.55;239767;0
11.10.2005;00:00;49.21;50.90;49.21;50.56;50.06;301243;0
12.10.2005;00:00;51.58;51.58;50.22;51.24;50.90;182063;0
15.10.2005;00:00;51.24;51.58;49.55;50.90;50.57;317510;0
16.10.2005;00:00;51.24;51.24;49.89;49.89;50.57;210567;0
17.10.2005;00:00;50.22;50.90;49.89;50.90;50.40;126792;0
18.10.2005;00:00;51.24;52.25;50.90;52.25;51.58;483819;0
19.10.2005;00:00;52.25;52.58;51.58;51.91;52.08;159779;0
25.10.2005;00:00;52.92;53.26;51.91;53.26;52.58;191139;0
26.10.2005;00:00;53.59;53.59;52.58;53.26;53.09;197474;0
29.10.2005;00:00;53.26;54.61;52.58;53.26;53.60;305322;0
30.10.2005;00:00;52.92;56.29;52.92;55.62;54.60;932389;0
01.11.2005;00:00;55.62;57.98;54.95;57.98;56.47;1124254;0
02.11.2005;00:00;58.66;60.67;56.97;57.30;58.82;1385317;0
03.11.2005;00:00;57.98;57.98;54.61;56.29;56.30;814989;0
06.11.2005;00:00;56.29;57.98;55.96;56.63;56.97;432235;0
07.11.2005;00:00;56.97;57.30;56.63;56.97;56.97;271424;0
08.11.2005;00:00;56.97;56.97;55.62;56.29;56.30;162743;0
09.11.2005;00:00;56.63;56.97;55.96;56.29;56.47;277643;0
10.11.2005;00:00;56.29;56.29;52.58;53.59;54.44;665774;0
13.11.2005;00:00;53.93;53.93;51.91;52.25;52.92;433933;0
14.11.2005;00:00;52.25;53.93;52.25;53.26;53.09;347058;0
15.11.2005;00:00;53.59;53.93;52.92;53.26;53.42;159991;0
16.11.2005;00:00;53.26;54.27;53.26;53.59;53.76;302719;0
17.11.2005;00:00;53.59;53.59;52.25;52.25;52.92;175342;0
20.11.2005;00:00;52.25;52.92;51.91;52.92;52.41;227838;0
21.11.2005;00:00;52.58;53.26;52.25;52.58;52.75;171319;0
22.11.2005;00:00;52.92;52.92;50.22;50.90;51.57;385840;0
23.11.2005;00:00;50.90;51.24;50.22;50.90;50.73;432281;0
24.11.2005;00:00;50.90;50.90;48.88;49.21;49.89;278533;0
27.11.2005;00:00;49.21;49.21;47.87;48.88;48.54;240021;0
28.11.2005;00:00;48.20;50.90;47.87;49.55;49.39;311622;0
29.11.2005;00:00;49.89;50.56;49.55;50.22;50.06;285468;0
30.11.2005;00:00;50.90;50.90;49.55;49.89;50.23;87995;0
03.12.2005;00:00;49.89;50.22;49.21;49.21;49.72;73651;0
06.12.2005;00:00;49.21;49.55;48.20;48.54;48.88;196325;0
07.12.2005;00:00;49.21;49.21;48.20;48.88;48.70;191404;0
08.12.2005;00:00;49.21;49.89;48.88;49.55;49.39;153200;0
09.12.2005;00:00;49.55;50.56;48.88;50.56;49.72;283089;0
