Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;60.42;60.42;60.42;60.42;60.42;59926;0
27.02.2024;10:05;60.52;62.13;60.52;61.99;61.32;5228929;0
27.02.2024;11:05;62.04;62.41;61.95;62.04;62.18;2628512;0
27.02.2024;12:05;62.04;62.32;61.99;62.23;62.16;2487137;0
27.02.2024;13:05;62.23;62.27;62.04;62.04;62.16;1016656;0
27.02.2024;14:05;62.18;62.46;62.04;62.41;62.25;1245612;0
27.02.2024;15:05;62.27;62.46;62.13;62.41;62.30;1603791;0
27.02.2024;16:05;62.41;62.87;62.27;62.78;62.57;3596422;0
27.02.2024;17:05;62.60;62.92;62.46;62.87;62.69;2739823;0
27.02.2024;18:05;62.73;62.73;62.73;62.73;62.73;101775;0
01.03.2024;09:05;62.78;62.78;62.78;62.78;62.78;212391;0
01.03.2024;10:05;62.78;64.86;62.78;64.58;63.82;10634660;0
01.03.2024;11:05;64.63;64.91;64.08;64.77;64.49;6716436;0
01.03.2024;12:05;64.77;65.05;64.49;64.81;64.77;5070500;0
01.03.2024;13:05;64.63;64.95;64.63;64.81;64.79;1932611;0
01.03.2024;14:05;64.81;65.28;64.54;65.28;64.91;2655564;0
01.03.2024;15:05;65.28;65.28;64.72;65.23;65.00;2986662;0
01.03.2024;16:05;65.23;65.69;65.14;65.51;65.42;2644432;0
01.03.2024;17:05;65.42;65.74;65.23;65.69;65.49;2978332;0
01.03.2024;18:05;65.74;65.74;65.74;65.74;65.74;81481;0
02.03.2024;09:05;66.25;66.25;66.25;66.25;66.25;137281;0
02.03.2024;10:05;65.79;66.02;64.72;65.18;65.37;4753868;0
02.03.2024;11:05;65.14;66.16;65.09;66.02;65.62;2317781;0
02.03.2024;12:05;66.06;66.53;65.60;65.74;66.06;2338637;0
08.03.2024;09:05;65.46;65.46;65.46;65.46;65.46;365965;0
08.03.2024;10:05;65.42;66.20;64.31;65.83;65.25;8167065;0
08.03.2024;11:05;65.88;66.62;65.88;65.88;66.25;6324866;0
08.03.2024;12:05;65.88;66.34;65.55;66.25;65.95;4612202;0
08.03.2024;13:05;66.02;66.25;65.51;65.83;65.88;1806941;0
08.03.2024;14:05;65.79;66.16;65.65;66.02;65.90;2485014;0
08.03.2024;15:05;66.16;66.25;65.79;66.20;66.02;2145728;0
08.03.2024;16:05;66.20;67.31;65.97;66.90;66.64;13763100;0
08.03.2024;17:05;66.90;67.50;66.43;66.76;66.96;9157321;0
08.03.2024;18:05;66.94;66.94;66.94;66.94;66.94;158556;0
09.03.2024;09:05;66.94;66.94;66.94;66.94;66.94;114826;0
09.03.2024;10:05;66.94;66.94;65.00;65.42;65.97;12440140;0
09.03.2024;11:05;65.42;65.60;65.00;65.00;65.30;3536157;0
09.03.2024;12:05;65.00;65.65;64.77;65.46;65.21;4884319;0
09.03.2024;13:05;65.42;66.34;65.28;66.34;65.81;10460220;0
09.03.2024;14:05;66.34;66.62;65.92;66.11;66.27;4017128;0
09.03.2024;15:05;66.29;66.29;65.69;65.79;65.99;2214924;0
09.03.2024;16:05;65.79;66.53;65.79;66.48;66.16;9584013;0
09.03.2024;17:05;66.53;66.85;65.88;66.57;66.36;9151318;0
09.03.2024;18:05;66.62;66.62;66.62;66.62;66.62;161608;0
10.03.2024;09:05;66.62;66.62;66.62;66.62;66.62;56487;0
10.03.2024;10:05;66.76;67.64;66.25;66.57;66.94;9448601;0
10.03.2024;11:05;66.57;66.71;65.83;65.88;66.27;5126000;0
10.03.2024;12:05;65.83;66.11;65.37;65.51;65.74;3636111;0
10.03.2024;13:05;65.51;65.65;64.91;65.09;65.28;2726007;0
10.03.2024;14:05;65.05;65.28;64.63;64.72;64.95;3455246;0
10.03.2024;15:05;64.81;64.86;64.35;64.49;64.61;3525438;0
10.03.2024;16:05;64.35;64.86;64.31;64.72;64.58;1296131;0
10.03.2024;17:05;64.54;64.95;64.21;64.45;64.58;3121276;0
10.03.2024;18:05;64.72;64.72;64.72;64.72;64.72;225540;0
11.03.2024;09:05;64.72;64.72;64.72;64.72;64.72;24010;0
11.03.2024;10:05;64.86;65.09;64.21;64.26;64.65;4800433;0
11.03.2024;11:05;64.40;64.68;64.17;64.68;64.42;3991999;0
11.03.2024;12:05;64.68;65.23;64.26;64.86;64.75;2582393;0
