Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;09:05;10.90;10.90;10.90;10.90;10.90;27294;0
26.02.2024;10:05;10.90;11.00;10.71;10.82;10.86;6332729;0
26.02.2024;11:05;10.82;10.88;10.75;10.88;10.82;2562746;0
26.02.2024;12:05;10.87;10.88;10.83;10.88;10.86;1262699;0
26.02.2024;13:05;10.88;10.94;10.84;10.90;10.89;1810035;0
26.02.2024;14:05;10.88;10.89;10.79;10.79;10.84;1046680;0
26.02.2024;15:05;10.80;10.80;10.65;10.68;10.72;4187421;0
26.02.2024;16:05;10.68;10.71;10.37;10.56;10.54;3124565;0
26.02.2024;17:05;10.60;10.86;10.47;10.86;10.66;3766030;0
26.02.2024;18:05;10.87;10.87;10.87;10.87;10.87;873068;0
27.02.2024;09:05;10.86;10.86;10.86;10.86;10.86;515807;0
27.02.2024;10:05;10.86;11.07;10.82;11.03;10.94;12110730;0
27.02.2024;11:05;11.03;11.03;10.86;10.94;10.94;6398534;0
27.02.2024;12:05;10.92;10.98;10.91;10.93;10.94;1072853;0
27.02.2024;13:05;10.93;10.97;10.89;10.89;10.93;927967;0
27.02.2024;14:05;10.92;11.00;10.92;10.96;10.96;1963696;0
27.02.2024;15:05;10.97;11.04;10.96;11.02;11.00;2520833;0
27.02.2024;16:05;11.02;11.08;11.01;11.05;11.05;4691228;0
27.02.2024;17:05;11.05;11.07;10.99;11.05;11.03;8242082;0
27.02.2024;18:05;11.03;11.03;11.03;11.03;11.03;1956540;0
01.03.2024;09:05;11.06;11.06;11.06;11.06;11.06;147319;0
01.03.2024;10:05;11.08;11.19;11.04;11.14;11.11;10964350;0
01.03.2024;11:05;11.16;11.18;11.04;11.10;11.11;7975961;0
01.03.2024;12:05;11.12;11.19;11.06;11.14;11.12;6088118;0
01.03.2024;13:05;11.14;11.16;11.08;11.12;11.12;5161757;0
01.03.2024;14:05;11.10;11.13;10.81;10.86;10.97;11629890;0
01.03.2024;15:05;10.86;10.95;10.79;10.87;10.87;12350760;0
01.03.2024;16:05;10.87;10.99;10.86;10.94;10.92;3918436;0
01.03.2024;17:05;10.94;11.12;10.93;11.10;11.03;10456240;0
01.03.2024;18:05;11.12;11.12;11.12;11.12;11.12;264804;0
02.03.2024;09:05;11.12;11.12;11.12;11.12;11.12;76817;0
02.03.2024;10:05;11.13;11.13;10.94;11.03;11.03;10171710;0
02.03.2024;11:05;11.02;11.17;10.97;11.14;11.07;7432537;0
02.03.2024;12:05;11.15;11.18;11.08;11.18;11.13;9976794;0
08.03.2024;09:05;11.13;11.13;11.13;11.13;11.13;237497;0
08.03.2024;10:05;11.12;11.13;10.93;11.09;11.03;10175510;0
08.03.2024;11:05;11.09;11.18;11.06;11.06;11.12;8371538;0
08.03.2024;12:05;11.06;11.10;10.96;11.05;11.03;4286894;0
08.03.2024;13:05;11.05;11.08;10.99;11.02;11.03;3947472;0
08.03.2024;14:05;11.02;11.05;10.97;11.04;11.01;2938071;0
08.03.2024;15:05;11.04;11.04;10.99;11.00;11.01;2342663;0
08.03.2024;16:05;10.99;11.11;10.99;11.06;11.05;2601015;0
08.03.2024;17:05;11.06;11.13;11.00;11.07;11.07;7970557;0
08.03.2024;18:05;11.00;11.00;11.00;11.00;11.00;234256;0
09.03.2024;09:05;11.05;11.05;11.05;11.05;11.05;59316;0
09.03.2024;10:05;11.05;11.14;10.76;10.76;10.95;21238060;0
09.03.2024;11:05;10.76;10.83;10.67;10.68;10.75;14843910;0
09.03.2024;12:05;10.70;10.70;10.44;10.48;10.57;10175510;0
09.03.2024;13:05;10.48;10.59;10.44;10.58;10.51;9397133;0
09.03.2024;14:05;10.59;10.62;10.52;10.60;10.57;5591227;0
09.03.2024;15:05;10.60;10.60;10.47;10.49;10.54;5980249;0
09.03.2024;16:05;10.47;10.53;10.46;10.51;10.49;2785527;0
09.03.2024;17:05;10.51;10.92;10.51;10.90;10.72;22786000;0
09.03.2024;18:05;10.90;10.90;10.90;10.90;10.90;1282581;0
10.03.2024;09:05;10.91;10.91;10.91;10.91;10.91;158719;0
10.03.2024;10:05;10.93;11.17;10.90;11.00;11.03;16088680;0
10.03.2024;11:05;11.00;11.06;10.92;10.92;10.99;4733403;0
10.03.2024;12:05;10.92;11.10;10.92;11.07;11.01;6953239;0
10.03.2024;13:05;11.07;11.13;11.03;11.09;11.08;9180271;0
10.03.2024;14:05;11.12;11.12;10.98;11.03;11.05;6162940;0
10.03.2024;15:05;11.01;11.11;10.98;11.01;11.04;4544018;0
10.03.2024;16:05;11.01;11.02;10.93;10.98;10.98;4135487;0
10.03.2024;17:05;10.98;11.37;10.97;11.37;11.17;28622280;0
10.03.2024;18:05;11.50;11.50;11.50;11.50;11.50;1185190;0
11.03.2024;09:05;11.61;11.61;11.61;11.61;11.61;358316;0
11.03.2024;10:05;11.57;11.75;11.45;11.70;11.60;22612830;0
11.03.2024;11:05;11.69;11.80;11.54;11.79;11.67;14004700;0
11.03.2024;12:05;11.80;11.81;11.63;11.77;11.72;9051448;0
11.03.2024;13:05;11.77;11.84;11.74;11.84;11.79;6396173;0
11.03.2024;14:05;11.83;12.00;11.78;11.89;11.89;7254838;0
11.03.2024;15:05;11.89;12.02;11.88;11.92;11.95;7458735;0
