Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;76.01;76.01;76.01;76.01;76.01;201936;0
27.02.2024;10:05;76.10;77.55;76.10;77.12;76.83;11414310;0
27.02.2024;11:05;77.12;77.22;76.64;76.88;76.93;4806143;0
27.02.2024;12:05;76.88;77.17;76.44;76.88;76.81;6248913;0
27.02.2024;13:05;76.88;76.97;76.25;76.59;76.61;4887012;0
27.02.2024;14:05;76.54;77.22;76.25;76.88;76.73;9134722;0
27.02.2024;15:05;76.88;77.26;76.54;77.22;76.90;8919961;0
27.02.2024;16:05;77.12;78.34;77.02;78.19;77.68;13000290;0
27.02.2024;17:05;78.19;79.40;78.14;79.21;78.77;18634960;0
27.02.2024;18:05;79.01;79.01;79.01;79.01;79.01;2024093;0
01.03.2024;09:05;80.67;80.67;80.67;80.67;80.67;331652;0
01.03.2024;10:05;80.67;81.05;79.64;81.05;80.35;18328510;0
01.03.2024;11:05;81.01;81.30;80.33;80.72;80.81;10047500;0
01.03.2024;12:05;80.72;80.91;80.47;80.67;80.69;4115513;0
01.03.2024;13:05;80.67;80.81;80.57;80.72;80.69;4162794;0
01.03.2024;14:05;80.72;80.81;80.03;80.28;80.42;6161266;0
01.03.2024;15:05;80.33;80.62;79.93;80.52;80.28;6236804;0
01.03.2024;16:05;80.47;80.76;80.14;80.62;80.45;6628799;0
01.03.2024;17:05;80.62;83.05;80.23;82.61;81.64;33718608;0
01.03.2024;18:05;82.90;82.90;82.90;82.90;82.90;1326945;0
02.03.2024;09:05;82.90;82.90;82.90;82.90;82.90;323154;0
02.03.2024;10:05;82.95;84.26;80.72;81.01;82.49;20461270;0
02.03.2024;11:05;81.01;81.88;80.81;81.73;81.34;11720110;0
02.03.2024;12:05;81.73;82.17;81.44;81.44;81.80;8767708;0
08.03.2024;09:05;81.34;81.34;81.34;81.34;81.34;1213927;0
08.03.2024;10:05;81.25;81.25;79.30;79.93;80.28;24253610;0
08.03.2024;11:05;79.88;80.76;79.79;80.03;80.28;7873548;0
08.03.2024;12:05;80.03;80.23;79.59;79.98;79.91;5657053;0
08.03.2024;13:05;79.93;79.98;79.11;79.11;79.55;8002247;0
08.03.2024;14:05;79.16;79.45;78.92;79.30;79.18;4957336;0
08.03.2024;15:05;79.30;79.45;78.92;79.35;79.18;4874699;0
08.03.2024;16:05;79.30;79.64;79.11;79.11;79.38;5226889;0
08.03.2024;17:05;79.11;80.57;78.68;79.35;79.62;13439610;0
08.03.2024;18:05;80.67;80.67;80.67;80.67;80.67;2016754;0
09.03.2024;09:05;80.57;80.57;80.57;80.57;80.57;329759;0
09.03.2024;10:05;80.52;80.57;77.95;78.14;79.26;16768710;0
09.03.2024;11:05;78.14;78.48;77.95;77.95;78.22;5544575;0
09.03.2024;12:05;77.95;78.00;77.66;77.90;77.83;4886391;0
09.03.2024;13:05;78.00;78.19;77.76;78.19;77.98;4391223;0
09.03.2024;14:05;78.24;79.11;77.85;78.48;78.48;5240823;0
09.03.2024;15:05;78.48;78.92;78.29;78.29;78.60;5778838;0
09.03.2024;16:05;78.43;78.43;77.95;78.10;78.19;4051497;0
09.03.2024;17:05;78.10;78.68;77.85;78.29;78.27;6853968;0
09.03.2024;18:05;78.48;78.48;78.48;78.48;78.48;958719;0
10.03.2024;09:05;78.48;78.48;78.48;78.48;78.48;226703;0
10.03.2024;10:05;78.58;79.59;78.58;79.30;79.09;11044460;0
10.03.2024;11:05;79.35;79.69;78.92;79.06;79.30;7023345;0
10.03.2024;12:05;79.06;80.03;79.06;79.69;79.55;9691991;0
10.03.2024;13:05;79.69;81.10;79.64;80.86;80.37;13939200;0
10.03.2024;14:05;80.76;81.83;80.62;81.68;81.22;21801060;0
10.03.2024;15:05;81.63;81.88;81.10;81.25;81.49;14187470;0
10.03.2024;16:05;81.25;81.83;81.05;81.25;81.44;9694231;0
10.03.2024;17:05;81.25;81.63;81.01;81.10;81.32;9624011;0
10.03.2024;18:05;81.34;81.34;81.34;81.34;81.34;999902;0
11.03.2024;09:05;81.34;81.34;81.34;81.34;81.34;410536;0
11.03.2024;10:05;81.34;82.51;80.33;80.38;81.42;20215540;0
11.03.2024;11:05;80.38;82.76;80.28;82.26;81.52;16968260;0
11.03.2024;12:05;82.26;82.85;82.07;82.36;82.46;15017900;0
11.03.2024;13:05;82.51;82.51;81.97;82.21;82.24;9778076;0
11.03.2024;14:05;82.26;82.46;81.92;81.97;82.19;2766083;0
11.03.2024;15:05;81.97;82.41;81.97;82.07;82.19;6441871;0
11.03.2024;16:05;82.12;82.66;81.97;82.02;82.32;31246180;0
11.03.2024;17:05;82.02;82.95;81.83;82.76;82.39;16830640;0
11.03.2024;18:05;82.76;82.76;82.76;82.76;82.76;787113;0
12.03.2024;09:05;82.56;82.56;82.56;82.56;82.56;562181;0
12.03.2024;10:05;82.51;82.76;81.54;81.88;82.15;29571000;0
12.03.2024;11:05;81.78;83.72;81.54;83.72;82.63;16893680;0
12.03.2024;12:05;83.72;84.93;83.58;84.45;84.26;29716970;0
12.03.2024;13:05;84.45;84.50;83.87;83.87;84.18;5968387;0
12.03.2024;14:05;83.87;84.16;83.67;83.87;83.92;4811617;0
12.03.2024;15:05;83.87;84.50;83.87;84.06;84.18;8188895;0
12.03.2024;16:05;84.01;84.11;82.31;82.46;83.21;19744710;0
12.03.2024;17:05;82.46;82.66;82.12;82.17;82.39;11009890;0
12.03.2024;18:05;82.21;82.21;82.21;82.21;82.21;1310563;0
15.03.2024;09:05;82.46;82.46;82.46;82.46;82.46;492200;0
15.03.2024;10:05;82.46;84.21;82.46;84.06;83.33;22005810;0
15.03.2024;11:05;84.01;85.23;83.72;85.04;84.48;17086150;0
15.03.2024;12:05;85.13;85.23;84.11;84.21;84.67;7652664;0
15.03.2024;13:05;84.21;84.64;83.58;83.82;84.11;6690395;0
15.03.2024;14:05;83.87;86.39;83.63;86.20;85.01;18063510;0
15.03.2024;15:05;86.15;90.42;85.72;88.48;88.07;57848592;0
15.03.2024;16:05;88.48;89.50;87.90;88.87;88.70;31816320;0
15.03.2024;17:05;88.96;90.28;87.80;88.34;89.04;32443390;0
15.03.2024;18:05;88.34;88.34;88.34;88.34;88.34;2262988;0
17.03.2024;09:05;88.43;88.43;88.43;88.43;88.43;691996;0
17.03.2024;10:05;88.43;93.00;88.38;90.28;90.69;55873112;0
17.03.2024;11:05;90.28;90.52;89.40;89.59;89.96;19725960;0
17.03.2024;12:05;89.59;90.62;88.34;90.42;89.48;12048500;0
17.03.2024;13:05;90.47;90.47;88.34;88.58;89.40;8981384;0
17.03.2024;14:05;88.58;89.30;87.36;87.47;88.33;7690488;0
17.03.2024;15:05;87.47;90.28;86.49;90.18;88.38;15774840;0
17.03.2024;16:05;90.28;90.52;89.59;90.28;90.06;18346940;0
17.03.2024;17:05;90.23;92.51;90.23;92.26;91.37;48917460;0
17.03.2024;18:05;92.71;92.71;92.71;92.71;92.71;2714206;0
18.03.2024;09:05;92.21;92.21;92.21;92.21;92.21;693405;0
18.03.2024;10:05;91.78;92.21;89.79;89.94;91.00;18319970;0
