Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;13:05;99.30;99.45;98.65;98.65;99.05;726766;0
26.02.2024;14:05;98.80;99.45;98.00;98.40;98.72;1062247;0
26.02.2024;15:05;98.45;98.55;96.35;96.60;97.45;2306818;0
26.02.2024;16:05;96.50;99.00;96.00;96.25;97.50;1803062;0
26.02.2024;17:05;96.30;96.65;95.40;95.45;96.03;1266558;0
26.02.2024;18:05;95.20;95.20;95.20;95.20;95.20;19040;0
27.02.2024;09:05;94.15;94.15;94.15;94.15;94.15;70048;0
27.02.2024;10:05;94.55;97.25;94.55;96.60;95.90;2618237;0
27.02.2024;11:05;96.60;97.95;96.55;97.00;97.25;546545;0
27.02.2024;12:05;97.00;97.05;96.25;96.40;96.65;576715;0
27.02.2024;13:05;96.40;96.75;95.80;96.00;96.28;1035842;0
27.02.2024;14:05;96.00;97.70;96.00;97.55;96.85;671758;0
27.02.2024;15:05;97.55;97.80;97.00;97.00;97.40;674015;0
27.02.2024;16:05;97.55;100.00;97.00;98.35;98.50;2578657;0
27.02.2024;17:05;98.40;103.50;98.40;100.30;100.95;4463542;0
27.02.2024;18:05;100.40;100.40;100.40;100.40;100.40;128713;0
01.03.2024;09:05;100.10;100.10;100.10;100.10;100.10;151952;0
01.03.2024;10:05;100.10;104.00;98.50;103.00;101.25;4779931;0
01.03.2024;11:05;103.00;104.50;102.30;103.20;103.40;2222986;0
01.03.2024;12:05;103.20;104.00;102.90;104.00;103.45;701388;0
01.03.2024;13:05;103.70;105.10;103.50;104.80;104.30;2054424;0
01.03.2024;14:05;104.60;107.00;103.40;106.00;105.20;3451593;0
01.03.2024;15:05;106.00;110.40;105.90;109.50;108.15;8266040;0
01.03.2024;16:05;109.50;110.40;109.10;110.40;109.75;4505520;0
01.03.2024;17:05;110.40;110.40;110.40;110.40;110.40;638112;0
02.03.2024;09:05;116.80;116.80;116.80;116.80;116.80;1443531;0
02.03.2024;10:05;116.80;116.80;111.00;112.10;113.90;10571210;0
02.03.2024;11:05;112.30;113.00;110.90;112.70;111.95;5219255;0
02.03.2024;12:05;112.70;112.80;111.00;111.00;111.90;2052180;0
08.03.2024;09:05;106.10;106.10;106.10;106.10;106.10;841585;0
08.03.2024;10:05;106.10;122.10;105.20;122.10;113.65;35177272;0
08.03.2024;11:05;122.10;122.10;122.10;122.10;122.10;1209156;0
08.03.2024;12:05;122.10;122.10;122.10;122.10;122.10;550427;0
08.03.2024;13:05;122.10;122.10;122.10;122.10;122.10;962514;0
08.03.2024;14:05;122.10;122.10;122.10;122.10;122.10;468254;0
08.03.2024;15:05;122.10;122.10;122.10;122.10;122.10;201465;0
08.03.2024;16:05;122.10;122.10;122.10;122.10;122.10;331624;0
08.03.2024;17:05;122.10;122.10;122.10;122.10;122.10;1636506;0
08.03.2024;18:05;122.10;122.10;122.10;122.10;122.10;20879;0
09.03.2024;09:05;123.40;123.40;123.40;123.40;123.40;2798589;0
09.03.2024;10:05;123.40;128.90;117.50;119.50;123.20;56439688;0
