Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
04.04.2021;00:00;7.59;7.59;7.59;7.59;7.59;8483798;0
07.04.2021;00:00;8.34;8.34;7.73;7.80;8.04;224012496;0
08.04.2021;00:00;7.80;7.93;7.71;7.74;7.82;38890940;0
09.04.2021;00:00;7.78;7.87;7.72;7.79;7.79;17364780;0
10.04.2021;00:00;7.78;7.84;7.72;7.84;7.78;12182840;0
11.04.2021;00:00;7.84;8.60;7.82;8.10;8.21;53845272;0
14.04.2021;00:00;8.17;8.26;7.76;7.81;8.01;14061060;0
15.04.2021;00:00;7.79;7.81;7.52;7.57;7.67;10784410;0
16.04.2021;00:00;7.52;7.80;7.52;7.70;7.66;5801999;0
18.04.2021;00:00;7.75;8.32;7.71;8.21;8.01;21964770;0
21.04.2021;00:00;8.13;8.83;8.07;8.65;8.45;19256510;0
28.04.2021;00:00;8.62;9.02;8.45;8.94;8.73;27872560;0
29.04.2021;00:00;8.94;9.42;8.72;8.74;9.07;44913192;0
30.04.2021;00:00;8.74;9.04;8.63;8.96;8.83;13988670;0
01.05.2021;00:00;8.96;9.09;8.75;8.80;8.92;9800598;0
02.05.2021;00:00;8.79;8.81;8.58;8.64;8.69;8281534;0
06.05.2021;00:00;8.64;8.95;8.22;8.57;8.59;10127960;0
07.05.2021;00:00;8.50;8.71;8.50;8.53;8.60;5910675;0
08.05.2021;00:00;8.53;9.15;8.40;8.75;8.77;34328600;0
09.05.2021;00:00;8.74;9.03;8.63;8.75;8.83;16766360;0
10.05.2021;00:00;8.73;9.03;8.73;8.86;8.88;24282900;0
13.05.2021;00:00;8.92;9.09;8.86;8.92;8.97;31855020;0
14.05.2021;00:00;8.97;8.97;8.59;8.62;8.78;21508590;0
15.05.2021;00:00;8.54;8.66;8.18;8.22;8.42;16694130;0
16.05.2021;00:00;8.26;8.36;7.91;8.26;8.14;16890430;0
17.05.2021;00:00;8.30;9.09;8.06;8.56;8.58;111637400;0
20.05.2021;00:00;8.56;8.65;8.18;8.35;8.42;60794032;0
21.05.2021;00:00;8.38;9.19;8.25;9.06;8.72;124956800;0
22.05.2021;00:00;9.29;9.72;9.12;9.37;9.42;152078800;0
23.05.2021;00:00;9.36;9.52;9.14;9.22;9.33;83550640;0
24.05.2021;00:00;9.22;10.13;9.17;10.13;9.65;128287904;0
27.05.2021;00:00;10.29;11.15;10.17;10.35;10.66;252048704;0
28.05.2021;00:00;10.37;10.67;9.96;10.26;10.31;112441696;0
29.05.2021;00:00;10.35;10.48;9.96;10.23;10.22;54015800;0
30.05.2021;00:00;10.32;10.32;9.93;9.97;10.13;31485930;0
31.05.2021;00:00;10.06;10.11;9.70;9.80;9.91;43293480;0
04.06.2021;00:00;9.85;10.27;9.58;10.01;9.93;34885128;0
06.06.2021;00:00;10.01;10.15;9.88;9.91;10.02;21387110;0
07.06.2021;00:00;9.91;10.02;9.75;9.75;9.89;15276450;0
08.06.2021;00:00;9.75;9.80;9.48;9.51;9.64;21666250;0
11.06.2021;00:00;9.45;9.68;9.40;9.51;9.54;22026680;0
