Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.10.2011;00:00;0.04;0.05;0.04;0.05;0.05;2001;0
27.10.2011;00:00;0.06;0.06;0.06;0.06;0.06;80;0
28.10.2011;00:00;0.07;0.07;0.07;0.07;0.07;1770;0
29.10.2011;00:00;0.08;0.09;0.08;0.09;0.09;2557;0
01.11.2011;00:00;0.10;0.11;0.11;0.11;0.11;56;0
02.11.2011;00:00;0.12;0.13;0.13;0.13;0.13;68;0
03.11.2011;00:00;0.15;0.16;0.15;0.16;0.15;245;0
04.11.2011;00:00;0.18;0.20;0.18;0.20;0.19;30935;0
05.11.2011;00:00;0.22;0.22;0.22;0.22;0.22;1112;0
08.11.2011;00:00;0.24;0.26;0.24;0.26;0.25;98323;0
09.11.2011;00:00;0.29;0.32;0.29;0.32;0.30;103209;0
10.11.2011;00:00;0.32;0.35;0.32;0.34;0.33;95852;0
11.11.2011;00:00;0.31;0.31;0.28;0.28;0.30;10310;0
12.11.2011;00:00;0.25;0.25;0.23;0.23;0.24;9493;0
15.11.2011;00:00;0.20;0.20;0.18;0.18;0.19;30414;0
16.11.2011;00:00;0.16;0.16;0.15;0.15;0.16;16374;0
18.11.2011;00:00;0.13;0.13;0.12;0.13;0.13;102363;0
19.11.2011;00:00;0.14;0.16;0.14;0.16;0.15;84916;0
20.11.2011;00:00;0.16;0.16;0.13;0.13;0.15;46746;0
23.11.2011;00:00;0.12;0.12;0.11;0.11;0.11;94135;0
24.11.2011;00:00;0.10;0.10;0.09;0.09;0.10;13647;0
25.11.2011;00:00;0.09;0.09;0.08;0.08;0.08;34764;0
26.11.2011;00:00;0.08;0.09;0.08;0.09;0.09;44119;0
27.11.2011;00:00;0.10;0.11;0.10;0.11;0.11;14264;0
30.11.2011;00:00;0.12;0.13;0.12;0.13;0.13;111535;0
01.12.2011;00:00;0.15;0.15;0.15;0.15;0.15;74151;0
02.12.2011;00:00;0.16;0.18;0.16;0.18;0.17;30379;0
03.12.2011;00:00;0.20;0.22;0.20;0.22;0.21;149035;0
04.12.2011;00:00;0.23;0.23;0.19;0.19;0.21;44611;0
09.12.2011;00:00;0.17;0.17;0.16;0.16;0.17;4977;0
10.12.2011;00:00;0.14;0.14;0.13;0.13;0.13;3014;0
11.12.2011;00:00;0.12;0.14;0.12;0.13;0.13;32482;0
14.12.2011;00:00;0.15;0.16;0.15;0.16;0.16;63963;0
15.12.2011;00:00;0.16;0.16;0.14;0.14;0.15;49074;0
16.12.2011;00:00;0.13;0.13;0.12;0.13;0.13;10671;0
18.12.2011;00:00;0.13;0.14;0.13;0.13;0.13;15236;0
22.12.2011;00:00;0.13;0.13;0.12;0.12;0.13;30503;0
23.12.2011;00:00;0.12;0.13;0.12;0.13;0.12;14244;0
24.12.2011;00:00;0.13;0.13;0.13;0.13;0.13;26331;0
25.12.2011;00:00;0.13;0.13;0.12;0.12;0.13;10286;0
26.12.2011;00:00;0.13;0.13;0.12;0.12;0.12;16588;0
29.12.2011;00:00;0.12;0.12;0.11;0.11;0.12;24172;0
30.12.2011;00:00;0.11;0.11;0.11;0.11;0.11;17592;0
31.12.2011;00:00;0.11;0.13;0.11;0.12;0.12;52048;0
01.01.2012;00:00;0.11;0.11;0.11;0.11;0.11;40009;0
02.01.2012;00:00;0.11;0.11;0.11;0.11;0.11;48634;0
05.01.2012;00:00;0.11;0.11;0.11;0.11;0.11;19787;0
06.01.2012;00:00;0.11;0.11;0.11;0.11;0.11;11838;0
07.01.2012;00:00;0.11;0.11;0.10;0.10;0.11;5452;0
08.01.2012;00:00;0.11;0.11;0.10;0.10;0.11;1265;0
09.01.2012;00:00;0.10;0.10;0.10;0.10;0.10;10833;0
12.01.2012;00:00;0.10;0.10;0.10;0.10;0.10;18861;0
13.01.2012;00:00;0.09;0.09;0.09;0.09;0.09;8009;0
14.01.2012;00:00;0.09;0.09;0.08;0.08;0.08;16773;0
15.01.2012;00:00;0.09;0.10;0.09;0.10;0.09;28555;0
16.01.2012;00:00;0.09;0.09;0.09;0.09;0.09;20694;0
21.01.2012;00:00;0.09;0.09;0.09;0.09;0.09;10887;0
22.01.2012;00:00;0.08;0.09;0.08;0.09;0.08;26132;0
23.01.2012;00:00;0.09;0.09;0.09;0.09;0.09;9746;0
24.01.2012;00:00;0.08;0.08;0.08;0.08;0.08;11384;0
25.01.2012;00:00;0.09;0.09;0.07;0.08;0.08;3131;0
28.01.2012;00:00;0.08;0.08;0.08;0.08;0.08;4631;0
29.01.2012;00:00;0.08;0.08;0.07;0.08;0.08;13275;0
30.01.2012;00:00;0.07;0.07;0.07;0.07;0.07;14838;0
31.01.2012;00:00;0.07;0.07;0.07;0.07;0.07;2115;0
01.02.2012;00:00;0.07;0.07;0.07;0.07;0.07;2318;0
04.02.2012;00:00;0.07;0.08;0.07;0.08;0.07;12134;0
05.02.2012;00:00;0.08;0.08;0.07;0.07;0.08;6768;0
06.02.2012;00:00;0.07;0.07;0.07;0.07;0.07;5949;0
07.02.2012;00:00;0.07;0.07;0.07;0.07;0.07;5548;0
08.02.2012;00:00;0.07;0.07;0.07;0.07;0.07;8168;0
11.02.2012;00:00;0.07;0.07;0.07;0.07;0.07;340;0
12.02.2012;00:00;0.07;0.07;0.07;0.07;0.07;408;0
19.02.2012;00:00;0.07;0.07;0.07;0.07;0.07;5393;0
20.02.2012;00:00;0.07;0.07;0.07;0.07;0.07;490;0
22.02.2012;00:00;0.07;0.07;0.07;0.07;0.07;70;0
23.02.2012;00:00;0.07;0.07;0.07;0.07;0.07;955;0
26.02.2012;00:00;0.07;0.07;0.07;0.07;0.07;782;0
27.02.2012;00:00;0.06;0.06;0.06;0.06;0.06;436;0
28.02.2012;00:00;0.06;0.06;0.06;0.06;0.06;1738;0
29.02.2012;00:00;0.06;0.06;0.06;0.06;0.06;25;0
01.03.2012;00:00;0.06;0.06;0.06;0.06;0.06;1175;0
04.03.2012;00:00;0.06;0.06;0.06;0.06;0.06;2883;0
05.03.2012;00:00;0.06;0.06;0.05;0.05;0.06;2762;0
06.03.2012;00:00;0.05;0.05;0.05;0.05;0.05;12379;0
07.03.2012;00:00;0.05;0.05;0.05;0.05;0.05;24170;0
08.03.2012;00:00;0.05;0.05;0.05;0.05;0.05;12039;0
11.03.2012;00:00;0.05;0.05;0.05;0.05;0.05;3576;0
12.03.2012;00:00;0.05;0.05;0.05;0.05;0.05;1786;0
13.03.2012;00:00;0.05;0.05;0.05;0.05;0.05;1196;0
14.03.2012;00:00;0.05;0.05;0.05;0.05;0.05;1965;0
18.03.2012;00:00;0.05;0.05;0.05;0.05;0.05;1301;0
19.03.2012;00:00;0.05;0.05;0.05;0.05;0.05;5054;0
20.03.2012;00:00;0.05;0.05;0.05;0.05;0.05;184;0
21.03.2012;00:00;0.05;0.05;0.05;0.05;0.05;1632;0
22.03.2012;00:00;0.05;0.05;0.05;0.05;0.05;2582;0
27.03.2012;00:00;0.05;0.05;0.05;0.05;0.05;3840;0
28.03.2012;00:00;0.05;0.05;0.04;0.04;0.05;1212;0
29.03.2012;00:00;0.05;0.05;0.05;0.05;0.05;2171;0
30.03.2012;00:00;0.05;0.05;0.05;0.05;0.05;1419;0
31.03.2012;00:00;0.05;0.05;0.05;0.05;0.05;11269;0
03.04.2012;00:00;0.05;0.06;0.05;0.06;0.05;43744;0
04.04.2012;00:00;0.06;0.07;0.06;0.07;0.06;28894;0
05.04.2012;00:00;0.07;0.08;0.07;0.08;0.08;26765;0
06.04.2012;00:00;0.09;0.10;0.09;0.10;0.09;25994;0
07.04.2012;00:00;0.11;0.12;0.11;0.12;0.11;45577;0
10.04.2012;00:00;0.12;0.12;0.10;0.10;0.11;8286;0
11.04.2012;00:00;0.09;0.09;0.08;0.08;0.09;34734;0
12.04.2012;00:00;0.07;0.07;0.07;0.07;0.07;65145;0
13.04.2012;00:00;0.08;0.08;0.07;0.07;0.08;53209;0
14.04.2012;00:00;0.07;0.08;0.07;0.08;0.08;18506;0
17.04.2012;00:00;0.07;0.08;0.07;0.08;0.08;21013;0
18.04.2012;00:00;0.09;0.09;0.08;0.08;0.08;4477;0
19.04.2012;00:00;0.07;0.09;0.07;0.08;0.08;105765;0
20.04.2012;00:00;0.07;0.07;0.06;0.06;0.07;45747;0
21.04.2012;00:00;0.06;0.07;0.06;0.07;0.06;29326;0
24.04.2012;00:00;0.07;0.07;0.07;0.07;0.07;18718;0
27.04.2012;00:00;0.07;0.07;0.07;0.07;0.07;11802;0
28.04.2012;00:00;0.07;0.07;0.07;0.07;0.07;20408;0
29.04.2012;00:00;0.07;0.07;0.07;0.07;0.07;6463;0
02.05.2012;00:00;0.07;0.07;0.07;0.07;0.07;198;0
04.05.2012;00:00;0.07;0.07;0.07;0.07;0.07;6611;0
05.05.2012;00:00;0.00;0.07;0.07;0.07;0.07;15429;0
06.05.2012;00:00;0.07;0.07;0.07;0.07;0.07;16595;0
09.05.2012;00:00;0.07;0.07;0.07;0.07;0.07;27570;0
10.05.2012;00:00;0.07;0.07;0.07;0.07;0.07;2471;0
11.05.2012;00:00;0.07;0.07;0.07;0.07;0.07;7039;0
12.05.2012;00:00;0.07;0.07;0.07;0.07;0.07;10580;0
13.05.2012;00:00;0.07;0.07;0.07;0.07;0.07;10045;0
16.05.2012;00:00;0.07;0.07;0.07;0.07;0.07;5322;0
17.05.2012;00:00;0.00;0.07;0.07;0.07;0.07;3265;0
18.05.2012;00:00;0.07;0.07;0.07;0.07;0.07;17169;0
20.05.2012;00:00;0.00;0.07;0.07;0.07;0.07;1997;0
23.05.2012;00:00;0.07;0.07;0.07;0.07;0.07;1596;0
24.05.2012;00:00;0.00;0.07;0.07;0.07;0.07;1393;0
25.05.2012;00:00;0.00;0.07;0.07;0.07;0.07;2657;0
