Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
25.01.2025;15:45;15.69;15.70;15.56;15.61;15.63;4832863;0
25.01.2025;16:00;15.61;15.65;15.61;15.65;15.63;898004;0
25.01.2025;16:15;15.65;15.67;15.64;15.66;15.66;432542;0
25.01.2025;16:30;15.66;15.70;15.65;15.70;15.67;1445629;0
25.01.2025;16:45;15.70;15.72;15.68;15.72;15.70;556139;0
25.01.2025;17:00;15.72;15.77;15.69;15.69;15.73;1871870;0
25.01.2025;17:15;15.68;15.72;15.67;15.72;15.70;602676;0
25.01.2025;17:30;15.70;15.79;15.67;15.79;15.73;1530549;0
25.01.2025;17:45;15.79;16.00;15.77;15.89;15.89;8903167;0
25.01.2025;18:00;15.89;15.99;15.82;15.99;15.90;4233490;0
26.01.2025;10:00;16.01;16.01;15.82;15.87;15.91;2487661;0
26.01.2025;10:15;15.86;15.98;15.86;15.97;15.92;1850173;0
26.01.2025;10:30;15.97;16.00;15.97;15.99;15.99;770751;0
26.01.2025;10:45;15.99;16.00;15.97;15.99;15.99;656529;0
26.01.2025;11:00;15.99;15.99;15.94;15.98;15.96;657824;0
26.01.2025;11:15;15.95;15.96;15.89;15.94;15.93;955017;0
26.01.2025;11:30;15.94;15.98;15.94;15.97;15.96;278306;0
26.01.2025;11:45;15.95;15.99;15.94;15.94;15.96;1103224;0
26.01.2025;12:00;15.95;15.97;15.93;15.94;15.95;751566;0
26.01.2025;12:15;15.94;15.94;15.90;15.92;15.92;368944;0
26.01.2025;12:30;15.90;15.93;15.88;15.93;15.91;1377080;0
26.01.2025;12:45;15.93;15.94;15.90;15.94;15.92;829371;0
26.01.2025;13:00;15.94;15.94;15.92;15.94;15.93;479396;0
26.01.2025;13:15;15.94;16.00;15.94;16.00;15.97;1780649;0
26.01.2025;13:30;16.00;16.06;15.99;16.06;16.02;2749363;0
26.01.2025;13:45;16.07;16.10;16.06;16.09;16.08;2199362;0
26.01.2025;14:00;16.09;16.09;15.96;15.97;16.03;2722535;0
26.01.2025;14:15;15.98;16.06;15.97;15.97;16.01;1600389;0
26.01.2025;14:30;15.97;16.11;15.97;16.05;16.04;3189995;0
26.01.2025;14:45;16.05;16.10;15.99;16.00;16.05;2061198;0
26.01.2025;15:00;15.98;16.05;15.98;15.98;16.01;942450;0
26.01.2025;15:15;15.97;16.01;15.96;16.00;15.99;635449;0
26.01.2025;15:30;16.00;16.00;15.95;15.99;15.97;389049;0
26.01.2025;15:45;15.96;16.01;15.94;15.94;15.97;793685;0
26.01.2025;16:00;15.94;15.97;15.91;15.91;15.94;870023;0
26.01.2025;16:15;15.93;15.98;15.80;15.86;15.89;2119838;0
26.01.2025;16:30;15.84;15.87;15.74;15.80;15.80;1787593;0
26.01.2025;16:45;15.81;15.89;15.80;15.80;15.85;1639780;0
26.01.2025;17:00;15.80;15.87;15.74;15.82;15.80;2127014;0
26.01.2025;17:15;15.82;15.82;15.75;15.81;15.78;1098841;0
26.01.2025;17:30;15.80;15.90;15.79;15.86;15.84;1554861;0
26.01.2025;17:45;15.86;15.98;15.83;15.95;15.90;3302168;0
26.01.2025;18:00;15.95;15.95;15.85;15.89;15.90;704478;0
27.01.2025;10:00;15.85;15.85;15.65;15.69;15.75;3223835;0
27.01.2025;10:15;15.69;15.70;15.52;15.58;15.61;2957410;0
27.01.2025;10:30;15.58;15.60;15.54;15.60;15.57;1421551;0
27.01.2025;10:45;15.60;15.65;15.54;15.64;15.59;979868;0
27.01.2025;11:00;15.63;15.65;15.62;15.64;15.63;232996;0
27.01.2025;11:15;15.65;15.65;15.55;15.65;15.60;2869764;0
27.01.2025;11:30;15.65;15.69;15.61;15.65;15.65;1096059;0
27.01.2025;11:45;15.65;15.68;15.63;15.68;15.66;870560;0
27.01.2025;12:00;15.67;15.69;15.65;15.67;15.67;1006977;0
