Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
02.09.2021;00:00;1.65;1.71;1.59;1.67;1.65;407516704;0
03.09.2021;00:00;1.66;1.77;1.65;1.67;1.71;283804288;0
06.09.2021;00:00;1.68;1.70;1.66;1.69;1.68;113445296;0
07.09.2021;00:00;1.70;1.71;1.68;1.69;1.69;77608328;0
10.09.2021;00:00;1.70;1.72;1.69;1.71;1.71;75370944;0
11.09.2021;00:00;1.72;1.73;1.69;1.69;1.71;111508096;0
12.09.2021;00:00;1.70;1.70;1.69;1.70;1.70;14706060;0
15.09.2021;00:00;1.70;1.76;1.69;1.75;1.73;124666600;0
16.09.2021;00:00;1.76;1.78;1.70;1.73;1.74;115097800;0
17.09.2021;00:00;1.73;1.74;1.72;1.73;1.73;49754472;0
18.09.2021;00:00;1.73;1.76;1.72;1.73;1.74;76410432;0
19.09.2021;00:00;1.73;1.75;1.72;1.74;1.74;75066680;0
22.09.2021;00:00;1.74;1.75;1.71;1.72;1.73;76510384;0
23.09.2021;00:00;1.73;1.73;1.70;1.71;1.72;61990632;0
24.09.2021;00:00;1.71;1.73;1.70;1.72;1.72;44248768;0
25.09.2021;00:00;1.73;1.75;1.72;1.74;1.74;52906460;0
26.09.2021;00:00;1.74;1.74;1.68;1.68;1.71;77464976;0
29.09.2021;00:00;1.65;1.71;1.65;1.68;1.68;44032472;0
30.09.2021;00:00;1.70;1.72;1.68;1.69;1.70;32266570;0
01.10.2021;00:00;1.69;1.78;1.69;1.76;1.74;96979616;0
02.10.2021;00:00;1.76;1.77;1.72;1.73;1.75;34481020;0
03.10.2021;00:00;1.74;1.75;1.72;1.72;1.74;32249180;0
06.10.2021;00:00;1.73;1.74;1.71;1.72;1.73;29108960;0
07.10.2021;00:00;1.72;1.73;1.71;1.72;1.72;13312000;0
08.10.2021;00:00;1.71;1.73;1.70;1.72;1.72;32095990;0
09.10.2021;00:00;1.73;1.75;1.63;1.63;1.69;107555800;0
10.10.2021;00:00;1.63;1.65;1.61;1.62;1.63;24512630;0
14.10.2021;00:00;1.63;1.66;1.62;1.63;1.64;20462340;0
15.10.2021;00:00;1.64;1.70;1.63;1.69;1.67;46617808;0
16.10.2021;00:00;1.69;1.69;1.65;1.66;1.67;23251180;0
17.10.2021;00:00;1.66;1.71;1.63;1.64;1.67;81658704;0
18.10.2021;00:00;1.65;1.66;1.63;1.65;1.64;19160190;0
21.10.2021;00:00;1.65;1.66;1.62;1.63;1.64;23158230;0
22.10.2021;00:00;1.64;1.68;1.61;1.68;1.64;50690460;0
23.10.2021;00:00;1.69;1.70;1.63;1.63;1.67;58540080;0
24.10.2021;00:00;1.63;1.65;1.63;1.64;1.64;17758950;0
25.10.2021;00:00;1.64;1.65;1.61;1.62;1.63;27146020;0
28.10.2021;00:00;1.63;1.64;1.60;1.61;1.62;45287560;0
29.10.2021;00:00;1.61;1.63;1.58;1.59;1.61;34375408;0
30.10.2021;00:00;1.59;1.60;1.57;1.59;1.59;34705608;0
31.10.2021;00:00;1.60;1.61;1.58;1.58;1.60;30358490;0
01.11.2021;00:00;1.58;1.59;1.56;1.57;1.57;23474080;0
04.11.2021;00:00;1.58;1.60;1.55;1.55;1.57;25492460;0
05.11.2021;00:00;1.56;1.59;1.54;1.55;1.56;39485440;0
06.11.2021;00:00;1.56;1.57;1.55;1.56;1.56;15677420;0
07.11.2021;00:00;1.56;1.59;1.55;1.57;1.57;21640670;0
08.11.2021;00:00;1.59;1.60;1.57;1.57;1.59;33131460;0
11.11.2021;00:00;1.58;1.66;1.58;1.61;1.62;91701456;0
13.11.2021;00:00;1.62;1.62;1.60;1.61;1.61;20774950;0
14.11.2021;00:00;1.61;1.62;1.58;1.58;1.60;25753810;0
15.11.2021;00:00;1.58;1.61;1.57;1.57;1.59;25460860;0
16.11.2021;00:00;1.58;1.59;1.56;1.58;1.57;25325550;0
19.11.2021;00:00;1.58;1.73;1.57;1.69;1.65;303983392;0
20.11.2021;00:00;1.67;1.75;1.67;1.69;1.71;88079616;0
21.11.2021;00:00;1.71;1.85;1.70;1.85;1.78;205759696;0
22.11.2021;00:00;1.89;2.01;1.72;1.76;1.87;339184800;0
23.11.2021;00:00;1.74;1.93;1.73;1.93;1.83;250213296;0
26.11.2021;00:00;1.99;2.09;1.86;2.03;1.97;277001504;0
27.11.2021;00:00;2.00;2.09;1.95;1.98;2.02;134303392;0
28.11.2021;00:00;1.96;2.02;1.81;1.86;1.91;113506896;0
29.11.2021;00:00;1.87;1.94;1.81;1.86;1.88;82001672;0
30.11.2021;00:00;1.88;1.89;1.79;1.83;1.84;36099420;0
03.12.2021;00:00;1.83;1.86;1.77;1.78;1.81;58467760;0
04.12.2021;00:00;1.73;1.82;1.67;1.76;1.75;56681752;0
05.12.2021;00:00;1.79;1.83;1.73;1.75;1.78;31176040;0
06.12.2021;00:00;1.60;1.65;1.58;1.58;1.62;29650570;0
07.12.2021;00:00;1.60;1.69;1.56;1.66;1.62;39216220;0
10.12.2021;00:00;1.63;1.68;1.59;1.62;1.63;30884850;0
15.12.2021;00:00;1.64;1.72;1.63;1.65;1.68;42304728;0
16.12.2021;00:00;1.66;1.67;1.60;1.61;1.63;27074550;0
17.12.2021;00:00;1.63;1.76;1.61;1.70;1.69;117080800;0
18.12.2021;00:00;1.71;1.73;1.67;1.69;1.70;28571850;0
21.12.2021;00:00;1.68;1.77;1.65;1.73;1.71;48143392;0
22.12.2021;00:00;1.71;1.75;1.70;1.71;1.73;25737590;0
23.12.2021;00:00;1.73;1.75;1.68;1.69;1.71;26421910;0
24.12.2021;00:00;1.69;1.70;1.65;1.66;1.68;21020370;0
25.12.2021;00:00;1.67;1.73;1.65;1.73;1.69;28239600;0
28.12.2021;00:00;1.80;1.87;1.77;1.85;1.82;78583856;0
29.12.2021;00:00;1.87;1.88;1.78;1.79;1.83;98503328;0
30.12.2021;00:00;1.81;1.82;1.75;1.77;1.79;36886900;0
31.12.2021;00:00;1.78;1.82;1.76;1.79;1.79;30756970;0
01.01.2022;00:00;1.79;1.85;1.79;1.85;1.82;54610472;0
04.01.2022;00:00;1.85;1.88;1.80;1.82;1.84;60570720;0
05.01.2022;00:00;1.82;1.85;1.79;1.81;1.82;63979460;0
06.01.2022;00:00;1.81;1.86;1.79;1.80;1.82;68833392;0
07.01.2022;00:00;1.81;1.84;1.81;1.82;1.82;44878660;0
08.01.2022;00:00;1.83;1.83;1.79;1.81;1.81;28715120;0
11.01.2022;00:00;1.81;1.84;1.80;1.84;1.82;49226600;0
12.01.2022;00:00;1.85;1.90;1.83;1.83;1.87;72080144;0
13.01.2022;00:00;1.84;1.85;1.80;1.81;1.82;31274460;0
14.01.2022;00:00;1.82;1.83;1.80;1.81;1.81;22887860;0
16.01.2022;00:00;1.81;1.86;1.81;1.84;1.83;61597020;0
19.01.2022;00:00;1.85;1.86;1.82;1.83;1.84;47705420;0
20.01.2022;00:00;1.83;1.84;1.81;1.83;1.82;32884860;0
21.01.2022;00:00;1.83;1.84;1.79;1.80;1.81;47481352;0
22.01.2022;00:00;1.81;1.81;1.75;1.76;1.78;90667928;0
23.01.2022;00:00;1.76;1.77;1.74;1.75;1.75;37453100;0
26.01.2022;00:00;1.76;1.79;1.74;1.76;1.76;70197128;0
27.01.2022;00:00;1.76;1.76;1.74;1.74;1.75;34630380;0
28.01.2022;00:00;1.75;1.76;1.69;1.71;1.73;67049472;0
29.01.2022;00:00;1.71;1.72;1.69;1.71;1.71;34231512;0
30.01.2022;00:00;1.71;1.76;1.71;1.73;1.74;50675300;0
02.02.2022;00:00;1.74;1.74;1.71;1.73;1.73;47261152;0
03.02.2022;00:00;1.74;1.76;1.70;1.72;1.73;78609984;0
04.02.2022;00:00;1.73;1.81;1.72;1.78;1.76;155334704;0
05.02.2022;00:00;1.78;1.82;1.77;1.78;1.80;122117504;0
06.02.2022;00:00;1.78;1.79;1.72;1.73;1.75;71122064;0
09.02.2022;00:00;1.72;1.73;1.69;1.70;1.71;28491970;0
10.02.2022;00:00;1.72;1.72;1.64;1.65;1.68;37730752;0
11.02.2022;00:00;1.66;1.67;1.63;1.66;1.65;23520500;0
12.02.2022;00:00;1.67;1.70;1.66;1.68;1.68;21152540;0
13.02.2022;00:00;1.70;1.78;1.68;1.74;1.73;59620920;0
21.02.2022;00:00;1.75;1.76;1.73;1.73;1.75;42401300;0
22.02.2022;00:00;1.73;1.74;1.70;1.71;1.72;31077030;0
25.02.2022;00:00;1.73;1.75;1.71;1.73;1.73;45038072;0
26.02.2022;00:00;1.73;1.75;1.71;1.71;1.73;43696160;0
27.02.2022;00:00;1.72;1.76;1.70;1.75;1.73;89327368;0
28.02.2022;00:00;1.73;1.74;1.66;1.69;1.70;102298496;0
01.03.2022;00:00;1.71;1.73;1.70;1.71;1.72;44261320;0
04.03.2022;00:00;1.71;1.80;1.70;1.75;1.75;137524192;0
05.03.2022;00:00;1.77;1.79;1.73;1.73;1.76;92709128;0
06.03.2022;00:00;1.73;1.74;1.70;1.70;1.72;52895552;0
08.03.2022;00:00;1.70;1.72;1.67;1.67;1.69;49755760;0
11.03.2022;00:00;1.67;1.69;1.65;1.67;1.67;56647800;0
12.03.2022;00:00;1.68;1.71;1.67;1.69;1.69;37152580;0
13.03.2022;00:00;1.70;1.74;1.69;1.69;1.72;62123160;0
14.03.2022;00:00;1.70;1.74;1.70;1.72;1.72;50455240;0
15.03.2022;00:00;1.73;1.75;1.69;1.70;1.72;47481848;0
18.03.2022;00:00;1.71;1.72;1.69;1.70;1.71;41552112;0
19.03.2022;00:00;1.71;1.72;1.70;1.70;1.71;16867540;0
21.03.2022;00:00;1.72;1.72;1.69;1.69;1.71;25591610;0
22.03.2022;00:00;1.70;1.73;1.69;1.70;1.71;63614768;0
23.03.2022;00:00;1.71;1.71;1.68;1.68;1.69;59584008;0
26.03.2022;00:00;1.70;1.81;1.69;1.78;1.75;229542400;0
27.03.2022;00:00;1.78;1.88;1.75;1.84;1.81;257872496;0
28.03.2022;00:00;1.86;1.89;1.75;1.75;1.82;271533696;0
29.03.2022;00:00;1.76;1.92;1.76;1.87;1.84;288591008;0
30.03.2022;00:00;1.86;1.91;1.83;1.87;1.87;146948400;0
02.04.2022;00:00;1.87;1.97;1.85;1.87;1.91;192528096;0
03.04.2022;00:00;1.89;1.91;1.72;1.76;1.81;282102304;0
04.04.2022;00:00;1.78;1.78;1.73;1.73;1.75;74693272;0
05.04.2022;00:00;1.74;1.79;1.71;1.72;1.75;124299904;0
06.04.2022;00:00;1.74;1.77;1.73;1.75;1.75;69795328;0
09.04.2022;00:00;1.77;1.79;1.74;1.77;1.76;104248400;0
10.04.2022;00:00;1.79;1.80;1.77;1.78;1.78;58393248;0
11.04.2022;00:00;1.76;1.77;1.73;1.73;1.75;75684768;0
12.04.2022;00:00;1.73;1.75;1.72;1.73;1.74;55684408;0
13.04.2022;00:00;1.74;1.83;1.73;1.81;1.78;184353792;0
16.04.2022;00:00;1.78;1.82;1.76;1.79;1.79;135444400;0
17.04.2022;00:00;1.81;1.87;1.79;1.85;1.83;196007008;0
18.04.2022;00:00;1.85;1.87;1.73;1.74;1.80;202840704;0
19.04.2022;00:00;1.73;1.76;1.70;1.72;1.73;83541024;0
22.04.2022;00:00;1.73;1.76;1.72;1.74;1.74;63200248;0
25.04.2022;00:00;1.76;1.78;1.70;1.70;1.74;104726496;0
26.04.2022;00:00;1.72;1.73;1.68;1.68;1.70;61018352;0
27.04.2022;00:00;1.70;1.73;1.69;1.71;1.71;59234260;0
28.04.2022;00:00;1.72;1.73;1.70;1.71;1.72;34486928;0
29.04.2022;00:00;1.71;1.73;1.71;1.71;1.72;15350700;0
04.05.2022;00:00;1.71;1.76;1.71;1.72;1.74;75054080;0
05.05.2022;00:00;1.73;1.74;1.71;1.72;1.73;46674300;0
09.05.2022;00:00;1.73;1.76;1.73;1.76;1.75;83076520;0
10.05.2022;00:00;1.76;1.81;1.74;1.80;1.77;128882600;0
11.05.2022;00:00;1.80;1.82;1.78;1.81;1.80;63765792;0
12.05.2022;00:00;1.82;1.84;1.77;1.78;1.81;118528704;0
13.05.2022;00:00;1.79;1.82;1.76;1.77;1.79;118795696;0
16.05.2022;00:00;1.77;1.80;1.77;1.78;1.78;50758768;0
17.05.2022;00:00;1.79;1.80;1.75;1.75;1.77;46238900;0
18.05.2022;00:00;1.76;1.77;1.73;1.75;1.75;59471312;0
19.05.2022;00:00;1.76;1.78;1.74;1.75;1.76;73778352;0
20.05.2022;00:00;1.76;1.76;1.74;1.76;1.75;50947340;0
24.05.2022;00:00;1.76;1.78;1.75;1.77;1.76;49940912;0
25.05.2022;00:00;1.77;1.78;1.73;1.74;1.75;85114816;0
26.05.2022;00:00;1.75;1.76;1.74;1.75;1.75;34767408;0
27.05.2022;00:00;1.76;1.80;1.75;1.79;1.77;154984192;0
28.05.2022;00:00;1.79;1.93;1.78;1.88;1.85;337611904;0
31.05.2022;00:00;1.89;1.93;1.87;1.88;1.90;105949504;0
01.06.2022;00:00;1.88;2.03;1.88;1.99;1.95;554666304;0
02.06.2022;00:00;1.99;2.06;1.95;1.95;2.00;212471104;0
03.06.2022;00:00;1.97;2.02;1.95;2.00;1.99;164716496;0
04.06.2022;00:00;2.01;2.01;1.93;1.95;1.97;92191192;0
07.06.2022;00:00;1.96;2.13;1.94;2.08;2.04;306432704;0
08.06.2022;00:00;2.09;2.13;1.91;2.01;2.02;158805504;0
09.06.2022;00:00;2.03;2.17;2.02;2.11;2.10;147908608;0
10.06.2022;00:00;2.13;2.21;2.07;2.13;2.14;187246000;0
11.06.2022;00:00;2.14;2.15;2.06;2.06;2.11;118737000;0
14.06.2022;00:00;2.07;2.09;2.03;2.04;2.06;74875152;0
15.06.2022;00:00;2.05;2.08;2.02;2.04;2.05;84388360;0
16.06.2022;00:00;2.05;2.05;1.97;1.97;2.01;107355400;0
17.06.2022;00:00;1.98;2.07;1.98;2.02;2.02;106484496;0
18.06.2022;00:00;2.03;2.20;2.03;2.16;2.12;238199600;0
21.06.2022;00:00;2.16;2.36;2.09;2.13;2.22;379213792;0
23.06.2022;00:00;2.15;2.28;2.13;2.23;2.21;153294208;0
25.06.2022;00:00;2.23;2.36;2.21;2.32;2.28;134639392;0
26.06.2022;00:00;2.32;2.50;2.31;2.44;2.40;166681200;0
29.06.2022;00:00;2.45;2.50;2.25;2.27;2.38;224501296;0
30.06.2022;00:00;2.30;2.42;2.28;2.33;2.35;323331392;0
01.07.2022;00:00;2.33;2.36;2.26;2.26;2.31;119345000;0
02.07.2022;00:00;2.28;2.36;2.26;2.26;2.31;177734704;0
03.07.2022;00:00;2.27;2.31;2.26;2.27;2.28;78847856;0
06.07.2022;00:00;2.29;2.36;2.24;2.32;2.30;168241904;0
07.07.2022;00:00;2.33;2.46;2.24;2.38;2.35;253808800;0
08.07.2022;00:00;2.38;2.44;2.33;2.40;2.38;127357200;0
09.07.2022;00:00;2.43;2.60;2.41;2.50;2.50;196944704;0
10.07.2022;00:00;2.51;2.75;2.47;2.65;2.61;164640800;0
13.07.2022;00:00;2.65;2.77;2.60;2.60;2.68;95828608;0
14.07.2022;00:00;2.62;2.73;2.58;2.61;2.65;109350200;0
15.07.2022;00:00;2.63;2.65;2.48;2.49;2.57;87809264;0
16.07.2022;00:00;2.52;2.64;2.49;2.64;2.57;126838600;0
17.07.2022;00:00;2.66;2.83;2.66;2.76;2.75;153567008;0
20.07.2022;00:00;2.78;2.95;2.77;2.90;2.86;116587200;0
21.07.2022;00:00;2.96;3.03;2.81;2.86;2.92;133670000;0
22.07.2022;00:00;2.89;2.90;2.71;2.73;2.81;73134144;0
23.07.2022;00:00;2.75;2.94;2.72;2.87;2.83;158144496;0
24.07.2022;00:00;2.94;2.98;2.82;2.87;2.90;90953616;0
29.07.2022;00:00;2.88;2.93;2.84;2.90;2.88;107428096;0
30.07.2022;00:00;2.97;3.08;2.92;3.08;3.00;171863600;0
31.07.2022;00:00;3.09;3.19;2.98;3.00;3.09;188250304;0
01.08.2022;00:00;3.03;3.08;2.94;3.04;3.01;163191808;0
02.08.2022;00:00;3.04;3.09;3.02;3.04;3.05;76514336;0
