Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
25.02.2024;18:05;2077.00;2077.00;2077.00;2077.00;2077.00;558713;0
26.02.2024;09:05;2080.00;2080.00;2080.00;2080.00;2080.00;114400;0
26.02.2024;10:05;2084.00;2115.00;2038.00;2049.00;2076.50;16118820;0
26.02.2024;11:05;2049.00;2068.00;2042.00;2060.00;2055.00;5144927;0
26.02.2024;12:05;2063.00;2100.00;2059.00;2093.00;2079.50;5413369;0
26.02.2024;13:05;2093.00;2117.00;2075.00;2075.00;2096.00;8428212;0
26.02.2024;14:05;2075.00;2090.00;2062.00;2065.00;2076.00;5166820;0
26.02.2024;15:05;2069.00;2069.00;2042.00;2043.00;2055.50;8012209;0
26.02.2024;16:05;2048.00;2053.00;2033.00;2036.00;2043.00;3261957;0
26.02.2024;17:05;2036.00;2044.00;2028.00;2032.00;2036.00;4158369;0
26.02.2024;18:05;2031.00;2031.00;2031.00;2031.00;2031.00;296526;0
27.02.2024;09:05;2059.00;2059.00;2059.00;2059.00;2059.00;51475;0
27.02.2024;10:05;2059.00;2087.00;2039.00;2077.00;2063.00;12845730;0
27.02.2024;11:05;2076.00;2086.00;2061.00;2070.00;2073.50;5593530;0
27.02.2024;12:05;2070.00;2083.00;2066.00;2069.00;2074.50;3677349;0
27.02.2024;13:05;2078.00;2093.00;2069.00;2092.00;2081.00;5352891;0
27.02.2024;14:05;2092.00;2148.00;2090.00;2115.00;2119.00;20490540;0
27.02.2024;15:05;2116.00;2129.00;2098.00;2125.00;2113.50;6233280;0
27.02.2024;16:05;2125.00;2133.00;2107.00;2123.00;2120.00;4758687;0
27.02.2024;17:05;2123.00;2180.00;2120.00;2140.00;2150.00;11283230;0
27.02.2024;18:05;2140.00;2140.00;2140.00;2140.00;2140.00;214000;0
01.03.2024;09:05;2140.00;2140.00;2140.00;2140.00;2140.00;883820;0
01.03.2024;10:05;2154.00;2207.00;2115.00;2202.00;2161.00;22114370;0
01.03.2024;11:05;2202.00;2202.00;2160.00;2160.00;2181.00;7928553;0
01.03.2024;12:05;2161.00;2185.00;2155.00;2169.00;2170.00;8729705;0
01.03.2024;13:05;2169.00;2203.00;2165.00;2180.00;2184.00;7706960;0
01.03.2024;14:05;2182.00;2185.00;2175.00;2182.00;2180.00;3255030;0
01.03.2024;15:05;2182.00;2210.00;2176.00;2207.00;2193.00;6995932;0
01.03.2024;16:05;2206.00;2235.00;2197.00;2209.00;2216.00;10414250;0
01.03.2024;17:05;2209.00;2231.00;2186.00;2224.00;2208.50;12156380;0
01.03.2024;18:05;2214.00;2214.00;2214.00;2214.00;2214.00;108486;0
02.03.2024;09:05;2214.00;2214.00;2214.00;2214.00;2214.00;283392;0
02.03.2024;10:05;2214.00;2220.00;2150.00;2202.00;2185.00;14125740;0
02.03.2024;11:05;2202.00;2248.00;2202.00;2223.00;2225.00;14857250;0
02.03.2024;12:05;2227.00;2250.00;2223.00;2233.00;2236.50;5987944;0
08.03.2024;09:05;2204.00;2204.00;2204.00;2204.00;2204.00;897028;0
08.03.2024;10:05;2200.00;2249.00;2122.00;2223.00;2185.50;23364010;0
08.03.2024;11:05;2223.00;2260.00;2211.00;2237.00;2235.50;11539030;0
08.03.2024;12:05;2237.00;2260.00;2226.00;2250.00;2243.00;10981230;0
08.03.2024;13:05;2248.00;2280.00;2243.00;2257.00;2261.50;9151572;0
08.03.2024;14:05;2257.00;2271.00;2229.00;2268.00;2250.00;9970364;0
08.03.2024;15:05;2261.00;2270.00;2230.00;2231.00;2250.00;8772669;0
08.03.2024;16:05;2231.00;2244.00;2215.00;2220.00;2229.50;7308465;0
08.03.2024;17:05;2220.00;2235.00;2206.00;2231.00;2220.50;9974440;0
08.03.2024;18:05;2230.00;2230.00;2230.00;2230.00;2230.00;176170;0
09.03.2024;09:05;2229.00;2229.00;2229.00;2229.00;2229.00;64641;0
09.03.2024;10:05;2225.00;2225.00;2121.00;2127.00;2173.00;26651720;0
09.03.2024;11:05;2129.00;2150.00;2091.00;2098.00;2120.50;11831830;0
09.03.2024;12:05;2101.00;2110.00;2087.00;2105.00;2098.50;10621470;0
09.03.2024;13:05;2105.00;2109.00;2091.00;2105.00;2100.00;4735929;0
09.03.2024;14:05;2108.00;2130.00;2092.00;2126.00;2111.00;8502281;0
09.03.2024;15:05;2124.00;2140.00;2113.00;2113.00;2126.50;4961520;0
09.03.2024;16:05;2114.00;2116.00;2087.00;2095.00;2101.50;7620113;0
09.03.2024;17:05;2096.00;2117.00;2090.00;2111.00;2103.50;6896103;0
09.03.2024;18:05;2111.00;2111.00;2111.00;2111.00;2111.00;175213;0
10.03.2024;09:05;2080.00;2080.00;2080.00;2080.00;2080.00;730080;0
10.03.2024;10:05;2080.00;2149.00;2080.00;2127.00;2114.50;13021010;0
10.03.2024;11:05;2125.00;2143.00;2110.00;2120.00;2126.50;8804957;0
10.03.2024;12:05;2120.00;2130.00;2100.00;2110.00;2115.00;7420484;0
10.03.2024;13:05;2115.00;2122.00;2100.00;2108.00;2111.00;6296831;0
10.03.2024;14:05;2108.00;2108.00;2090.00;2099.00;2099.00;4013083;0
10.03.2024;15:05;2099.00;2119.00;2091.00;2095.00;2105.00;5613953;0
10.03.2024;16:05;2095.00;2121.00;2095.00;2100.00;2108.00;6752214;0
10.03.2024;17:05;2097.00;2114.00;2090.00;2098.00;2102.00;9796090;0
10.03.2024;18:05;2091.00;2091.00;2091.00;2091.00;2091.00;169371;0
11.03.2024;09:05;2091.00;2091.00;2091.00;2091.00;2091.00;133824;0
11.03.2024;10:05;2091.00;2122.00;2078.00;2080.00;2100.00;11389230;0
11.03.2024;11:05;2080.00;2113.00;2078.00;2103.00;2095.50;13422780;0
11.03.2024;12:05;2103.00;2121.00;2100.00;2102.00;2110.50;6742093;0
11.03.2024;13:05;2102.00;2107.00;2096.00;2100.00;2101.50;3809985;0
11.03.2024;14:05;2106.00;2110.00;2093.00;2095.00;2101.50;4660419;0
11.03.2024;15:05;2099.00;2099.00;2083.00;2090.00;2091.00;5483616;0
11.03.2024;16:05;2090.00;2094.00;2076.00;2090.00;2085.00;4559444;0
11.03.2024;17:05;2090.00;2119.00;2089.00;2107.00;2104.00;10613360;0
11.03.2024;18:05;2106.00;2106.00;2106.00;2106.00;2106.00;86346;0
12.03.2024;09:05;2100.00;2100.00;2100.00;2100.00;2100.00;98700;0
12.03.2024;10:05;2085.00;2107.00;2065.00;2081.00;2086.00;12007690;0
12.03.2024;11:05;2081.00;2083.00;2061.00;2077.00;2072.00;6910999;0
12.03.2024;12:05;2078.00;2090.00;2074.00;2086.00;2082.00;2496317;0
12.03.2024;13:05;2082.00;2106.00;2082.00;2092.00;2094.00;6693282;0
12.03.2024;14:05;2092.00;2095.00;2082.00;2089.00;2088.50;2833667;0
12.03.2024;15:05;2088.00;2119.00;2084.00;2110.00;2101.50;9003389;0
12.03.2024;16:05;2105.00;2115.00;2099.00;2101.00;2107.00;8458573;0
12.03.2024;17:05;2101.00;2114.00;2100.00;2100.00;2107.00;6946180;0
12.03.2024;18:05;2106.00;2106.00;2106.00;2106.00;2106.00;587574;0
15.03.2024;09:05;2137.00;2137.00;2137.00;2137.00;2137.00;217974;0
15.03.2024;10:05;2137.00;2158.00;2106.00;2157.00;2132.00;16810220;0
15.03.2024;11:05;2151.00;2153.00;2118.00;2135.00;2135.50;10861460;0
15.03.2024;12:05;2129.00;2131.00;2118.00;2120.00;2124.50;4445222;0
