Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;18:05;21.90;21.90;21.90;21.90;21.90;171625;0
27.02.2024;09:05;22.10;22.10;22.10;22.10;22.10;196581;0
27.02.2024;10:05;22.10;22.64;22.04;22.04;22.34;6812512;0
27.02.2024;11:05;22.12;22.30;21.98;21.98;22.14;4643452;0
27.02.2024;12:05;21.98;22.18;21.98;22.06;22.08;2371576;0
27.02.2024;13:05;22.06;22.12;21.92;21.92;22.02;2688602;0
27.02.2024;14:05;21.94;22.14;21.94;22.12;22.04;1324490;0
27.02.2024;15:05;22.14;22.22;22.00;22.12;22.11;1277219;0
27.02.2024;16:05;22.12;22.28;22.08;22.14;22.18;2732042;0
27.02.2024;17:05;22.16;22.46;21.98;22.18;22.22;5720416;0
27.02.2024;18:05;22.18;22.18;22.18;22.18;22.18;142678;0
01.03.2024;09:05;22.18;22.18;22.18;22.18;22.18;135916;0
01.03.2024;10:05;22.18;23.12;22.16;23.06;22.64;7424353;0
01.03.2024;11:05;23.08;23.34;22.90;23.22;23.12;6019455;0
01.03.2024;12:05;23.22;23.36;23.04;23.22;23.20;3095642;0
01.03.2024;13:05;23.16;23.30;23.08;23.28;23.19;1306974;0
01.03.2024;14:05;23.28;23.39;23.20;23.30;23.30;1573720;0
01.03.2024;15:05;23.34;23.85;23.22;23.85;23.53;4161421;0
01.03.2024;16:05;23.79;24.03;23.69;24.03;23.86;3209870;0
01.03.2024;17:05;24.01;24.38;23.81;23.93;24.09;8313088;0
01.03.2024;18:05;23.93;23.93;23.93;23.93;23.93;154310;0
02.03.2024;09:05;24.19;24.19;24.19;24.19;24.19;246476;0
02.03.2024;10:05;24.01;24.57;23.45;24.15;24.01;7995938;0
02.03.2024;11:05;24.13;25.46;24.13;25.22;24.79;12772640;0
02.03.2024;12:05;25.18;25.28;24.97;25.16;25.13;4597435;0
08.03.2024;09:05;24.99;24.99;24.99;24.99;24.99;616331;0
08.03.2024;10:05;24.97;26.37;24.55;25.98;25.46;14469290;0
08.03.2024;11:05;25.98;26.60;25.98;26.54;26.29;6320578;0
08.03.2024;12:05;26.42;27.27;26.29;26.97;26.78;9412904;0
08.03.2024;13:05;26.97;27.19;26.88;27.07;27.04;3252528;0
08.03.2024;14:05;27.09;27.35;26.97;27.27;27.16;4298179;0
08.03.2024;15:05;27.27;27.65;27.25;27.55;27.45;6280726;0
08.03.2024;16:05;27.55;27.67;27.37;27.47;27.52;23215150;0
08.03.2024;17:05;27.47;27.67;26.66;27.27;27.17;26116240;0
08.03.2024;18:05;27.43;27.43;27.43;27.43;27.43;216419;0
09.03.2024;09:05;27.45;27.45;27.45;27.45;27.45;330266;0
09.03.2024;10:05;27.45;28.53;26.54;26.86;27.54;21419730;0
09.03.2024;11:05;26.86;27.80;26.80;26.80;27.30;10519600;0
09.03.2024;12:05;26.84;27.21;26.54;26.99;26.88;4493944;0
09.03.2024;13:05;27.21;27.35;26.99;27.25;27.17;1363135;0
09.03.2024;14:05;27.23;27.55;26.93;27.45;27.24;3837944;0
09.03.2024;15:05;27.35;27.79;27.25;27.41;27.52;4662726;0
09.03.2024;16:05;27.41;27.43;26.88;27.01;27.16;3805489;0
09.03.2024;17:05;27.01;27.41;26.86;27.29;27.14;3599759;0
09.03.2024;18:05;27.29;27.29;27.29;27.29;27.29;303476;0
10.03.2024;09:05;27.29;27.29;27.29;27.29;27.29;194735;0
