Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;9.68;9.69;9.66;9.68;9.67;1984091;0
24.08.2025;11:30;9.68;9.70;9.66;9.67;9.68;4252720;0
24.08.2025;11:45;9.67;9.69;9.65;9.67;9.67;3812646;0
24.08.2025;12:00;9.67;9.70;9.65;9.66;9.67;5660800;0
24.08.2025;12:15;9.66;9.68;9.65;9.67;9.66;6082374;0
24.08.2025;12:30;9.67;9.68;9.63;9.64;9.66;4940636;0
24.08.2025;12:45;9.64;9.64;9.62;9.62;9.63;4706327;0
24.08.2025;13:00;9.63;9.65;9.61;9.65;9.63;2938789;0
24.08.2025;13:15;9.65;9.65;9.62;9.64;9.63;1295359;0
24.08.2025;13:30;9.64;9.64;9.60;9.61;9.62;1767281;0
24.08.2025;13:45;9.61;9.64;9.61;9.63;9.62;1420119;0
24.08.2025;14:00;9.64;9.64;9.59;9.60;9.62;4526095;0
24.08.2025;14:15;9.60;9.62;9.59;9.60;9.61;1388965;0
24.08.2025;14:30;9.60;9.62;9.58;9.60;9.60;3725931;0
24.08.2025;14:45;9.61;9.62;9.60;9.60;9.61;1374779;0
24.08.2025;15:00;9.60;9.63;9.59;9.63;9.61;2683576;0
24.08.2025;15:15;9.63;9.63;9.59;9.61;9.61;1684055;0
24.08.2025;15:30;9.61;9.62;9.59;9.59;9.61;2490053;0
24.08.2025;15:45;9.60;9.60;9.57;9.58;9.59;2916842;0
24.08.2025;16:00;9.58;9.60;9.57;9.59;9.59;2114163;0
24.08.2025;16:15;9.59;9.59;9.53;9.55;9.56;4869156;0
24.08.2025;16:30;9.53;9.57;9.52;9.57;9.55;5738489;0
24.08.2025;16:45;9.57;9.65;9.53;9.60;9.59;9361991;0
24.08.2025;17:00;9.61;9.66;9.58;9.59;9.62;8220156;0
24.08.2025;17:15;9.59;9.65;9.59;9.65;9.62;7452113;0
24.08.2025;17:30;9.65;9.66;9.42;9.50;9.54;19746270;0
24.08.2025;17:45;9.52;9.54;9.42;9.45;9.48;13166529;0
24.08.2025;18:00;9.45;9.46;9.40;9.42;9.43;4758536;0
27.08.2025;10:00;9.20;9.30;9.09;9.27;9.20;16607120;0
27.08.2025;10:15;9.28;9.32;9.24;9.32;9.28;6586885;0
27.08.2025;10:30;9.32;9.33;9.22;9.25;9.28;3590853;0
27.08.2025;10:45;9.24;9.30;9.23;9.27;9.26;3030461;0
27.08.2025;11:00;9.27;9.30;9.23;9.27;9.26;4444681;0
27.08.2025;11:15;9.28;9.28;9.21;9.23;9.24;3042086;0
27.08.2025;11:30;9.24;9.24;9.21;9.23;9.22;2673743;0
27.08.2025;11:45;9.23;9.26;9.21;9.24;9.24;939441;0
27.08.2025;12:00;9.24;9.24;9.19;9.21;9.21;2424763;0
27.08.2025;12:15;9.21;9.23;9.19;9.23;9.21;3596687;0
27.08.2025;12:30;9.23;9.23;9.19;9.22;9.21;1802706;0
27.08.2025;12:45;9.22;9.26;9.22;9.26;9.24;1384703;0
27.08.2025;13:00;9.25;9.27;9.22;9.25;9.25;1639241;0
27.08.2025;13:15;9.24;9.25;9.20;9.22;9.22;1165834;0
27.08.2025;13:30;9.22;9.24;9.21;9.23;9.22;440547;0
27.08.2025;13:45;9.23;9.23;9.20;9.23;9.21;1398362;0
27.08.2025;14:00;9.23;9.25;9.22;9.24;9.24;1303986;0
27.08.2025;14:15;9.24;9.26;9.21;9.22;9.24;1266774;0
27.08.2025;14:30;9.22;9.23;9.18;9.19;9.20;1868034;0
27.08.2025;14:45;9.19;9.21;9.14;9.15;9.18;4811622;0
27.08.2025;15:00;9.15;9.18;9.12;9.16;9.15;2506722;0
27.08.2025;15:15;9.16;9.19;9.14;9.14;9.16;2169829;0
27.08.2025;15:30;9.15;9.15;9.08;9.09;9.11;7817212;0
27.08.2025;15:45;9.09;9.11;9.05;9.09;9.08;2790383;0
27.08.2025;16:00;9.11;9.14;9.09;9.11;9.12;1601729;0
27.08.2025;16:15;9.11;9.13;9.08;9.13;9.11;2384846;0
27.08.2025;16:30;9.12;9.13;9.09;9.11;9.11;1650166;0
27.08.2025;16:45;9.11;9.15;9.10;9.15;9.12;3168552;0
27.08.2025;17:00;9.15;9.16;9.12;9.14;9.14;1795180;0
27.08.2025;17:15;9.12;9.19;9.10;9.14;9.14;2816883;0
27.08.2025;17:30;9.15;9.15;9.06;9.10;9.11;4434681;0
27.08.2025;17:45;9.10;9.12;9.06;9.08;9.09;5440600;0
27.08.2025;18:00;9.08;9.10;9.07;9.07;9.09;2041114;0
28.08.2025;10:00;9.08;9.24;9.08;9.20;9.16;8036071;0
28.08.2025;10:15;9.20;9.21;9.10;9.17;9.16;4841420;0
28.08.2025;10:30;9.17;9.23;9.17;9.22;9.20;4948566;0
28.08.2025;10:45;9.21;9.23;9.14;9.14;9.18;4622712;0
28.08.2025;11:00;9.14;9.15;9.13;9.14;9.14;1953779;0
28.08.2025;11:15;9.14;9.15;9.11;9.12;9.13;1233938;0
28.08.2025;11:30;9.11;9.14;9.10;9.13;9.12;1720242;0
28.08.2025;11:45;9.13;9.15;9.11;9.14;9.13;1055884;0
28.08.2025;12:00;9.14;9.17;9.13;9.16;9.15;2015512;0
28.08.2025;12:15;9.16;9.21;9.15;9.18;9.18;2362602;0
28.08.2025;12:30;9.18;9.18;9.16;9.18;9.17;588220;0
28.08.2025;12:45;9.18;9.18;9.13;9.14;9.16;2653007;0
28.08.2025;13:00;9.14;9.16;9.14;9.14;9.15;1030285;0
28.08.2025;13:15;9.15;9.19;9.14;9.18;9.16;2860581;0
28.08.2025;13:30;9.18;9.19;9.15;9.16;9.17;1218378;0
28.08.2025;13:45;9.16;9.17;9.14;9.15;9.16;933450;0
28.08.2025;14:00;9.16;9.17;9.15;9.16;9.16;1097460;0
28.08.2025;14:15;9.17;9.17;9.15;9.16;9.16;1202449;0
28.08.2025;14:30;9.16;9.17;9.15;9.17;9.16;2019106;0
28.08.2025;14:45;9.17;9.18;9.16;9.18;9.17;608395;0
28.08.2025;15:00;9.17;9.20;9.17;9.20;9.18;1448080;0
28.08.2025;15:15;9.20;9.21;9.19;9.19;9.20;1123353;0
28.08.2025;15:30;9.19;9.25;9.17;9.18;9.21;5802579;0
28.08.2025;15:45;9.19;9.19;9.16;9.16;9.17;1599700;0
28.08.2025;16:00;9.16;9.17;9.09;9.11;9.13;4403545;0
28.08.2025;16:15;9.12;9.13;9.04;9.10;9.09;5976594;0
28.08.2025;16:30;9.10;9.11;9.07;9.08;9.09;2559733;0
28.08.2025;16:45;9.08;9.09;9.01;9.06;9.05;3591542;0
28.08.2025;17:00;9.07;9.11;9.05;9.09;9.08;2748133;0
28.08.2025;17:15;9.10;9.22;9.08;9.21;9.15;4921072;0
28.08.2025;17:30;9.22;9.50;9.22;9.25;9.36;51805628;0
28.08.2025;17:45;9.24;9.27;9.20;9.23;9.24;8005511;0
28.08.2025;18:00;9.23;9.32;9.19;9.27;9.25;13368004;0
29.08.2025;10:00;9.27;9.34;9.24;9.28;9.29;6299441;0
29.08.2025;10:15;9.27;9.37;9.25;9.34;9.31;3479740;0
29.08.2025;10:30;9.33;9.34;9.28;9.29;9.31;2526638;0
29.08.2025;10:45;9.29;9.29;9.21;9.22;9.25;6051129;0
29.08.2025;11:00;9.22;9.33;9.21;9.29;9.27;3694945;0
29.08.2025;11:15;9.29;9.31;9.21;9.24;9.26;2118600;0
29.08.2025;11:30;9.23;9.24;9.18;9.20;9.21;3328850;0
29.08.2025;11:45;9.21;9.21;9.16;9.18;9.18;1150826;0
29.08.2025;12:00;9.17;9.20;9.15;9.17;9.17;1676724;0
29.08.2025;12:15;9.16;9.19;9.15;9.18;9.17;573365;0
29.08.2025;12:30;9.18;9.21;9.18;9.20;9.20;560327;0
29.08.2025;12:45;9.19;9.21;9.18;9.19;9.20;315368;0
29.08.2025;13:00;9.19;9.20;9.15;9.17;9.17;992679;0
29.08.2025;13:15;9.17;9.19;9.15;9.18;9.17;698910;0
29.08.2025;13:30;9.18;9.19;9.16;9.17;9.17;1076964;0
29.08.2025;13:45;9.17;9.19;9.16;9.16;9.17;1190108;0
29.08.2025;14:00;9.17;9.22;9.16;9.20;9.19;861074;0
29.08.2025;14:15;9.20;9.20;9.17;9.17;9.18;734779;0
29.08.2025;14:30;9.16;9.17;9.15;9.16;9.16;942349;0
29.08.2025;14:45;9.17;9.19;9.13;9.17;9.16;2238556;0
29.08.2025;15:00;9.17;9.17;9.15;9.16;9.16;670117;0
29.08.2025;15:15;9.16;9.18;9.15;9.16;9.16;1021403;0
29.08.2025;15:30;9.17;9.19;9.16;9.17;9.17;382939;0
29.08.2025;15:45;9.17;9.17;9.15;9.16;9.16;653187;0
29.08.2025;16:00;9.15;9.26;9.14;9.22;9.20;2074602;0
29.08.2025;16:15;9.22;9.33;9.20;9.23;9.26;4746671;0
29.08.2025;16:30;9.23;9.25;9.21;9.22;9.23;1334672;0
29.08.2025;16:45;9.22;9.22;9.18;9.19;9.20;890873;0
29.08.2025;17:00;9.19;9.19;9.16;9.18;9.17;1265283;0
29.08.2025;17:15;9.18;9.20;9.15;9.17;9.17;2255955;0
29.08.2025;17:30;9.17;9.19;9.15;9.17;9.17;1212780;0
29.08.2025;17:45;9.16;9.22;9.12;9.16;9.17;7038493;0
29.08.2025;18:00;9.16;9.19;9.14;9.14;9.16;4240900;0
30.08.2025;10:00;9.16;9.23;9.13;9.15;9.18;4231798;0
30.08.2025;10:15;9.15;9.20;9.15;9.19;9.17;1379760;0
30.08.2025;10:30;9.19;9.20;9.16;9.17;9.18;2254927;0
30.08.2025;10:45;9.17;9.17;9.14;9.17;9.16;2196247;0
30.08.2025;11:00;9.17;9.17;9.16;9.17;9.16;1339981;0
30.08.2025;11:15;9.17;9.31;9.17;9.25;9.24;10195827;0
30.08.2025;11:30;9.24;9.28;9.21;9.25;9.24;3038064;0
30.08.2025;11:45;9.25;9.27;9.23;9.24;9.25;2105819;0
30.08.2025;12:00;9.25;9.27;9.24;9.27;9.26;1140229;0
30.08.2025;12:15;9.27;9.27;9.25;9.25;9.26;1993554;0
30.08.2025;12:30;9.27;9.28;9.25;9.25;9.26;1264583;0
30.08.2025;12:45;9.25;9.28;9.23;9.28;9.25;1693597;0
