Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
07.05.2005;00:00;3.08;3.08;2.80;2.89;2.94;41493;0
08.05.2005;00:00;2.89;2.96;2.89;2.96;2.92;14921;0
09.05.2005;00:00;2.98;3.06;2.96;2.98;3.01;29797;0
10.05.2005;00:00;2.91;2.94;2.82;2.91;2.88;14687;0
14.05.2005;00:00;2.91;2.94;2.58;2.73;2.76;41357;0
15.05.2005;00:00;2.64;2.92;2.64;2.79;2.78;31127;0
16.05.2005;00:00;2.77;2.80;2.73;2.75;2.77;198356;0
17.05.2005;00:00;2.82;2.85;2.72;2.83;2.79;18631;0
18.05.2005;00:00;2.88;3.12;2.88;3.00;3.00;46809;0
21.05.2005;00:00;3.00;3.09;2.96;3.01;3.02;17279;0
22.05.2005;00:00;3.03;3.10;2.94;3.03;3.02;41860;0
23.05.2005;00:00;3.00;3.14;2.94;3.05;3.04;24214;0
25.05.2005;00:00;3.03;3.16;3.03;3.10;3.09;32559;0
26.05.2005;00:00;3.12;3.16;3.12;3.16;3.14;13239;0
29.05.2005;00:00;3.03;3.16;3.03;3.10;3.09;21634;0
30.05.2005;00:00;3.07;3.12;3.03;3.10;3.07;45433;0
31.05.2005;00:00;3.10;3.14;3.00;3.07;3.07;22870;0
01.06.2005;00:00;3.07;3.10;3.00;3.00;3.05;22006;0
02.06.2005;00:00;2.96;3.07;2.96;3.07;3.01;20056;0
05.06.2005;00:00;3.09;3.09;3.01;3.01;3.05;8704;0
06.06.2005;00:00;2.96;3.00;2.62;2.78;2.81;27383;0
07.06.2005;00:00;2.80;2.87;2.74;2.82;2.80;11042;0
08.06.2005;00:00;2.82;2.98;2.82;2.96;2.90;26152;0
09.06.2005;00:00;2.96;3.18;2.96;3.07;3.07;79423;0
12.06.2005;00:00;3.14;3.14;2.78;3.07;2.96;89334;0
13.06.2005;00:00;3.00;3.12;3.00;3.05;3.06;18444;0
14.06.2005;00:00;3.05;3.05;3.00;3.01;3.03;36740;0
15.06.2005;00:00;2.96;3.09;2.96;3.03;3.02;3848;0
16.06.2005;00:00;3.05;3.05;2.98;3.00;3.02;42889;0
19.06.2005;00:00;2.91;2.98;2.82;2.85;2.90;10716;0
20.06.2005;00:00;2.91;2.94;2.85;2.91;2.89;4195;0
21.06.2005;00:00;2.87;3.00;2.87;2.96;2.93;1812;0
22.06.2005;00:00;2.96;3.00;2.94;2.98;2.97;2274;0
23.06.2005;00:00;2.98;3.01;2.98;3.00;3.00;37720;0
28.06.2005;00:00;3.00;3.03;2.98;3.00;3.00;16652;0
29.06.2005;00:00;3.01;3.07;2.98;3.05;3.03;14576;0
30.06.2005;00:00;3.00;3.07;2.98;3.00;3.03;11904;0
01.07.2005;00:00;3.00;3.03;2.96;3.03;2.99;7006;0
02.07.2005;00:00;2.96;3.01;2.96;3.00;2.98;10233;0
05.07.2005;00:00;3.00;3.00;2.98;3.00;2.99;84082;0
06.07.2005;00:00;2.98;3.03;2.98;3.00;3.00;11966;0
07.07.2005;00:00;2.98;3.03;2.98;2.98;3.00;18972;0
08.07.2005;00:00;2.98;3.03;2.98;3.00;3.00;12810;0
09.07.2005;00:00;3.00;3.00;2.98;3.00;2.99;4466;0
12.07.2005;00:00;2.98;2.98;2.83;2.98;2.91;23722;0
13.07.2005;00:00;2.98;2.98;2.85;2.98;2.92;5814;0
14.07.2005;00:00;2.98;2.98;2.94;2.96;2.96;5397;0
15.07.2005;00:00;3.03;3.03;2.96;3.00;2.99;11201;0
16.07.2005;00:00;2.98;3.00;2.98;2.98;2.99;5525;0
19.07.2005;00:00;2.96;2.98;2.96;2.98;2.97;3123;0
20.07.2005;00:00;2.94;3.01;2.94;2.96;2.97;6812;0
21.07.2005;00:00;3.00;3.00;2.96;2.98;2.98;6999;0
22.07.2005;00:00;2.98;3.00;2.98;3.00;2.99;6111;0
23.07.2005;00:00;2.98;3.00;2.96;3.00;2.98;5967;0
26.07.2005;00:00;3.00;3.01;2.98;2.98;3.00;3370;0
28.07.2005;00:00;2.98;3.01;2.98;2.98;3.00;9028;0
29.07.2005;00:00;2.98;3.01;2.98;3.00;3.00;72083;0
30.07.2005;00:00;3.01;3.03;2.96;2.96;2.99;101683;0
31.07.2005;00:00;2.96;3.00;2.96;2.96;2.98;8775;0
03.08.2005;00:00;2.96;2.98;2.92;2.96;2.95;88478;0
04.08.2005;00:00;2.96;2.98;2.94;2.96;2.96;209522;0
05.08.2005;00:00;2.98;2.98;2.92;2.94;2.95;156198;0
06.08.2005;00:00;2.94;2.96;2.88;2.92;2.92;75975;0
07.08.2005;00:00;2.94;2.94;2.91;2.92;2.92;51219;0
10.08.2005;00:00;2.96;2.96;2.87;2.88;2.91;64466;0
11.08.2005;00:00;2.88;2.88;2.85;2.88;2.87;25476;0
12.08.2005;00:00;2.88;2.92;2.88;2.91;2.90;5911;0
13.08.2005;00:00;2.92;2.92;2.87;2.88;2.89;17068;0
14.08.2005;00:00;2.88;2.92;2.88;2.91;2.90;13279;0
17.08.2005;00:00;2.91;2.91;2.87;2.88;2.89;8202;0
18.08.2005;00:00;2.91;2.92;2.85;2.91;2.88;28727;0
19.08.2005;00:00;2.91;2.92;2.87;2.88;2.89;22376;0
20.08.2005;00:00;2.88;2.91;2.87;2.88;2.89;16842;0
21.08.2005;00:00;2.91;2.91;2.87;2.87;2.89;4994;0
24.08.2005;00:00;2.87;2.88;2.85;2.87;2.87;22058;0
25.08.2005;00:00;2.88;2.88;2.87;2.87;2.88;8667;0
27.08.2005;00:00;2.88;2.94;2.83;2.87;2.88;27442;0
29.08.2005;00:00;2.87;2.87;2.85;2.87;2.86;16681;0
01.09.2005;00:00;2.88;2.88;2.87;2.88;2.88;6055;0
02.09.2005;00:00;2.88;2.91;2.87;2.88;2.89;82232;0
03.09.2005;00:00;2.87;2.91;2.87;2.88;2.89;21247;0
04.09.2005;00:00;2.88;2.91;2.87;2.91;2.89;13288;0
05.09.2005;00:00;2.91;2.91;2.88;2.91;2.90;19711;0
08.09.2005;00:00;2.91;2.92;2.88;2.91;2.90;14044;0
09.09.2005;00:00;2.91;2.91;2.87;2.88;2.89;47747;0
10.09.2005;00:00;2.88;2.94;2.87;2.91;2.90;32583;0
11.09.2005;00:00;2.91;2.92;2.88;2.92;2.90;41007;0
12.09.2005;00:00;2.87;2.91;2.87;2.88;2.89;67288;0
15.09.2005;00:00;2.88;2.91;2.88;2.91;2.90;13491;0
16.09.2005;00:00;2.88;2.91;2.88;2.91;2.90;62297;0
17.09.2005;00:00;2.85;2.91;2.85;2.91;2.88;10578;0
18.09.2005;00:00;2.92;2.96;2.88;2.88;2.92;109217;0
19.09.2005;00:00;2.88;2.88;2.85;2.87;2.87;39219;0
22.09.2005;00:00;2.88;2.88;2.83;2.85;2.86;16967;0
23.09.2005;00:00;2.85;2.88;2.83;2.85;2.86;25754;0
24.09.2005;00:00;2.92;2.92;2.85;2.87;2.88;14392;0
25.09.2005;00:00;2.87;2.87;2.85;2.85;2.86;18211;0
26.09.2005;00:00;2.87;2.87;2.82;2.85;2.84;20005;0
01.10.2005;00:00;2.87;2.87;2.80;2.85;2.83;11946;0
02.10.2005;00:00;2.80;2.87;2.80;2.85;2.83;12165;0
03.10.2005;00:00;2.85;2.88;2.85;2.87;2.87;15823;0
04.10.2005;00:00;2.87;2.88;2.87;2.88;2.88;13644;0
05.10.2005;00:00;2.91;2.91;2.85;2.85;2.88;50958;0
08.10.2005;00:00;2.87;2.87;2.82;2.83;2.84;20955;0
09.10.2005;00:00;2.83;2.85;2.82;2.85;2.84;20810;0
10.10.2005;00:00;2.83;2.87;2.83;2.85;2.85;7558;0
11.10.2005;00:00;2.85;2.88;2.85;2.87;2.87;10018;0
12.10.2005;00:00;2.87;2.88;2.85;2.87;2.87;1679;0
15.10.2005;00:00;2.91;2.91;2.85;2.88;2.88;23781;0
