Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
17.08.2011;00:00;0.74;0.82;0.74;0.82;0.78;5945935;0
20.08.2011;00:00;0.81;0.83;0.76;0.80;0.79;7849775;0
21.08.2011;00:00;0.80;0.81;0.74;0.74;0.78;4586567;0
22.08.2011;00:00;0.74;0.77;0.70;0.76;0.73;5603939;0
23.08.2011;00:00;0.77;0.79;0.75;0.75;0.77;3383812;0
24.08.2011;00:00;0.73;0.75;0.72;0.73;0.74;1410121;0
27.08.2011;00:00;0.74;0.75;0.71;0.71;0.73;1064981;0
28.08.2011;00:00;0.72;0.72;0.69;0.71;0.71;1614918;0
29.08.2011;00:00;0.70;0.71;0.69;0.71;0.70;879729;0
30.08.2011;00:00;0.71;0.72;0.70;0.70;0.71;576329;0
31.08.2011;00:00;0.67;0.69;0.67;0.67;0.68;728470;0
03.09.2011;00:00;0.67;0.68;0.66;0.67;0.67;527039;0
04.09.2011;00:00;0.67;0.70;0.67;0.69;0.69;1228042;0
05.09.2011;00:00;0.69;0.70;0.67;0.68;0.69;721872;0
06.09.2011;00:00;0.68;0.68;0.66;0.66;0.67;430084;0
07.09.2011;00:00;0.66;0.69;0.66;0.68;0.68;716955;0
10.09.2011;00:00;0.68;0.69;0.66;0.67;0.68;276765;0
11.09.2011;00:00;0.67;0.74;0.67;0.73;0.71;1874990;0
12.09.2011;00:00;0.70;0.72;0.62;0.65;0.67;2338220;0
13.09.2011;00:00;0.64;0.65;0.63;0.64;0.64;736398;0
15.09.2011;00:00;0.64;0.66;0.63;0.64;0.65;579840;0
18.09.2011;00:00;0.64;0.64;0.63;0.64;0.63;188812;0
19.09.2011;00:00;0.64;0.65;0.63;0.64;0.64;230236;0
20.09.2011;00:00;0.64;0.64;0.64;0.64;0.64;351241;0
21.09.2011;00:00;0.64;0.66;0.64;0.65;0.65;611173;0
22.09.2011;00:00;0.65;0.66;0.64;0.64;0.65;640784;0
25.09.2011;00:00;0.64;0.65;0.64;0.64;0.64;229309;0
26.09.2011;00:00;0.64;0.65;0.64;0.64;0.64;241327;0
27.09.2011;00:00;0.64;0.64;0.64;0.64;0.64;145837;0
28.09.2011;00:00;0.64;0.64;0.63;0.64;0.63;122897;0
29.09.2011;00:00;0.64;0.64;0.60;0.63;0.62;144828;0
02.10.2011;00:00;0.63;0.63;0.61;0.62;0.62;191528;0
03.10.2011;00:00;0.62;0.68;0.62;0.64;0.65;2761382;0
04.10.2011;00:00;0.65;0.65;0.63;0.63;0.64;376831;0
05.10.2011;00:00;0.64;0.66;0.63;0.64;0.65;870115;0
06.10.2011;00:00;0.63;0.64;0.63;0.63;0.63;235656;0
09.10.2011;00:00;0.62;0.63;0.61;0.61;0.62;296617;0
10.10.2011;00:00;0.60;0.61;0.60;0.61;0.61;225748;0
11.10.2011;00:00;0.61;0.62;0.60;0.62;0.61;165010;0
12.10.2011;00:00;0.62;0.62;0.60;0.61;0.61;122262;0
13.10.2011;00:00;0.62;0.65;0.61;0.62;0.63;619043;0
18.10.2011;00:00;0.63;0.63;0.61;0.62;0.62;149422;0
19.10.2011;00:00;0.62;0.62;0.61;0.62;0.62;104890;0
20.10.2011;00:00;0.62;0.63;0.61;0.62;0.62;150463;0
21.10.2011;00:00;0.62;0.62;0.61;0.61;0.62;110277;0
22.10.2011;00:00;0.61;0.62;0.61;0.61;0.62;106227;0
25.10.2011;00:00;0.61;0.62;0.61;0.61;0.62;88148;0
26.10.2011;00:00;0.61;0.63;0.61;0.62;0.62;232742;0
27.10.2011;00:00;0.62;0.63;0.61;0.62;0.62;79615;0
28.10.2011;00:00;0.62;0.64;0.62;0.64;0.63;558518;0
29.10.2011;00:00;0.64;0.66;0.63;0.64;0.65;394011;0
01.11.2011;00:00;0.63;0.66;0.63;0.64;0.65;486938;0
02.11.2011;00:00;0.65;0.69;0.65;0.68;0.67;2148085;0
03.11.2011;00:00;0.68;0.69;0.67;0.67;0.68;448259;0
04.11.2011;00:00;0.67;0.68;0.65;0.67;0.66;279105;0
05.11.2011;00:00;0.67;0.67;0.64;0.66;0.66;476639;0
08.11.2011;00:00;0.64;0.66;0.64;0.66;0.65;259627;0
09.11.2011;00:00;0.67;0.67;0.66;0.67;0.67;418002;0
10.11.2011;00:00;0.67;0.69;0.67;0.68;0.68;1081539;0
11.11.2011;00:00;0.68;0.69;0.67;0.69;0.68;265894;0
12.11.2011;00:00;0.69;0.69;0.65;0.69;0.67;550583;0
15.11.2011;00:00;0.70;0.70;0.67;0.69;0.69;1164248;0
16.11.2011;00:00;0.68;0.70;0.68;0.69;0.69;480245;0
18.11.2011;00:00;0.69;0.71;0.69;0.71;0.70;989522;0
19.11.2011;00:00;0.71;0.72;0.69;0.69;0.71;525002;0
20.11.2011;00:00;0.70;0.70;0.67;0.68;0.69;715438;0
23.11.2011;00:00;0.68;0.68;0.64;0.68;0.66;768620;0
24.11.2011;00:00;0.68;0.69;0.67;0.68;0.68;349129;0
25.11.2011;00:00;0.68;0.68;0.67;0.68;0.68;273728;0
26.11.2011;00:00;0.68;0.72;0.67;0.68;0.70;961924;0
27.11.2011;00:00;0.68;0.69;0.67;0.69;0.68;246059;0
30.11.2011;00:00;0.70;0.71;0.69;0.69;0.70;458704;0
01.12.2011;00:00;0.69;0.69;0.67;0.67;0.68;358702;0
02.12.2011;00:00;0.68;0.74;0.61;0.62;0.68;3447201;0
03.12.2011;00:00;0.62;0.64;0.61;0.61;0.62;330972;0
04.12.2011;00:00;0.61;0.62;0.60;0.61;0.61;145391;0
09.12.2011;00:00;0.61;0.61;0.57;0.58;0.59;284667;0
10.12.2011;00:00;0.59;0.59;0.54;0.59;0.56;491287;0
11.12.2011;00:00;0.59;0.59;0.56;0.57;0.57;315492;0
14.12.2011;00:00;0.57;0.57;0.55;0.56;0.56;143035;0
15.12.2011;00:00;0.56;0.56;0.55;0.55;0.56;114055;0
16.12.2011;00:00;0.55;0.57;0.55;0.57;0.56;101528;0
18.12.2011;00:00;0.57;0.57;0.56;0.57;0.56;100246;0
22.12.2011;00:00;0.57;0.57;0.56;0.56;0.56;62649;0
23.12.2011;00:00;0.57;0.57;0.56;0.56;0.56;33762;0
24.12.2011;00:00;0.56;0.56;0.55;0.55;0.56;51079;0
25.12.2011;00:00;0.56;0.60;0.56;0.57;0.58;951267;0
26.12.2011;00:00;0.58;0.58;0.56;0.56;0.57;353538;0
29.12.2011;00:00;0.57;0.57;0.55;0.56;0.56;250886;0
30.12.2011;00:00;0.56;0.57;0.56;0.57;0.56;196585;0
31.12.2011;00:00;0.57;0.57;0.56;0.56;0.56;59098;0
01.01.2012;00:00;0.56;0.57;0.55;0.56;0.56;199159;0
02.01.2012;00:00;0.56;0.56;0.54;0.55;0.55;228752;0
05.01.2012;00:00;0.56;0.56;0.54;0.55;0.55;101762;0
06.01.2012;00:00;0.55;0.55;0.54;0.54;0.55;100430;0
07.01.2012;00:00;0.55;0.55;0.53;0.53;0.54;222392;0
08.01.2012;00:00;0.54;0.56;0.53;0.55;0.54;540415;0
09.01.2012;00:00;0.55;0.55;0.54;0.55;0.55;316280;0
12.01.2012;00:00;0.55;0.56;0.54;0.55;0.55;384680;0
13.01.2012;00:00;0.55;0.57;0.55;0.55;0.56;320195;0
14.01.2012;00:00;0.55;0.56;0.54;0.55;0.55;237017;0
15.01.2012;00:00;0.55;0.55;0.55;0.55;0.55;96399;0
16.01.2012;00:00;0.55;0.55;0.54;0.55;0.55;240394;0
21.01.2012;00:00;0.54;0.54;0.50;0.52;0.52;242736;0
22.01.2012;00:00;0.52;0.53;0.52;0.53;0.52;95352;0
23.01.2012;00:00;0.53;0.54;0.52;0.52;0.53;84580;0
24.01.2012;00:00;0.52;0.52;0.47;0.52;0.49;170096;0
25.01.2012;00:00;0.52;0.53;0.51;0.52;0.52;54710;0
28.01.2012;00:00;0.52;0.52;0.50;0.51;0.51;51686;0
29.01.2012;00:00;0.52;0.53;0.51;0.53;0.52;105922;0
30.01.2012;00:00;0.53;0.55;0.53;0.54;0.54;197438;0
31.01.2012;00:00;0.55;0.56;0.54;0.55;0.55;149746;0
01.02.2012;00:00;0.56;0.56;0.53;0.55;0.54;149965;0
04.02.2012;00:00;0.55;0.55;0.53;0.53;0.54;36347;0
05.02.2012;00:00;0.54;0.54;0.53;0.53;0.53;27614;0
06.02.2012;00:00;0.54;0.54;0.53;0.53;0.53;18368;0
07.02.2012;00:00;0.53;0.53;0.52;0.53;0.52;20232;0
08.02.2012;00:00;0.53;0.53;0.51;0.52;0.52;126488;0
11.02.2012;00:00;0.52;0.52;0.51;0.52;0.51;56681;0
12.02.2012;00:00;0.51;0.52;0.50;0.51;0.51;32981;0
13.02.2012;00:00;0.52;0.52;0.51;0.51;0.51;37257;0
