Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;19.84;19.84;19.84;19.84;19.84;904326;0
27.02.2024;10:05;20.02;20.49;19.67;20.02;20.08;13354180;0
27.02.2024;11:05;20.06;20.49;19.74;20.39;20.11;8677169;0
27.02.2024;12:05;20.29;20.57;19.76;20.46;20.16;8676520;0
27.02.2024;13:05;20.29;20.46;19.97;20.06;20.21;1486277;0
27.02.2024;14:05;20.06;20.44;19.97;20.42;20.20;5678791;0
27.02.2024;15:05;20.42;20.57;20.02;20.57;20.30;6044593;0
27.02.2024;16:05;20.57;21.49;20.41;20.94;20.95;13427730;0
27.02.2024;17:05;20.92;21.41;20.57;20.99;20.99;12304840;0
27.02.2024;18:05;21.02;21.02;21.02;21.02;21.02;176428;0
01.03.2024;09:05;20.64;20.64;20.64;20.64;20.64;513937;0
01.03.2024;10:05;20.64;22.99;20.64;22.57;21.81;29726920;0
01.03.2024;11:05;22.59;22.66;22.27;22.46;22.47;5597555;0
01.03.2024;12:05;22.46;22.47;22.32;22.34;22.39;2037627;0
01.03.2024;13:05;22.32;22.46;21.97;22.46;22.21;3887325;0
01.03.2024;14:05;22.46;22.54;22.07;22.22;22.31;2061647;0
01.03.2024;15:05;22.22;22.54;22.02;22.44;22.28;1856288;0
01.03.2024;16:05;22.44;22.66;22.01;22.51;22.34;2565499;0
01.03.2024;17:05;22.51;22.91;22.47;22.72;22.69;4077986;0
01.03.2024;18:05;22.99;22.99;22.99;22.99;22.99;2176674;0
02.03.2024;09:05;23.01;23.01;23.01;23.01;23.01;328816;0
02.03.2024;10:05;23.19;23.36;22.99;23.36;23.18;9447251;0
02.03.2024;11:05;23.36;23.66;23.19;23.46;23.43;8045855;0
02.03.2024;12:05;23.46;23.46;23.21;23.32;23.33;2382076;0
08.03.2024;09:05;23.22;23.22;23.22;23.22;23.22;3195465;0
08.03.2024;10:05;23.22;24.89;22.87;24.32;23.88;50094100;0
08.03.2024;11:05;24.32;24.44;23.41;24.32;23.93;11956020;0
08.03.2024;12:05;24.31;24.44;24.16;24.39;24.30;4791369;0
08.03.2024;13:05;24.39;24.66;24.32;24.56;24.49;6377542;0
