Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;16:05;10.91;10.92;10.83;10.89;10.87;1217192;0
26.02.2024;17:05;10.91;10.96;10.84;10.94;10.90;2395749;0
26.02.2024;18:05;10.86;10.86;10.86;10.86;10.86;101961;0
27.02.2024;09:05;11.03;11.03;11.03;11.03;11.03;55173;0
27.02.2024;10:05;11.03;11.35;10.98;11.20;11.16;9942808;0
27.02.2024;11:05;11.18;11.29;11.16;11.18;11.22;1482239;0
27.02.2024;12:05;11.18;11.24;11.15;11.24;11.19;1368633;0
27.02.2024;13:05;11.24;11.25;11.19;11.24;11.22;570033;0
27.02.2024;14:05;11.24;11.34;11.23;11.27;11.28;2147651;0
27.02.2024;15:05;11.27;11.35;11.24;11.33;11.29;2021699;0
27.02.2024;16:05;11.35;11.57;11.32;11.46;11.44;4855990;0
27.02.2024;17:05;11.48;11.53;11.35;11.38;11.44;5196685;0
27.02.2024;18:05;11.39;11.39;11.39;11.39;11.39;72912;0
01.03.2024;09:05;11.55;11.55;11.55;11.55;11.55;110153;0
01.03.2024;10:05;11.55;11.85;11.47;11.83;11.66;5624770;0
01.03.2024;11:05;11.83;11.87;11.76;11.82;11.82;3084290;0
01.03.2024;12:05;11.82;11.93;11.78;11.89;11.86;2257686;0
01.03.2024;13:05;11.91;11.95;11.85;11.91;11.90;2136594;0
01.03.2024;14:05;11.92;11.98;11.82;11.98;11.90;2680171;0
01.03.2024;15:05;11.98;12.08;11.94;12.05;12.01;3506450;0
01.03.2024;16:05;12.05;12.05;11.98;12.02;12.01;1160524;0
01.03.2024;17:05;12.02;12.11;11.98;12.06;12.05;2356033;0
01.03.2024;18:05;12.06;12.06;12.06;12.06;12.06;72732;0
02.03.2024;09:05;12.02;12.02;12.02;12.02;12.02;86667;0
02.03.2024;10:05;12.02;12.49;11.98;12.10;12.24;12226090;0
02.03.2024;11:05;12.10;12.15;12.06;12.12;12.10;2559049;0
02.03.2024;12:05;12.13;12.21;12.09;12.14;12.15;1541300;0
08.03.2024;09:05;11.95;11.95;11.95;11.95;11.95;260126;0
08.03.2024;10:05;11.95;12.44;11.69;12.40;12.06;9400952;0
08.03.2024;11:05;12.40;12.45;12.32;12.44;12.38;2824121;0
08.03.2024;12:05;12.41;12.53;12.38;12.45;12.45;3455184;0
08.03.2024;13:05;12.44;12.46;12.33;12.43;12.40;2834949;0
08.03.2024;14:05;12.38;12.50;12.31;12.50;12.41;1498820;0
08.03.2024;15:05;12.50;12.61;12.40;12.43;12.50;3128957;0
08.03.2024;16:05;12.43;12.47;12.40;12.43;12.44;1945846;0
08.03.2024;17:05;12.44;12.44;12.26;12.36;12.35;4246970;0
08.03.2024;18:05;12.36;12.36;12.36;12.36;12.36;44249;0
09.03.2024;09:05;12.33;12.33;12.33;12.33;12.33;107736;0
09.03.2024;10:05;12.32;12.40;11.81;11.90;12.10;7452812;0
09.03.2024;11:05;11.90;11.99;11.83;11.90;11.91;4196980;0
09.03.2024;12:05;11.86;11.90;11.76;11.85;11.83;6375755;0
09.03.2024;13:05;11.85;11.98;11.77;11.88;11.88;3704544;0
09.03.2024;14:05;11.85;11.95;11.81;11.89;11.88;1680812;0
09.03.2024;15:05;11.89;11.98;11.79;11.79;11.89;1340206;0
09.03.2024;16:05;11.80;11.81;11.69;11.73;11.75;1895063;0
09.03.2024;17:05;11.73;11.85;11.65;11.82;11.75;4782288;0
09.03.2024;18:05;11.73;11.73;11.73;11.73;11.73;600503;0
10.03.2024;09:05;11.82;11.82;11.82;11.82;11.82;62432;0
10.03.2024;10:05;11.84;12.04;11.73;12.02;11.88;5580713;0
10.03.2024;11:05;12.02;12.26;12.01;12.15;12.13;4867642;0
10.03.2024;12:05;12.14;12.24;12.09;12.10;12.16;2374154;0
10.03.2024;13:05;12.09;12.10;12.01;12.02;12.06;1075835;0
10.03.2024;14:05;12.01;12.20;11.96;12.05;12.08;5121725;0
