Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;19.06;19.06;19.06;19.06;19.06;14068470;0
27.02.2024;10:05;19.06;19.51;19.03;19.39;19.27;566740928;0
27.02.2024;11:05;19.38;19.54;19.32;19.43;19.43;243590704;0
27.02.2024;12:05;19.43;19.57;19.39;19.47;19.48;206218800;0
27.02.2024;13:05;19.48;19.60;19.42;19.50;19.51;144740608;0
27.02.2024;14:05;19.50;19.59;19.47;19.54;19.53;106871904;0
27.02.2024;15:05;19.55;19.63;19.49;19.56;19.56;163518400;0
27.02.2024;16:05;19.57;19.73;19.55;19.65;19.64;228429904;0
27.02.2024;17:05;19.66;19.79;19.62;19.70;19.71;239780704;0
27.02.2024;18:05;19.70;19.70;19.70;19.70;19.70;82324608;0
01.03.2024;09:05;19.77;19.77;19.77;19.77;19.77;15870440;0
01.03.2024;10:05;19.78;20.22;19.56;20.16;19.89;583359680;0
01.03.2024;11:05;20.16;20.54;20.16;20.42;20.35;273392704;0
01.03.2024;12:05;20.44;20.44;20.26;20.38;20.35;108688096;0
01.03.2024;13:05;20.38;20.64;20.32;20.52;20.48;169296304;0
01.03.2024;14:05;20.52;20.64;20.46;20.48;20.55;175603808;0
01.03.2024;15:05;20.48;20.62;20.46;20.52;20.54;61546920;0
01.03.2024;16:05;20.52;20.56;20.42;20.56;20.49;79814528;0
01.03.2024;17:05;20.54;20.62;20.48;20.54;20.55;116957104;0
01.03.2024;18:05;20.56;20.56;20.56;20.56;20.56;22080150;0
02.03.2024;09:05;20.82;20.82;20.82;20.82;20.82;27871810;0
02.03.2024;10:05;20.82;20.86;20.44;20.58;20.65;205771904;0
02.03.2024;11:05;20.58;20.64;20.50;20.58;20.57;114361600;0
02.03.2024;12:05;20.58;20.64;20.50;20.50;20.57;135327696;0
08.03.2024;09:05;20.40;20.40;20.40;20.40;20.40;19510950;0
08.03.2024;10:05;20.40;21.10;20.28;20.52;20.69;686950720;0
08.03.2024;11:05;20.50;20.82;20.50;20.68;20.66;205792992;0
08.03.2024;12:05;20.68;20.70;20.50;20.58;20.60;100914400;0
08.03.2024;13:05;20.54;20.64;20.50;20.54;20.57;70985104;0
08.03.2024;14:05;20.54;20.56;20.40;20.48;20.48;97981456;0
08.03.2024;15:05;20.48;20.48;20.26;20.30;20.37;84054328;0
08.03.2024;16:05;20.30;20.36;20.22;20.32;20.29;48935000;0
08.03.2024;17:05;20.30;20.34;20.08;20.14;20.21;127189200;0
08.03.2024;18:05;19.94;19.94;19.94;19.94;19.94;102271000;0
09.03.2024;09:05;19.79;19.79;19.79;19.79;19.79;12172980;0
09.03.2024;10:05;19.79;20.12;19.64;19.78;19.88;425932608;0
09.03.2024;11:05;19.78;19.93;19.76;19.90;19.85;136170496;0
09.03.2024;12:05;19.90;19.90;19.76;19.84;19.83;64963352;0
09.03.2024;13:05;19.85;20.08;19.84;20.02;19.96;132193504;0
09.03.2024;14:05;20.02;20.22;19.97;20.08;20.09;166906496;0
09.03.2024;15:05;20.08;20.08;19.89;19.94;19.98;117260896;0
09.03.2024;16:05;19.94;20.10;19.89;19.96;19.99;100152800;0
09.03.2024;17:05;19.96;20.10;19.85;19.98;19.98;176960000;0
09.03.2024;18:05;19.99;19.99;19.99;19.99;19.99;20890630;0
10.03.2024;09:05;20.14;20.14;20.14;20.14;20.14;5758653;0
10.03.2024;10:05;20.14;20.30;20.06;20.20;20.18;275726208;0
10.03.2024;11:05;20.20;20.24;20.02;20.04;20.13;89982592;0
10.03.2024;12:05;20.04;20.10;19.99;20.04;20.05;91265760;0
10.03.2024;13:05;20.04;20.08;19.93;20.00;20.01;99707696;0
10.03.2024;14:05;19.99;20.00;19.85;19.86;19.93;91010768;0
10.03.2024;15:05;19.85;19.86;19.58;19.61;19.72;167087904;0
10.03.2024;16:05;19.62;19.80;19.58;19.68;19.69;103752800;0
10.03.2024;17:05;19.69;20.02;19.66;19.93;19.84;230714000;0
10.03.2024;18:05;19.92;19.92;19.92;19.92;19.92;42543832;0
11.03.2024;09:05;20.02;20.02;20.02;20.02;20.02;15457380;0
11.03.2024;10:05;20.02;20.16;19.85;19.92;20.01;220276800;0
11.03.2024;11:05;19.91;19.99;19.85;19.95;19.92;79487928;0
11.03.2024;12:05;19.95;19.96;19.85;19.94;19.90;64817380;0
11.03.2024;13:05;19.94;19.94;19.85;19.88;19.90;37681020;0
11.03.2024;14:05;19.87;19.94;19.84;19.93;19.89;76116816;0
11.03.2024;15:05;19.94;20.04;19.80;19.86;19.92;160055808;0
11.03.2024;16:05;19.85;19.89;19.70;19.80;19.80;115701000;0
11.03.2024;17:05;19.80;19.98;19.77;19.88;19.88;138635392;0
11.03.2024;18:05;19.87;19.87;19.87;19.87;19.87;23424110;0
12.03.2024;09:05;19.69;19.69;19.69;19.69;19.69;5603332;0
12.03.2024;10:05;19.69;19.88;19.65;19.78;19.76;187540096;0
12.03.2024;11:05;19.78;19.83;19.68;19.77;19.76;124212200;0
12.03.2024;12:05;19.77;19.86;19.73;19.81;19.80;72261584;0
12.03.2024;13:05;19.81;19.85;19.79;19.82;19.82;25526650;0
12.03.2024;14:05;19.82;20.14;19.78;20.04;19.96;147806592;0
12.03.2024;15:05;20.04;20.26;19.98;20.14;20.12;238874400;0
12.03.2024;16:05;20.16;20.32;20.04;20.12;20.18;248271808;0
12.03.2024;17:05;20.12;20.16;19.99;20.00;20.07;183827504;0
12.03.2024;18:05;20.04;20.04;20.04;20.04;20.04;49544720;0
15.03.2024;09:05;20.28;20.28;20.28;20.28;20.28;25313400;0
15.03.2024;10:05;20.28;20.52;20.22;20.46;20.37;339296704;0
15.03.2024;11:05;20.44;20.54;20.36;20.44;20.45;203529504;0
15.03.2024;12:05;20.46;20.50;20.38;20.42;20.44;59252740;0
15.03.2024;13:05;20.40;20.64;20.40;20.58;20.52;204604800;0
15.03.2024;14:05;20.56;20.58;20.44;20.50;20.51;88683264;0
15.03.2024;15:05;20.48;20.54;20.28;20.34;20.41;118315904;0
15.03.2024;16:05;20.32;20.36;20.12;20.20;20.24;217654400;0
15.03.2024;17:05;20.20;20.26;20.10;20.16;20.18;140330896;0
15.03.2024;18:05;20.12;20.12;20.12;20.12;20.12;44193032;0
17.03.2024;09:05;20.30;20.30;20.30;20.30;20.30;17370900;0
17.03.2024;10:05;20.32;20.42;20.30;20.32;20.36;184635392;0
17.03.2024;11:05;20.32;20.40;20.24;20.28;20.32;85324992;0
17.03.2024;12:05;20.26;20.32;20.24;20.32;20.28;67803264;0
17.03.2024;13:05;20.30;20.32;20.20;20.20;20.26;59100740;0
17.03.2024;14:05;20.22;20.24;20.10;20.12;20.17;84110168;0
17.03.2024;15:05;20.12;20.26;20.10;20.24;20.18;78325232;0
17.03.2024;16:05;20.24;20.32;20.14;20.24;20.23;161544800;0
17.03.2024;17:05;20.22;20.32;20.20;20.26;20.26;155264896;0
17.03.2024;18:05;20.26;20.26;20.26;20.26;20.26;32270700;0
18.03.2024;09:05;20.34;20.34;20.34;20.34;20.34;8516781;0
18.03.2024;10:05;20.36;20.50;20.34;20.38;20.42;248632896;0
18.03.2024;11:05;20.38;20.42;20.32;20.38;20.37;58977752;0
18.03.2024;12:05;20.38;20.46;20.38;20.44;20.42;73243984;0
18.03.2024;13:05;20.44;20.52;20.40;20.44;20.46;137798496;0
18.03.2024;14:05;20.44;20.62;20.42;20.52;20.52;312835296;0
18.03.2024;15:05;20.54;20.62;20.40;20.40;20.51;158627904;0
18.03.2024;16:05;20.40;20.44;20.16;20.20;20.30;114221400;0
18.03.2024;17:05;20.22;20.30;20.14;20.22;20.22;146094496;0
18.03.2024;18:05;20.22;20.22;20.22;20.22;20.22;35887540;0
19.03.2024;09:05;20.28;20.28;20.28;20.28;20.28;9405236;0
19.03.2024;10:05;20.28;20.40;20.24;20.36;20.32;147275296;0
19.03.2024;11:05;20.36;20.62;20.34;20.62;20.48;392269408;0
19.03.2024;12:05;20.60;20.74;20.56;20.64;20.65;229480896;0
19.03.2024;13:05;20.64;20.70;20.62;20.68;20.66;106714304;0
19.03.2024;14:05;20.70;20.74;20.60;20.70;20.67;240643808;0
19.03.2024;15:05;20.70;20.72;20.60;20.70;20.66;82191104;0
19.03.2024;16:05;20.68;20.80;20.68;20.74;20.74;310840096;0
19.03.2024;17:05;20.74;20.86;20.58;20.70;20.72;352431296;0
19.03.2024;18:05;20.74;20.74;20.74;20.74;20.74;39716380;0
22.03.2024;09:05;20.90;20.90;20.90;20.90;20.90;24118530;0
22.03.2024;10:05;20.90;21.00;20.80;20.92;20.90;601563520;0
22.03.2024;11:05;20.92;20.94;20.82;20.90;20.88;210708000;0
22.03.2024;12:05;20.88;20.96;20.86;20.90;20.91;134071000;0
22.03.2024;13:05;20.90;21.00;20.88;20.92;20.94;160749296;0
22.03.2024;14:05;20.94;20.96;20.78;20.80;20.87;132667600;0
22.03.2024;15:05;20.80;20.92;20.74;20.84;20.83;104131504;0
22.03.2024;16:05;20.84;20.94;20.82;20.88;20.88;68159104;0
22.03.2024;17:05;20.88;20.98;20.84;20.96;20.91;232425696;0
22.03.2024;18:05;20.96;20.96;20.96;20.96;20.96;112785000;0
23.03.2024;09:05;21.00;21.00;21.00;21.00;21.00;41712568;0
23.03.2024;10:05;20.98;21.04;20.68;20.84;20.86;717355072;0
23.03.2024;11:05;20.84;20.94;20.78;20.78;20.86;188708896;0
23.03.2024;12:05;20.78;20.84;20.66;20.80;20.75;162544800;0
23.03.2024;13:05;20.80;20.84;20.66;20.70;20.75;132304600;0
23.03.2024;14:05;20.72;20.72;20.64;20.70;20.68;120696000;0
23.03.2024;15:05;20.68;20.74;20.64;20.64;20.69;72038224;0
23.03.2024;16:05;20.64;20.84;20.62;20.76;20.73;187143696;0
23.03.2024;17:05;20.78;20.80;20.66;20.68;20.73;230428704;0
23.03.2024;18:05;20.72;20.72;20.72;20.72;20.72;57444020;0
27.03.2024;09:05;20.90;20.90;20.90;20.90;20.90;22648370;0
27.03.2024;10:05;20.90;21.18;20.88;21.16;21.03;535579904;0
27.03.2024;11:05;21.14;21.20;21.02;21.02;21.11;339623712;0
27.03.2024;12:05;21.04;21.18;21.00;21.14;21.09;295423104;0
27.03.2024;13:05;21.12;21.18;21.06;21.12;21.12;80085168;0
27.03.2024;14:05;21.12;21.20;21.08;21.10;21.14;191318896;0
27.03.2024;15:05;21.10;21.14;21.02;21.08;21.08;132421000;0
27.03.2024;16:05;21.08;21.16;21.06;21.10;21.11;124459504;0
27.03.2024;17:05;21.10;21.22;21.08;21.16;21.15;307609088;0
27.03.2024;18:05;21.16;21.16;21.16;21.16;21.16;46451472;0
28.03.2024;09:05;21.18;21.18;21.18;21.18;21.18;15331250;0
28.03.2024;10:05;21.18;21.26;21.10;21.24;21.18;445794304;0
28.03.2024;11:05;21.22;21.30;21.12;21.14;21.21;209706208;0
28.03.2024;12:05;21.14;21.14;21.04;21.08;21.09;98689080;0
28.03.2024;13:05;21.10;21.12;21.04;21.08;21.08;93188144;0
28.03.2024;14:05;21.08;21.16;20.96;21.00;21.06;155020800;0
28.03.2024;15:05;21.00;21.06;20.92;21.06;20.99;225467200;0
28.03.2024;16:05;21.06;21.06;20.90;20.98;20.98;77002176;0
28.03.2024;17:05;21.00;21.10;20.94;21.00;21.02;197456704;0
28.03.2024;18:05;20.98;20.98;20.98;20.98;20.98;59457580;0
31.03.2024;09:05;21.00;21.00;21.00;21.00;21.00;19635890;0
31.03.2024;10:05;21.02;21.04;20.72;20.74;20.88;368238784;0
31.03.2024;11:05;20.74;20.80;20.66;20.76;20.73;149343104;0
31.03.2024;12:05;20.76;20.80;20.72;20.78;20.76;54763168;0
31.03.2024;13:05;20.78;20.84;20.74;20.78;20.79;67915344;0
31.03.2024;14:05;20.78;20.92;20.76;20.82;20.84;153172304;0
31.03.2024;15:05;20.80;20.84;20.60;20.62;20.72;241038400;0
31.03.2024;16:05;20.64;20.64;20.46;20.48;20.55;267350304;0
31.03.2024;17:05;20.50;20.58;20.34;20.40;20.46;226612496;0
31.03.2024;18:05;20.38;20.38;20.38;20.38;20.38;56784480;0
01.04.2024;09:05;20.44;20.44;20.44;20.44;20.44;16133910;0
01.04.2024;10:05;20.46;20.48;19.97;20.08;20.22;597596032;0
01.04.2024;11:05;20.06;20.18;19.66;19.74;19.92;698862016;0
01.04.2024;12:05;19.74;19.85;19.72;19.80;19.78;148344896;0
01.04.2024;13:05;19.78;19.86;19.74;19.84;19.80;122951104;0
01.04.2024;14:05;19.83;19.89;19.79;19.89;19.84;153410592;0
01.04.2024;15:05;19.88;19.91;19.81;19.86;19.86;107806896;0
01.04.2024;16:05;19.86;20.20;19.78;20.06;19.99;354936896;0
01.04.2024;17:05;20.08;20.22;20.04;20.08;20.13;292598112;0
01.04.2024;18:05;20.08;20.08;20.08;20.08;20.08;58749840;0
02.04.2024;09:05;20.10;20.10;20.10;20.10;20.10;12692980;0
02.04.2024;10:05;20.12;20.30;20.08;20.12;20.19;287655008;0
02.04.2024;11:05;20.14;20.16;19.99;20.06;20.07;193975200;0
02.04.2024;12:05;20.06;20.24;20.04;20.12;20.14;87488736;0
02.04.2024;13:05;20.10;20.16;20.04;20.06;20.10;48985008;0
02.04.2024;14:05;20.06;20.16;20.04;20.16;20.10;83589424;0
02.04.2024;15:05;20.14;20.20;20.08;20.08;20.14;87185952;0
02.04.2024;16:05;20.10;20.18;20.06;20.14;20.12;52856320;0
02.04.2024;17:05;20.14;20.16;19.95;19.98;20.06;129905200;0
02.04.2024;18:05;19.90;19.90;19.90;19.90;19.90;40622608;0
03.04.2024;09:05;20.00;20.00;20.00;20.00;20.00;12728460;0
03.04.2024;10:05;20.00;20.14;19.98;20.04;20.06;256609904;0
03.04.2024;11:05;20.06;20.12;19.97;20.04;20.05;100046096;0
03.04.2024;12:05;20.04;20.04;19.94;19.99;19.99;108502600;0
03.04.2024;13:05;20.00;20.12;19.91;20.06;20.02;131744304;0
03.04.2024;14:05;20.06;20.24;19.99;20.20;20.11;204944992;0
03.04.2024;15:05;20.20;20.22;20.06;20.10;20.14;97845280;0
03.04.2024;16:05;20.10;20.16;20.04;20.06;20.10;61293620;0
03.04.2024;17:05;20.06;20.10;19.97;20.00;20.03;155472992;0
03.04.2024;18:05;20.02;20.02;20.02;20.02;20.02;51447072;0
04.04.2024;09:05;20.08;20.08;20.08;20.08;20.08;14026680;0
04.04.2024;10:05;20.10;20.34;20.04;20.22;20.19;402074112;0
04.04.2024;11:05;20.24;20.40;20.22;20.32;20.31;336157600;0
04.04.2024;12:05;20.36;20.42;20.30;20.40;20.36;163367504;0
04.04.2024;13:05;20.38;20.46;20.34;20.40;20.40;150352400;0
04.04.2024;14:05;20.40;20.58;20.36;20.44;20.47;247151504;0
04.04.2024;15:05;20.44;20.48;20.24;20.28;20.36;175951296;0
04.04.2024;16:05;20.26;20.36;20.22;20.28;20.29;156965296;0
04.04.2024;17:05;20.28;20.30;20.18;20.18;20.24;186199296;0
04.04.2024;18:05;20.16;20.16;20.16;20.16;20.16;81215640;0
07.04.2024;09:05;20.04;20.04;20.04;20.04;20.04;22446270;0
07.04.2024;10:05;20.04;20.10;19.83;19.90;19.97;345433312;0
07.04.2024;11:05;19.89;19.95;19.86;19.89;19.91;130390000;0
07.04.2024;12:05;19.88;19.89;19.79;19.84;19.84;120813696;0
07.04.2024;13:05;19.84;19.84;19.72;19.78;19.78;110024800;0
07.04.2024;14:05;19.77;19.82;19.74;19.77;19.78;94856656;0
07.04.2024;15:05;19.77;19.84;19.76;19.79;19.80;128385296;0
07.04.2024;16:05;19.79;19.79;19.61;19.75;19.70;280332416;0
07.04.2024;17:05;19.75;19.76;19.52;19.54;19.64;166440496;0
07.04.2024;18:05;19.50;19.50;19.50;19.50;19.50;43864000;0
08.04.2024;09:05;19.54;19.54;19.54;19.54;19.54;6114144;0
08.04.2024;10:05;19.55;19.67;19.46;19.46;19.56;240719808;0
08.04.2024;11:05;19.47;19.63;19.41;19.56;19.52;105446496;0
08.04.2024;12:05;19.56;19.65;19.53;19.59;19.59;61982648;0
08.04.2024;13:05;19.58;19.60;19.48;19.49;19.54;77032520;0
08.04.2024;14:05;19.50;19.77;19.48;19.72;19.62;201062000;0
08.04.2024;15:05;19.72;19.85;19.63;19.85;19.74;219918000;0
08.04.2024;16:05;19.85;19.92;19.82;19.85;19.87;158272800;0
08.04.2024;17:05;19.86;19.88;19.74;19.75;19.81;161955904;0
08.04.2024;18:05;19.78;19.78;19.78;19.78;19.78;23071390;0
09.04.2024;09:05;19.79;19.79;19.79;19.79;19.79;12777170;0
09.04.2024;10:05;19.79;19.85;19.67;19.80;19.76;157701904;0
09.04.2024;11:05;19.80;19.83;19.72;19.80;19.77;48099592;0
09.04.2024;12:05;19.80;19.89;19.75;19.76;19.82;76712920;0
09.04.2024;13:05;19.76;19.78;19.71;19.74;19.74;46399760;0
09.04.2024;14:05;19.73;19.85;19.69;19.81;19.77;57335168;0
09.04.2024;15:05;19.82;19.82;19.70;19.72;19.76;57738120;0
09.04.2024;16:05;19.72;19.83;19.65;19.70;19.74;96549968;0
09.04.2024;17:05;19.70;20.06;19.68;19.95;19.87;281872704;0
09.04.2024;18:05;19.90;19.90;19.90;19.90;19.90;36271832;0
10.04.2024;09:05;19.95;19.95;19.95;19.95;19.95;10504760;0
10.04.2024;10:05;19.95;20.28;19.95;20.12;20.12;316626400;0
10.04.2024;11:05;20.12;20.14;20.00;20.10;20.07;105444304;0
10.04.2024;12:05;20.08;20.18;20.04;20.08;20.11;51656420;0
10.04.2024;13:05;20.10;20.12;20.06;20.08;20.09;31523040;0
10.04.2024;14:05;20.06;20.14;20.04;20.12;20.09;31915090;0
10.04.2024;15:05;20.12;20.40;20.10;20.30;20.25;453566496;0
10.04.2024;16:05;20.30;20.36;20.20;20.26;20.28;342578912;0
10.04.2024;17:05;20.24;20.40;20.22;20.28;20.31;648721728;0
10.04.2024;18:05;20.26;20.26;20.26;20.26;20.26;36369940;0
11.04.2024;09:05;20.36;20.36;20.36;20.36;20.36;18719390;0
11.04.2024;10:05;20.36;20.46;20.32;20.44;20.39;354991296;0
11.04.2024;11:05;20.44;20.56;20.40;20.52;20.48;271611200;0
11.04.2024;12:05;20.52;20.78;20.48;20.72;20.63;336310304;0
11.04.2024;13:05;20.72;20.84;20.66;20.80;20.75;303488512;0
