Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
07.05.2005;00:00;0.20;0.20;0.18;0.18;0.19;1403522;0
08.05.2005;00:00;0.18;0.19;0.17;0.19;0.18;2380661;0
09.05.2005;00:00;0.19;0.20;0.18;0.18;0.19;2142470;0
10.05.2005;00:00;0.18;0.18;0.17;0.18;0.18;857665;0
14.05.2005;00:00;0.18;0.18;0.16;0.16;0.17;1336704;0
15.05.2005;00:00;0.16;0.16;0.15;0.16;0.16;2402912;0
16.05.2005;00:00;0.16;0.17;0.15;0.16;0.16;2120341;0
17.05.2005;00:00;0.16;0.17;0.16;0.17;0.16;1413276;0
18.05.2005;00:00;0.17;0.17;0.17;0.17;0.17;3280018;0
21.05.2005;00:00;0.18;0.19;0.17;0.19;0.18;3149846;0
22.05.2005;00:00;0.19;0.20;0.18;0.18;0.19;1927995;0
23.05.2005;00:00;0.18;0.19;0.17;0.19;0.18;3943348;0
25.05.2005;00:00;0.19;0.20;0.19;0.19;0.20;2314498;0
26.05.2005;00:00;0.19;0.20;0.19;0.19;0.20;1720363;0
29.05.2005;00:00;0.18;0.19;0.18;0.18;0.19;1564053;0
30.05.2005;00:00;0.18;0.19;0.18;0.18;0.19;1755511;0
31.05.2005;00:00;0.18;0.19;0.18;0.18;0.19;1649934;0
01.06.2005;00:00;0.18;0.18;0.18;0.18;0.18;862142;0
02.06.2005;00:00;0.18;0.19;0.18;0.18;0.19;2588326;0
05.06.2005;00:00;0.18;0.18;0.18;0.18;0.18;428083;0
06.06.2005;00:00;0.18;0.18;0.15;0.16;0.17;1869441;0
07.06.2005;00:00;0.15;0.17;0.15;0.16;0.16;1848124;0
08.06.2005;00:00;0.17;0.17;0.17;0.17;0.17;1545402;0
09.06.2005;00:00;0.17;0.17;0.17;0.17;0.17;954211;0
12.06.2005;00:00;0.17;0.17;0.17;0.17;0.17;599267;0
13.06.2005;00:00;0.17;0.17;0.17;0.17;0.17;351344;0
14.06.2005;00:00;0.17;0.17;0.16;0.16;0.16;888592;0
15.06.2005;00:00;0.16;0.17;0.16;0.16;0.16;722318;0
16.06.2005;00:00;0.16;0.16;0.15;0.16;0.16;685581;0
19.06.2005;00:00;0.16;0.16;0.14;0.14;0.15;963364;0
20.06.2005;00:00;0.14;0.15;0.14;0.15;0.15;540258;0
21.06.2005;00:00;0.15;0.15;0.14;0.15;0.15;762242;0
22.06.2005;00:00;0.15;0.15;0.15;0.15;0.15;2555156;0
23.06.2005;00:00;0.16;0.16;0.15;0.15;0.16;1249745;0
28.06.2005;00:00;0.15;0.16;0.15;0.16;0.16;1258965;0
29.06.2005;00:00;0.16;0.17;0.16;0.16;0.16;1460454;0
30.06.2005;00:00;0.16;0.17;0.15;0.16;0.16;980516;0
01.07.2005;00:00;0.16;0.16;0.15;0.16;0.16;471940;0
02.07.2005;00:00;0.16;0.17;0.16;0.16;0.16;1330372;0
05.07.2005;00:00;0.16;0.17;0.16;0.16;0.16;854177;0
06.07.2005;00:00;0.16;0.17;0.16;0.16;0.16;344968;0
07.07.2005;00:00;0.16;0.17;0.16;0.16;0.16;2989693;0
08.07.2005;00:00;0.16;0.16;0.16;0.16;0.16;552255;0
09.07.2005;00:00;0.16;0.16;0.15;0.15;0.16;655988;0
12.07.2005;00:00;0.14;0.15;0.14;0.15;0.15;610642;0
13.07.2005;00:00;0.15;0.16;0.15;0.15;0.16;873629;0
14.07.2005;00:00;0.15;0.15;0.15;0.15;0.15;687492;0
15.07.2005;00:00;0.15;0.16;0.15;0.16;0.16;1005722;0
16.07.2005;00:00;0.15;0.16;0.15;0.15;0.16;447156;0
19.07.2005;00:00;0.16;0.16;0.15;0.15;0.16;413575;0
20.07.2005;00:00;0.16;0.16;0.15;0.16;0.16;1074606;0
21.07.2005;00:00;0.16;0.16;0.16;0.16;0.16;1373629;0
22.07.2005;00:00;0.16;0.16;0.16;0.16;0.16;1864398;0
23.07.2005;00:00;0.16;0.16;0.16;0.16;0.16;1842069;0
26.07.2005;00:00;0.16;0.17;0.16;0.17;0.16;2238704;0
28.07.2005;00:00;0.17;0.17;0.16;0.17;0.16;1040592;0
29.07.2005;00:00;0.17;0.19;0.16;0.18;0.17;4008689;0
30.07.2005;00:00;0.18;0.18;0.17;0.17;0.18;2556400;0
31.07.2005;00:00;0.17;0.17;0.17;0.17;0.17;846690;0
03.08.2005;00:00;0.17;0.18;0.17;0.17;0.18;2499257;0
04.08.2005;00:00;0.18;0.19;0.17;0.19;0.18;3762022;0
05.08.2005;00:00;0.19;0.19;0.18;0.18;0.19;1437815;0
06.08.2005;00:00;0.18;0.20;0.18;0.19;0.19;10691150;0
07.08.2005;00:00;0.20;0.20;0.19;0.19;0.20;3568531;0
10.08.2005;00:00;0.20;0.20;0.19;0.19;0.20;1204911;0
11.08.2005;00:00;0.20;0.20;0.17;0.20;0.19;2428617;0
12.08.2005;00:00;0.20;0.21;0.19;0.20;0.20;4143393;0
13.08.2005;00:00;0.20;0.20;0.19;0.20;0.20;1359710;0
14.08.2005;00:00;0.20;0.20;0.19;0.19;0.20;1096635;0
17.08.2005;00:00;0.19;0.20;0.19;0.20;0.20;2911244;0
18.08.2005;00:00;0.19;0.21;0.19;0.20;0.20;6283374;0
19.08.2005;00:00;0.20;0.21;0.20;0.20;0.20;1853367;0
20.08.2005;00:00;0.20;0.20;0.20;0.20;0.20;1042491;0
21.08.2005;00:00;0.20;0.21;0.20;0.20;0.20;1201223;0
24.08.2005;00:00;0.20;0.22;0.20;0.21;0.21;9292307;0
25.08.2005;00:00;0.20;0.22;0.19;0.21;0.20;20868790;0
27.08.2005;00:00;0.21;0.21;0.20;0.21;0.20;6582063;0
29.08.2005;00:00;0.21;0.21;0.20;0.20;0.20;1793647;0
01.09.2005;00:00;0.21;0.21;0.20;0.20;0.20;2097757;0
02.09.2005;00:00;0.20;0.21;0.20;0.20;0.20;1187948;0
03.09.2005;00:00;0.20;0.21;0.20;0.20;0.20;672684;0
04.09.2005;00:00;0.20;0.20;0.19;0.20;0.20;660343;0
05.09.2005;00:00;0.20;0.20;0.19;0.20;0.20;618663;0
08.09.2005;00:00;0.20;0.21;0.19;0.20;0.20;3554068;0
09.09.2005;00:00;0.20;0.21;0.20;0.20;0.20;1737748;0
10.09.2005;00:00;0.20;0.20;0.20;0.20;0.20;882093;0
11.09.2005;00:00;0.20;0.20;0.19;0.19;0.20;780205;0
12.09.2005;00:00;0.19;0.20;0.19;0.19;0.20;858277;0
15.09.2005;00:00;0.20;0.21;0.20;0.20;0.20;2279206;0
16.09.2005;00:00;0.20;0.21;0.20;0.21;0.20;4325341;0
17.09.2005;00:00;0.21;0.21;0.20;0.20;0.20;2947324;0
18.09.2005;00:00;0.20;0.20;0.20;0.20;0.20;1703278;0
19.09.2005;00:00;0.20;0.20;0.19;0.19;0.20;1585671;0
22.09.2005;00:00;0.19;0.20;0.19;0.19;0.20;733649;0
23.09.2005;00:00;0.19;0.20;0.19;0.19;0.20;2031572;0
24.09.2005;00:00;0.20;0.20;0.19;0.19;0.20;2065331;0
25.09.2005;00:00;0.20;0.21;0.20;0.20;0.20;15677640;0
26.09.2005;00:00;0.20;0.20;0.19;0.19;0.20;3053479;0
01.10.2005;00:00;0.19;0.20;0.19;0.19;0.20;1537382;0
02.10.2005;00:00;0.19;0.20;0.19;0.19;0.20;1817786;0
03.10.2005;00:00;0.19;0.19;0.19;0.19;0.19;850267;0
04.10.2005;00:00;0.20;0.20;0.19;0.19;0.20;1154455;0
05.10.2005;00:00;0.19;0.19;0.19;0.19;0.19;657210;0
08.10.2005;00:00;0.19;0.19;0.19;0.19;0.19;422984;0
09.10.2005;00:00;0.19;0.20;0.19;0.19;0.20;1067630;0
10.10.2005;00:00;0.19;0.20;0.19;0.19;0.20;3354612;0
11.10.2005;00:00;0.19;0.20;0.19;0.20;0.20;1725551;0
12.10.2005;00:00;0.20;0.20;0.20;0.20;0.20;1553078;0
15.10.2005;00:00;0.20;0.20;0.20;0.20;0.20;4491082;0
16.10.2005;00:00;0.20;0.21;0.20;0.20;0.20;8127188;0
17.10.2005;00:00;0.20;0.20;0.19;0.20;0.20;2434449;0
18.10.2005;00:00;0.20;0.20;0.20;0.20;0.20;3639005;0
19.10.2005;00:00;0.19;0.20;0.19;0.20;0.20;982427;0
25.10.2005;00:00;0.20;0.20;0.20;0.20;0.20;1685349;0
26.10.2005;00:00;0.20;0.20;0.20;0.20;0.20;1689414;0
29.10.2005;00:00;0.20;0.21;0.20;0.21;0.20;5052136;0
30.10.2005;00:00;0.21;0.21;0.21;0.21;0.21;2981350;0
01.11.2005;00:00;0.21;0.21;0.21;0.21;0.21;2320564;0
02.11.2005;00:00;0.21;0.21;0.20;0.20;0.20;1317786;0
03.11.2005;00:00;0.20;0.21;0.20;0.20;0.20;2202301;0
06.11.2005;00:00;0.20;0.20;0.20;0.20;0.20;999767;0
07.11.2005;00:00;0.19;0.21;0.19;0.20;0.20;1943580;0
08.11.2005;00:00;0.21;0.21;0.20;0.20;0.20;1419830;0
09.11.2005;00:00;0.20;0.21;0.20;0.21;0.20;4572731;0
10.11.2005;00:00;0.21;0.22;0.21;0.21;0.21;5391094;0
13.11.2005;00:00;0.21;0.22;0.21;0.22;0.21;7073754;0
14.11.2005;00:00;0.22;0.23;0.21;0.21;0.22;6535518;0
15.11.2005;00:00;0.22;0.22;0.21;0.21;0.21;4317454;0
16.11.2005;00:00;0.21;0.22;0.21;0.21;0.21;3084550;0
17.11.2005;00:00;0.22;0.22;0.20;0.21;0.21;1744013;0
20.11.2005;00:00;0.21;0.21;0.20;0.20;0.20;2772852;0
21.11.2005;00:00;0.21;0.21;0.20;0.20;0.20;1959555;0
22.11.2005;00:00;0.20;0.21;0.20;0.20;0.20;1024884;0
23.11.2005;00:00;0.20;0.21;0.20;0.21;0.20;1205933;0
24.11.2005;00:00;0.21;0.21;0.21;0.21;0.21;2132494;0
27.11.2005;00:00;0.21;0.21;0.21;0.21;0.21;1905100;0
28.11.2005;00:00;0.21;0.21;0.21;0.21;0.21;1467597;0
29.11.2005;00:00;0.21;0.21;0.21;0.21;0.21;1572129;0
30.11.2005;00:00;0.21;0.22;0.21;0.21;0.21;2296747;0
03.12.2005;00:00;0.21;0.21;0.21;0.21;0.21;2477229;0
06.12.2005;00:00;0.21;0.23;0.21;0.22;0.22;10390490;0
07.12.2005;00:00;0.22;0.22;0.21;0.22;0.21;4055446;0
08.12.2005;00:00;0.22;0.23;0.22;0.23;0.23;10378640;0
09.12.2005;00:00;0.23;0.23;0.22;0.22;0.23;5782540;0
10.12.2005;00:00;0.22;0.23;0.22;0.23;0.23;3827407;0
13.12.2005;00:00;0.22;0.23;0.22;0.23;0.23;4924286;0
14.12.2005;00:00;0.24;0.24;0.23;0.24;0.23;6062978;0
15.12.2005;00:00;0.24;0.25;0.24;0.25;0.24;7264390;0
16.12.2005;00:00;0.25;0.25;0.25;0.25;0.25;3699702;0
17.12.2005;00:00;0.25;0.25;0.24;0.25;0.24;3318787;0
20.12.2005;00:00;0.25;0.25;0.24;0.25;0.24;2068430;0
21.12.2005;00:00;0.25;0.25;0.23;0.24;0.24;3183972;0
22.12.2005;00:00;0.24;0.24;0.24;0.24;0.24;3793404;0
23.12.2005;00:00;0.24;0.24;0.23;0.24;0.23;3247391;0
24.12.2005;00:00;0.24;0.25;0.24;0.24;0.24;4179829;0
27.12.2005;00:00;0.24;0.25;0.23;0.24;0.24;3469153;0
28.12.2005;00:00;0.24;0.24;0.23;0.23;0.23;3278185;0
29.12.2005;00:00;0.23;0.23;0.23;0.23;0.23;2067453;0
30.12.2005;00:00;0.23;0.23;0.23;0.23;0.23;1441758;0
31.12.2005;00:00;0.23;0.23;0.23;0.23;0.23;1212876;0
07.01.2006;00:00;0.23;0.23;0.23;0.23;0.23;1577961;0
08.01.2006;00:00;0.23;0.24;0.23;0.24;0.23;1200345;0
11.01.2006;00:00;0.23;0.23;0.23;0.23;0.23;1331594;0
12.01.2006;00:00;0.23;0.23;0.22;0.22;0.23;1417519;0
13.01.2006;00:00;0.22;0.22;0.22;0.22;0.22;1795347;0
14.01.2006;00:00;0.23;0.23;0.22;0.23;0.23;1411276;0
15.01.2006;00:00;0.23;0.24;0.23;0.24;0.23;2732006;0
18.01.2006;00:00;0.24;0.25;0.24;0.24;0.24;1666186;0
19.01.2006;00:00;0.24;0.25;0.24;0.25;0.24;3380295;0
20.01.2006;00:00;0.25;0.29;0.24;0.29;0.26;15606440;0
21.01.2006;00:00;0.29;0.34;0.29;0.33;0.31;18300290;0
22.01.2006;00:00;0.33;0.33;0.30;0.30;0.32;16235130;0
25.01.2006;00:00;0.31;0.34;0.31;0.31;0.33;13555020;0
26.01.2006;00:00;0.31;0.32;0.31;0.31;0.31;8216057;0
27.01.2006;00:00;0.32;0.32;0.31;0.32;0.31;6852981;0
28.01.2006;00:00;0.32;0.32;0.31;0.31;0.31;3590782;0
