Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
06.09.2011;00:00;0.72;0.73;0.68;0.68;0.70;2760639;0
07.09.2011;00:00;0.69;0.70;0.68;0.69;0.69;472168;0
10.09.2011;00:00;0.70;0.71;0.70;0.71;0.70;381868;0
11.09.2011;00:00;0.71;0.72;0.71;0.71;0.72;375649;0
12.09.2011;00:00;0.71;0.71;0.70;0.70;0.70;380441;0
13.09.2011;00:00;0.70;0.71;0.70;0.70;0.70;230134;0
15.09.2011;00:00;0.70;0.70;0.69;0.70;0.70;104535;0
18.09.2011;00:00;0.70;0.71;0.70;0.70;0.70;212071;0
19.09.2011;00:00;0.70;0.70;0.70;0.70;0.70;142860;0
20.09.2011;00:00;0.70;0.70;0.70;0.70;0.70;287922;0
21.09.2011;00:00;0.70;0.71;0.70;0.70;0.70;797874;0
22.09.2011;00:00;0.70;0.70;0.70;0.70;0.70;184004;0
25.09.2011;00:00;0.71;0.71;0.70;0.70;0.70;403123;0
26.09.2011;00:00;0.70;0.70;0.70;0.70;0.70;283931;0
27.09.2011;00:00;0.70;0.70;0.70;0.70;0.70;217596;0
28.09.2011;00:00;0.70;0.70;0.70;0.70;0.70;40082;0
29.09.2011;00:00;0.70;0.71;0.70;0.71;0.70;306506;0
02.10.2011;00:00;0.71;0.72;0.70;0.71;0.71;560802;0
03.10.2011;00:00;0.71;0.72;0.71;0.71;0.72;206542;0
04.10.2011;00:00;0.71;0.72;0.71;0.71;0.72;213753;0
05.10.2011;00:00;0.71;0.73;0.71;0.71;0.72;1359106;0
06.10.2011;00:00;0.71;0.71;0.70;0.70;0.71;245120;0
09.10.2011;00:00;0.70;0.70;0.70;0.70;0.70;143597;0
10.10.2011;00:00;0.70;0.70;0.70;0.70;0.70;156878;0
11.10.2011;00:00;0.70;0.71;0.70;0.70;0.70;561307;0
12.10.2011;00:00;0.70;0.71;0.70;0.70;0.70;228721;0
13.10.2011;00:00;0.70;0.71;0.70;0.70;0.71;850454;0
18.10.2011;00:00;0.70;0.71;0.70;0.70;0.71;740739;0
19.10.2011;00:00;0.70;0.72;0.70;0.70;0.71;1220903;0
20.10.2011;00:00;0.71;0.71;0.70;0.71;0.71;777145;0
21.10.2011;00:00;0.71;0.71;0.70;0.70;0.71;117631;0
