Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:00;9317.50;9337.50;9287.50;9290.00;9312.50;1889907;0
24.08.2025;11:15;9295.00;9295.00;9230.00;9270.00;9262.50;1612232;0
24.08.2025;11:30;9260.00;9325.00;9257.50;9275.00;9291.25;798575;0
24.08.2025;11:45;9277.50;9305.00;9275.00;9302.50;9290.00;557130;0
24.08.2025;12:00;9300.00;9317.50;9235.00;9245.00;9276.25;1743912;0
24.08.2025;12:15;9295.00;9297.50;9250.00;9250.00;9273.75;648385;0
24.08.2025;12:30;9252.50;9252.50;9200.00;9200.00;9226.25;1586260;0
24.08.2025;12:45;9200.00;9220.00;9200.00;9217.50;9210.00;699942;0
24.08.2025;13:00;9215.00;9220.00;9170.00;9185.00;9195.00;1011800;0
24.08.2025;13:15;9185.00;9210.00;9160.00;9162.50;9185.00;532220;0
24.08.2025;13:30;9165.00;9207.50;9165.00;9205.00;9186.25;533027;0
24.08.2025;13:45;9185.00;9197.50;9172.50;9177.50;9185.00;504942;0
24.08.2025;14:00;9177.50;9180.00;9117.50;9142.50;9148.75;1491080;0
24.08.2025;14:15;9142.50;9142.50;9030.00;9100.00;9086.25;2574490;0
24.08.2025;14:30;9100.00;9102.50;9060.00;9060.00;9081.25;1270420;0
24.08.2025;14:45;9070.00;9100.00;9060.00;9077.50;9080.00;727470;0
24.08.2025;15:00;9082.50;9135.00;9080.00;9125.00;9107.50;437435;0
24.08.2025;15:15;9125.00;9125.00;9090.00;9115.00;9107.50;973795;0
24.08.2025;15:30;9145.00;9160.00;9080.00;9150.00;9120.00;3044715;0
24.08.2025;15:45;9120.00;9150.00;9100.00;9120.00;9125.00;683685;0
24.08.2025;16:00;9122.50;9190.00;9122.50;9150.00;9156.25;815450;0
24.08.2025;16:15;9177.50;9177.50;9137.50;9137.50;9157.50;1079735;0
24.08.2025;16:30;9140.00;9140.00;9112.50;9112.50;9126.25;401570;0
24.08.2025;16:45;9110.00;9190.00;9090.00;9175.00;9140.00;1866960;0
24.08.2025;17:00;9192.50;9262.50;9170.00;9170.00;9216.25;2656155;0
24.08.2025;17:15;9175.00;9245.00;9152.50;9152.50;9198.75;1841580;0
24.08.2025;17:30;9157.50;9157.50;9095.00;9100.00;9126.25;2684200;0
24.08.2025;17:45;9147.50;9150.00;9072.50;9087.50;9111.25;1237152;0
24.08.2025;18:00;9085.00;9145.00;9085.00;9145.00;9115.00;911077;0
27.08.2025;10:00;8805.00;8997.50;8715.00;8862.50;8856.25;5463365;0
27.08.2025;10:15;8862.50;8882.50;8800.00;8880.00;8841.25;4759002;0
27.08.2025;10:30;8880.00;8910.00;8830.00;8862.50;8870.00;3930797;0
27.08.2025;10:45;8850.00;8935.00;8845.00;8892.50;8890.00;1907272;0
27.08.2025;11:00;8862.50;8900.00;8817.50;8900.00;8858.75;1364132;0
27.08.2025;11:15;8912.50;8980.00;8880.00;8942.50;8930.00;1958187;0
27.08.2025;11:30;8942.50;8972.50;8937.50;8972.50;8955.00;689380;0
27.08.2025;11:45;8967.50;8972.50;8915.00;8915.00;8943.75;786312;0
27.08.2025;12:00;8922.50;8927.50;8907.50;8907.50;8917.50;303180;0
27.08.2025;12:15;8910.00;9042.50;8907.50;9042.50;8975.00;1739837;0
27.08.2025;12:30;9042.50;9095.00;9035.00;9070.00;9065.00;1351282;0
27.08.2025;12:45;9077.50;9230.00;9072.50;9205.00;9151.25;3835895;0
27.08.2025;13:00;9232.50;9522.50;9220.00;9262.50;9371.25;13314267;0
27.08.2025;13:15;9262.50;9315.00;9177.50;9235.00;9246.25;3241460;0
27.08.2025;13:30;9195.00;9260.00;9180.00;9225.00;9220.00;2105705;0
27.08.2025;13:45;9257.50;9290.00;9187.50;9235.00;9238.75;1586110;0
27.08.2025;14:00;9200.00;9232.50;9185.00;9185.00;9208.75;1030527;0
27.08.2025;14:15;9185.00;9202.50;9095.00;9125.00;9148.75;1052162;0
27.08.2025;14:30;9117.50;9172.50;9115.00;9115.00;9143.75;648325;0
27.08.2025;14:45;9117.50;9142.50;9040.00;9100.00;9091.25;1525652;0
27.08.2025;15:00;9100.00;9192.50;9100.00;9187.50;9146.25;1200052;0
27.08.2025;15:15;9187.50;9255.00;9187.50;9200.00;9221.25;1956217;0
27.08.2025;15:30;9200.00;9200.00;9102.50;9125.00;9151.25;1082220;0
27.08.2025;15:45;9125.00;9155.00;9050.00;9155.00;9102.50;982642;0
27.08.2025;16:00;9157.50;9185.00;9140.00;9185.00;9162.50;933095;0
27.08.2025;16:15;9177.50;9235.00;9155.00;9227.50;9195.00;1434970;0
27.08.2025;16:30;9217.50;9225.00;9155.00;9177.50;9190.00;1064025;0
27.08.2025;16:45;9145.00;9197.50;9145.00;9175.00;9171.25;815580;0
27.08.2025;17:00;9172.50;9240.00;9142.50;9155.00;9191.25;3435165;0
27.08.2025;17:15;9150.00;9292.50;9132.50;9257.50;9212.50;2303627;0
27.08.2025;17:30;9257.50;9300.00;9187.50;9250.00;9243.75;2682197;0
27.08.2025;17:45;9250.00;9270.00;9102.50;9152.50;9186.25;4116140;0
