Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
07.05.2005;00:00;0.79;0.81;0.71;0.73;0.76;629021;0
08.05.2005;00:00;0.73;0.76;0.73;0.75;0.75;834612;0
09.05.2005;00:00;0.77;0.79;0.74;0.74;0.77;911416;0
10.05.2005;00:00;0.69;0.72;0.69;0.71;0.71;443577;0
14.05.2005;00:00;0.71;0.73;0.65;0.66;0.69;346964;0
15.05.2005;00:00;0.66;0.68;0.63;0.67;0.66;352884;0
16.05.2005;00:00;0.67;0.67;0.63;0.65;0.65;266333;0
17.05.2005;00:00;0.67;0.67;0.64;0.66;0.66;244511;0
18.05.2005;00:00;0.67;0.70;0.67;0.67;0.69;845164;0
21.05.2005;00:00;0.69;0.77;0.68;0.74;0.72;1002286;0
22.05.2005;00:00;0.75;0.75;0.71;0.73;0.73;426242;0
23.05.2005;00:00;0.73;0.75;0.64;0.75;0.69;322970;0
25.05.2005;00:00;0.75;0.75;0.73;0.73;0.74;364319;0
26.05.2005;00:00;0.75;0.75;0.73;0.73;0.74;427721;0
29.05.2005;00:00;0.71;0.71;0.68;0.69;0.69;414819;0
30.05.2005;00:00;0.68;0.70;0.66;0.67;0.68;541221;0
31.05.2005;00:00;0.67;0.69;0.65;0.67;0.67;344566;0
01.06.2005;00:00;0.67;0.67;0.64;0.65;0.66;186627;0
02.06.2005;00:00;0.65;0.67;0.61;0.62;0.64;453824;0
05.06.2005;00:00;0.61;0.63;0.60;0.60;0.62;172961;0
06.06.2005;00:00;0.60;0.60;0.53;0.54;0.56;315857;0
07.06.2005;00:00;0.55;0.56;0.54;0.55;0.55;261675;0
08.06.2005;00:00;0.58;0.58;0.56;0.56;0.57;399441;0
09.06.2005;00:00;0.59;0.59;0.56;0.56;0.57;252503;0
12.06.2005;00:00;0.58;0.58;0.56;0.57;0.57;144390;0
13.06.2005;00:00;0.58;0.58;0.56;0.56;0.57;105787;0
14.06.2005;00:00;0.56;0.56;0.54;0.56;0.55;175219;0
15.06.2005;00:00;0.58;0.58;0.54;0.56;0.56;122170;0
16.06.2005;00:00;0.61;0.61;0.52;0.54;0.56;84261;0
19.06.2005;00:00;0.54;0.56;0.51;0.51;0.53;114686;0
20.06.2005;00:00;0.54;0.54;0.50;0.54;0.52;130267;0
21.06.2005;00:00;0.52;0.56;0.52;0.52;0.54;228824;0
22.06.2005;00:00;0.53;0.54;0.52;0.54;0.53;375056;0
23.06.2005;00:00;0.55;0.56;0.54;0.54;0.55;872575;0
28.06.2005;00:00;0.56;0.59;0.55;0.58;0.57;1045932;0
29.06.2005;00:00;0.60;0.60;0.56;0.59;0.58;609628;0
30.06.2005;00:00;0.59;0.59;0.55;0.56;0.57;340127;0
01.07.2005;00:00;0.52;0.58;0.52;0.56;0.55;477803;0
02.07.2005;00:00;0.61;0.61;0.56;0.57;0.59;289267;0
05.07.2005;00:00;0.51;0.58;0.51;0.58;0.54;312699;0
06.07.2005;00:00;0.58;0.58;0.55;0.56;0.56;351222;0
07.07.2005;00:00;0.56;0.57;0.55;0.56;0.56;371460;0
08.07.2005;00:00;0.54;0.57;0.53;0.54;0.55;198237;0
09.07.2005;00:00;0.54;0.55;0.52;0.54;0.53;237695;0
12.07.2005;00:00;0.52;0.54;0.52;0.52;0.53;221736;0
13.07.2005;00:00;0.52;0.54;0.52;0.54;0.53;203479;0
14.07.2005;00:00;0.54;0.56;0.53;0.53;0.54;217958;0
15.07.2005;00:00;0.55;0.58;0.54;0.56;0.56;434249;0
16.07.2005;00:00;0.56;0.58;0.55;0.57;0.56;280212;0
19.07.2005;00:00;0.56;0.63;0.56;0.63;0.59;1350434;0
20.07.2005;00:00;0.64;0.65;0.61;0.61;0.63;1038553;0
21.07.2005;00:00;0.62;0.62;0.60;0.62;0.61;445584;0
22.07.2005;00:00;0.62;0.64;0.60;0.61;0.62;612652;0
23.07.2005;00:00;0.64;0.64;0.61;0.62;0.62;185409;0
26.07.2005;00:00;0.62;0.62;0.61;0.61;0.62;43574;0
28.07.2005;00:00;0.61;0.63;0.61;0.62;0.62;285186;0
29.07.2005;00:00;0.63;0.68;0.63;0.67;0.66;1072217;0
30.07.2005;00:00;0.69;0.70;0.63;0.67;0.66;858585;0
31.07.2005;00:00;0.67;0.67;0.65;0.67;0.66;304024;0
03.08.2005;00:00;0.67;0.71;0.67;0.71;0.69;431500;0
04.08.2005;00:00;0.71;0.73;0.69;0.71;0.71;174645;0
05.08.2005;00:00;0.72;0.72;0.69;0.71;0.71;218076;0
06.08.2005;00:00;0.71;0.73;0.69;0.70;0.71;434166;0
07.08.2005;00:00;0.69;0.70;0.63;0.65;0.66;813066;0
10.08.2005;00:00;0.65;0.66;0.63;0.65;0.65;770606;0
11.08.2005;00:00;0.66;0.66;0.64;0.65;0.65;207706;0
12.08.2005;00:00;0.58;0.69;0.58;0.66;0.63;771406;0
13.08.2005;00:00;0.67;0.68;0.65;0.66;0.66;471190;0
14.08.2005;00:00;0.67;0.68;0.66;0.67;0.67;420187;0
17.08.2005;00:00;0.67;0.67;0.65;0.66;0.66;125091;0
18.08.2005;00:00;0.66;0.67;0.65;0.66;0.66;127401;0
19.08.2005;00:00;0.66;0.66;0.63;0.65;0.65;237408;0
20.08.2005;00:00;0.65;0.65;0.63;0.65;0.64;274824;0
21.08.2005;00:00;0.65;0.67;0.64;0.65;0.66;434133;0
24.08.2005;00:00;0.65;0.68;0.65;0.67;0.66;324189;0
25.08.2005;00:00;0.68;0.69;0.67;0.67;0.68;336508;0
27.08.2005;00:00;0.70;0.70;0.67;0.70;0.69;290124;0
29.08.2005;00:00;0.70;0.70;0.67;0.68;0.69;181000;0
01.09.2005;00:00;0.69;0.71;0.67;0.70;0.69;618227;0
02.09.2005;00:00;0.70;0.71;0.69;0.70;0.70;420057;0
03.09.2005;00:00;0.70;0.70;0.68;0.68;0.69;169641;0
