Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;85.43;85.62;85.28;85.43;85.45;41456195;0
24.08.2025;11:30;85.43;85.92;85.43;85.77;85.67;34652091;0
24.08.2025;11:45;85.82;86.41;85.77;86.02;86.09;82592001;0
24.08.2025;12:00;86.02;86.26;85.62;85.87;85.94;57808176;0
24.08.2025;12:15;85.87;86.12;85.82;85.97;85.97;22559426;0
24.08.2025;12:30;86.02;86.17;85.87;85.97;86.02;33440556;0
24.08.2025;12:45;85.97;86.12;85.82;85.97;85.97;20808006;0
24.08.2025;13:00;85.97;86.12;85.77;86.07;85.94;31153184;0
24.08.2025;13:15;86.07;86.26;85.62;85.72;85.94;60715606;0
24.08.2025;13:30;85.72;85.77;85.53;85.62;85.65;47168358;0
24.08.2025;13:45;85.62;85.82;85.53;85.72;85.67;18685751;0
24.08.2025;14:00;85.67;85.72;85.03;85.38;85.38;70735802;0
24.08.2025;14:15;85.38;85.48;85.23;85.38;85.35;21406104;0
24.08.2025;14:30;85.38;85.72;85.38;85.62;85.55;49243522;0
24.08.2025;14:45;85.57;85.72;85.28;85.38;85.50;23907893;0
24.08.2025;15:00;85.38;85.57;85.18;85.53;85.38;26099336;0
24.08.2025;15:15;85.53;85.62;85.13;85.28;85.38;25677095;0
24.08.2025;15:30;85.33;85.57;85.08;85.48;85.33;35846624;0
24.08.2025;15:45;85.43;85.48;85.18;85.28;85.33;19344053;0
24.08.2025;16:00;85.28;85.57;85.23;85.33;85.40;27499960;0
24.08.2025;16:15;85.33;85.38;85.08;85.33;85.23;30788616;0
24.08.2025;16:30;85.33;85.48;85.18;85.23;85.33;27639258;0
24.08.2025;16:45;85.23;87.35;84.44;86.66;85.89;761237961;0
24.08.2025;17:00;86.56;87.15;85.82;86.07;86.49;437621014;0
24.08.2025;17:15;86.07;86.26;85.57;85.77;85.92;119113099;0
24.08.2025;17:30;85.72;85.82;84.64;84.84;85.23;132452561;0
24.08.2025;17:45;84.89;85.38;84.54;84.69;84.96;108754315;0
24.08.2025;18:00;84.69;84.89;84.44;84.44;84.66;104180546;0
27.08.2025;10:00;82.92;83.75;82.67;83.66;83.21;154915701;0
27.08.2025;10:15;83.61;83.66;83.07;83.56;83.36;129678837;0
27.08.2025;10:30;83.51;83.75;83.02;83.21;83.38;113124631;0
27.08.2025;10:45;83.16;83.26;82.72;82.82;82.99;104708159;0
27.08.2025;11:00;82.87;83.16;82.62;83.07;82.89;63676412;0
27.08.2025;11:15;83.07;83.21;82.87;82.97;83.04;36359611;0
27.08.2025;11:30;82.97;83.11;82.82;82.92;82.97;29200034;0
