Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;14.50;14.50;14.50;14.50;14.50;48182;0
27.02.2024;10:05;14.54;14.85;14.51;14.78;14.68;4749936;0
27.02.2024;11:05;14.75;14.82;14.72;14.77;14.77;3703436;0
27.02.2024;12:05;14.75;14.87;14.72;14.75;14.80;4040268;0
27.02.2024;13:05;14.77;14.81;14.74;14.74;14.77;407470;0
27.02.2024;14:05;14.75;14.83;14.75;14.81;14.79;590509;0
27.02.2024;15:05;14.82;14.88;14.81;14.83;14.85;1679413;0
27.02.2024;16:05;14.86;15.02;14.84;14.96;14.93;3757939;0
27.02.2024;17:05;14.96;15.04;14.92;14.98;14.98;4699969;0
27.02.2024;18:05;15.02;15.02;15.02;15.02;15.02;563294;0
01.03.2024;09:05;15.15;15.15;15.15;15.15;15.15;109039;0
01.03.2024;10:05;15.12;15.51;15.10;15.48;15.31;8724407;0
01.03.2024;11:05;15.49;15.56;15.40;15.53;15.48;3904895;0
01.03.2024;12:05;15.53;15.63;15.46;15.58;15.55;6721442;0
01.03.2024;13:05;15.55;15.58;15.49;15.55;15.53;2932918;0
01.03.2024;14:05;15.55;15.58;15.51;15.52;15.54;2694273;0
01.03.2024;15:05;15.52;15.84;15.46;15.82;15.65;11088410;0
01.03.2024;16:05;15.84;15.93;15.78;15.88;15.86;5146152;0
01.03.2024;17:05;15.88;15.92;15.82;15.89;15.87;1756533;0
01.03.2024;18:05;15.89;15.89;15.89;15.89;15.89;258331;0
02.03.2024;09:05;15.89;15.89;15.89;15.89;15.89;81757;0
02.03.2024;10:05;15.90;15.98;15.75;15.84;15.87;4171193;0
02.03.2024;11:05;15.88;15.99;15.82;15.95;15.90;3776937;0
02.03.2024;12:05;15.93;16.07;15.88;16.07;15.97;4588001;0
08.03.2024;09:05;15.89;15.89;15.89;15.89;15.89;169106;0
08.03.2024;10:05;15.89;15.92;15.49;15.79;15.70;11363090;0
08.03.2024;11:05;15.80;15.92;15.74;15.78;15.83;5451656;0
08.03.2024;12:05;15.77;15.85;15.68;15.78;15.76;4731784;0
08.03.2024;13:05;15.80;15.80;15.58;15.61;15.69;5073749;0
08.03.2024;14:05;15.59;15.59;15.45;15.56;15.52;4352776;0
08.03.2024;15:05;15.56;15.62;15.49;15.59;15.56;3465472;0
08.03.2024;16:05;15.62;15.82;15.62;15.80;15.72;6024963;0
08.03.2024;17:05;15.78;15.79;15.66;15.75;15.73;4767260;0
08.03.2024;18:05;15.75;15.75;15.75;15.75;15.75;818195;0
09.03.2024;09:05;15.72;15.72;15.72;15.72;15.72;84571;0
09.03.2024;10:05;15.71;15.72;15.08;15.13;15.40;8844469;0
09.03.2024;11:05;15.12;15.25;15.08;15.21;15.16;4971463;0
09.03.2024;12:05;15.21;15.21;15.11;15.21;15.16;5750008;0
09.03.2024;13:05;15.21;15.26;15.18;15.26;15.22;1570084;0
09.03.2024;14:05;15.26;15.44;15.17;15.35;15.31;2731922;0
09.03.2024;15:05;15.35;15.35;15.18;15.24;15.27;2195815;0
09.03.2024;16:05;15.21;15.24;15.09;15.12;15.17;4637008;0
09.03.2024;17:05;15.13;15.29;15.09;15.19;15.19;4079857;0
09.03.2024;18:05;15.12;15.12;15.12;15.12;15.12;638520;0
10.03.2024;09:05;15.23;15.23;15.23;15.23;15.23;28463;0
10.03.2024;10:05;15.23;15.44;15.23;15.32;15.33;8045475;0
10.03.2024;11:05;15.32;15.36;15.19;15.24;15.28;5332515;0
10.03.2024;12:05;15.24;15.26;15.09;15.17;15.18;4324049;0
10.03.2024;13:05;15.16;15.17;15.04;15.08;15.10;2109679;0
10.03.2024;14:05;15.08;15.15;14.99;15.11;15.07;4512179;0
10.03.2024;15:05;15.12;15.15;15.02;15.08;15.09;3338686;0
10.03.2024;16:05;15.08;15.16;15.05;15.08;15.11;6756496;0
10.03.2024;17:05;15.06;15.19;14.96;15.09;15.08;6802635;0
10.03.2024;18:05;15.10;15.10;15.10;15.10;15.10;60894;0
11.03.2024;09:05;15.15;15.15;15.15;15.15;15.15;101136;0
11.03.2024;10:05;15.15;15.38;15.08;15.31;15.23;10756550;0
11.03.2024;11:05;15.31;15.50;15.29;15.47;15.39;7275191;0
11.03.2024;12:05;15.46;15.51;15.36;15.42;15.44;4246380;0
11.03.2024;13:05;15.44;15.54;15.40;15.50;15.47;4177334;0
11.03.2024;14:05;15.51;15.56;15.45;15.48;15.51;3946271;0
11.03.2024;15:05;15.50;15.50;15.33;15.38;15.42;3929567;0
11.03.2024;16:05;15.38;15.47;15.32;15.41;15.40;4217527;0
11.03.2024;17:05;15.41;15.54;15.32;15.49;15.43;3401192;0
11.03.2024;18:05;15.49;15.49;15.49;15.49;15.49;190501;0
12.03.2024;09:05;15.33;15.33;15.33;15.33;15.33;42373;0
12.03.2024;10:05;15.33;15.55;15.25;15.36;15.40;12551270;0
12.03.2024;11:05;15.38;15.56;15.36;15.45;15.46;6559335;0
12.03.2024;12:05;15.47;15.59;15.41;15.56;15.50;3760658;0
12.03.2024;13:05;15.56;15.56;15.45;15.52;15.51;2717887;0
12.03.2024;14:05;15.52;15.61;15.47;15.58;15.54;3815548;0
12.03.2024;15:05;15.58;15.75;15.56;15.63;15.66;7608832;0
12.03.2024;16:05;15.63;15.68;15.54;15.63;15.61;3259087;0
12.03.2024;17:05;15.65;15.85;15.56;15.74;15.70;11050270;0
12.03.2024;18:05;15.68;15.68;15.68;15.68;15.68;699244;0
15.03.2024;09:05;15.77;15.77;15.77;15.77;15.77;257236;0
15.03.2024;10:05;15.77;16.09;15.77;16.01;15.93;18088410;0
15.03.2024;11:05;16.00;16.15;15.92;16.13;16.03;7719137;0
15.03.2024;12:05;16.15;16.73;16.05;16.68;16.39;28844010;0
15.03.2024;13:05;16.70;17.24;16.66;17.24;16.95;32889290;0
15.03.2024;14:05;17.24;17.24;17.10;17.21;17.17;17542600;0
15.03.2024;15:05;17.21;17.22;17.04;17.04;17.13;5832311;0
15.03.2024;16:05;17.03;17.14;16.86;16.94;17.00;6937713;0
15.03.2024;17:05;16.91;17.19;16.79;16.87;16.99;11607240;0
15.03.2024;18:05;17.07;17.07;17.07;17.07;17.07;1234426;0
17.03.2024;09:05;17.20;17.20;17.20;17.20;17.20;639234;0
17.03.2024;10:05;17.21;17.36;16.53;16.76;16.94;20594260;0
17.03.2024;11:05;16.82;17.01;16.74;16.85;16.88;5054468;0
17.03.2024;12:05;16.84;16.96;16.77;16.93;16.86;2808554;0
17.03.2024;13:05;16.92;16.95;16.79;16.89;16.87;3646118;0
17.03.2024;14:05;16.86;16.91;16.62;16.66;16.77;4182272;0
17.03.2024;15:05;16.66;16.76;16.61;16.66;16.68;2618513;0
17.03.2024;16:05;16.68;16.71;16.56;16.62;16.64;2174295;0
17.03.2024;17:05;16.60;16.70;16.57;16.60;16.64;3989142;0
17.03.2024;18:05;16.57;16.57;16.57;16.57;16.57;344852;0
18.03.2024;09:05;16.61;16.61;16.61;16.61;16.61;188884;0
18.03.2024;10:05;16.61;16.93;16.40;16.44;16.66;9666348;0
18.03.2024;11:05;16.47;16.56;16.46;16.50;16.51;3607499;0
18.03.2024;12:05;16.52;16.59;16.50;16.57;16.55;2193833;0
18.03.2024;13:05;16.57;16.57;16.34;16.38;16.46;3878549;0
18.03.2024;14:05;16.39;16.52;16.26;16.32;16.39;6674761;0
18.03.2024;15:05;16.34;16.37;16.04;16.07;16.20;7992163;0
18.03.2024;16:05;16.09;16.16;15.95;15.98;16.06;11661550;0
18.03.2024;17:05;15.98;16.07;15.95;16.04;16.01;4650097;0
18.03.2024;18:05;16.04;16.04;16.04;16.04;16.04;283395;0
19.03.2024;09:05;16.19;16.19;16.19;16.19;16.19;172259;0
19.03.2024;10:05;16.19;16.26;15.99;16.15;16.13;6332155;0
19.03.2024;11:05;16.15;16.23;16.13;16.15;16.18;3655292;0
19.03.2024;12:05;16.13;16.17;16.07;16.12;16.12;3492891;0
19.03.2024;13:05;16.12;16.19;16.12;16.16;16.15;1318244;0
19.03.2024;14:05;16.17;16.46;16.16;16.28;16.31;6464843;0
19.03.2024;15:05;16.30;16.34;16.26;16.28;16.30;2319532;0
19.03.2024;16:05;16.29;16.40;16.22;16.26;16.31;4368974;0
19.03.2024;17:05;16.25;16.32;16.19;16.28;16.25;4627434;0
19.03.2024;18:05;16.35;16.35;16.35;16.35;16.35;505367;0
22.03.2024;09:05;16.54;16.54;16.54;16.54;16.54;218725;0
22.03.2024;10:05;16.52;16.76;16.28;16.43;16.52;14603890;0
22.03.2024;11:05;16.43;16.63;16.32;16.59;16.47;7196856;0
22.03.2024;12:05;16.58;16.72;16.52;16.61;16.62;5582565;0
22.03.2024;13:05;16.62;16.76;16.59;16.74;16.68;4390003;0
22.03.2024;14:05;16.74;16.97;16.67;16.79;16.82;8545760;0
22.03.2024;15:05;16.79;16.86;16.66;16.71;16.76;5495462;0
22.03.2024;16:05;16.71;16.85;16.62;16.83;16.74;5793562;0
22.03.2024;17:05;16.82;16.95;16.79;16.88;16.87;12880110;0
22.03.2024;18:05;16.88;16.88;16.88;16.88;16.88;401216;0
23.03.2024;09:05;16.94;16.94;16.94;16.94;16.94;197633;0
23.03.2024;10:05;16.94;17.01;16.52;16.63;16.76;15516990;0
23.03.2024;11:05;16.63;16.63;16.40;16.44;16.51;6584935;0
23.03.2024;12:05;16.44;16.44;16.28;16.31;16.36;4881712;0
23.03.2024;13:05;16.30;16.34;16.20;16.25;16.27;4370346;0
23.03.2024;14:05;16.25;16.30;16.19;16.22;16.25;8024090;0
23.03.2024;15:05;16.22;16.22;15.99;16.08;16.11;9382404;0
23.03.2024;16:05;16.08;16.32;16.07;16.32;16.20;8478164;0
23.03.2024;17:05;16.32;16.34;16.14;16.32;16.24;8858433;0
23.03.2024;18:05;16.34;16.34;16.34;16.34;16.34;989607;0
27.03.2024;09:05;16.35;16.35;16.35;16.35;16.35;238640;0
27.03.2024;10:05;16.37;16.65;16.35;16.52;16.50;9208986;0
27.03.2024;11:05;16.52;16.64;16.50;16.58;16.57;5801342;0
27.03.2024;12:05;16.62;16.65;16.50;16.54;16.58;4101058;0
27.03.2024;13:05;16.54;16.83;16.54;16.72;16.69;8395852;0
27.03.2024;14:05;16.72;16.84;16.72;16.76;16.78;5142274;0
27.03.2024;15:05;16.76;16.82;16.74;16.74;16.78;4638497;0
27.03.2024;16:05;16.74;16.79;16.71;16.77;16.75;3953869;0
27.03.2024;17:05;16.77;16.81;16.74;16.80;16.78;3864299;0
27.03.2024;18:05;16.81;16.81;16.81;16.81;16.81;1525945;0
28.03.2024;09:05;16.81;16.81;16.81;16.81;16.81;183674;0
28.03.2024;10:05;16.82;16.96;16.72;16.94;16.84;5802656;0
28.03.2024;11:05;16.94;16.97;16.82;16.85;16.89;4252179;0
28.03.2024;12:05;16.84;16.87;16.79;16.86;16.83;2564910;0
28.03.2024;13:05;16.86;16.86;16.76;16.83;16.81;1834365;0
28.03.2024;14:05;16.83;16.87;16.79;16.84;16.83;4270250;0
28.03.2024;15:05;16.84;16.91;16.76;16.79;16.84;5458714;0
28.03.2024;16:05;16.79;16.89;16.76;16.89;16.83;2778820;0
28.03.2024;17:05;16.88;17.09;16.84;16.92;16.96;10979450;0
28.03.2024;18:05;16.93;16.93;16.93;16.93;16.93;507204;0
31.03.2024;09:05;16.95;16.95;16.95;16.95;16.95;204867;0
31.03.2024;10:05;16.96;17.14;16.95;17.09;17.05;10428710;0
