Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
08.05.2005;00:00;0.08;0.10;0.08;0.10;0.09;5304489;0
09.05.2005;00:00;0.10;0.10;0.09;0.09;0.10;4026636;0
10.05.2005;00:00;0.09;0.10;0.09;0.09;0.09;2857326;0
14.05.2005;00:00;0.10;0.10;0.08;0.09;0.09;2715065;0
15.05.2005;00:00;0.09;0.09;0.08;0.09;0.08;3256358;0
16.05.2005;00:00;0.09;0.09;0.08;0.08;0.08;1870280;0
17.05.2005;00:00;0.08;0.09;0.08;0.09;0.08;3147332;0
18.05.2005;00:00;0.09;0.09;0.09;0.09;0.09;3582726;0
21.05.2005;00:00;0.09;0.09;0.09;0.09;0.09;1742394;0
22.05.2005;00:00;0.09;0.09;0.08;0.08;0.08;2416858;0
23.05.2005;00:00;0.08;0.09;0.08;0.09;0.08;1121728;0
25.05.2005;00:00;0.09;0.09;0.09;0.09;0.09;1424626;0
26.05.2005;00:00;0.09;0.09;0.09;0.09;0.09;1457287;0
29.05.2005;00:00;0.09;0.09;0.08;0.08;0.08;917391;0
30.05.2005;00:00;0.08;0.09;0.08;0.08;0.08;828643;0
31.05.2005;00:00;0.08;0.09;0.08;0.09;0.08;2235816;0
01.06.2005;00:00;0.09;0.09;0.08;0.09;0.08;1374042;0
02.06.2005;00:00;0.09;0.09;0.08;0.08;0.08;1187963;0
05.06.2005;00:00;0.08;0.08;0.08;0.08;0.08;667578;0
06.06.2005;00:00;0.08;0.08;0.07;0.08;0.08;621434;0
07.06.2005;00:00;0.08;0.08;0.08;0.08;0.08;516473;0
08.06.2005;00:00;0.08;0.08;0.08;0.08;0.08;625536;0
09.06.2005;00:00;0.08;0.08;0.08;0.08;0.08;801248;0
12.06.2005;00:00;0.08;0.08;0.07;0.08;0.08;507542;0
13.06.2005;00:00;0.08;0.08;0.08;0.08;0.08;516563;0
14.06.2005;00:00;0.08;0.08;0.08;0.08;0.08;217246;0
15.06.2005;00:00;0.08;0.08;0.07;0.08;0.08;450623;0
16.06.2005;00:00;0.08;0.08;0.07;0.07;0.07;331968;0
