Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
07.05.2005;00:00;0.00;0.00;0.00;0.00;0.00;2475555;0
08.05.2005;00:00;0.00;0.00;0.00;0.00;0.00;1992948;0
09.05.2005;00:00;0.00;0.00;0.00;0.00;0.00;31645290;0
10.05.2005;00:00;0.00;0.00;0.00;0.00;0.00;4482022;0
14.05.2005;00:00;0.00;0.00;0.00;0.00;0.00;2222359;0
15.05.2005;00:00;0.00;0.00;0.00;0.00;0.00;3672863;0
16.05.2005;00:00;0.00;0.00;0.00;0.00;0.00;1670793;0
17.05.2005;00:00;0.00;0.00;0.00;0.00;0.00;3111123;0
18.05.2005;00:00;0.00;0.00;0.00;0.00;0.00;3159060;0
21.05.2005;00:00;0.00;0.00;0.00;0.00;0.00;3599240;0
22.05.2005;00:00;0.00;0.00;0.00;0.00;0.00;4483083;0
23.05.2005;00:00;0.00;0.00;0.00;0.00;0.00;2402988;0
25.05.2005;00:00;0.00;0.00;0.00;0.00;0.00;3910165;0
26.05.2005;00:00;0.00;0.00;0.00;0.00;0.00;9318156;0
29.05.2005;00:00;0.00;0.00;0.00;0.00;0.00;1982632;0
30.05.2005;00:00;0.00;0.00;0.00;0.00;0.00;2679236;0
31.05.2005;00:00;0.00;0.00;0.00;0.00;0.00;2459119;0
01.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;2456668;0
02.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;3028473;0
05.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;1873451;0
06.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;1352799;0
07.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;6467031;0
08.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;4894422;0
09.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;3743323;0
12.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;1161247;0
13.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;1574263;0
14.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;13837000;0
15.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;14318950;0
16.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;5495683;0
19.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;4044979;0
20.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;4933220;0
21.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;4372227;0
22.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;3682077;0
23.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;3957743;0
28.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;6009937;0
29.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;3901304;0
30.06.2005;00:00;0.00;0.00;0.00;0.00;0.00;2098757;0
01.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;2342559;0
02.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;2635480;0
05.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;641798;0
06.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;1125142;0
07.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;1597071;0
08.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;1074960;0
09.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;1481863;0
12.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;2166685;0
13.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;2315200;0
14.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;1497547;0
15.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;2232085;0
16.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;826747;0
19.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;2066115;0
20.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;1453065;0
21.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;2432397;0
22.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;2072894;0
23.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;8414536;0
26.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;938425;0
28.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;3065342;0
29.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;1221725;0
30.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;1240426;0
31.07.2005;00:00;0.00;0.00;0.00;0.00;0.00;1110267;0
03.08.2005;00:00;0.00;0.00;0.00;0.00;0.00;1603142;0
04.08.2005;00:00;0.00;0.00;0.00;0.00;0.00;2091586;0
05.08.2005;00:00;0.00;0.00;0.00;0.00;0.00;3762352;0
06.08.2005;00:00;0.00;0.00;0.00;0.00;0.00;5840816;0
07.08.2005;00:00;0.00;0.00;0.00;0.00;0.00;5435091;0
10.08.2005;00:00;0.00;0.00;0.00;0.00;0.00;9888268;0
11.08.2005;00:00;0.00;0.00;0.00;0.00;0.00;4736112;0
12.08.2005;00:00;0.00;0.00;0.00;0.00;0.00;6081043;0
13.08.2005;00:00;0.00;0.00;0.00;0.00;0.00;3655166;0
