Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;17:05;8.26;8.26;8.18;8.20;8.22;3228143;0
26.02.2024;18:05;8.21;8.21;8.21;8.21;8.21;111723;0
27.02.2024;09:05;8.21;8.21;8.21;8.21;8.21;42284;0
27.02.2024;10:05;8.21;8.45;8.21;8.44;8.33;4471901;0
27.02.2024;11:05;8.42;8.45;8.26;8.34;8.36;5891587;0
27.02.2024;12:05;8.33;8.43;8.26;8.28;8.35;2994851;0
27.02.2024;13:05;8.28;8.34;8.23;8.33;8.28;3705868;0
27.02.2024;14:05;8.33;8.40;8.31;8.38;8.36;3805724;0
27.02.2024;15:05;8.38;8.40;8.34;8.38;8.37;2522070;0
27.02.2024;16:05;8.38;8.44;8.35;8.41;8.39;2546646;0
27.02.2024;17:05;8.41;8.60;8.41;8.54;8.51;4041833;0
27.02.2024;18:05;8.54;8.54;8.54;8.54;8.54;80383;0
01.03.2024;09:05;8.69;8.69;8.69;8.69;8.69;155134;0
01.03.2024;10:05;8.69;8.84;8.57;8.82;8.70;2223473;0
01.03.2024;11:05;8.83;8.85;8.70;8.76;8.78;2572712;0
01.03.2024;12:05;8.76;8.85;8.75;8.78;8.80;1189475;0
01.03.2024;13:05;8.80;8.82;8.76;8.81;8.79;541475;0
01.03.2024;14:05;8.82;9.07;8.77;8.91;8.92;3335494;0
01.03.2024;15:05;8.91;8.95;8.77;8.79;8.86;1518771;0
01.03.2024;16:05;8.80;8.94;8.79;8.85;8.86;1642655;0
01.03.2024;17:05;8.85;8.87;8.75;8.84;8.81;2542297;0
01.03.2024;18:05;8.84;8.84;8.84;8.84;8.84;25194;0
02.03.2024;09:05;8.93;8.93;8.93;8.93;8.93;27507;0
02.03.2024;10:05;8.93;8.99;8.75;8.88;8.87;3785978;0
02.03.2024;11:05;8.89;8.92;8.81;8.87;8.87;2402482;0
02.03.2024;12:05;8.87;8.92;8.84;8.92;8.88;1079460;0
08.03.2024;09:05;8.55;8.55;8.55;8.55;8.55;219513;0
08.03.2024;10:05;8.56;8.88;8.46;8.85;8.67;4413862;0
08.03.2024;11:05;8.85;8.88;8.83;8.86;8.86;2730001;0
08.03.2024;12:05;8.85;8.86;8.70;8.86;8.78;686350;0
08.03.2024;13:05;8.86;8.98;8.78;8.98;8.88;1208154;0
08.03.2024;14:05;8.96;8.97;8.85;8.92;8.91;759158;0
08.03.2024;15:05;8.93;8.98;8.87;8.89;8.92;1086183;0
08.03.2024;16:05;8.89;8.90;8.83;8.88;8.86;730736;0
08.03.2024;17:05;8.88;9.00;8.85;9.00;8.93;1642582;0
08.03.2024;18:05;9.00;9.00;9.00;9.00;9.00;49284;0
09.03.2024;09:05;9.00;9.00;9.00;9.00;9.00;67050;0
09.03.2024;10:05;8.91;9.00;8.77;8.77;8.89;1874188;0
09.03.2024;11:05;8.77;8.87;8.75;8.80;8.81;1245960;0
09.03.2024;12:05;8.80;8.80;8.64;8.79;8.72;2272044;0
09.03.2024;13:05;8.79;8.80;8.69;8.72;8.74;2282554;0
09.03.2024;14:05;8.73;8.80;8.70;8.76;8.75;950820;0
09.03.2024;15:05;8.76;8.77;8.69;8.70;8.73;906165;0
09.03.2024;16:05;8.70;8.72;8.65;8.66;8.68;849264;0
09.03.2024;17:05;8.67;8.75;8.65;8.70;8.70;998284;0
09.03.2024;18:05;8.73;8.73;8.73;8.73;8.73;85732;0
10.03.2024;09:05;8.76;8.76;8.76;8.76;8.76;34109;0
10.03.2024;10:05;8.76;8.88;8.73;8.79;8.80;3297783;0
10.03.2024;11:05;8.79;8.80;8.73;8.75;8.76;1176741;0
10.03.2024;12:05;8.75;8.80;8.73;8.78;8.76;1192268;0
10.03.2024;13:05;8.77;8.79;8.72;8.73;8.76;1041653;0
10.03.2024;14:05;8.73;8.77;8.71;8.75;8.74;1893580;0
10.03.2024;15:05;8.74;8.76;8.68;8.68;8.72;1405039;0
10.03.2024;16:05;8.69;8.73;8.69;8.73;8.71;521399;0
10.03.2024;17:05;8.71;8.80;8.65;8.80;8.72;1889419;0
10.03.2024;18:05;8.75;8.75;8.75;8.75;8.75;82950;0
11.03.2024;09:05;8.83;8.83;8.83;8.83;8.83;29211;0
11.03.2024;10:05;8.83;8.83;8.72;8.77;8.78;1355873;0
11.03.2024;11:05;8.77;8.82;8.74;8.80;8.78;1706956;0
11.03.2024;12:05;8.78;8.80;8.73;8.78;8.76;414604;0
11.03.2024;13:05;8.78;8.79;8.71;8.72;8.75;855649;0
11.03.2024;14:05;8.73;8.79;8.72;8.77;8.76;1366614;0
11.03.2024;15:05;8.77;8.78;8.72;8.73;8.75;1011402;0
11.03.2024;16:05;8.73;8.77;8.72;8.75;8.75;708067;0
11.03.2024;17:05;8.76;8.78;8.72;8.78;8.75;851253;0
11.03.2024;18:05;8.79;8.79;8.79;8.79;8.79;28691;0
12.03.2024;09:05;8.65;8.65;8.65;8.65;8.65;45759;0
12.03.2024;10:05;8.65;8.74;8.61;8.66;8.67;1691512;0
12.03.2024;11:05;8.69;8.75;8.65;8.70;8.70;898945;0
12.03.2024;12:05;8.70;8.70;8.67;8.70;8.68;760171;0
12.03.2024;13:05;8.70;8.74;8.69;8.74;8.71;981837;0
12.03.2024;14:05;8.71;8.76;8.70;8.76;8.73;597603;0
12.03.2024;15:05;8.76;8.83;8.74;8.77;8.78;1758102;0
12.03.2024;16:05;8.77;8.85;8.75;8.77;8.80;2411480;0
12.03.2024;17:05;8.78;8.80;8.73;8.74;8.76;2295260;0
12.03.2024;18:05;8.75;8.75;8.75;8.75;8.75;204558;0
15.03.2024;09:05;8.80;8.80;8.80;8.80;8.80;87282;0
15.03.2024;10:05;8.80;9.00;8.80;8.96;8.90;4760765;0
15.03.2024;11:05;8.96;9.08;8.87;9.06;8.97;3529797;0
15.03.2024;12:05;9.06;9.06;8.98;9.04;9.02;1216441;0
15.03.2024;13:05;9.03;9.08;9.00;9.05;9.04;1033598;0
15.03.2024;14:05;9.03;9.06;8.99;9.03;9.03;1099773;0
15.03.2024;15:05;9.03;9.07;9.00;9.04;9.03;1275503;0
15.03.2024;16:05;9.05;9.07;9.00;9.01;9.03;1749167;0
15.03.2024;17:05;9.01;9.23;8.99;9.20;9.11;3368459;0
15.03.2024;18:05;9.20;9.20;9.20;9.20;9.20;216826;0
17.03.2024;09:05;9.45;9.45;9.45;9.45;9.45;324022;0
17.03.2024;10:05;9.43;9.67;9.43;9.50;9.55;9676697;0
17.03.2024;11:05;9.50;9.55;9.44;9.52;9.49;1961352;0
17.03.2024;12:05;9.52;9.53;9.44;9.45;9.48;1828093;0
17.03.2024;13:05;9.50;9.50;9.28;9.30;9.39;2257073;0
17.03.2024;14:05;9.32;9.52;9.25;9.29;9.39;3320873;0
17.03.2024;15:05;9.30;9.38;9.27;9.36;9.33;970392;0
17.03.2024;16:05;9.36;9.49;9.28;9.40;9.38;1887558;0
17.03.2024;17:05;9.40;9.55;9.34;9.55;9.45;3298825;0
17.03.2024;18:05;9.55;9.55;9.55;9.55;9.55;655913;0
18.03.2024;09:05;9.58;9.58;9.58;9.58;9.58;179282;0
18.03.2024;10:05;9.58;9.60;9.50;9.52;9.55;3960996;0
18.03.2024;11:05;9.52;9.53;9.36;9.39;9.44;2849972;0
18.03.2024;12:05;9.39;9.42;9.34;9.36;9.38;1885371;0
18.03.2024;13:05;9.37;9.40;9.36;9.38;9.38;810237;0
18.03.2024;14:05;9.38;9.43;9.33;9.37;9.38;1624182;0
18.03.2024;15:05;9.37;9.39;9.30;9.30;9.35;1069966;0
18.03.2024;16:05;9.30;9.38;9.30;9.33;9.34;1545991;0
18.03.2024;17:05;9.33;9.41;9.32;9.38;9.36;2521847;0
18.03.2024;18:05;9.38;9.38;9.38;9.38;9.38;66750;0
19.03.2024;09:05;9.84;9.84;9.84;9.84;9.84;466730;0
19.03.2024;10:05;9.84;10.31;9.63;9.84;9.97;29089860;0
19.03.2024;11:05;9.80;9.82;9.64;9.68;9.73;7481927;0
19.03.2024;12:05;9.67;9.85;9.66;9.73;9.76;3089573;0
19.03.2024;13:05;9.73;9.75;9.64;9.70;9.70;2635055;0
19.03.2024;14:05;9.70;9.72;9.59;9.65;9.66;4068665;0
19.03.2024;15:05;9.65;9.67;9.56;9.61;9.62;2286371;0
19.03.2024;16:05;9.61;9.80;9.61;9.74;9.70;7024265;0
19.03.2024;17:05;9.75;9.77;9.68;9.77;9.73;4877300;0
19.03.2024;18:05;9.78;9.78;9.78;9.78;9.78;102364;0
22.03.2024;09:05;10.00;10.00;10.00;10.00;10.00;155722;0
22.03.2024;10:05;9.98;10.00;9.50;9.59;9.75;6990796;0
22.03.2024;11:05;9.60;9.65;9.51;9.55;9.58;2851906;0
22.03.2024;12:05;9.55;9.62;9.54;9.57;9.58;1946611;0
22.03.2024;13:05;9.57;9.57;9.53;9.54;9.55;1549390;0
22.03.2024;14:05;9.54;9.67;9.51;9.52;9.59;2803724;0
22.03.2024;15:05;9.52;9.55;9.48;9.52;9.51;1555552;0
22.03.2024;16:05;9.51;9.55;9.48;9.52;9.51;1458775;0
22.03.2024;17:05;9.52;9.60;9.29;9.52;9.45;6056301;0
22.03.2024;18:05;9.51;9.51;9.51;9.51;9.51;72942;0
23.03.2024;09:05;9.50;9.50;9.50;9.50;9.50;71687;0
23.03.2024;10:05;9.49;9.56;9.32;9.34;9.44;4806577;0
23.03.2024;11:05;9.35;9.40;9.31;9.34;9.36;1551171;0
23.03.2024;12:05;9.34;9.36;9.29;9.35;9.32;1614187;0
23.03.2024;13:05;9.32;9.38;9.30;9.35;9.34;1158160;0
23.03.2024;14:05;9.35;9.35;9.30;9.31;9.33;920633;0
23.03.2024;15:05;9.31;9.31;9.06;9.15;9.19;3853686;0
23.03.2024;16:05;9.15;9.28;9.11;9.24;9.19;2487303;0
23.03.2024;17:05;9.24;9.34;9.23;9.34;9.28;1366592;0
23.03.2024;18:05;9.33;9.33;9.33;9.33;9.33;134448;0
27.03.2024;09:05;9.33;9.33;9.33;9.33;9.33;44256;0
27.03.2024;10:05;9.34;9.48;9.28;9.41;9.38;4936606;0
27.03.2024;11:05;9.41;9.49;9.28;9.35;9.38;4625565;0
27.03.2024;12:05;9.36;9.40;9.29;9.35;9.34;2275566;0
27.03.2024;13:05;9.35;9.75;9.35;9.48;9.55;4374704;0
27.03.2024;14:05;9.49;9.58;9.47;9.49;9.53;1701056;0
27.03.2024;15:05;9.50;9.55;9.49;9.50;9.52;1001389;0
27.03.2024;16:05;9.50;9.50;9.46;9.48;9.48;1345697;0
27.03.2024;17:05;9.47;9.58;9.40;9.58;9.49;1923403;0
27.03.2024;18:05;9.64;9.64;9.64;9.64;9.64;183951;0
28.03.2024;09:05;9.74;9.74;9.74;9.74;9.74;63544;0
28.03.2024;10:05;9.74;10.00;9.65;9.99;9.82;8571368;0
28.03.2024;11:05;9.98;10.19;9.90;10.07;10.04;9370424;0
28.03.2024;12:05;10.07;10.12;9.94;9.97;10.03;5958823;0
28.03.2024;13:05;9.97;9.99;9.90;9.98;9.94;2631918;0
28.03.2024;14:05;9.98;10.09;9.93;10.00;10.01;2780391;0
28.03.2024;15:05;10.00;10.00;9.80;9.84;9.90;3667274;0
28.03.2024;16:05;9.83;10.15;9.83;10.11;9.99;6203033;0
28.03.2024;17:05;10.07;10.59;10.05;10.59;10.32;30162790;0
28.03.2024;18:05;10.59;10.59;10.59;10.59;10.59;17452;0
31.03.2024;09:05;10.77;10.77;10.77;10.77;10.77;1133241;0
31.03.2024;10:05;10.77;11.39;10.41;11.25;10.90;34073240;0
31.03.2024;11:05;11.25;11.25;10.80;10.97;11.03;7301535;0
31.03.2024;12:05;11.01;11.01;10.85;10.97;10.93;2645585;0
31.03.2024;13:05;10.97;11.00;10.70;10.78;10.85;5636032;0
31.03.2024;14:05;10.77;10.84;10.61;10.78;10.72;2847761;0
31.03.2024;15:05;10.78;10.83;10.55;10.64;10.69;4329045;0
31.03.2024;16:05;10.64;10.95;10.60;10.62;10.78;4327124;0
31.03.2024;17:05;10.62;10.81;10.27;10.37;10.54;8333328;0
31.03.2024;18:05;10.35;10.35;10.35;10.35;10.35;109979;0
01.04.2024;09:05;10.45;10.45;10.45;10.45;10.45;82325;0
01.04.2024;10:05;10.45;10.55;10.02;10.19;10.29;6460539;0
01.04.2024;11:05;10.19;10.20;10.08;10.15;10.14;2421237;0
01.04.2024;12:05;10.16;10.23;10.02;10.14;10.12;2809564;0
01.04.2024;13:05;10.10;10.14;9.96;9.98;10.05;4388100;0
01.04.2024;14:05;9.97;10.16;9.93;10.14;10.05;3870575;0
01.04.2024;15:05;10.13;10.48;10.12;10.27;10.30;5427972;0
01.04.2024;16:05;10.30;10.49;10.23;10.40;10.36;2285365;0
01.04.2024;17:05;10.39;10.49;10.23;10.34;10.36;4291623;0
01.04.2024;18:05;10.31;10.31;10.31;10.31;10.31;354355;0
02.04.2024;09:05;10.34;10.34;10.34;10.34;10.34;142403;0
02.04.2024;10:05;10.31;10.46;10.23;10.31;10.34;4670306;0
02.04.2024;11:05;10.31;10.35;10.20;10.23;10.28;1639888;0
02.04.2024;12:05;10.27;10.47;10.27;10.37;10.37;3545807;0
02.04.2024;13:05;10.38;10.47;10.27;10.46;10.37;2401534;0
02.04.2024;14:05;10.47;10.73;10.45;10.67;10.59;7216200;0
02.04.2024;15:05;10.68;10.71;10.32;10.50;10.51;4314844;0
02.04.2024;16:05;10.50;10.59;10.35;10.46;10.47;2204444;0
02.04.2024;17:05;10.46;10.71;10.30;10.69;10.51;5405761;0
02.04.2024;18:05;10.72;10.72;10.72;10.72;10.72;275740;0
03.04.2024;09:05;11.78;11.78;11.78;11.78;11.78;720241;0
03.04.2024;10:05;11.64;11.79;10.67;11.31;11.23;29225190;0
03.04.2024;11:05;11.31;11.70;11.00;11.70;11.35;12098750;0
03.04.2024;12:05;11.70;11.79;11.43;11.60;11.61;19960590;0
03.04.2024;13:05;11.60;11.79;11.60;11.77;11.70;7457647;0
03.04.2024;14:05;11.77;11.79;11.72;11.79;11.76;3730831;0
03.04.2024;15:05;11.79;11.79;11.40;11.70;11.59;11893890;0
03.04.2024;16:05;11.65;11.77;11.56;11.58;11.67;6476955;0
03.04.2024;17:05;11.58;11.79;11.57;11.79;11.68;10991330;0
03.04.2024;18:05;11.79;11.79;11.79;11.79;11.79;1179;0
04.04.2024;09:05;12.03;12.03;12.03;12.03;12.03;1067446;0
04.04.2024;10:05;12.03;12.70;11.83;12.23;12.26;41125592;0
04.04.2024;11:05;12.25;12.64;12.16;12.39;12.40;12280010;0
04.04.2024;12:05;12.37;12.43;12.17;12.28;12.30;7304449;0
04.04.2024;13:05;12.25;12.48;12.22;12.42;12.35;7326320;0
04.04.2024;14:05;12.44;12.57;12.30;12.40;12.43;6770525;0
04.04.2024;15:05;12.40;12.45;12.30;12.40;12.38;5010558;0
04.04.2024;16:05;12.40;12.40;12.00;12.14;12.20;6156069;0
04.04.2024;17:05;12.18;12.55;11.87;12.55;12.21;8612496;0
04.04.2024;18:05;12.55;12.55;12.55;12.55;12.55;642447;0
07.04.2024;09:05;12.50;12.50;12.50;12.50;12.50;673425;0
07.04.2024;10:05;12.50;12.50;11.80;11.80;12.15;14264780;0
07.04.2024;11:05;11.80;11.87;11.56;11.65;11.72;6367510;0
07.04.2024;12:05;11.65;12.49;11.65;12.11;12.07;11549050;0
07.04.2024;13:05;12.10;12.18;11.78;11.99;11.98;4432629;0
07.04.2024;14:05;11.99;12.17;11.70;11.83;11.93;3167328;0
07.04.2024;15:05;11.84;11.92;11.72;11.79;11.82;2303507;0
07.04.2024;16:05;11.79;12.10;11.65;12.09;11.88;4622010;0
07.04.2024;17:05;12.09;12.10;11.65;11.74;11.88;4793067;0
07.04.2024;18:05;11.62;11.62;11.62;11.62;11.62;245403;0
08.04.2024;09:05;11.60;11.60;11.60;11.60;11.60;273110;0
08.04.2024;10:05;11.59;11.98;11.03;11.54;11.50;18091790;0
08.04.2024;11:05;11.53;11.54;11.35;11.35;11.45;6363511;0
08.04.2024;12:05;11.38;11.46;11.27;11.37;11.37;2968505;0
08.04.2024;13:05;11.37;11.47;11.34;11.37;11.41;2053709;0
08.04.2024;14:05;11.41;11.41;11.20;11.30;11.30;3917978;0
08.04.2024;15:05;11.27;11.44;11.25;11.36;11.34;1755430;0
08.04.2024;16:05;11.37;11.44;11.32;11.42;11.38;2710399;0
08.04.2024;17:05;11.34;11.96;11.32;11.84;11.64;10969650;0
08.04.2024;18:05;11.75;11.75;11.75;11.75;11.75;135231;0
09.04.2024;09:05;11.75;11.75;11.75;11.75;11.75;216294;0
09.04.2024;10:05;11.75;11.80;11.44;11.52;11.62;5306686;0
09.04.2024;11:05;11.52;11.71;11.44;11.59;11.57;4387276;0
09.04.2024;12:05;11.59;11.60;11.42;11.43;11.51;3522737;0
09.04.2024;13:05;11.42;11.52;11.30;11.50;11.41;2696512;0
09.04.2024;14:05;11.50;11.61;11.44;11.55;11.52;2281399;0
09.04.2024;15:05;11.55;11.61;11.42;11.54;11.51;2234879;0
09.04.2024;16:05;11.52;12.05;11.52;11.74;11.79;7822031;0
09.04.2024;17:05;11.75;11.87;11.58;11.59;11.72;5007257;0
09.04.2024;18:05;11.55;11.55;11.55;11.55;11.55;334523;0
10.04.2024;09:05;11.60;11.60;11.60;11.60;11.60;36900;0
10.04.2024;10:05;11.60;11.94;11.51;11.82;11.72;7005839;0
10.04.2024;11:05;11.83;11.97;11.72;11.80;11.85;8561198;0
10.04.2024;12:05;11.80;11.89;11.77;11.85;11.83;3973139;0
10.04.2024;13:05;11.85;11.89;11.48;11.82;11.68;6301277;0
10.04.2024;14:05;11.82;11.89;11.70;11.72;11.80;3212098;0
10.04.2024;15:05;11.70;11.81;11.66;11.73;11.74;4167262;0
10.04.2024;16:05;11.74;11.75;11.58;11.65;11.66;4744110;0
10.04.2024;17:05;11.67;11.70;11.57;11.68;11.63;3761242;0
10.04.2024;18:05;11.70;11.70;11.70;11.70;11.70;182134;0
11.04.2024;09:05;11.82;11.82;11.82;11.82;11.82;139110;0
11.04.2024;10:05;11.82;11.84;11.61;11.69;11.72;12594840;0
11.04.2024;11:05;11.69;11.75;11.62;11.72;11.68;6985614;0
11.04.2024;12:05;11.71;11.92;11.67;11.90;11.80;9102713;0
11.04.2024;13:05;11.89;12.06;11.85;12.04;11.96;8912578;0
11.04.2024;14:05;12.04;12.50;12.03;12.18;12.26;17207730;0
11.04.2024;15:05;12.18;12.30;12.13;12.23;12.22;4826859;0
11.04.2024;16:05;12.20;12.22;12.00;12.09;12.11;4779549;0
11.04.2024;17:05;12.09;12.20;11.90;12.07;12.05;7891973;0
11.04.2024;18:05;12.05;12.05;12.05;12.05;12.05;314107;0
14.04.2024;09:05;12.06;12.06;12.06;12.06;12.06;100641;0
