Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:30;37.90;38.06;37.90;38.04;37.98;31569480;0
24.08.2025;11:45;38.02;38.28;38.02;38.08;38.15;100759517;0
24.08.2025;12:00;38.08;38.14;37.96;38.06;38.05;38299345;0
24.08.2025;12:15;38.06;38.16;38.04;38.06;38.10;25127365;0
24.08.2025;12:30;38.04;38.08;38.00;38.00;38.04;20658472;0
24.08.2025;12:45;38.02;38.04;37.98;38.00;38.01;14457683;0
24.08.2025;13:00;38.02;38.08;37.96;38.08;38.02;16835678;0
24.08.2025;13:15;38.08;38.22;37.98;38.04;38.10;64530276;0
24.08.2025;13:30;38.02;38.04;37.96;37.98;38.00;14894327;0
24.08.2025;13:45;37.96;38.08;37.96;38.04;38.02;18637839;0
24.08.2025;14:00;38.06;38.06;37.84;37.92;37.95;67691004;0
24.08.2025;14:15;37.94;37.98;37.90;37.96;37.94;10503580;0
24.08.2025;14:30;37.96;38.12;37.92;38.08;38.02;27379441;0
24.08.2025;14:45;38.08;38.14;37.96;37.96;38.05;59128397;0
24.08.2025;15:00;37.96;38.04;37.92;38.02;37.98;28240227;0
24.08.2025;15:15;38.02;38.04;37.84;37.94;37.94;74839743;0
24.08.2025;15:30;37.94;38.18;37.94;38.06;38.06;89760146;0
24.08.2025;15:45;38.06;38.06;37.96;37.98;38.01;16301480;0
24.08.2025;16:00;37.98;38.18;37.94;38.02;38.06;39506802;0
24.08.2025;16:15;38.04;38.06;37.94;38.00;38.00;16236409;0
24.08.2025;16:30;38.02;38.04;37.98;38.02;38.01;14295286;0
24.08.2025;16:45;38.02;38.62;37.92;38.38;38.27;352243557;0
24.08.2025;17:00;38.38;38.48;38.18;38.24;38.33;190784892;0
24.08.2025;17:15;38.24;38.30;38.06;38.16;38.18;63366513;0
24.08.2025;17:30;38.16;38.18;37.84;37.88;38.01;81816880;0
24.08.2025;17:45;37.88;38.00;37.68;37.70;37.84;88053302;0
24.08.2025;18:00;37.72;37.78;37.62;37.68;37.70;65228633;0
27.08.2025;10:00;37.12;37.20;36.78;37.18;36.99;120369072;0
27.08.2025;10:15;37.20;37.26;37.08;37.22;37.17;80093436;0
27.08.2025;10:30;37.22;37.22;37.04;37.06;37.13;38787762;0
27.08.2025;10:45;37.06;37.10;36.96;36.98;37.03;37681748;0
27.08.2025;11:00;36.98;37.02;36.74;36.94;36.88;65927888;0
27.08.2025;11:15;36.92;37.20;36.88;37.04;37.04;59880314;0
27.08.2025;11:30;37.06;37.10;36.92;36.94;37.01;35590570;0
27.08.2025;11:45;36.94;36.96;36.84;36.88;36.90;18107985;0
27.08.2025;12:00;36.88;36.90;36.80;36.84;36.85;21189450;0
27.08.2025;12:15;36.84;36.88;36.80;36.84;36.84;16847214;0
27.08.2025;12:30;36.84;36.86;36.74;36.78;36.80;32490710;0
27.08.2025;12:45;36.80;36.84;36.78;36.82;36.81;20995796;0
27.08.2025;13:00;36.84;36.84;36.72;36.76;36.78;26356083;0
27.08.2025;13:15;36.76;36.76;36.62;36.66;36.69;34981029;0
27.08.2025;13:30;36.66;36.86;36.64;36.86;36.75;28723887;0
27.08.2025;13:45;36.86;36.86;36.72;36.78;36.79;30423117;0
27.08.2025;14:00;36.78;36.86;36.74;36.84;36.80;24121370;0
27.08.2025;14:15;36.84;36.90;36.72;36.78;36.81;17999935;0
27.08.2025;14:30;36.78;36.90;36.72;36.76;36.81;35168615;0
27.08.2025;14:45;36.76;36.80;36.62;36.66;36.71;29892031;0
27.08.2025;15:00;36.66;36.74;36.62;36.72;36.68;40362071;0
27.08.2025;15:15;36.72;36.92;36.68;36.78;36.80;42908309;0
27.08.2025;15:30;36.80;36.82;36.74;36.78;36.78;10563765;0
27.08.2025;15:45;36.76;36.80;36.58;36.66;36.69;30672637;0
27.08.2025;16:00;36.68;36.76;36.60;36.72;36.68;28004532;0
27.08.2025;16:15;36.72;36.78;36.66;36.76;36.72;17533437;0
27.08.2025;16:30;36.76;36.76;36.66;36.70;36.71;14777610;0
27.08.2025;16:45;36.72;36.90;36.70;36.84;36.80;39771877;0
27.08.2025;17:00;36.86;36.90;36.76;36.78;36.83;28543311;0
27.08.2025;17:15;36.78;36.88;36.70;36.80;36.79;48334720;0
27.08.2025;17:30;36.82;36.84;36.68;36.76;36.76;22898760;0
27.08.2025;17:45;36.76;36.80;36.56;36.58;36.68;59357753;0
27.08.2025;18:00;36.58;36.60;36.54;36.58;36.57;56362237;0
28.08.2025;10:00;36.76;37.06;36.76;36.92;36.91;94538915;0
28.08.2025;10:15;36.94;36.98;36.66;36.94;36.82;112727200;0
28.08.2025;10:30;36.96;37.14;36.84;37.06;36.99;92386031;0
28.08.2025;10:45;37.06;37.14;36.94;37.08;37.04;75274844;0
28.08.2025;11:00;37.08;37.48;37.02;37.36;37.25;178760020;0
28.08.2025;11:15;37.36;37.46;37.10;37.12;37.28;71819312;0
28.08.2025;11:30;37.16;37.16;36.98;37.02;37.07;47488369;0
28.08.2025;11:45;37.02;37.04;36.96;37.00;37.00;24655934;0
28.08.2025;12:00;37.00;37.04;36.88;36.90;36.96;38941407;0
28.08.2025;12:15;36.90;36.90;36.78;36.84;36.84;37525877;0
28.08.2025;12:30;36.84;36.86;36.76;36.84;36.81;25186222;0
28.08.2025;12:45;36.82;36.84;36.70;36.76;36.77;44469420;0
28.08.2025;13:00;36.76;36.80;36.72;36.80;36.76;22156909;0
28.08.2025;13:15;36.80;36.88;36.78;36.86;36.83;43799607;0
28.08.2025;13:30;36.86;37.04;36.78;36.80;36.91;87322137;0
28.08.2025;13:45;36.80;36.86;36.74;36.82;36.80;41223860;0
28.08.2025;14:00;36.80;36.94;36.80;36.90;36.87;36263933;0
28.08.2025;14:15;36.88;36.92;36.84;36.88;36.88;23753969;0
28.08.2025;14:30;36.88;36.90;36.76;36.82;36.83;30593827;0
28.08.2025;14:45;36.82;36.90;36.80;36.86;36.85;26368098;0
28.08.2025;15:00;36.84;36.88;36.80;36.86;36.84;27662942;0
28.08.2025;15:15;36.84;36.90;36.84;36.90;36.87;33527509;0
28.08.2025;15:30;36.90;37.00;36.84;36.86;36.92;74635256;0
28.08.2025;15:45;36.86;36.88;36.72;36.82;36.80;60661957;0
28.08.2025;16:00;36.80;36.84;36.64;36.64;36.74;70545793;0
28.08.2025;16:15;36.66;36.70;36.36;36.60;36.53;136355976;0
28.08.2025;16:30;36.60;36.64;36.46;36.48;36.55;33283820;0
28.08.2025;16:45;36.48;36.54;36.14;36.44;36.34;98690501;0
28.08.2025;17:00;36.44;36.58;36.38;36.56;36.48;58623378;0
28.08.2025;17:15;36.56;36.62;36.50;36.52;36.56;35563739;0
28.08.2025;17:30;36.48;36.58;36.46;36.56;36.52;26553611;0
28.08.2025;17:45;36.58;36.58;36.34;36.42;36.46;65492424;0
28.08.2025;18:00;36.40;36.44;36.34;36.34;36.39;75108401;0
29.08.2025;10:00;36.64;36.66;36.46;36.50;36.56;98976552;0
29.08.2025;10:15;36.50;36.72;36.46;36.62;36.59;90436346;0
29.08.2025;10:30;36.62;36.84;36.58;36.82;36.71;109433133;0
29.08.2025;10:45;36.80;36.90;36.72;36.72;36.81;54640694;0
29.08.2025;11:00;36.74;36.80;36.58;36.62;36.69;51137910;0
29.08.2025;11:15;36.62;36.62;36.40;36.50;36.51;60683224;0
29.08.2025;11:30;36.48;36.48;36.24;36.46;36.36;97048722;0
29.08.2025;11:45;36.46;36.52;36.34;36.46;36.43;129300831;0
29.08.2025;12:00;36.48;36.48;36.36;36.42;36.42;36558416;0
29.08.2025;12:15;36.42;36.46;36.30;36.42;36.38;28186896;0
29.08.2025;12:30;36.42;36.54;36.42;36.52;36.48;28729527;0
29.08.2025;12:45;36.52;36.56;36.48;36.50;36.52;15788656;0
29.08.2025;13:00;36.50;36.50;36.40;36.46;36.45;21478010;0
29.08.2025;13:15;36.48;36.50;36.38;36.42;36.44;13847963;0
29.08.2025;13:30;36.40;36.52;36.40;36.52;36.46;17604878;0
29.08.2025;13:45;36.52;36.52;36.40;36.40;36.46;15242513;0
29.08.2025;14:00;36.40;36.50;36.38;36.42;36.44;26622615;0
29.08.2025;14:15;36.42;36.48;36.40;36.42;36.44;25260976;0
29.08.2025;14:30;36.42;36.60;36.42;36.54;36.51;36876234;0
29.08.2025;14:45;36.54;36.68;36.44;36.52;36.56;60946031;0
29.08.2025;15:00;36.54;36.58;36.46;36.48;36.52;19092585;0
29.08.2025;15:15;36.50;36.54;36.44;36.52;36.49;14046877;0
29.08.2025;15:30;36.52;36.64;36.48;36.54;36.56;36537999;0
29.08.2025;15:45;36.54;36.56;36.44;36.46;36.50;11778440;0
29.08.2025;16:00;36.46;36.58;36.44;36.56;36.51;15829872;0
29.08.2025;16:15;36.56;36.62;36.52;36.58;36.57;15949734;0
29.08.2025;16:30;36.56;36.76;36.56;36.66;36.66;92054759;0
29.08.2025;16:45;36.64;36.72;36.62;36.66;36.67;33770959;0
29.08.2025;17:00;36.66;36.70;36.56;36.62;36.63;53287995;0
29.08.2025;17:15;36.62;36.66;36.58;36.60;36.62;28624686;0
29.08.2025;17:30;36.60;36.70;36.56;36.62;36.63;76500250;0
29.08.2025;17:45;36.60;36.74;36.54;36.64;36.64;117744183;0
29.08.2025;18:00;36.64;36.72;36.60;36.72;36.66;53976975;0
30.08.2025;10:00;36.70;36.92;36.66;36.86;36.79;99851804;0
30.08.2025;10:15;36.86;36.98;36.82;36.92;36.90;95334801;0
30.08.2025;10:30;36.94;37.08;36.94;36.98;37.01;72335412;0
30.08.2025;10:45;36.96;37.12;36.94;37.12;37.03;48607492;0
30.08.2025;11:00;37.10;37.16;37.04;37.10;37.10;57331578;0
30.08.2025;11:15;37.10;37.12;36.98;37.00;37.05;45642472;0
30.08.2025;11:30;37.00;37.02;36.92;36.96;36.97;30677674;0
30.08.2025;11:45;36.96;36.98;36.90;36.96;36.94;17206566;0
30.08.2025;12:00;36.94;36.98;36.92;36.96;36.95;15224470;0
30.08.2025;12:15;36.98;37.00;36.90;36.98;36.95;17162259;0
30.08.2025;12:30;36.98;37.02;36.94;37.02;36.98;17317881;0
30.08.2025;12:45;37.02;37.02;36.96;37.02;36.99;13375812;0
30.08.2025;13:00;37.02;37.50;36.98;37.42;37.24;156578544;0
30.08.2025;13:15;37.44;37.64;37.40;37.44;37.52;217871368;0
30.08.2025;13:30;37.42;37.50;37.34;37.40;37.42;79674551;0
30.08.2025;13:45;37.42;37.54;37.38;37.50;37.46;67478233;0
30.08.2025;14:00;37.50;37.66;37.34;37.46;37.50;151316322;0
30.08.2025;14:15;37.44;37.60;37.38;37.38;37.49;67533466;0
30.08.2025;14:30;37.38;37.38;37.04;37.04;37.21;118094007;0
30.08.2025;14:45;37.06;37.34;37.00;37.26;37.17;91049529;0
30.08.2025;15:00;37.26;37.28;37.16;37.22;37.22;26182532;0
30.08.2025;15:15;37.22;37.24;37.04;37.08;37.14;47373452;0
30.08.2025;15:30;37.08;37.16;36.92;37.10;37.04;110427020;0
