Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;1.46;1.46;1.46;1.46;1.46;82832;0
27.02.2024;10:05;1.46;1.48;1.46;1.48;1.47;11608650;0
27.02.2024;11:05;1.48;1.49;1.48;1.48;1.49;7425036;0
27.02.2024;12:05;1.48;1.49;1.48;1.48;1.49;1985154;0
27.02.2024;13:05;1.48;1.52;1.48;1.51;1.50;7958324;0
27.02.2024;14:05;1.51;1.53;1.50;1.51;1.51;9862588;0
27.02.2024;15:05;1.52;1.55;1.51;1.53;1.53;10606480;0
27.02.2024;16:05;1.53;1.57;1.52;1.54;1.55;15900150;0
27.02.2024;17:05;1.54;1.56;1.54;1.56;1.55;12502170;0
27.02.2024;18:05;1.55;1.55;1.55;1.55;1.55;922047;0
01.03.2024;09:05;1.56;1.56;1.56;1.56;1.56;401015;0
01.03.2024;10:05;1.56;1.59;1.55;1.59;1.57;16294080;0
01.03.2024;11:05;1.59;1.61;1.58;1.59;1.60;3550484;0
01.03.2024;12:05;1.59;1.61;1.58;1.61;1.60;6470947;0
01.03.2024;13:05;1.61;1.64;1.59;1.63;1.62;17216820;0
01.03.2024;14:05;1.63;1.65;1.62;1.63;1.63;6522529;0
01.03.2024;15:05;1.63;1.66;1.62;1.66;1.64;10346030;0
01.03.2024;16:05;1.66;1.67;1.64;1.65;1.65;11643190;0
01.03.2024;17:05;1.65;1.68;1.64;1.67;1.66;11088960;0
01.03.2024;18:05;1.68;1.68;1.68;1.68;1.68;665428;0
02.03.2024;09:05;1.68;1.68;1.68;1.68;1.68;697070;0
02.03.2024;10:05;1.67;1.72;1.66;1.70;1.69;15917430;0
02.03.2024;11:05;1.70;1.72;1.68;1.71;1.70;8774165;0
02.03.2024;12:05;1.71;1.72;1.71;1.71;1.72;3905085;0
08.03.2024;09:05;1.70;1.70;1.70;1.70;1.70;1552715;0
08.03.2024;10:05;1.69;1.74;1.66;1.69;1.70;38633880;0
08.03.2024;11:05;1.70;1.70;1.69;1.69;1.70;5411409;0
08.03.2024;12:05;1.69;1.69;1.67;1.68;1.68;7136003;0
08.03.2024;13:05;1.68;1.69;1.67;1.68;1.68;11422240;0
