Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
08.03.2022;00:00;6.75;6.79;6.61;6.75;6.70;100733696;0
11.03.2022;00:00;6.75;6.75;6.60;6.63;6.68;43158112;0
12.03.2022;00:00;6.63;6.73;6.58;6.72;6.66;36459460;0
13.03.2022;00:00;6.72;6.75;6.66;6.72;6.70;26664600;0
14.03.2022;00:00;6.72;6.72;6.68;6.72;6.70;14873280;0
15.03.2022;00:00;6.73;6.73;6.62;6.68;6.68;17844560;0
18.03.2022;00:00;6.68;6.69;6.57;6.57;6.63;18196560;0
19.03.2022;00:00;6.57;6.60;6.40;6.42;6.50;35714120;0
21.03.2022;00:00;6.42;6.47;6.07;6.11;6.27;42087152;0
22.03.2022;00:00;6.24;6.32;5.88;5.88;6.10;56816540;0
23.03.2022;00:00;5.89;6.18;5.84;5.93;6.01;57626712;0
26.03.2022;00:00;5.93;6.15;5.89;6.02;6.02;24060940;0
27.03.2022;00:00;6.09;6.29;6.05;6.19;6.17;25159730;0
28.03.2022;00:00;6.19;6.20;5.89;6.05;6.04;19278010;0
29.03.2022;00:00;6.05;6.05;5.88;5.93;5.96;14104650;0
30.03.2022;00:00;5.92;6.10;5.90;6.01;6.00;14152740;0
02.04.2022;00:00;6.02;6.36;5.92;6.31;6.14;26175390;0
03.04.2022;00:00;6.36;6.38;6.15;6.26;6.27;7100044;0
04.04.2022;00:00;6.23;6.29;6.11;6.27;6.20;11634600;0
05.04.2022;00:00;6.27;6.27;6.13;6.18;6.20;9644474;0
06.04.2022;00:00;6.18;6.28;6.13;6.20;6.20;13008200;0
09.04.2022;00:00;6.20;6.30;6.13;6.26;6.21;22938950;0
10.04.2022;00:00;6.34;6.55;6.32;6.44;6.44;43045780;0
11.04.2022;00:00;6.46;6.48;6.36;6.38;6.42;12477730;0
12.04.2022;00:00;6.43;6.43;6.34;6.39;6.39;14708640;0
13.04.2022;00:00;6.40;6.45;6.33;6.34;6.39;10732720;0
16.04.2022;00:00;6.29;6.29;6.12;6.27;6.20;8712419;0
17.04.2022;00:00;6.29;6.32;6.16;6.17;6.24;8906648;0
18.04.2022;00:00;6.17;6.17;5.96;6.05;6.07;7498167;0
19.04.2022;00:00;6.02;6.13;5.93;6.13;6.03;6957025;0
22.04.2022;00:00;6.12;6.21;6.07;6.21;6.14;5438515;0
25.04.2022;00:00;6.26;6.41;6.21;6.22;6.31;14090690;0
26.04.2022;00:00;6.23;6.23;6.01;6.02;6.12;4219393;0
27.04.2022;00:00;6.03;6.12;5.98;6.10;6.05;3409104;0
28.04.2022;00:00;6.08;6.30;6.01;6.25;6.15;11634670;0
29.04.2022;00:00;6.25;6.25;6.15;6.16;6.20;1966687;0
04.05.2022;00:00;6.16;6.27;6.11;6.20;6.19;6044413;0
05.05.2022;00:00;6.24;6.26;6.10;6.13;6.18;8684733;0
09.05.2022;00:00;6.15;6.26;6.14;6.26;6.20;9804298;0
10.05.2022;00:00;6.32;6.36;6.23;6.30;6.30;15019310;0
11.05.2022;00:00;6.37;6.40;6.26;6.30;6.33;8161078;0
12.05.2022;00:00;6.30;6.45;6.27;6.34;6.36;18663330;0
13.05.2022;00:00;6.34;6.40;6.31;6.36;6.36;6879470;0
16.05.2022;00:00;6.40;6.50;6.38;6.49;6.44;20038370;0
17.05.2022;00:00;6.51;6.59;6.42;6.47;6.50;25241250;0
18.05.2022;00:00;6.47;6.53;6.42;6.51;6.48;9918054;0
19.05.2022;00:00;6.59;6.59;6.32;6.41;6.46;20216880;0
20.05.2022;00:00;6.41;6.45;6.36;6.45;6.41;10341850;0
24.05.2022;00:00;6.45;6.45;6.37;6.43;6.41;9356078;0
25.05.2022;00:00;6.42;6.42;6.30;6.32;6.36;12284160;0
26.05.2022;00:00;6.30;6.34;6.23;6.28;6.29;15416590;0
27.05.2022;00:00;6.28;6.42;6.21;6.36;6.31;24463600;0
28.05.2022;00:00;6.39;6.56;6.37;6.47;6.47;34812208;0
31.05.2022;00:00;6.51;6.55;6.45;6.49;6.50;22623360;0
01.06.2022;00:00;6.50;6.53;6.42;6.47;6.48;13085560;0
02.06.2022;00:00;6.47;6.47;6.35;6.43;6.41;15681410;0
03.06.2022;00:00;6.45;6.46;6.36;6.43;6.41;15826940;0
04.06.2022;00:00;6.43;6.43;6.34;6.35;6.39;14808340;0
07.06.2022;00:00;6.32;6.47;6.30;6.42;6.39;18402550;0
08.06.2022;00:00;6.45;6.47;6.22;6.40;6.34;16178850;0
09.06.2022;00:00;6.40;6.45;6.19;6.41;6.32;10940120;0
