Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;10.89;10.92;10.87;10.91;10.89;1649352;0
24.08.2025;11:30;10.91;10.95;10.90;10.92;10.92;1545160;0
24.08.2025;11:45;10.92;10.95;10.90;10.92;10.92;1659451;0
24.08.2025;12:00;10.91;10.91;10.84;10.84;10.88;1945567;0
24.08.2025;12:15;10.84;10.88;10.81;10.81;10.85;3542325;0
24.08.2025;12:30;10.83;10.84;10.81;10.82;10.83;766041;0
24.08.2025;12:45;10.83;10.84;10.78;10.81;10.81;1639458;0
24.08.2025;13:00;10.81;10.83;10.79;10.82;10.81;1164630;0
24.08.2025;13:15;10.83;10.83;10.68;10.76;10.76;3950600;0
24.08.2025;13:30;10.76;10.76;10.71;10.71;10.74;3537231;0
24.08.2025;13:45;10.71;10.72;10.69;10.71;10.70;864896;0
24.08.2025;14:00;10.72;10.72;10.65;10.68;10.68;1968751;0
24.08.2025;14:15;10.68;10.69;10.64;10.67;10.66;1189768;0
24.08.2025;14:30;10.67;10.67;10.64;10.64;10.66;718405;0
24.08.2025;14:45;10.67;10.68;10.62;10.63;10.65;1365584;0
24.08.2025;15:00;10.62;10.65;10.57;10.65;10.61;2468294;0
24.08.2025;15:15;10.65;10.65;10.60;10.62;10.62;3374195;0
24.08.2025;15:30;10.62;10.66;10.60;10.65;10.63;1404973;0
24.08.2025;15:45;10.64;10.65;10.59;10.59;10.62;986001;0
24.08.2025;16:00;10.60;10.63;10.59;10.59;10.61;1539026;0
24.08.2025;16:15;10.59;10.60;10.50;10.52;10.55;4615641;0
24.08.2025;16:30;10.52;10.54;10.49;10.53;10.51;3524467;0
24.08.2025;16:45;10.52;10.65;10.46;10.62;10.55;6442912;0
24.08.2025;17:00;10.62;10.68;10.56;10.58;10.62;7208905;0
24.08.2025;17:15;10.58;10.60;10.53;10.56;10.57;3063035;0
24.08.2025;17:30;10.53;10.57;10.50;10.51;10.53;2791601;0
24.08.2025;17:45;10.50;10.51;10.45;10.48;10.48;3110197;0
24.08.2025;18:00;10.48;10.50;10.40;10.40;10.45;4440485;0
27.08.2025;10:00;10.02;10.24;9.97;10.09;10.11;9388500;0
27.08.2025;10:15;10.10;10.14;10.05;10.11;10.10;3130723;0
27.08.2025;10:30;10.10;10.19;10.09;10.12;10.14;3025965;0
27.08.2025;10:45;10.13;10.16;10.09;10.11;10.12;2117660;0
27.08.2025;11:00;10.10;10.15;10.01;10.12;10.08;3084305;0
27.08.2025;11:15;10.12;10.30;10.10;10.23;10.20;4670652;0
27.08.2025;11:30;10.23;10.23;10.18;10.18;10.20;1127666;0
27.08.2025;11:45;10.18;10.18;10.13;10.15;10.16;1176993;0
27.08.2025;12:00;10.15;10.20;10.13;10.17;10.16;1460584;0
27.08.2025;12:15;10.17;10.17;10.12;10.15;10.14;606489;0
27.08.2025;12:30;10.15;10.18;10.12;10.15;10.15;843355;0
27.08.2025;12:45;10.16;10.20;10.16;10.20;10.18;769769;0
27.08.2025;13:00;10.20;10.21;10.16;10.16;10.18;836175;0
27.08.2025;13:15;10.16;10.16;10.09;10.11;10.12;1096685;0
27.08.2025;13:30;10.10;10.16;10.09;10.16;10.12;1298388;0
27.08.2025;13:45;10.16;10.18;10.13;10.17;10.16;758524;0
27.08.2025;14:00;10.17;10.25;10.16;10.23;10.20;904533;0
27.08.2025;14:15;10.24;10.25;10.18;10.23;10.22;1356033;0
27.08.2025;14:30;10.24;10.30;10.19;10.25;10.24;1951274;0
27.08.2025;14:45;10.25;10.25;10.18;10.18;10.22;762278;0
27.08.2025;15:00;10.19;10.30;10.19;10.29;10.24;1540874;0
27.08.2025;15:15;10.28;10.38;10.27;10.34;10.33;3005769;0
27.08.2025;15:30;10.34;10.35;10.28;10.31;10.32;924855;0
27.08.2025;15:45;10.30;10.30;10.23;10.29;10.26;2191953;0
27.08.2025;16:00;10.29;10.34;10.28;10.34;10.31;1252988;0
27.08.2025;16:15;10.33;10.38;10.30;10.36;10.34;838708;0
27.08.2025;16:30;10.36;10.39;10.33;10.37;10.36;662668;0
27.08.2025;16:45;10.37;10.42;10.35;10.37;10.39;1692109;0
27.08.2025;17:00;10.38;10.40;10.36;10.38;10.38;1049507;0
27.08.2025;17:15;10.36;10.41;10.35;10.38;10.38;645007;0
27.08.2025;17:30;10.38;10.39;10.34;10.34;10.37;753202;0
27.08.2025;17:45;10.34;10.34;10.30;10.30;10.32;1325415;0
27.08.2025;18:00;10.30;10.33;10.23;10.23;10.28;1458653;0
28.08.2025;10:00;10.28;10.39;10.28;10.35;10.34;1126324;0
28.08.2025;10:15;10.34;10.35;10.29;10.31;10.32;536688;0
28.08.2025;10:30;10.33;10.33;10.29;10.29;10.31;535918;0
28.08.2025;10:45;10.30;10.40;10.26;10.40;10.33;2503620;0
28.08.2025;11:00;10.40;10.58;10.37;10.57;10.47;6255052;0
28.08.2025;11:15;10.57;10.58;10.48;10.48;10.53;3719454;0
28.08.2025;11:30;10.48;10.50;10.45;10.46;10.47;954156;0
28.08.2025;11:45;10.45;10.51;10.45;10.51;10.48;1050747;0
28.08.2025;12:00;10.51;10.51;10.46;10.49;10.49;663000;0
28.08.2025;12:15;10.47;10.48;10.45;10.46;10.46;927512;0
28.08.2025;12:30;10.46;10.47;10.44;10.46;10.45;468987;0
28.08.2025;12:45;10.46;10.47;10.44;10.44;10.45;798406;0
28.08.2025;13:00;10.44;10.46;10.43;10.46;10.45;486594;0
28.08.2025;13:15;10.46;10.46;10.44;10.44;10.45;292764;0
28.08.2025;13:30;10.44;10.45;10.42;10.43;10.43;686531;0
28.08.2025;13:45;10.43;10.44;10.42;10.44;10.43;447379;0
28.08.2025;14:00;10.44;10.44;10.42;10.44;10.43;216619;0
28.08.2025;14:15;10.44;10.53;10.44;10.51;10.48;1759974;0
28.08.2025;14:30;10.50;10.52;10.47;10.49;10.50;960309;0
28.08.2025;14:45;10.49;10.49;10.46;10.46;10.47;382911;0
28.08.2025;15:00;10.46;10.55;10.46;10.54;10.51;2390855;0
28.08.2025;15:15;10.54;10.55;10.52;10.52;10.54;914671;0
28.08.2025;15:30;10.52;10.54;10.52;10.53;10.53;210321;0
28.08.2025;15:45;10.53;10.56;10.40;10.41;10.48;12760624;0
28.08.2025;16:00;10.44;10.44;10.31;10.32;10.38;4363758;0
28.08.2025;16:15;10.33;10.33;10.25;10.30;10.29;1854137;0
28.08.2025;16:30;10.31;10.33;10.29;10.32;10.31;1259829;0
28.08.2025;16:45;10.31;10.34;10.25;10.31;10.30;3764329;0
28.08.2025;17:00;10.31;10.33;10.27;10.32;10.30;1635169;0
28.08.2025;17:15;10.33;10.38;10.31;10.37;10.35;1345268;0
28.08.2025;17:30;10.37;10.39;10.36;10.37;10.38;1288278;0
28.08.2025;17:45;10.39;10.39;10.32;10.33;10.36;1063600;0
28.08.2025;18:00;10.33;10.34;10.32;10.34;10.33;1021626;0
29.08.2025;10:00;10.35;10.43;10.34;10.38;10.39;1455238;0
29.08.2025;10:15;10.37;10.43;10.35;10.43;10.39;1590817;0
29.08.2025;10:30;10.42;10.43;10.40;10.43;10.41;563823;0
29.08.2025;10:45;10.41;10.43;10.40;10.41;10.41;1478615;0
29.08.2025;11:00;10.41;10.45;10.38;10.45;10.41;2402187;0
29.08.2025;11:15;10.45;10.48;10.41;10.42;10.44;2532664;0
29.08.2025;11:30;10.42;10.49;10.42;10.43;10.45;1398450;0
29.08.2025;11:45;10.44;10.45;10.41;10.41;10.43;557449;0
29.08.2025;12:00;10.41;10.43;10.41;10.41;10.42;596375;0
29.08.2025;12:15;10.41;10.47;10.41;10.46;10.44;999875;0
29.08.2025;12:30;10.46;10.47;10.43;10.43;10.45;626132;0
29.08.2025;12:45;10.43;10.44;10.42;10.44;10.43;957215;0
29.08.2025;13:00;10.42;10.49;10.41;10.45;10.45;991536;0
29.08.2025;13:15;10.45;10.46;10.43;10.43;10.45;722157;0
29.08.2025;13:30;10.43;10.44;10.42;10.43;10.43;157755;0
29.08.2025;13:45;10.43;10.45;10.41;10.43;10.43;2325916;0
29.08.2025;14:00;10.43;10.47;10.43;10.45;10.45;499644;0
29.08.2025;14:15;10.45;10.48;10.45;10.46;10.46;856646;0
29.08.2025;14:30;10.46;10.49;10.46;10.49;10.47;1001037;0
29.08.2025;14:45;10.49;10.50;10.46;10.47;10.48;2614435;0
29.08.2025;15:00;10.48;10.51;10.46;10.49;10.49;3278524;0
29.08.2025;15:15;10.48;10.51;10.46;10.49;10.49;1317485;0
29.08.2025;15:30;10.49;10.54;10.49;10.52;10.51;1199640;0
29.08.2025;15:45;10.52;10.53;10.47;10.47;10.50;1467083;0
29.08.2025;16:00;10.47;10.53;10.47;10.51;10.50;1650827;0
29.08.2025;16:15;10.51;10.53;10.48;10.49;10.50;946419;0
29.08.2025;16:30;10.48;10.53;10.48;10.53;10.50;1121810;0
29.08.2025;16:45;10.52;10.57;10.52;10.55;10.55;2028236;0
29.08.2025;17:00;10.53;10.55;10.50;10.51;10.53;865954;0
29.08.2025;17:15;10.51;10.61;10.50;10.56;10.55;5161982;0
29.08.2025;17:30;10.54;10.56;10.51;10.51;10.54;2887463;0
29.08.2025;17:45;10.51;10.53;10.50;10.50;10.51;1272598;0
29.08.2025;18:00;10.51;10.53;10.49;10.49;10.51;2281676;0
30.08.2025;10:00;10.55;10.72;10.55;10.69;10.64;4878293;0
30.08.2025;10:15;10.69;10.69;10.60;10.65;10.64;5088356;0
30.08.2025;10:30;10.65;10.65;10.58;10.60;10.61;976794;0
30.08.2025;10:45;10.60;10.65;10.59;10.65;10.62;1607152;0
30.08.2025;11:00;10.63;10.63;10.58;10.58;10.61;1701125;0
30.08.2025;11:15;10.59;10.61;10.57;10.60;10.59;1163055;0
30.08.2025;11:30;10.60;10.68;10.59;10.59;10.64;3848750;0
30.08.2025;11:45;10.64;10.73;10.60;10.65;10.66;5307957;0
30.08.2025;12:00;10.63;10.65;10.62;10.62;10.63;398953;0
30.08.2025;12:15;10.62;10.65;10.59;10.60;10.62;1863040;0
30.08.2025;12:30;10.59;10.60;10.59;10.60;10.60;296637;0
30.08.2025;12:45;10.60;10.60;10.54;10.54;10.57;5151677;0
30.08.2025;13:00;10.55;10.57;10.54;10.56;10.55;557279;0
30.08.2025;13:15;10.56;10.57;10.53;10.55;10.55;3044757;0
30.08.2025;13:30;10.55;10.56;10.50;10.51;10.53;2297993;0
30.08.2025;13:45;10.52;10.53;10.50;10.52;10.51;1315630;0
30.08.2025;14:00;10.52;10.58;10.50;10.51;10.54;5113183;0
30.08.2025;14:15;10.51;10.55;10.51;10.53;10.53;972753;0
30.08.2025;14:30;10.54;10.56;10.51;10.53;10.54;691673;0
30.08.2025;14:45;10.51;10.52;10.49;10.49;10.51;2379276;0
30.08.2025;15:00;10.49;10.50;10.48;10.50;10.49;1308696;0
30.08.2025;15:15;10.49;10.49;10.46;10.47;10.47;1250610;0
30.08.2025;15:30;10.46;10.48;10.45;10.48;10.46;899956;0
30.08.2025;15:45;10.46;10.48;10.45;10.46;10.46;77931;0
30.08.2025;16:00;10.46;10.49;10.46;10.46;10.47;120777;0
30.08.2025;16:15;10.47;10.49;10.46;10.48;10.47;282940;0
30.08.2025;16:30;10.49;10.50;10.45;10.46;10.47;1905082;0
30.08.2025;16:45;10.47;10.47;10.45;10.45;10.46;738046;0
30.08.2025;17:00;10.45;10.47;10.41;10.41;10.44;3943658;0
30.08.2025;17:15;10.42;10.43;10.37;10.38;10.40;7585272;0
30.08.2025;17:30;10.37;10.37;10.21;10.24;10.29;2853790;0
30.08.2025;17:45;10.26;10.31;10.21;10.23;10.26;3271119;0
30.08.2025;18:00;10.23;10.29;10.18;10.18;10.24;1439638;0
31.08.2025;10:00;10.18;10.27;10.15;10.18;10.21;1996615;0
31.08.2025;10:15;10.18;10.18;9.99;10.13;10.09;2679146;0
31.08.2025;10:30;10.11;10.15;10.10;10.10;10.12;959069;0
31.08.2025;10:45;10.09;10.14;10.08;10.14;10.11;888193;0
31.08.2025;11:00;10.14;10.14;10.06;10.06;10.10;805531;0
31.08.2025;11:15;10.06;10.11;10.06;10.11;10.09;226976;0
31.08.2025;11:30;10.11;10.12;10.08;10.10;10.10;399505;0
31.08.2025;11:45;10.09;10.12;10.08;10.10;10.10;423403;0
31.08.2025;12:00;10.09;10.09;10.05;10.05;10.07;1465541;0
31.08.2025;12:15;10.05;10.21;10.05;10.19;10.13;1395911;0
31.08.2025;12:30;10.18;10.19;10.15;10.15;10.17;261662;0
31.08.2025;12:45;10.15;10.17;10.10;10.10;10.14;979990;0
31.08.2025;13:00;10.10;10.11;10.06;10.08;10.09;860119;0
31.08.2025;13:15;10.07;10.09;10.07;10.09;10.08;58861;0
31.08.2025;13:30;10.09;10.11;10.06;10.09;10.09;984031;0
31.08.2025;13:45;10.10;10.13;10.08;10.13;10.11;13945427;0
31.08.2025;14:00;10.13;10.17;10.12;10.12;10.14;600167;0
31.08.2025;14:15;10.14;10.15;10.09;10.15;10.12;1608328;0
31.08.2025;14:30;10.13;10.16;10.12;10.13;10.14;346288;0
31.08.2025;14:45;10.13;10.15;10.13;10.14;10.14;150622;0
31.08.2025;15:00;10.14;10.19;10.13;10.14;10.16;999894;0
31.08.2025;15:15;10.14;10.18;10.11;10.12;10.14;607462;0
31.08.2025;15:30;10.12;10.14;10.09;10.13;10.12;425867;0
31.08.2025;15:45;10.14;10.20;10.14;10.18;10.17;1766326;0
31.08.2025;16:00;10.17;10.23;10.16;10.22;10.19;542615;0
31.08.2025;16:15;10.21;10.23;10.19;10.19;10.21;808037;0
