Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
20.06.2021;00:00;2.93;2.93;2.93;2.93;2.93;821746;0
21.06.2021;00:00;3.22;3.22;3.22;3.22;3.22;4388055;0
22.06.2021;00:00;3.54;3.54;3.54;3.54;3.54;13337630;0
25.06.2021;00:00;3.89;3.89;3.44;3.44;3.67;1520668032;0
26.06.2021;00:00;3.48;3.52;3.22;3.23;3.37;642849024;0
27.06.2021;00:00;3.25;3.49;3.24;3.32;3.37;470496384;0
28.06.2021;00:00;3.35;3.36;3.18;3.18;3.27;129042600;0
29.06.2021;00:00;3.17;3.17;2.92;2.96;3.05;164906592;0
02.07.2021;00:00;3.00;3.13;2.96;2.98;3.05;176532192;0
03.07.2021;00:00;3.00;3.03;2.84;2.86;2.93;140384304;0
04.07.2021;00:00;2.88;3.06;2.80;2.92;2.93;245677296;0
05.07.2021;00:00;2.93;2.93;2.81;2.82;2.87;83032552;0
08.07.2021;00:00;2.79;3.00;2.77;2.86;2.88;231535392;0
11.07.2021;00:00;2.87;2.93;2.85;2.87;2.89;92298192;0
12.07.2021;00:00;2.87;2.90;2.83;2.84;2.87;65374420;0
13.07.2021;00:00;2.83;2.83;2.71;2.72;2.77;57910980;0
14.07.2021;00:00;2.75;2.77;2.72;2.72;2.75;52912312;0
15.07.2021;00:00;2.72;2.73;2.67;2.67;2.70;37355992;0
18.07.2021;00:00;2.68;2.92;2.66;2.82;2.79;315945888;0
19.07.2021;00:00;2.82;2.89;2.73;2.75;2.81;110865904;0
20.07.2021;00:00;2.76;2.79;2.69;2.70;2.74;69329296;0
21.07.2021;00:00;2.69;2.72;2.68;2.69;2.70;29586860;0
22.07.2021;00:00;2.70;2.71;2.65;2.66;2.68;26162170;0
25.07.2021;00:00;2.66;2.72;2.64;2.68;2.68;39085780;0
26.07.2021;00:00;2.70;2.71;2.67;2.68;2.69;30358660;0
27.07.2021;00:00;2.69;2.71;2.67;2.68;2.69;23608350;0
28.07.2021;00:00;2.68;2.68;2.63;2.65;2.66;38230640;0
29.07.2021;00:00;2.66;2.68;2.65;2.67;2.67;32580930;0
01.08.2021;00:00;2.66;2.68;2.65;2.66;2.67;19952330;0
02.08.2021;00:00;2.66;2.67;2.66;2.66;2.67;26301990;0
03.08.2021;00:00;2.66;2.68;2.64;2.64;2.66;31896340;0
04.08.2021;00:00;2.65;2.65;2.63;2.63;2.64;12512300;0
09.08.2021;00:00;2.64;2.66;2.63;2.65;2.65;28912050;0
10.08.2021;00:00;2.66;2.91;2.65;2.70;2.78;455546496;0
11.08.2021;00:00;2.71;2.71;2.60;2.63;2.65;73491432;0
12.08.2021;00:00;2.65;2.71;2.64;2.67;2.68;74195456;0
