Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:30;322.50;323.25;322.25;323.00;322.75;133425636;0
24.08.2025;11:45;323.00;323.75;322.75;323.25;323.25;234750997;0
24.08.2025;12:00;323.00;323.75;322.25;322.25;323.00;158284602;0
24.08.2025;12:15;322.50;322.75;322.00;322.25;322.38;115379332;0
24.08.2025;12:30;322.25;322.50;320.75;321.25;321.62;259577150;0
24.08.2025;12:45;321.25;321.75;321.00;321.50;321.38;90798669;0
24.08.2025;13:00;321.50;322.00;321.25;322.00;321.62;100251497;0
24.08.2025;13:15;322.00;322.50;321.75;322.25;322.12;136549786;0
24.08.2025;13:30;322.25;322.25;321.50;322.00;321.88;105750591;0
24.08.2025;13:45;322.00;322.00;321.50;322.00;321.75;73839038;0
24.08.2025;14:00;321.75;322.00;320.00;320.75;321.00;258658531;0
24.08.2025;14:15;320.50;321.25;320.50;320.75;320.88;110493984;0
24.08.2025;14:30;320.75;321.50;320.25;321.25;320.88;117907267;0
24.08.2025;14:45;321.25;321.25;320.75;321.00;321.00;47460279;0
24.08.2025;15:00;321.00;321.50;320.75;321.50;321.12;90135685;0
24.08.2025;15:15;321.50;322.00;321.00;321.50;321.50;81463828;0
24.08.2025;15:30;321.75;322.25;321.25;322.00;321.75;116444005;0
24.08.2025;15:45;322.00;322.00;321.00;321.50;321.50;62072003;0
24.08.2025;16:00;321.50;323.75;321.25;323.00;322.50;283568444;0
24.08.2025;16:15;323.25;323.25;322.25;322.75;322.75;131921984;0
24.08.2025;16:30;322.75;323.00;322.50;322.75;322.75;103143342;0
24.08.2025;16:45;322.50;327.50;321.75;324.25;324.62;1590285001;0
24.08.2025;17:00;324.25;325.75;322.75;323.50;324.25;560705633;0
24.08.2025;17:15;323.50;323.75;321.75;322.00;322.75;262027334;0
24.08.2025;17:30;322.00;322.25;319.75;320.50;321.00;386544775;0
24.08.2025;17:45;320.25;321.25;319.00;319.75;320.12;464211423;0
24.08.2025;18:00;319.75;320.25;319.50;319.50;319.88;339644883;0
27.08.2025;10:00;313.25;314.25;311.25;314.00;312.75;1041615894;0
27.08.2025;10:15;314.00;314.00;312.00;312.75;313.00;382510966;0
27.08.2025;10:30;312.50;313.75;312.25;313.00;313.00;440298520;0
27.08.2025;10:45;313.00;314.00;312.75;313.50;313.38;401311157;0
27.08.2025;11:00;313.75;315.50;313.25;315.25;314.38;551128063;0
27.08.2025;11:15;315.25;315.25;313.75;314.00;314.50;247259556;0
27.08.2025;11:30;314.00;314.25;313.50;314.00;313.88;149521891;0
27.08.2025;11:45;314.00;314.00;313.00;313.25;313.50;197162001;0
27.08.2025;12:00;313.25;313.25;312.50;312.75;312.88;153125977;0
27.08.2025;12:15;312.75;313.00;312.50;312.50;312.75;77540475;0
27.08.2025;12:30;312.75;312.75;312.00;312.25;312.38;92322010;0
27.08.2025;12:45;312.50;312.50;312.00;312.25;312.25;86478418;0
27.08.2025;13:00;312.25;312.50;311.50;311.75;312.00;119735559;0
27.08.2025;13:15;311.75;311.75;311.25;311.50;311.50;87858333;0
27.08.2025;13:30;311.50;312.50;311.25;312.00;311.88;168046358;0
27.08.2025;13:45;312.00;312.25;310.00;310.75;311.12;452282344;0
27.08.2025;14:00;310.75;311.00;310.25;310.25;310.62;115657209;0
27.08.2025;14:15;310.25;311.25;309.75;310.00;310.50;397296416;0
27.08.2025;14:30;310.00;311.25;310.00;310.25;310.62;187479069;0
27.08.2025;14:45;310.00;311.00;309.75;310.00;310.38;214557071;0
27.08.2025;15:00;309.75;310.25;309.50;310.00;309.88;152048873;0
27.08.2025;15:15;310.00;310.50;309.50;309.75;310.00;138885241;0
27.08.2025;15:30;309.75;310.00;309.50;309.75;309.75;80189938;0
27.08.2025;15:45;309.75;309.75;308.75;309.25;309.25;228970382;0
27.08.2025;16:00;309.25;309.50;308.50;309.00;309.00;175601607;0
27.08.2025;16:15;308.75;309.25;308.25;308.50;308.75;193203717;0
27.08.2025;16:30;308.75;308.75;307.75;308.00;308.25;235121669;0
27.08.2025;16:45;308.00;308.50;307.75;308.25;308.12;202415378;0
27.08.2025;17:00;308.25;308.75;307.50;308.50;308.12;320993307;0
27.08.2025;17:15;308.50;309.50;308.00;309.00;308.75;466829366;0
27.08.2025;17:30;309.00;309.50;308.50;309.00;309.00;240717611;0
27.08.2025;17:45;308.75;309.25;308.00;308.25;308.62;226538115;0
27.08.2025;18:00;308.00;309.00;307.75;309.00;308.38;332885773;0
28.08.2025;10:00;310.75;315.00;310.50;314.25;312.75;1077197014;0
28.08.2025;10:15;314.50;316.00;313.50;315.25;314.75;872555791;0
28.08.2025;10:30;315.25;316.00;314.00;315.25;315.00;431769918;0
28.08.2025;10:45;315.25;317.75;315.25;316.25;316.50;848070564;0
28.08.2025;11:00;316.25;316.25;315.25;316.00;315.75;226838944;0
28.08.2025;11:15;316.00;316.00;314.50;315.00;315.25;214087393;0
28.08.2025;11:30;315.00;315.75;314.75;315.25;315.25;151489616;0
28.08.2025;11:45;315.50;315.50;314.00;314.00;314.75;245587441;0
28.08.2025;12:00;314.25;315.00;314.00;314.25;314.50;149002814;0
28.08.2025;12:15;314.50;315.50;314.25;315.25;314.88;167415977;0
28.08.2025;12:30;315.25;315.50;314.75;315.50;315.12;214501673;0
28.08.2025;12:45;315.50;316.25;315.00;315.50;315.62;220634433;0
28.08.2025;13:00;315.50;316.50;315.50;316.50;316.00;127659362;0
28.08.2025;13:15;316.50;317.25;315.75;317.25;316.50;394597933;0
28.08.2025;13:30;317.00;318.25;316.75;317.50;317.50;612490860;0
28.08.2025;13:45;317.25;317.75;316.75;317.25;317.25;197087537;0
28.08.2025;14:00;317.25;317.75;317.25;317.50;317.50;232650774;0
28.08.2025;14:15;317.75;318.00;317.25;317.75;317.62;208757771;0
28.08.2025;14:30;317.75;318.00;317.25;317.75;317.62;163162803;0
28.08.2025;14:45;318.00;318.50;317.50;317.75;318.00;400254031;0
28.08.2025;15:00;317.75;319.00;317.25;318.75;318.12;340169137;0
28.08.2025;15:15;318.75;320.00;318.75;320.00;319.38;267294336;0
28.08.2025;15:30;320.00;320.75;319.75;320.00;320.25;383214512;0
28.08.2025;15:45;320.00;320.50;319.00;320.00;319.75;241479798;0
28.08.2025;16:00;320.00;320.50;318.25;318.50;319.38;235025241;0
28.08.2025;16:15;318.25;318.50;316.50;317.75;317.50;428299152;0
28.08.2025;16:30;317.75;318.00;316.00;316.00;317.00;310181641;0
28.08.2025;16:45;316.00;317.00;314.00;316.50;315.50;1171366673;0
28.08.2025;17:00;316.50;317.75;316.25;317.00;317.00;473779466;0
28.08.2025;17:15;317.00;317.00;316.00;316.25;316.50;446387743;0
28.08.2025;17:30;316.25;316.50;315.00;315.50;315.75;632658746;0
28.08.2025;17:45;315.50;316.00;314.50;315.75;315.25;379991587;0
28.08.2025;18:00;315.50;316.75;315.50;316.75;316.12;320650734;0
29.08.2025;10:00;318.25;318.50;316.00;316.25;317.25;689395186;0
29.08.2025;10:15;316.25;317.25;315.25;315.75;316.25;307349756;0
29.08.2025;10:30;315.75;316.25;315.00;315.75;315.62;260859270;0
29.08.2025;10:45;315.50;316.25;315.50;315.75;315.88;135737894;0
29.08.2025;11:00;315.75;316.25;314.50;315.00;315.38;282565477;0
29.08.2025;11:15;314.75;316.00;314.25;315.00;315.12;617313287;0
29.08.2025;11:30;315.00;315.00;313.00;313.75;314.00;340698196;0
29.08.2025;11:45;313.50;314.25;312.75;313.25;313.50;476314888;0
29.08.2025;12:00;313.25;313.50;312.75;313.25;313.12;180201590;0
29.08.2025;12:15;313.25;313.50;312.75;313.50;313.12;101643947;0
29.08.2025;12:30;313.50;314.00;313.25;313.25;313.62;223323301;0
29.08.2025;12:45;313.25;315.50;313.25;315.00;314.38;373926780;0
29.08.2025;13:00;315.00;315.00;313.75;314.50;314.38;359211747;0
29.08.2025;13:15;314.50;315.25;314.00;314.75;314.62;372956376;0
29.08.2025;13:30;314.75;314.75;313.75;314.00;314.25;112588253;0
29.08.2025;13:45;313.75;314.25;313.75;314.00;314.00;179664619;0
29.08.2025;14:00;314.25;314.50;313.75;314.25;314.12;86672094;0
29.08.2025;14:15;314.00;314.75;313.50;313.50;314.12;215060414;0
29.08.2025;14:30;313.50;314.25;313.25;313.75;313.75;209479952;0
29.08.2025;14:45;313.75;314.25;312.50;313.75;313.38;375153856;0
29.08.2025;15:00;313.75;315.00;313.25;314.50;314.12;295660134;0
29.08.2025;15:15;314.75;316.50;314.50;316.50;315.50;395050391;0
29.08.2025;15:30;316.50;317.25;316.25;316.50;316.75;475606002;0
29.08.2025;15:45;316.50;316.75;315.50;316.50;316.12;170817846;0
29.08.2025;16:00;316.25;317.00;316.00;316.75;316.50;178104413;0
29.08.2025;16:15;317.00;319.00;316.50;318.50;317.75;556634904;0
29.08.2025;16:30;318.50;321.50;318.25;320.75;319.88;1063873658;0
29.08.2025;16:45;320.75;321.25;320.25;320.75;320.75;345783317;0
29.08.2025;17:00;321.00;321.25;319.50;320.25;320.38;183717875;0
29.08.2025;17:15;320.25;320.25;319.25;319.75;319.75;173163455;0
29.08.2025;17:30;320.00;321.50;319.50;321.25;320.50;285661883;0
29.08.2025;17:45;321.25;322.50;320.75;322.00;321.62;596323918;0
29.08.2025;18:00;322.00;322.75;322.00;322.50;322.38;334064844;0
30.08.2025;10:00;323.25;323.50;321.00;323.00;322.25;736560656;0
30.08.2025;10:15;323.25;323.25;321.75;322.75;322.50;360575465;0
30.08.2025;10:30;322.75;323.00;321.75;322.25;322.38;316974507;0
30.08.2025;10:45;322.25;323.00;322.00;323.00;322.50;155433728;0
30.08.2025;11:00;322.75;323.75;322.50;322.75;323.12;253919113;0
30.08.2025;11:15;322.50;323.00;322.00;322.75;322.50;282588964;0
30.08.2025;11:30;322.75;323.00;322.25;322.75;322.62;110019690;0
30.08.2025;11:45;322.50;322.75;322.25;322.25;322.50;48592514;0
30.08.2025;12:00;322.50;322.50;322.00;322.25;322.25;91301424;0
30.08.2025;12:15;322.25;322.50;321.50;322.25;322.00;199747750;0
30.08.2025;12:30;322.00;322.25;321.75;322.00;322.00;60977606;0
30.08.2025;12:45;322.00;322.25;321.75;321.75;322.00;39631437;0
30.08.2025;13:00;321.75;323.25;321.75;322.75;322.50;366553679;0
30.08.2025;13:15;323.00;324.75;322.75;323.75;323.75;953150682;0
30.08.2025;13:30;323.75;324.50;323.00;323.25;323.75;356928735;0
30.08.2025;13:45;323.50;323.75;323.00;323.50;323.38;142937077;0
30.08.2025;14:00;323.50;324.25;322.00;323.00;323.12;658095994;0
30.08.2025;14:15;323.00;323.75;322.50;322.75;323.12;202453128;0
30.08.2025;14:30;322.75;322.75;319.50;319.50;321.12;590225833;0
30.08.2025;14:45;319.50;320.75;318.75;320.00;319.75;354640991;0
30.08.2025;15:00;320.25;320.75;319.50;320.50;320.12;118595460;0
30.08.2025;15:15;320.50;320.75;319.25;319.75;320.00;205482561;0
30.08.2025;15:30;319.50;320.25;318.75;320.00;319.50;227820992;0
30.08.2025;15:45;320.00;320.25;319.50;320.00;319.88;124852375;0
30.08.2025;16:00;320.00;320.25;318.50;318.50;319.38;158433682;0
30.08.2025;16:15;318.50;319.75;318.25;319.50;319.00;149113461;0
30.08.2025;16:30;319.25;319.75;318.00;318.50;318.88;150215003;0
30.08.2025;16:45;318.25;319.00;318.00;318.25;318.50;165909774;0
30.08.2025;17:00;318.50;319.25;318.25;318.75;318.75;197188148;0
30.08.2025;17:15;318.50;318.75;315.25;316.00;317.00;473966539;0
30.08.2025;17:30;316.00;316.75;314.50;315.25;315.62;427211991;0
30.08.2025;17:45;315.00;316.75;314.75;316.50;315.75;438626097;0
30.08.2025;18:00;316.25;316.50;315.75;316.00;316.12;414009042;0
31.08.2025;10:00;315.25;316.25;314.25;315.25;315.25;502088439;0
31.08.2025;10:15;315.25;315.50;312.25;313.75;313.88;411640790;0
