Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
29.03.2012;00:00;3.74;3.87;3.73;3.74;3.80;159474208;0
30.03.2012;00:00;3.75;3.76;3.73;3.73;3.75;23327890;0
31.03.2012;00:00;3.73;3.73;3.73;3.73;3.73;283475;0
03.04.2012;00:00;3.73;3.73;3.71;3.73;3.72;16419200;0
04.04.2012;00:00;3.73;3.74;3.73;3.73;3.74;11311410;0
05.04.2012;00:00;0.00;3.73;3.73;3.73;3.73;3533752;0
06.04.2012;00:00;3.73;3.73;3.72;3.72;3.73;9201437;0
07.04.2012;00:00;0.00;3.77;3.73;3.73;3.75;17641750;0
10.04.2012;00:00;3.73;3.75;3.73;3.73;3.74;2539651;0
11.04.2012;00:00;3.73;3.78;3.72;3.72;3.75;21129640;0
12.04.2012;00:00;3.73;3.85;3.72;3.73;3.78;34367680;0
14.04.2012;00:00;3.70;3.72;3.68;3.69;3.70;1410778;0
17.04.2012;00:00;3.69;3.70;3.56;3.58;3.63;2712841;0
18.04.2012;00:00;3.59;3.66;3.58;3.60;3.62;1833926;0
19.04.2012;00:00;3.63;3.71;3.60;3.60;3.65;3954650;0
20.04.2012;00:00;3.61;3.64;3.60;3.61;3.62;1387798;0
21.04.2012;00:00;3.60;3.63;3.59;3.59;3.61;957364;0
24.04.2012;00:00;3.63;3.75;3.60;3.62;3.67;13255060;0
27.04.2012;00:00;3.66;3.75;3.63;3.73;3.69;6086852;0
28.04.2012;00:00;3.75;3.75;3.67;3.69;3.71;2034073;0
29.04.2012;00:00;3.68;3.70;3.65;3.67;3.68;862210;0
02.05.2012;00:00;3.68;3.71;3.66;3.69;3.69;1005008;0
04.05.2012;00:00;3.67;3.69;3.65;3.67;3.67;883469;0
05.05.2012;00:00;3.69;3.69;3.65;3.67;3.67;718624;0
06.05.2012;00:00;3.66;3.69;3.66;3.66;3.68;1248017;0
09.05.2012;00:00;3.66;3.71;3.66;3.67;3.69;3169717;0
10.05.2012;00:00;3.68;3.70;3.66;3.67;3.68;1544873;0
11.05.2012;00:00;0.00;3.68;3.63;3.64;3.66;2089147;0
12.05.2012;00:00;3.65;3.65;3.64;3.65;3.65;564059;0
13.05.2012;00:00;3.65;3.65;3.61;3.62;3.63;806838;0
16.05.2012;00:00;3.62;3.64;3.62;3.63;3.63;573560;0
17.05.2012;00:00;3.64;3.64;3.60;3.60;3.62;515080;0
18.05.2012;00:00;3.61;3.72;3.61;3.70;3.66;6550500;0
19.05.2012;00:00;3.70;3.78;3.66;3.66;3.72;21757510;0
20.05.2012;00:00;3.68;3.69;3.64;3.64;3.67;1344964;0
23.05.2012;00:00;3.65;3.66;3.56;3.57;3.61;1500814;0
24.05.2012;00:00;3.57;3.60;3.55;3.57;3.57;815211;0
25.05.2012;00:00;3.58;3.59;3.51;3.51;3.55;1244607;0
26.05.2012;00:00;3.51;3.53;3.51;3.51;3.52;628827;0
28.05.2012;00:00;3.51;3.52;3.51;3.51;3.51;309186;0
31.05.2012;00:00;3.52;3.56;3.51;3.51;3.53;835133;0
01.06.2012;00:00;3.52;3.53;3.50;3.51;3.51;321306;0
02.06.2012;00:00;3.51;3.51;3.50;3.50;3.50;238941;0
03.06.2012;00:00;0.00;3.55;3.48;3.49;3.51;699060;0
04.06.2012;00:00;0.00;3.50;3.47;3.49;3.49;337828;0
07.06.2012;00:00;3.50;3.61;3.49;3.52;3.55;6334401;0
08.06.2012;00:00;3.52;3.55;3.51;3.51;3.53;713862;0
09.06.2012;00:00;0.00;3.58;3.52;3.52;3.55;1898717;0
10.06.2012;00:00;3.53;3.53;3.50;3.51;3.51;474729;0
11.06.2012;00:00;3.51;3.52;3.49;3.51;3.50;714297;0
14.06.2012;00:00;3.52;3.63;3.52;3.56;3.58;5615856;0
15.06.2012;00:00;3.56;3.56;3.52;3.54;3.54;822613;0
16.06.2012;00:00;3.56;3.59;3.51;3.51;3.55;2039338;0
17.06.2012;00:00;3.51;3.51;3.46;3.48;3.49;1031647;0
18.06.2012;00:00;3.49;3.50;3.42;3.45;3.46;539208;0
21.06.2012;00:00;3.47;3.51;3.43;3.44;3.47;1054157;0
22.06.2012;00:00;3.43;3.43;3.37;3.38;3.40;476473;0
23.06.2012;00:00;3.38;3.45;3.38;3.44;3.42;629687;0
24.06.2012;00:00;0.00;3.49;3.43;3.48;3.46;474033;0
29.06.2012;00:00;3.49;3.50;3.45;3.46;3.48;846527;0
02.07.2012;00:00;0.00;3.55;3.45;3.51;3.50;3569055;0
03.07.2012;00:00;3.51;3.53;3.51;3.52;3.52;1933513;0
04.07.2012;00:00;3.52;3.54;3.48;3.51;3.51;3842022;0
05.07.2012;00:00;3.51;3.51;3.46;3.47;3.49;1536061;0
06.07.2012;00:00;0.00;3.47;3.11;3.42;3.29;1211940;0
09.07.2012;00:00;3.42;3.45;3.41;3.42;3.43;824583;0
10.07.2012;00:00;0.00;3.45;3.39;3.44;3.42;2474154;0
