Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;35.78;35.86;35.72;35.76;35.79;671238;0
24.08.2025;11:30;35.72;35.86;35.72;35.80;35.79;1155426;0
24.08.2025;11:45;35.80;35.90;35.78;35.88;35.84;354665;0
24.08.2025;12:00;35.88;35.90;35.72;35.72;35.81;1145879;0
24.08.2025;12:15;35.76;35.90;35.72;35.88;35.81;483481;0
24.08.2025;12:30;35.82;35.93;35.80;35.88;35.87;1031334;0
24.08.2025;12:45;35.88;35.90;35.82;35.88;35.86;264762;0
24.08.2025;13:00;35.80;35.88;35.80;35.88;35.84;236533;0
24.08.2025;13:15;35.90;35.93;35.78;35.80;35.86;361797;0
24.08.2025;13:30;35.80;35.86;35.78;35.80;35.82;431838;0
24.08.2025;13:45;35.80;35.90;35.78;35.90;35.84;286695;0
24.08.2025;14:00;35.88;35.90;35.60;35.62;35.75;2534954;0
24.08.2025;14:15;35.62;35.74;35.62;35.66;35.68;819083;0
24.08.2025;14:30;35.74;35.80;35.66;35.74;35.73;692447;0
24.08.2025;14:45;35.72;35.74;35.66;35.68;35.70;388503;0
24.08.2025;15:00;35.72;35.80;35.58;35.76;35.69;1186915;0
24.08.2025;15:15;35.72;35.74;35.66;35.74;35.70;184637;0
24.08.2025;15:30;35.66;35.74;35.64;35.74;35.69;301057;0
24.08.2025;15:45;35.74;35.74;35.60;35.68;35.67;181581;0
24.08.2025;16:00;35.68;35.70;35.60;35.60;35.65;626007;0
24.08.2025;16:15;35.60;35.64;35.53;35.55;35.58;1888631;0
24.08.2025;16:30;35.55;35.60;35.53;35.57;35.57;275272;0
24.08.2025;16:45;35.53;35.80;35.37;35.72;35.58;2739085;0
24.08.2025;17:00;35.68;35.80;35.60;35.64;35.70;1744512;0
24.08.2025;17:15;35.66;35.72;35.58;35.60;35.65;1232805;0
24.08.2025;17:30;35.66;35.66;35.45;35.49;35.56;981724;0
24.08.2025;17:45;35.49;35.55;35.39;35.41;35.47;2181582;0
24.08.2025;18:00;35.41;35.47;35.23;35.23;35.35;3389673;0
27.08.2025;10:00;35.23;35.23;34.52;34.90;34.88;7497269;0
27.08.2025;10:15;34.85;34.90;34.67;34.85;34.79;4944019;0
27.08.2025;10:30;34.81;34.87;34.63;34.75;34.75;1724939;0
27.08.2025;10:45;34.79;34.81;34.63;34.63;34.72;1168338;0
27.08.2025;11:00;34.65;34.67;34.53;34.57;34.60;1408552;0
27.08.2025;11:15;34.61;34.61;34.22;34.30;34.42;4084227;0
27.08.2025;11:30;34.30;34.44;34.26;34.44;34.35;4111126;0
27.08.2025;11:45;34.44;34.44;34.28;34.36;34.36;360734;0
27.08.2025;12:00;34.32;34.38;34.24;34.28;34.31;616877;0
27.08.2025;12:15;34.24;34.40;34.24;34.34;34.32;319510;0
27.08.2025;12:30;34.34;34.34;34.22;34.24;34.28;624488;0
27.08.2025;12:45;34.26;34.36;34.26;34.30;34.31;227911;0
27.08.2025;13:00;34.32;34.63;34.32;34.52;34.48;1267214;0
27.08.2025;13:15;34.53;34.67;34.42;34.67;34.54;848336;0
27.08.2025;13:30;34.67;34.69;34.61;34.65;34.65;490831;0
27.08.2025;13:45;34.65;34.71;34.59;34.71;34.65;604405;0
27.08.2025;14:00;34.71;34.73;34.65;34.71;34.69;383253;0
27.08.2025;14:15;34.71;34.77;34.50;34.57;34.63;479564;0
27.08.2025;14:30;34.55;34.69;34.55;34.57;34.62;436212;0
27.08.2025;14:45;34.61;34.61;34.46;34.48;34.53;861401;0
27.08.2025;15:00;34.53;34.59;34.42;34.57;34.51;674569;0
27.08.2025;15:15;34.57;34.67;34.48;34.57;34.57;667802;0
27.08.2025;15:30;34.59;34.59;34.42;34.44;34.51;801265;0
27.08.2025;15:45;34.44;34.48;34.26;34.40;34.37;561278;0
27.08.2025;16:00;34.40;34.46;34.32;34.44;34.39;390523;0
27.08.2025;16:15;34.44;34.50;34.38;34.42;34.44;260124;0
27.08.2025;16:30;34.46;34.46;34.36;34.42;34.41;89048;0
27.08.2025;16:45;34.36;34.42;34.32;34.40;34.37;272046;0
27.08.2025;17:00;34.40;34.46;34.32;34.36;34.39;713186;0
27.08.2025;17:15;34.36;34.53;34.36;34.50;34.45;385409;0
27.08.2025;17:30;34.44;34.46;34.32;34.44;34.39;349267;0
27.08.2025;17:45;34.38;34.44;34.30;34.34;34.37;1509390;0
27.08.2025;18:00;34.32;34.42;34.32;34.32;34.37;1426239;0
28.08.2025;10:00;34.32;34.67;34.32;34.55;34.50;893730;0
28.08.2025;10:15;34.59;34.81;34.46;34.61;34.63;2525064;0
28.08.2025;10:30;34.69;34.71;34.53;34.61;34.62;1021333;0
28.08.2025;10:45;34.61;34.65;34.44;34.53;34.54;772213;0
28.08.2025;11:00;34.57;34.98;34.53;34.87;34.76;3068864;0
28.08.2025;11:15;34.88;34.88;34.71;34.83;34.80;1459908;0
28.08.2025;11:30;34.83;34.83;34.63;34.77;34.73;489230;0
28.08.2025;11:45;34.77;34.83;34.32;34.81;34.57;1674798;0
28.08.2025;12:00;34.81;35.10;34.75;35.02;34.92;2820007;0
28.08.2025;12:15;35.04;35.04;34.73;34.73;34.88;3565880;0
28.08.2025;12:30;34.75;34.81;34.73;34.81;34.77;64408;0
28.08.2025;12:45;34.79;34.79;34.65;34.67;34.72;478730;0
28.08.2025;13:00;34.67;34.75;34.57;34.57;34.66;713231;0
28.08.2025;13:15;34.61;34.81;34.53;34.73;34.67;2294469;0
28.08.2025;13:30;34.73;34.73;34.52;34.55;34.62;1129870;0
28.08.2025;13:45;34.55;34.59;34.50;34.52;34.54;622799;0
28.08.2025;14:00;34.57;34.59;34.52;34.55;34.55;665275;0
28.08.2025;14:15;34.55;34.65;34.13;34.44;34.39;1636638;0
28.08.2025;14:30;34.48;34.57;34.46;34.50;34.52;1460097;0
28.08.2025;14:45;34.52;34.53;34.48;34.53;34.51;397886;0
28.08.2025;15:00;34.52;34.52;34.32;34.34;34.42;1735165;0
28.08.2025;15:15;34.38;34.44;34.34;34.34;34.39;335065;0
28.08.2025;15:30;34.40;34.83;34.30;34.65;34.56;5107099;0
28.08.2025;15:45;34.69;34.90;34.61;34.69;34.76;3824838;0
