Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;17.89;17.89;17.89;17.89;17.89;3228020;0
27.02.2024;10:05;17.89;17.98;17.00;17.47;17.49;67532784;0
27.02.2024;11:05;17.46;17.52;17.37;17.42;17.45;14224270;0
27.02.2024;12:05;17.43;17.43;17.21;17.27;17.32;16938030;0
27.02.2024;13:05;17.26;17.33;17.04;17.20;17.19;22445270;0
27.02.2024;14:05;17.20;17.21;16.80;16.81;17.00;25710110;0
27.02.2024;15:05;16.81;16.99;16.71;16.81;16.85;26575480;0
27.02.2024;16:05;16.80;17.06;16.73;16.96;16.89;47323192;0
27.02.2024;17:05;16.96;17.45;16.95;17.19;17.20;52409420;0
27.02.2024;18:05;17.13;17.13;17.13;17.13;17.13;1855521;0
01.03.2024;09:05;17.18;17.18;17.18;17.18;17.18;597331;0
01.03.2024;10:05;17.17;17.47;17.08;17.43;17.27;33469370;0
01.03.2024;11:05;17.42;17.50;17.25;17.26;17.38;16136240;0
01.03.2024;12:05;17.25;17.63;17.13;17.56;17.38;32082360;0
01.03.2024;13:05;17.57;18.20;17.48;18.20;17.84;52747860;0
01.03.2024;14:05;18.19;18.49;17.96;18.48;18.22;68469440;0
01.03.2024;15:05;18.47;18.81;18.46;18.67;18.63;59126192;0
01.03.2024;16:05;18.66;18.82;18.60;18.82;18.71;26485510;0
01.03.2024;17:05;18.82;18.84;18.72;18.84;18.78;64265380;0
01.03.2024;18:05;18.79;18.79;18.79;18.79;18.79;4964319;0
02.03.2024;09:05;18.84;18.84;18.84;18.84;18.84;1644901;0
02.03.2024;10:05;18.83;19.18;18.54;18.58;18.86;100281600;0
02.03.2024;11:05;18.58;18.91;18.45;18.90;18.68;30140970;0
02.03.2024;12:05;18.90;18.97;18.85;18.90;18.91;19404640;0
08.03.2024;09:05;18.85;18.85;18.85;18.85;18.85;1611355;0
08.03.2024;10:05;18.85;19.30;18.58;18.78;18.94;69827264;0
08.03.2024;11:05;18.77;18.95;18.67;18.72;18.81;35297120;0
08.03.2024;12:05;18.71;19.05;18.62;19.01;18.84;45011360;0
08.03.2024;13:05;19.03;19.25;18.92;19.01;19.09;27250090;0
08.03.2024;14:05;19.01;19.13;19.01;19.07;19.07;7448854;0
08.03.2024;15:05;19.05;19.52;18.80;19.31;19.16;47777608;0
08.03.2024;16:05;19.31;19.68;19.30;19.59;19.49;35550980;0
08.03.2024;17:05;19.61;19.65;19.27;19.41;19.46;27263340;0
08.03.2024;18:05;19.44;19.44;19.44;19.44;19.44;2385230;0
09.03.2024;09:05;19.38;19.38;19.38;19.38;19.38;736963;0
09.03.2024;10:05;19.35;19.74;19.20;19.47;19.47;59035808;0
09.03.2024;11:05;19.47;19.62;19.37;19.58;19.50;26539700;0
09.03.2024;12:05;19.58;19.61;19.39;19.50;19.50;16215330;0
09.03.2024;13:05;19.51;19.86;19.50;19.79;19.68;52712752;0
09.03.2024;14:05;19.79;19.85;19.72;19.80;19.78;11420150;0
09.03.2024;15:05;19.80;19.97;19.79;19.86;19.88;23518800;0
09.03.2024;16:05;19.86;20.08;19.56;19.67;19.82;56247960;0
09.03.2024;17:05;19.67;20.06;19.59;20.04;19.82;29843000;0
