Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;1.32;1.33;1.31;1.33;1.32;65261106;0
24.08.2025;11:30;1.33;1.33;1.32;1.33;1.33;11066029;0
24.08.2025;11:45;1.32;1.35;1.32;1.35;1.34;43549837;0
24.08.2025;12:00;1.35;1.35;1.34;1.34;1.35;27919771;0
24.08.2025;12:15;1.34;1.35;1.34;1.35;1.35;5682114;0
24.08.2025;12:30;1.35;1.35;1.33;1.33;1.34;21612008;0
24.08.2025;12:45;1.34;1.34;1.32;1.33;1.33;15307792;0
24.08.2025;13:00;1.33;1.33;1.32;1.33;1.33;8635407;0
24.08.2025;13:15;1.33;1.33;1.31;1.32;1.32;40922510;0
24.08.2025;13:30;1.31;1.32;1.31;1.32;1.31;7993980;0
24.08.2025;13:45;1.32;1.32;1.31;1.32;1.31;7900086;0
24.08.2025;14:00;1.32;1.32;1.31;1.32;1.31;19119020;0
24.08.2025;14:15;1.31;1.32;1.30;1.30;1.31;36973805;0
24.08.2025;14:30;1.30;1.32;1.30;1.30;1.31;57436977;0
24.08.2025;14:45;1.30;1.31;1.30;1.30;1.30;7135426;0
24.08.2025;15:00;1.31;1.31;1.30;1.31;1.30;4839714;0
24.08.2025;15:15;1.31;1.31;1.30;1.31;1.30;3303574;0
24.08.2025;15:30;1.31;1.31;1.29;1.29;1.30;24031364;0
24.08.2025;15:45;1.29;1.30;1.29;1.30;1.29;30085340;0
24.08.2025;16:00;1.30;1.31;1.29;1.30;1.30;69928253;0
24.08.2025;16:15;1.30;1.30;1.29;1.30;1.29;46875855;0
24.08.2025;16:30;1.30;1.30;1.28;1.29;1.29;33196148;0
24.08.2025;16:45;1.29;1.30;1.28;1.30;1.29;91975320;0
24.08.2025;17:00;1.30;1.31;1.29;1.30;1.30;37074723;0
24.08.2025;17:15;1.30;1.30;1.29;1.30;1.29;5513794;0
24.08.2025;17:30;1.30;1.30;1.29;1.30;1.29;9084664;0
24.08.2025;17:45;1.30;1.30;1.29;1.30;1.29;33324832;0
24.08.2025;18:00;1.30;1.30;1.28;1.28;1.29;35579820;0
27.08.2025;10:00;1.27;1.29;1.25;1.28;1.27;162098739;0
27.08.2025;10:15;1.29;1.29;1.26;1.26;1.27;56874001;0
27.08.2025;10:30;1.27;1.27;1.25;1.27;1.26;73693695;0
27.08.2025;10:45;1.27;1.27;1.26;1.27;1.26;11248026;0
27.08.2025;11:00;1.27;1.27;1.26;1.27;1.26;9005632;0
27.08.2025;11:15;1.27;1.27;1.26;1.27;1.26;27729682;0
27.08.2025;11:30;1.27;1.30;1.27;1.30;1.28;83421654;0
27.08.2025;11:45;1.30;1.30;1.29;1.30;1.29;27522566;0
27.08.2025;12:00;1.30;1.31;1.29;1.29;1.30;67965630;0
27.08.2025;12:15;1.30;1.30;1.29;1.30;1.29;5668487;0
27.08.2025;12:30;1.30;1.30;1.28;1.29;1.29;22559590;0
27.08.2025;12:45;1.29;1.29;1.28;1.29;1.28;23444751;0
27.08.2025;13:00;1.29;1.29;1.28;1.28;1.28;4831713;0
27.08.2025;13:15;1.29;1.29;1.28;1.29;1.28;3906200;0
27.08.2025;13:30;1.29;1.29;1.28;1.28;1.28;10616315;0
27.08.2025;13:45;1.29;1.29;1.28;1.28;1.28;2309221;0
27.08.2025;14:00;1.28;1.29;1.28;1.29;1.28;4992159;0
27.08.2025;14:15;1.29;1.29;1.27;1.28;1.28;14437889;0
27.08.2025;14:30;1.28;1.29;1.27;1.29;1.28;55065915;0
27.08.2025;14:45;1.29;1.29;1.28;1.29;1.28;11322743;0
27.08.2025;15:00;1.28;1.30;1.28;1.30;1.29;35282335;0
27.08.2025;15:15;1.29;1.30;1.28;1.29;1.29;17775787;0
27.08.2025;15:30;1.29;1.29;1.27;1.28;1.28;21783070;0
27.08.2025;15:45;1.27;1.28;1.26;1.27;1.27;49943813;0
27.08.2025;16:00;1.27;1.28;1.26;1.28;1.27;17111327;0
27.08.2025;16:15;1.28;1.28;1.27;1.27;1.27;3967094;0
27.08.2025;16:30;1.27;1.28;1.27;1.28;1.27;3809610;0
27.08.2025;16:45;1.28;1.28;1.27;1.27;1.27;3996696;0
27.08.2025;17:00;1.27;1.28;1.27;1.28;1.27;15202739;0
27.08.2025;17:15;1.27;1.28;1.27;1.28;1.27;22078460;0
27.08.2025;17:30;1.28;1.28;1.27;1.28;1.27;30014051;0
27.08.2025;17:45;1.27;1.28;1.26;1.28;1.27;43988524;0
27.08.2025;18:00;1.28;1.28;1.27;1.27;1.27;20448386;0
28.08.2025;10:00;1.28;1.30;1.28;1.30;1.29;46631567;0
28.08.2025;10:15;1.29;1.31;1.28;1.31;1.29;79551611;0
28.08.2025;10:30;1.31;1.31;1.29;1.30;1.30;34422555;0
28.08.2025;10:45;1.30;1.30;1.29;1.30;1.29;5020012;0
28.08.2025;11:00;1.30;1.30;1.29;1.30;1.29;11612792;0
28.08.2025;11:15;1.30;1.30;1.29;1.30;1.29;6625632;0
28.08.2025;11:30;1.30;1.30;1.28;1.29;1.29;15223771;0
28.08.2025;11:45;1.29;1.29;1.28;1.28;1.28;6078993;0
28.08.2025;12:00;1.28;1.30;1.28;1.29;1.29;22563402;0
28.08.2025;12:15;1.29;1.29;1.27;1.28;1.28;40362522;0
28.08.2025;12:30;1.28;1.29;1.28;1.29;1.28;18439252;0
28.08.2025;12:45;1.29;1.29;1.28;1.29;1.28;3259847;0
28.08.2025;13:00;1.29;1.29;1.28;1.29;1.28;40396496;0
28.08.2025;13:15;1.29;1.29;1.28;1.29;1.28;1964085;0
28.08.2025;13:30;1.28;1.29;1.28;1.28;1.28;1408038;0
28.08.2025;13:45;1.28;1.29;1.28;1.29;1.28;5697812;0
28.08.2025;14:00;1.29;1.29;1.28;1.29;1.28;5998070;0
28.08.2025;14:15;1.29;1.29;1.28;1.29;1.28;2291593;0
28.08.2025;14:30;1.29;1.29;1.27;1.28;1.28;28862034;0
28.08.2025;14:45;1.28;1.28;1.27;1.27;1.27;4461387;0
28.08.2025;15:00;1.28;1.28;1.27;1.27;1.27;1531815;0
28.08.2025;15:15;1.27;1.28;1.27;1.28;1.27;3716861;0
28.08.2025;15:30;1.28;1.28;1.27;1.28;1.27;1348124;0
28.08.2025;15:45;1.28;1.28;1.27;1.27;1.27;4249310;0
28.08.2025;16:00;1.28;1.28;1.27;1.28;1.27;4242910;0
28.08.2025;16:15;1.28;1.28;1.25;1.26;1.26;95837653;0
28.08.2025;16:30;1.26;1.27;1.26;1.26;1.26;35425218;0
28.08.2025;16:45;1.26;1.27;1.26;1.26;1.26;46498551;0
28.08.2025;17:00;1.27;1.27;1.26;1.27;1.26;11446548;0
28.08.2025;17:15;1.27;1.27;1.26;1.27;1.26;4732106;0
28.08.2025;17:30;1.27;1.27;1.26;1.27;1.26;9377868;0
28.08.2025;17:45;1.26;1.27;1.26;1.27;1.26;5764210;0
28.08.2025;18:00;1.26;1.27;1.26;1.27;1.26;19110969;0
29.08.2025;10:00;1.28;1.30;1.28;1.28;1.29;136538182;0
29.08.2025;10:15;1.29;1.29;1.28;1.28;1.28;19230213;0
29.08.2025;10:30;1.28;1.29;1.28;1.29;1.28;13625397;0
29.08.2025;10:45;1.29;1.29;1.27;1.28;1.28;28182356;0
29.08.2025;11:00;1.27;1.28;1.27;1.28;1.27;8057532;0
29.08.2025;11:15;1.28;1.28;1.25;1.26;1.26;145487463;0
29.08.2025;11:30;1.26;1.26;1.25;1.26;1.25;11720536;0
29.08.2025;11:45;1.26;1.26;1.25;1.26;1.25;4276389;0
29.08.2025;12:00;1.25;1.26;1.25;1.26;1.25;16448320;0
29.08.2025;12:15;1.26;1.26;1.25;1.26;1.25;2713632;0
29.08.2025;12:30;1.26;1.26;1.25;1.26;1.25;3162529;0
29.08.2025;12:45;1.26;1.26;1.25;1.25;1.25;2092591;0
29.08.2025;13:00;1.26;1.26;1.25;1.26;1.25;4611304;0
29.08.2025;13:15;1.26;1.26;1.25;1.26;1.25;3653853;0
29.08.2025;13:30;1.25;1.26;1.24;1.25;1.25;64412701;0
29.08.2025;13:45;1.25;1.26;1.25;1.25;1.25;30132767;0
29.08.2025;14:00;1.25;1.26;1.24;1.26;1.25;52886125;0
