Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
24.08.2025;11:15;155.24;155.52;155.05;155.24;155.29;47064522;0
24.08.2025;11:30;155.15;155.33;154.87;155.05;155.10;65752855;0
24.08.2025;11:45;155.05;155.61;154.78;154.87;155.19;76260171;0
24.08.2025;12:00;154.87;155.52;154.78;155.33;155.15;47162047;0
24.08.2025;12:15;155.33;155.79;155.24;155.70;155.52;35384936;0
24.08.2025;12:30;155.70;155.89;155.52;155.61;155.70;22704691;0
24.08.2025;12:45;155.61;155.70;155.05;155.15;155.38;24076772;0
24.08.2025;13:00;155.15;155.33;155.05;155.33;155.19;21336389;0
24.08.2025;13:15;155.24;155.70;155.15;155.52;155.42;49130611;0
24.08.2025;13:30;155.61;155.79;155.33;155.52;155.56;28163872;0
24.08.2025;13:45;155.42;155.79;155.33;155.70;155.56;28368259;0
24.08.2025;14:00;155.61;155.70;154.96;155.33;155.33;55297001;0
24.08.2025;14:15;155.24;155.52;155.15;155.33;155.33;33758850;0
24.08.2025;14:30;155.33;155.70;155.24;155.52;155.47;30615845;0
24.08.2025;14:45;155.52;155.61;155.05;155.33;155.33;42585419;0
24.08.2025;15:00;155.24;155.52;155.05;155.42;155.29;37138086;0
24.08.2025;15:15;155.42;155.52;155.15;155.42;155.33;26411937;0
24.08.2025;15:30;155.42;155.70;155.05;155.52;155.38;34202988;0
24.08.2025;15:45;155.52;156.26;155.33;156.16;155.79;72680661;0
24.08.2025;16:00;156.16;156.81;155.98;156.53;156.39;96691509;0
24.08.2025;16:15;156.62;156.62;155.89;156.16;156.26;58482618;0
24.08.2025;16:30;156.07;156.35;155.89;156.07;156.12;31993668;0
24.08.2025;16:45;156.07;158.29;155.79;156.90;157.04;550177842;0
24.08.2025;17:00;156.90;157.27;156.16;156.35;156.72;149144771;0
24.08.2025;17:15;156.35;156.53;155.89;156.07;156.21;78998379;0
24.08.2025;17:30;155.98;156.07;154.41;154.50;155.24;117750580;0
24.08.2025;17:45;154.59;154.96;153.85;154.41;154.41;128961756;0
24.08.2025;18:00;154.41;154.87;154.41;154.78;154.64;87158341;0
27.08.2025;10:00;153.21;153.85;151.82;153.58;152.84;341484736;0
27.08.2025;10:15;153.58;154.22;153.11;154.04;153.67;182844601;0
27.08.2025;10:30;154.04;154.31;153.48;153.58;153.90;62276790;0
27.08.2025;10:45;153.58;153.67;152.84;152.93;153.25;66038080;0
27.08.2025;11:00;152.93;153.02;151.91;152.47;152.47;118125594;0
27.08.2025;11:15;152.47;153.11;152.10;152.84;152.61;86888108;0
27.08.2025;11:30;152.84;153.02;152.47;152.84;152.74;51279265;0
27.08.2025;11:45;152.84;152.84;152.10;152.19;152.47;36568545;0
27.08.2025;12:00;152.28;152.28;151.82;151.82;152.05;46087147;0
27.08.2025;12:15;151.82;152.00;151.45;151.64;151.73;63620775;0
27.08.2025;12:30;151.64;151.91;151.36;151.73;151.64;67276837;0
27.08.2025;12:45;151.82;152.19;151.73;152.10;151.96;30561599;0
27.08.2025;13:00;152.19;152.28;151.91;151.91;152.10;33267357;0
