Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
20.04.2014;00:00;6.04;6.06;5.95;6.04;6.00;33493460;0
23.04.2014;00:00;6.04;6.10;6.02;6.04;6.06;11245610;0
24.04.2014;00:00;6.04;6.10;6.02;6.06;6.06;4529832;0
25.04.2014;00:00;6.04;6.06;6.02;6.04;6.04;1476973;0
26.04.2014;00:00;6.04;6.08;6.04;6.06;6.06;3075193;0
27.04.2014;00:00;6.06;6.08;6.02;6.04;6.05;2576595;0
02.05.2014;00:00;6.06;6.06;6.02;6.04;6.04;1338836;0
03.05.2014;00:00;6.04;6.08;6.02;6.02;6.05;1812213;0
04.05.2014;00:00;6.04;6.04;5.97;6.02;6.00;2439198;0
05.05.2014;00:00;6.02;6.04;6.00;6.04;6.02;733242;0
06.05.2014;00:00;0.00;6.04;6.00;6.02;6.02;672840;0
09.05.2014;00:00;5.97;5.97;5.26;5.34;5.62;83642712;0
10.05.2014;00:00;5.39;5.56;5.39;5.54;5.47;13011130;0
11.05.2014;00:00;5.54;5.63;5.54;5.58;5.59;4901823;0
12.05.2014;00:00;5.56;5.60;5.54;5.58;5.57;3248118;0
13.05.2014;00:00;5.58;5.60;5.54;5.54;5.57;2512971;0
16.05.2014;00:00;5.54;5.58;5.52;5.54;5.55;2333712;0
17.05.2014;00:00;5.52;5.54;5.43;5.47;5.48;3357100;0
18.05.2014;00:00;0.00;5.56;5.45;5.56;5.50;2666059;0
19.05.2014;00:00;5.58;5.87;5.58;5.69;5.72;7044035;0
20.05.2014;00:00;5.67;5.73;5.56;5.73;5.64;5578139;0
23.05.2014;00:00;5.73;5.76;5.63;5.67;5.70;854594;0
24.05.2014;00:00;5.67;5.67;5.54;5.56;5.61;802728;0
25.05.2014;00:00;5.56;5.60;5.52;5.58;5.56;347339;0
26.05.2014;00:00;0.00;5.58;5.54;5.56;5.56;139918;0
27.05.2014;00:00;5.54;5.65;5.52;5.60;5.59;690887;0
30.05.2014;00:00;5.60;5.60;5.47;5.50;5.53;634420;0
31.05.2014;00:00;5.50;5.63;5.50;5.63;5.57;483440;0
01.06.2014;00:00;5.56;5.60;5.56;5.56;5.58;165094;0
04.06.2014;00:00;5.56;5.56;5.52;5.52;5.54;150599;0
07.06.2014;00:00;5.54;5.54;5.43;5.43;5.48;633644;0
08.06.2014;00:00;0.00;5.43;5.32;5.34;5.38;755068;0
09.06.2014;00:00;5.34;5.39;5.24;5.24;5.31;538471;0
10.06.2014;00:00;5.32;5.34;5.15;5.15;5.25;721486;0
11.06.2014;00:00;5.21;5.21;4.95;4.97;5.08;2963975;0
14.06.2014;00:00;4.91;5.00;4.87;4.89;4.93;325205;0
15.06.2014;00:00;0.00;5.02;4.89;4.93;4.95;885308;0
16.06.2014;00:00;0.00;4.95;4.78;4.80;4.87;509436;0
17.06.2014;00:00;4.80;4.87;4.58;4.63;4.72;544677;0
18.06.2014;00:00;4.63;4.63;4.43;4.54;4.53;676624;0
21.06.2014;00:00;4.54;4.61;4.43;4.45;4.52;613631;0
22.06.2014;00:00;4.45;4.56;4.45;4.52;4.50;711528;0
23.06.2014;00:00;4.52;4.84;4.47;4.56;4.65;2698442;0
24.06.2014;00:00;4.58;4.58;4.37;4.37;4.47;1204919;0
25.06.2014;00:00;4.43;4.87;4.39;4.61;4.63;10186170;0
28.06.2014;00:00;4.63;4.71;4.45;4.54;4.58;3182507;0
29.06.2014;00:00;4.56;4.65;4.52;4.54;4.59;2474441;0
30.06.2014;00:00;4.61;4.61;4.47;4.50;4.54;1545467;0
01.07.2014;00:00;4.50;4.50;4.45;4.47;4.47;541273;0
02.07.2014;00:00;4.50;4.61;4.47;4.61;4.54;1263410;0
06.07.2014;00:00;4.58;4.97;4.56;4.78;4.76;5661551;0
07.07.2014;00:00;0.00;4.82;4.67;4.74;4.75;1427759;0
08.07.2014;00:00;4.56;4.76;4.56;4.69;4.66;563468;0
09.07.2014;00:00;4.67;5.04;4.67;4.95;4.86;8193441;0
10.07.2014;00:00;4.87;5.08;4.84;4.84;4.96;5092435;0
13.07.2014;00:00;4.84;4.89;4.71;4.82;4.80;3398712;0
14.07.2014;00:00;4.84;4.93;4.82;4.89;4.88;2004357;0
15.07.2014;00:00;4.91;5.37;4.91;5.13;5.14;8005135;0
16.07.2014;00:00;5.17;5.28;5.08;5.08;5.18;2541231;0
17.07.2014;00:00;5.13;5.26;5.10;5.19;5.18;2530339;0
20.07.2014;00:00;5.24;5.30;5.15;5.17;5.23;1734795;0
