Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
07.05.2005;00:00;0.02;0.02;0.02;0.02;0.02;24198;0
08.05.2005;00:00;0.02;0.02;0.02;0.02;0.02;21096;0
09.05.2005;00:00;0.02;0.02;0.02;0.02;0.02;39848;0
10.05.2005;00:00;0.02;0.02;0.02;0.02;0.02;7448;0
14.05.2005;00:00;0.02;0.02;0.02;0.02;0.02;8033;0
15.05.2005;00:00;0.02;0.02;0.02;0.02;0.02;16617;0
16.05.2005;00:00;0.02;0.02;0.02;0.02;0.02;7736;0
17.05.2005;00:00;0.02;0.02;0.02;0.02;0.02;2788;0
18.05.2005;00:00;0.02;0.02;0.02;0.02;0.02;24939;0
21.05.2005;00:00;0.02;0.02;0.02;0.02;0.02;12431;0
22.05.2005;00:00;0.02;0.02;0.02;0.02;0.02;7536;0
23.05.2005;00:00;0.02;0.02;0.01;0.02;0.01;29520;0
25.05.2005;00:00;0.02;0.02;0.02;0.02;0.02;72883;0
26.05.2005;00:00;0.02;0.02;0.02;0.02;0.02;41458;0
29.05.2005;00:00;0.02;0.02;0.02;0.02;0.02;11764;0
30.05.2005;00:00;0.02;0.02;0.02;0.02;0.02;19650;0
31.05.2005;00:00;0.02;0.02;0.02;0.02;0.02;23516;0
01.06.2005;00:00;0.02;0.02;0.01;0.01;0.01;43190;0
02.06.2005;00:00;0.02;0.02;0.01;0.01;0.01;46348;0
05.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;11687;0
06.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;44389;0
07.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;24416;0
08.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;1036007;0
09.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;142837;0
12.06.2005;00:00;0.01;0.02;0.01;0.01;0.01;34232;0
13.06.2005;00:00;0.01;0.02;0.01;0.02;0.01;195107;0
14.06.2005;00:00;0.02;0.02;0.01;0.02;0.01;197282;0
15.06.2005;00:00;0.02;0.02;0.01;0.01;0.01;1525273;0
16.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;539435;0
19.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;115336;0
20.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;67865;0
21.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;163662;0
22.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;189250;0
23.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;204871;0
28.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;109579;0
29.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;242485;0
30.06.2005;00:00;0.01;0.01;0.01;0.01;0.01;106753;0
01.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;70272;0
02.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;83511;0
05.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;30731;0
06.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;32678;0
07.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;50221;0
08.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;36336;0
09.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;65951;0
12.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;60021;0
13.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;43184;0
14.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;267884;0
15.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;266541;0
16.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;241615;0
19.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;192693;0
20.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;394520;0
21.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;289423;0
22.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;216369;0
23.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;211472;0
26.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;122043;0
28.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;133126;0
29.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;96527;0
30.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;116555;0
31.07.2005;00:00;0.01;0.01;0.01;0.01;0.01;599919;0
03.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;106824;0
04.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;372958;0
05.08.2005;00:00;0.01;0.01;0.01;0.01;0.01;120347;0
