Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
05.05.2015;00:00;1.99;2.17;1.94;2.09;2.05;29377730;0
06.05.2015;00:00;2.09;2.30;2.05;2.30;2.17;21141400;0
07.05.2015;00:00;2.34;2.63;2.32;2.50;2.47;37964552;0
08.05.2015;00:00;2.50;2.72;2.40;2.72;2.56;40082328;0
11.05.2015;00:00;2.74;3.10;2.63;2.72;2.87;38581740;0
12.05.2015;00:00;2.76;3.00;2.76;2.90;2.88;50203120;0
13.05.2015;00:00;2.97;3.04;2.81;2.87;2.92;22298290;0
14.05.2015;00:00;2.91;2.92;2.67;2.68;2.80;12083740;0
15.05.2015;00:00;2.72;2.82;2.60;2.79;2.71;16141830;0
18.05.2015;00:00;2.81;2.84;2.66;2.74;2.75;8673050;0
21.05.2015;00:00;2.72;2.74;2.63;2.69;2.68;6555018;0
22.05.2015;00:00;2.72;2.78;2.68;2.68;2.73;4317905;0
23.05.2015;00:00;2.69;2.95;2.68;2.81;2.82;32883500;0
24.05.2015;00:00;2.82;2.85;2.68;2.71;2.76;8962676;0
27.05.2015;00:00;2.72;2.74;2.67;2.69;2.70;4788479;0
28.05.2015;00:00;2.70;2.72;2.55;2.59;2.63;5460253;0
29.05.2015;00:00;2.61;2.62;2.48;2.58;2.55;4582732;0
30.05.2015;00:00;2.55;2.61;2.49;2.50;2.55;2717551;0
31.05.2015;00:00;2.53;2.61;2.46;2.50;2.53;4761074;0
03.06.2015;00:00;2.52;2.56;2.37;2.37;2.46;3665140;0
04.06.2015;00:00;2.40;2.50;2.37;2.46;2.43;6523604;0
05.06.2015;00:00;2.46;2.48;2.37;2.39;2.42;2632908;0
06.06.2015;00:00;2.43;2.54;2.39;2.46;2.46;7291831;0
07.06.2015;00:00;2.47;2.52;2.41;2.42;2.46;2946411;0
10.06.2015;00:00;2.44;2.52;2.43;2.48;2.47;3003288;0
11.06.2015;00:00;2.47;2.50;2.43;2.45;2.46;1875075;0
12.06.2015;00:00;2.46;2.77;2.46;2.66;2.61;19963170;0
13.06.2015;00:00;2.63;2.65;2.55;2.55;2.60;5071314;0
14.06.2015;00:00;2.56;2.58;2.52;2.52;2.55;3811950;0
17.06.2015;00:00;2.53;2.58;2.52;2.56;2.55;3518620;0
18.06.2015;00:00;2.57;2.62;2.55;2.57;2.58;5362238;0
19.06.2015;00:00;2.59;2.60;2.51;2.52;2.55;2661254;0
20.06.2015;00:00;2.54;2.58;2.52;2.52;2.55;3371836;0
25.06.2015;00:00;2.49;2.50;2.43;2.47;2.46;2024539;0
26.06.2015;00:00;2.49;2.51;2.42;2.46;2.46;1625788;0
27.06.2015;00:00;2.46;2.58;2.44;2.55;2.51;4378779;0
28.06.2015;00:00;2.52;2.57;2.49;2.52;2.53;2028859;0
29.06.2015;00:00;2.54;2.58;2.46;2.50;2.52;2226438;0
02.07.2015;00:00;2.52;2.52;2.48;2.49;2.50;1048447;0
03.07.2015;00:00;2.50;2.50;2.42;2.47;2.46;1479045;0
04.07.2015;00:00;2.49;2.55;2.49;2.50;2.52;2349968;0
05.07.2015;00:00;2.49;2.50;2.46;2.47;2.48;1388759;0
06.07.2015;00:00;2.46;2.48;2.44;2.45;2.46;1264306;0
09.07.2015;00:00;2.46;2.46;2.40;2.40;2.43;2200104;0
10.07.2015;00:00;2.41;2.43;2.35;2.36;2.39;1937005;0
11.07.2015;00:00;2.35;2.39;2.31;2.31;2.35;2228016;0
12.07.2015;00:00;2.31;2.33;2.25;2.27;2.29;1311528;0
13.07.2015;00:00;2.31;2.33;2.26;2.29;2.29;2833709;0
16.07.2015;00:00;2.30;2.31;2.23;2.26;2.27;892293;0
17.07.2015;00:00;2.27;2.31;2.20;2.26;2.25;2290735;0
18.07.2015;00:00;2.26;2.30;2.24;2.26;2.27;1064584;0
19.07.2015;00:00;2.28;2.50;2.27;2.36;2.38;9017435;0
20.07.2015;00:00;2.39;2.42;2.32;2.33;2.37;3294177;0
24.07.2015;00:00;2.35;2.35;2.29;2.31;2.32;1425219;0
25.07.2015;00:00;2.31;2.41;2.31;2.36;2.36;2658233;0
26.07.2015;00:00;2.35;2.41;2.35;2.38;2.38;2681803;0
27.07.2015;00:00;2.39;2.43;2.37;2.37;2.40;1494281;0
28.07.2015;00:00;2.38;2.39;2.33;2.35;2.36;938229;0
31.07.2015;00:00;2.35;2.36;2.29;2.30;2.32;877962;0
01.08.2015;00:00;2.31;2.31;2.24;2.27;2.27;1154346;0
02.08.2015;00:00;2.29;2.41;2.29;2.35;2.35;3265076;0
03.08.2015;00:00;2.33;2.45;2.33;2.39;2.39;3600810;0
04.08.2015;00:00;2.40;2.44;2.38;2.40;2.41;1148278;0
07.08.2015;00:00;2.51;2.70;2.48;2.49;2.59;18392080;0
08.08.2015;00:00;2.51;2.53;2.40;2.41;2.46;4295443;0
09.08.2015;00:00;2.40;2.41;2.35;2.41;2.38;2386159;0
10.08.2015;00:00;2.39;2.40;2.35;2.39;2.37;1785655;0
11.08.2015;00:00;2.39;2.52;2.38;2.48;2.45;4784756;0
14.08.2015;00:00;2.51;2.57;2.51;2.52;2.54;2811648;0
15.08.2015;00:00;2.52;2.56;2.49;2.52;2.52;2947041;0
16.08.2015;00:00;2.52;2.53;2.48;2.51;2.50;1251212;0
17.08.2015;00:00;2.57;2.76;2.54;2.58;2.65;19716940;0
18.08.2015;00:00;2.59;2.61;2.55;2.57;2.58;3416987;0
21.08.2015;00:00;2.56;2.61;2.54;2.58;2.57;2585222;0
25.08.2015;00:00;2.61;2.62;2.58;2.60;2.60;3649603;0
26.08.2015;00:00;2.61;2.62;2.59;2.60;2.60;3042307;0
27.08.2015;00:00;2.61;2.67;2.59;2.63;2.63;3981972;0
28.08.2015;00:00;2.64;2.65;2.61;2.61;2.63;2560515;0
31.08.2015;00:00;2.62;2.64;2.61;2.63;2.62;2337998;0
01.09.2015;00:00;2.64;2.65;2.61;2.61;2.63;2779120;0
02.09.2015;00:00;2.63;2.83;2.61;2.81;2.72;19737930;0
03.09.2015;00:00;2.80;2.83;2.74;2.77;2.78;7683025;0
04.09.2015;00:00;2.77;2.78;2.69;2.72;2.73;2481531;0
07.09.2015;00:00;2.70;2.71;2.64;2.65;2.67;3284490;0
08.09.2015;00:00;2.66;2.67;2.63;2.63;2.65;2165398;0
09.09.2015;00:00;2.64;2.69;2.62;2.67;2.65;3790807;0
10.09.2015;00:00;2.70;2.78;2.67;2.72;2.72;4852411;0
11.09.2015;00:00;2.72;2.82;2.71;2.80;2.76;6882869;0
14.09.2015;00:00;2.79;2.81;2.72;2.75;2.76;4237559;0
15.09.2015;00:00;2.75;2.80;2.71;2.78;2.75;4221995;0
16.09.2015;00:00;2.78;3.12;2.78;3.03;2.95;35503120;0
17.09.2015;00:00;3.01;3.02;2.91;2.94;2.97;8283752;0
18.09.2015;00:00;2.96;2.99;2.82;2.85;2.90;10649330;0
21.09.2015;00:00;2.85;2.86;2.83;2.83;2.84;3183178;0
22.09.2015;00:00;2.84;2.85;2.80;2.80;2.82;2818717;0
23.09.2015;00:00;2.83;2.97;2.83;2.87;2.90;8953940;0
24.09.2015;00:00;2.88;2.96;2.85;2.94;2.90;3862446;0
26.09.2015;00:00;2.94;2.97;2.91;2.92;2.94;3470485;0
29.09.2015;00:00;2.94;2.96;2.92;2.92;2.94;2568021;0
30.09.2015;00:00;2.92;2.92;2.87;2.88;2.89;1979110;0
01.10.2015;00:00;2.90;2.94;2.89;2.90;2.92;1958478;0
02.10.2015;00:00;2.92;3.02;2.90;2.99;2.96;4731405;0
03.10.2015;00:00;3.02;3.16;2.99;3.10;3.08;10885960;0
