Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.02.2024;16:05;230.48;233.28;230.48;232.08;231.88;1646282;0
26.02.2024;17:05;232.08;232.28;231.18;231.98;231.73;840215;0
26.02.2024;18:05;231.98;231.98;231.98;231.98;231.98;431660;0
27.02.2024;09:05;235.18;235.18;235.18;235.18;235.18;14124;0
27.02.2024;10:05;234.98;237.28;234.88;234.88;236.08;1463315;0
27.02.2024;11:05;234.98;236.68;234.28;235.58;235.48;1579771;0
27.02.2024;12:05;235.58;235.88;234.78;235.78;235.33;536735;0
27.02.2024;13:05;235.88;236.58;235.78;236.08;236.18;311972;0
27.02.2024;14:05;236.08;236.78;235.98;235.98;236.38;473928;0
27.02.2024;15:05;235.88;237.28;235.78;236.68;236.53;1554412;0
27.02.2024;16:05;236.88;238.08;236.88;237.58;237.48;1287444;0
27.02.2024;17:05;237.78;238.88;237.58;238.28;238.23;1847627;0
27.02.2024;18:05;238.78;238.78;238.78;238.78;238.78;740661;0
01.03.2024;09:05;239.08;239.08;239.08;239.08;239.08;13640;0
01.03.2024;10:05;239.28;244.57;239.08;242.97;241.83;1781094;0
01.03.2024;11:05;243.37;243.67;241.27;241.67;242.47;1080899;0
01.03.2024;12:05;241.97;243.47;241.57;243.47;242.52;943753;0
01.03.2024;13:05;243.47;244.17;242.67;243.67;243.42;656534;0
01.03.2024;14:05;243.67;246.67;243.47;244.07;245.07;2639565;0
01.03.2024;15:05;244.07;245.37;242.57;244.87;243.97;1576802;0
01.03.2024;16:05;244.87;245.47;242.87;244.87;244.17;2010305;0
01.03.2024;17:05;244.97;245.57;244.07;244.07;244.82;1053221;0
01.03.2024;18:05;243.07;243.07;243.07;243.07;243.07;439643;0
02.03.2024;09:05;242.67;242.67;242.67;242.67;242.67;59268;0
02.03.2024;10:05;242.67;244.07;242.17;242.77;243.12;2204814;0
02.03.2024;11:05;243.27;248.37;243.27;248.37;245.82;1992070;0
02.03.2024;12:05;249.07;250.76;247.67;247.77;249.21;1446127;0
08.03.2024;09:05;245.77;245.77;245.77;245.77;245.77;84870;0
08.03.2024;10:05;245.77;272.24;239.77;261.75;256.00;8893264;0
08.03.2024;11:05;261.75;262.75;255.01;255.01;258.88;3138593;0
08.03.2024;12:05;254.76;257.26;253.76;256.26;255.51;1506388;0
08.03.2024;13:05;256.51;256.51;254.51;255.26;255.51;823250;0
08.03.2024;14:05;255.26;255.26;252.76;253.26;254.01;1978912;0
08.03.2024;15:05;253.01;254.01;250.26;252.01;252.13;1218080;0
08.03.2024;16:05;252.51;253.51;250.51;252.01;252.01;1364538;0
08.03.2024;17:05;251.76;253.26;251.51;251.51;252.38;1834637;0
08.03.2024;18:05;251.26;251.26;251.26;251.26;251.26;549025;0
09.03.2024;09:05;250.76;250.76;250.76;250.76;250.76;38152;0
09.03.2024;10:05;250.02;253.76;248.07;249.77;250.92;2271798;0
