Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;392.00;392.00;387.04;388.85;389.52;15654940;0
27.02.2024;10:05;388.85;392.70;385.00;391.64;388.85;108465696;0
27.02.2024;11:05;391.64;395.60;390.59;395.26;393.10;37821540;0
27.02.2024;12:05;395.25;396.03;392.90;393.27;394.46;26645480;0
27.02.2024;13:05;393.30;398.60;392.57;396.43;395.59;57356952;0
27.02.2024;14:05;396.23;398.90;394.29;398.19;396.60;106205200;0
27.02.2024;15:05;398.19;398.70;395.70;396.74;397.20;46740420;0
27.02.2024;16:05;396.84;413.75;396.84;409.58;405.29;284987488;0
27.02.2024;17:05;409.58;415.59;408.59;415.57;412.09;140334592;0
27.02.2024;18:05;415.57;415.80;414.13;415.03;414.96;5310014;0
01.03.2024;09:05;415.45;419.50;415.02;415.02;417.26;16073530;0
01.03.2024;10:05;415.02;416.04;408.98;411.68;412.51;160383904;0
01.03.2024;11:05;411.64;412.90;409.51;410.01;411.21;65462472;0
01.03.2024;12:05;409.86;413.50;409.20;411.78;411.35;40452448;0
01.03.2024;13:05;411.96;411.96;410.00;410.40;410.98;16976180;0
01.03.2024;14:05;410.35;411.50;409.70;410.40;410.60;20482750;0
01.03.2024;15:05;410.41;411.15;410.10;410.77;410.62;12399920;0
01.03.2024;16:05;410.78;411.61;409.88;411.00;410.74;26197240;0
01.03.2024;17:05;410.78;412.27;409.02;409.02;410.64;37633912;0
01.03.2024;18:05;409.02;410.55;408.78;410.55;409.66;5652093;0
02.03.2024;09:05;409.82;414.50;409.82;413.11;412.16;9858274;0
02.03.2024;10:05;413.14;413.49;409.35;411.15;411.42;49495568;0
02.03.2024;11:05;411.05;412.00;404.18;404.42;408.09;67030160;0
02.03.2024;12:05;404.49;406.30;402.52;405.11;404.41;48362672;0
08.03.2024;09:05;402.15;404.99;401.01;404.56;403.00;8813638;0
08.03.2024;10:05;404.56;408.71;400.94;408.05;404.82;121229600;0
08.03.2024;11:05;408.18;414.20;406.98;412.64;410.59;85209104;0
08.03.2024;12:05;412.79;413.68;408.08;409.02;410.88;42026232;0
08.03.2024;13:05;409.02;409.75;404.25;404.55;407.00;34933500;0
08.03.2024;14:05;404.69;407.47;403.50;405.27;405.49;44798552;0
08.03.2024;15:05;405.28;405.35;402.21;403.53;403.78;32437380;0
08.03.2024;16:05;403.18;404.74;401.50;404.66;403.12;20168670;0
08.03.2024;17:05;404.77;405.54;401.41;401.50;403.48;49844408;0
08.03.2024;18:05;401.82;402.50;397.15;400.34;399.82;6045857;0
09.03.2024;09:05;400.34;400.34;395.81;397.12;398.07;8790534;0
