Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
10.10.2020;00:00;67.17;68.50;64.00;67.70;66.25;114862600;0
11.10.2020;00:00;68.03;73.30;66.50;72.12;69.90;345420896;0
12.10.2020;00:00;72.90;74.85;70.95;71.57;72.90;289743392;0
13.10.2020;00:00;72.14;72.14;67.90;68.21;70.02;118179000;0
14.10.2020;00:00;68.23;68.86;66.48;67.37;67.67;120288304;0
17.10.2020;00:00;67.60;67.94;66.50;66.51;67.22;69467824;0
18.10.2020;00:00;67.90;67.90;65.85;66.20;66.88;59079808;0
19.10.2020;00:00;66.15;66.40;61.60;62.99;64.00;113980704;0
20.10.2020;00:00;62.00;69.38;59.71;69.38;64.54;160837696;0
21.10.2020;00:00;72.87;76.31;70.50;72.44;73.40;152735104;0
25.10.2020;00:00;73.85;74.22;69.60;69.99;71.91;152070496;0
26.10.2020;00:00;70.08;72.30;69.46;69.85;70.88;114611104;0
27.10.2020;00:00;70.57;72.65;69.86;70.46;71.26;109433296;0
28.10.2020;00:00;70.60;71.04;69.45;69.50;70.24;61179112;0
29.10.2020;00:00;69.92;70.39;68.33;68.33;69.36;92778648;0
01.11.2020;00:00;68.95;69.20;67.30;67.90;68.25;58000680;0
02.11.2020;00:00;67.90;71.58;67.50;69.50;69.54;146304096;0
03.11.2020;00:00;69.55;71.01;69.25;69.60;70.13;71792928;0
04.11.2020;00:00;69.20;70.08;68.65;68.91;69.37;52264500;0
05.11.2020;00:00;68.68;71.19;67.67;70.04;69.43;117146096;0
08.11.2020;00:00;71.20;75.50;70.17;73.87;72.83;301106208;0
09.11.2020;00:00;74.64;79.43;71.49;78.39;75.46;483777216;0
10.11.2020;00:00;77.00;80.15;75.18;76.38;77.67;292632512;0
11.11.2020;00:00;76.75;78.49;75.60;76.80;77.04;139582000;0
12.11.2020;00:00;77.03;84.48;75.66;80.11;80.07;390157312;0
15.11.2020;00:00;81.01;82.30;77.85;79.25;80.08;214528304;0
16.11.2020;00:00;78.16;84.00;77.02;82.39;80.51;359732288;0
17.11.2020;00:00;82.30;84.60;74.12;74.12;79.36;426625600;0
18.11.2020;00:00;74.55;77.36;69.00;73.93;73.18;331989504;0
19.11.2020;00:00;72.97;79.79;70.31;79.78;75.05;146762096;0
26.11.2020;00:00;80.92;84.28;80.01;83.03;82.15;182659296;0
27.11.2020;00:00;83.03;84.48;81.01;81.98;82.75;135130800;0
28.11.2020;00:00;81.53;83.00;80.11;80.94;81.56;88566608;0
29.11.2020;00:00;80.10;83.01;79.05;81.75;81.03;141902592;0
30.11.2020;00:00;80.70;83.10;80.50;81.18;81.80;109740800;0
03.12.2020;00:00;81.50;82.40;79.31;79.44;80.85;82780304;0
04.12.2020;00:00;79.40;82.75;79.02;82.00;80.88;114457600;0
