Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;14.65;14.77;14.61;14.74;14.69;9546685;0
27.02.2024;10:05;14.74;15.30;14.55;15.16;14.93;123320200;0
27.02.2024;11:05;15.17;15.35;15.00;15.31;15.18;70835456;0
27.02.2024;12:05;15.30;15.34;15.02;15.07;15.18;27975280;0
27.02.2024;13:05;15.07;15.26;15.05;15.20;15.16;16431340;0
27.02.2024;14:05;15.19;15.26;15.12;15.19;15.19;15586880;0
27.02.2024;15:05;15.20;15.27;15.16;15.21;15.22;19676520;0
27.02.2024;16:05;15.23;15.48;15.19;15.35;15.33;47124340;0
27.02.2024;17:05;15.35;15.55;15.32;15.46;15.43;29822930;0
27.02.2024;18:05;15.48;15.50;15.42;15.42;15.46;2327044;0
01.03.2024;09:05;15.85;15.85;15.15;15.59;15.50;12363200;0
01.03.2024;10:05;15.57;16.13;15.46;16.12;15.79;76733640;0
01.03.2024;11:05;16.14;16.69;16.13;16.50;16.41;79495088;0
01.03.2024;12:05;16.50;16.80;16.38;16.73;16.59;56905568;0
01.03.2024;13:05;16.74;17.00;16.72;17.00;16.86;50245160;0
01.03.2024;14:05;17.00;17.00;16.83;16.94;16.91;59457568;0
01.03.2024;15:05;16.95;17.00;16.62;16.78;16.81;59624300;0
01.03.2024;16:05;16.79;17.00;16.75;16.92;16.88;47263460;0
01.03.2024;17:05;16.93;17.00;16.90;16.94;16.95;46165700;0
01.03.2024;18:05;16.93;16.96;16.92;16.93;16.94;6815233;0
02.03.2024;09:05;16.93;17.02;16.86;16.99;16.94;10610660;0
02.03.2024;10:05;17.00;17.24;16.76;17.00;17.00;157257104;0
02.03.2024;11:05;16.98;17.19;16.82;16.98;17.01;89350592;0
02.03.2024;12:05;16.98;17.16;16.98;17.03;17.07;53732592;0
08.03.2024;09:05;16.77;16.94;16.72;16.79;16.83;14964200;0
08.03.2024;10:05;16.79;17.16;16.60;16.61;16.88;139763600;0
08.03.2024;11:05;16.60;16.76;16.59;16.64;16.68;27664990;0
08.03.2024;12:05;16.64;16.74;16.48;16.51;16.61;56435592;0
08.03.2024;13:05;16.52;16.61;16.41;16.42;16.51;21204480;0
08.03.2024;14:05;16.42;16.45;16.24;16.34;16.35;38858580;0
08.03.2024;15:05;16.36;16.39;16.14;16.14;16.26;28419390;0
08.03.2024;16:05;16.16;16.22;16.00;16.06;16.11;25236590;0
08.03.2024;17:05;16.05;16.09;15.91;15.93;16.00;75659128;0
08.03.2024;18:05;15.93;15.97;15.91;15.93;15.94;3171066;0
09.03.2024;09:05;15.91;15.91;15.77;15.82;15.84;4862358;0
09.03.2024;10:05;15.81;15.86;15.23;15.24;15.54;95207912;0
09.03.2024;11:05;15.25;15.34;15.19;15.21;15.26;25526510;0
09.03.2024;12:05;15.21;15.23;15.11;15.18;15.17;17162420;0
09.03.2024;13:05;15.18;15.30;15.15;15.25;15.22;23767740;0
09.03.2024;14:05;15.26;15.40;15.25;15.31;15.32;40280408;0
09.03.2024;15:05;15.30;15.31;15.17;15.20;15.24;18618070;0
09.03.2024;16:05;15.19;15.27;15.17;15.22;15.22;14195620;0
09.03.2024;17:05;15.23;15.32;15.13;15.14;15.22;30717540;0
09.03.2024;18:05;15.13;15.16;15.12;15.16;15.14;2297064;0
