Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
19.11.2012;00:00;7.03;7.03;7.03;7.03;7.03;703;0
21.11.2012;00:00;7.00;7.00;7.00;7.00;7.00;700;0
26.11.2012;00:00;7.04;7.04;7.04;7.04;7.04;704;0
28.11.2012;00:00;5.63;5.63;5.63;5.63;5.63;563;0
10.12.2012;00:00;6.92;5.46;5.22;5.22;5.34;5094;0
11.12.2012;00:00;4.53;5.44;4.53;5.35;4.99;7385;0
12.12.2012;00:00;5.20;5.20;5.20;5.20;5.20;1040;0
17.12.2012;00:00;5.00;5.00;5.00;5.00;5.00;2000;0
18.12.2012;00:00;5.74;5.74;5.24;5.24;5.49;2147;0
19.12.2012;00:00;5.03;5.50;5.03;5.30;5.27;2116;0
20.12.2012;00:00;5.49;5.49;5.02;5.02;5.25;2583;0
21.12.2012;00:00;5.30;5.30;5.30;5.30;5.30;530;0
24.12.2012;00:00;5.14;5.14;5.14;5.14;5.14;514;0
25.12.2012;00:00;4.97;5.08;4.97;5.08;5.02;3987;0
26.12.2012;00:00;4.84;4.84;4.84;4.84;4.84;484;0
02.01.2013;00:00;4.04;5.44;4.04;5.44;4.74;1896;0
26.01.2013;00:00;5.57;5.57;5.57;5.57;5.57;557;0
29.01.2013;00:00;5.58;5.58;5.58;5.58;5.58;1116;0
17.02.2013;00:00;5.28;5.28;5.28;5.28;5.28;52800;0
10.03.2013;00:00;5.54;5.54;5.54;5.54;5.54;3324;0
16.03.2013;00:00;5.40;5.40;5.40;5.40;5.40;540;0
27.05.2013;00:00;4.80;4.80;4.80;4.80;4.80;480;0
28.05.2013;00:00;4.78;4.80;4.80;4.80;4.80;958;0
25.06.2013;00:00;4.26;4.26;4.26;4.26;4.26;426;0
04.07.2013;00:00;4.88;4.88;4.88;4.88;4.88;488;0
13.07.2013;00:00;3.42;3.42;3.42;3.42;3.42;342;0
22.07.2013;00:00;5.00;5.00;4.30;4.30;4.65;930;0
24.07.2013;00:00;4.20;4.20;4.20;4.20;4.20;840;0
12.08.2013;00:00;4.47;4.47;4.47;4.47;4.47;894;0
13.08.2013;00:00;4.50;4.50;4.50;4.50;4.50;450;0
14.08.2013;00:00;4.55;4.55;4.55;4.55;4.55;455;0
20.08.2013;00:00;3.68;3.68;3.68;3.68;3.68;736;0
26.08.2013;00:00;4.95;5.04;4.95;5.04;4.99;1494;0
29.08.2013;00:00;5.09;5.09;5.09;5.09;5.09;1018;0
12.09.2013;00:00;4.95;4.95;4.95;4.95;4.95;990;0
17.09.2013;00:00;5.00;5.00;5.00;5.00;5.00;1000;0
21.09.2013;00:00;5.16;5.16;5.16;5.16;5.16;516;0
24.09.2013;00:00;5.14;5.14;5.14;5.14;5.14;514;0
09.10.2013;00:00;5.36;5.36;5.36;5.36;5.36;536;0
10.10.2013;00:00;5.33;5.34;5.33;5.34;5.34;1067;0
12.10.2013;00:00;5.69;5.69;5.69;5.69;5.69;569;0
16.10.2013;00:00;5.80;5.80;5.80;5.80;5.80;1160;0
17.10.2013;00:00;5.70;5.70;5.70;5.70;5.70;570;0
19.10.2013;00:00;4.96;6.06;4.96;6.06;5.51;10019;0
23.10.2013;00:00;6.00;6.00;6.00;6.00;6.00;1800;0
03.11.2013;00:00;6.00;6.00;6.00;6.00;6.00;3000;0
07.11.2013;00:00;5.76;5.76;5.76;5.76;5.76;576;0
13.11.2013;00:00;5.85;5.85;5.84;5.84;5.85;1169;0
14.11.2013;00:00;5.85;5.85;5.85;5.85;5.85;585;0
16.11.2013;00:00;5.84;5.84;5.84;5.84;5.84;584;0
23.11.2013;00:00;5.94;5.94;5.75;5.75;5.85;4049;0
24.11.2013;00:00;5.61;5.61;5.61;5.61;5.61;561;0
29.11.2013;00:00;5.63;5.75;5.70;5.75;5.72;1708;0
01.12.2013;00:00;5.75;5.75;5.75;5.75;5.75;1150;0
02.12.2013;00:00;5.61;5.61;5.61;5.61;5.61;1122;0
06.12.2013;00:00;5.76;5.76;5.60;5.76;5.68;4016;0
07.12.2013;00:00;5.90;5.90;5.90;5.90;5.90;590;0
08.12.2013;00:00;5.90;5.90;5.90;5.90;5.90;1770;0
10.12.2013;00:00;5.97;5.97;5.96;5.96;5.96;1193;0
13.12.2013;00:00;6.08;6.08;6.08;6.08;6.08;608;0
16.12.2013;00:00;6.11;6.11;6.11;6.11;6.11;611;0
06.01.2014;00:00;0.00;0.00;0.00;5.35;0.00;0;0
11.01.2014;00:00;5.34;5.35;5.34;5.31;5.35;2672;0
12.01.2014;00:00;5.38;5.38;5.38;5.56;5.38;538;0
13.01.2014;00:00;5.49;5.49;5.49;5.49;5.49;549;0
14.01.2014;00:00;0.00;0.00;0.00;5.51;0.00;0;0
27.01.2014;00:00;5.67;5.67;5.67;5.78;5.67;567;0
28.01.2014;00:00;0.00;0.00;0.00;5.30;0.00;0;0
29.01.2014;00:00;0.00;0.00;0.00;5.75;0.00;0;0
04.02.2014;00:00;5.55;5.58;5.55;5.58;5.57;22290;0
05.02.2014;00:00;5.44;5.48;5.44;5.48;5.46;20820;0
19.02.2014;00:00;5.20;5.20;5.20;5.17;5.20;3640;0
23.02.2014;00:00;0.00;0.00;0.00;5.10;0.00;0;0
28.02.2014;00:00;0.00;0.00;0.00;5.00;0.00;0;0
06.03.2014;00:00;0.00;0.00;0.00;4.92;0.00;0;0
13.03.2014;00:00;5.10;5.10;5.10;5.10;5.10;4590;0
15.03.2014;00:00;0.00;0.00;0.00;5.12;0.00;0;0
18.03.2014;00:00;5.20;5.20;5.20;5.19;5.20;2600;0
19.03.2014;00:00;0.00;0.00;0.00;5.26;0.00;0;0
20.03.2014;00:00;0.00;0.00;0.00;5.35;0.00;0;0
21.03.2014;00:00;0.00;0.00;0.00;5.46;0.00;0;0
25.03.2014;00:00;0.00;0.00;0.00;5.39;0.00;0;0
29.03.2014;00:00;0.00;0.00;0.00;5.53;0.00;0;0
02.04.2014;00:00;0.00;0.00;0.00;5.55;0.00;0;0
04.04.2014;00:00;0.00;0.00;0.00;5.57;0.00;0;0
05.04.2014;00:00;0.00;0.00;0.00;5.26;0.00;0;0
