Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
27.02.2024;09:05;22.51;22.66;22.32;22.50;22.49;8826626;0
27.02.2024;10:05;22.48;23.06;22.42;23.05;22.74;91083832;0
27.02.2024;11:05;23.06;23.64;22.97;23.43;23.30;99917608;0
27.02.2024;12:05;23.42;23.67;23.38;23.58;23.52;45780360;0
27.02.2024;13:05;23.58;23.70;23.51;23.63;23.61;40637240;0
27.02.2024;14:05;23.62;23.87;23.57;23.81;23.72;45276780;0
27.02.2024;15:05;23.81;23.83;23.53;23.64;23.68;29220130;0
27.02.2024;16:05;23.65;23.96;23.64;23.88;23.80;65401560;0
27.02.2024;17:05;23.87;24.82;23.87;24.82;24.35;123357200;0
27.02.2024;18:05;24.82;24.82;24.82;24.82;24.82;1888802;0
01.03.2024;09:05;24.90;24.96;24.56;24.59;24.76;23988440;0
01.03.2024;10:05;24.56;24.60;23.93;24.45;24.27;175142208;0
01.03.2024;11:05;24.47;24.72;24.32;24.62;24.52;76022656;0
01.03.2024;12:05;24.62;25.00;24.52;24.96;24.76;82585616;0
01.03.2024;13:05;24.95;24.97;24.70;24.86;24.84;49184848;0
01.03.2024;14:05;24.88;24.89;24.72;24.82;24.80;34298368;0
01.03.2024;15:05;24.78;24.89;24.63;24.82;24.76;22229840;0
01.03.2024;16:05;24.81;24.91;24.72;24.89;24.81;24695960;0
01.03.2024;17:05;24.88;25.01;24.79;24.90;24.90;30326340;0
01.03.2024;18:05;24.88;24.97;24.87;24.97;24.92;1496125;0
02.03.2024;09:05;24.97;25.16;24.71;25.04;24.93;5473046;0
02.03.2024;10:05;25.02;25.05;24.68;24.91;24.86;60514800;0
02.03.2024;11:05;24.92;25.04;24.82;25.03;24.93;30465350;0
02.03.2024;12:05;25.01;25.08;24.94;25.04;25.01;33726340;0
08.03.2024;09:05;24.80;24.99;24.60;24.97;24.80;11710340;0
08.03.2024;10:05;24.96;24.96;24.22;24.26;24.59;108867600;0
08.03.2024;11:05;24.27;24.74;24.25;24.71;24.49;50992040;0
08.03.2024;12:05;24.70;24.86;24.58;24.68;24.72;23894060;0
08.03.2024;13:05;24.65;24.69;24.49;24.53;24.59;25061160;0
08.03.2024;14:05;24.52;24.59;24.46;24.54;24.52;15340270;0
