Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
29.09.2018;00:00;30.18;32.38;30.18;30.20;31.28;18696;0
30.09.2018;00:00;31.93;31.93;29.41;29.41;30.67;12268;0
02.10.2018;00:00;29.31;30.81;29.31;30.81;30.06;12024;0
08.10.2018;00:00;28.32;30.52;28.32;30.52;29.42;5884;0
12.10.2018;00:00;30.52;32.91;30.52;32.91;31.72;6343;0
13.10.2018;00:00;32.18;32.18;29.70;32.04;30.94;219308;0
14.10.2018;00:00;29.03;30.92;29.03;30.92;29.98;11990;0
23.10.2018;00:00;29.67;30.06;28.63;28.63;29.34;32291;0
24.10.2018;00:00;28.15;30.73;28.15;30.73;29.44;74022;0
25.10.2018;00:00;31.30;31.45;30.51;31.45;30.98;111963;0
26.10.2018;00:00;31.65;33.13;30.74;31.60;31.94;7801363;0
27.10.2018;00:00;31.98;32.59;30.96;31.75;31.77;460548;0
30.10.2018;00:00;31.49;31.49;30.14;30.14;30.81;623369;0
31.10.2018;00:00;30.20;30.31;30.10;30.13;30.20;138891;0
01.11.2018;00:00;29.75;29.83;28.85;29.07;29.34;134729;0
02.11.2018;00:00;28.25;30.07;28.25;30.07;29.16;70436;0
03.11.2018;00:00;29.81;30.92;29.81;30.80;30.36;1443140;0
06.11.2018;00:00;31.16;32.38;31.16;32.07;31.77;4354867;0
07.11.2018;00:00;32.00;32.15;31.46;31.50;31.81;308329;0
08.11.2018;00:00;31.35;32.03;30.70;30.74;31.36;512057;0
09.11.2018;00:00;31.06;31.93;29.95;30.01;30.94;708663;0
10.11.2018;00:00;30.26;30.45;28.40;28.51;29.43;603480;0
13.11.2018;00:00;27.81;29.25;27.80;29.15;28.52;1098690;0
14.11.2018;00:00;29.55;29.62;27.83;28.15;28.73;930844;0
15.11.2018;00:00;28.50;28.50;26.73;26.82;27.61;3006138;0
16.11.2018;00:00;25.88;28.06;25.88;27.30;26.97;2333332;0
17.11.2018;00:00;27.46;27.95;27.01;27.95;27.48;2828984;0
21.11.2018;00:00;29.00;29.16;27.17;28.75;28.16;4623993;0
22.11.2018;00:00;28.83;29.80;28.43;29.27;29.11;5025598;0
23.11.2018;00:00;29.21;30.43;29.21;30.13;29.82;9781939;0
24.11.2018;00:00;29.96;30.50;29.61;30.50;30.06;6586957;0
25.11.2018;00:00;29.90;30.54;29.53;29.98;30.04;6391852;0
28.11.2018;00:00;29.99;30.14;28.69;29.03;29.41;6555266;0
29.11.2018;00:00;29.10;29.60;28.80;29.15;29.20;3933215;0
30.11.2018;00:00;29.30;29.49;28.74;29.22;29.11;4472623;0
01.12.2018;00:00;29.22;29.72;28.97;29.55;29.34;5336897;0
02.12.2018;00:00;29.44;30.17;29.22;30.00;29.69;5365215;0
05.12.2018;00:00;30.00;30.17;29.61;29.76;29.89;6584296;0
06.12.2018;00:00;29.75;30.80;29.74;30.70;30.27;10513380;0
07.12.2018;00:00;30.88;30.89;30.09;30.60;30.49;7014042;0
08.12.2018;00:00;30.31;30.65;30.05;30.37;30.35;5179415;0
09.12.2018;00:00;30.34;30.43;30.28;30.29;30.36;1814255;0
12.12.2018;00:00;30.27;30.28;29.75;29.89;30.02;2811492;0
14.12.2018;00:00;29.89;30.44;29.65;30.11;30.05;4354073;0
15.12.2018;00:00;30.19;30.21;28.85;29.10;29.53;6270028;0
16.12.2018;00:00;29.34;29.58;28.52;29.39;29.05;4120979;0
19.12.2018;00:00;29.10;30.31;29.03;30.08;29.67;3080829;0
20.12.2018;00:00;29.81;32.90;29.75;31.50;31.33;8826328;0
24.12.2018;00:00;31.35;31.95;30.92;31.07;31.44;6565226;0
25.12.2018;00:00;30.88;31.20;30.70;31.14;30.95;5584776;0
28.12.2018;00:00;31.12;31.17;30.56;31.06;30.86;6654442;0
29.12.2018;00:00;30.58;31.03;30.27;30.71;30.65;4832906;0
30.12.2018;00:00;30.70;30.80;29.48;29.65;30.14;6261637;0
31.12.2018;00:00;29.74;29.88;29.16;29.44;29.52;4462101;0
01.01.2019;00:00;29.32;30.02;28.60;29.03;29.31;5406654;0
04.01.2019;00:00;29.83;30.57;28.48;30.10;29.52;11925390;0
05.01.2019;00:00;30.18;30.65;29.75;30.12;30.20;5681586;0
06.01.2019;00:00;30.40;30.56;29.79;29.93;30.18;6170690;0
07.01.2019;00:00;29.87;30.54;29.66;29.87;30.10;5599550;0
08.01.2019;00:00;29.87;29.87;29.06;29.08;29.47;4907766;0
11.01.2019;00:00;28.95;29.85;28.70;29.69;29.28;5247867;0
12.01.2019;00:00;29.60;30.25;28.80;29.07;29.52;10077180;0
13.01.2019;00:00;29.12;29.35;28.01;28.22;28.68;17888640;0
14.01.2019;00:00;28.27;29.10;27.50;28.71;28.30;11234190;0
15.01.2019;00:00;28.71;29.74;28.71;29.63;29.22;3160372;0
18.01.2019;00:00;29.45;30.50;29.45;30.47;29.98;8188113;0
19.01.2019;00:00;30.38;31.50;30.38;31.50;30.94;5529109;0
20.01.2019;00:00;31.60;32.45;31.24;31.62;31.85;5896499;0
21.01.2019;00:00;31.90;33.95;31.39;33.89;32.67;9449011;0
22.01.2019;00:00;34.04;38.25;33.25;35.86;35.75;14487770;0
26.01.2019;00:00;34.63;35.52;34.63;35.40;35.08;5739231;0
30.01.2019;00:00;35.40;37.30;35.30;37.02;36.30;8625701;0
