Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
05.09.2025;09:30;4.09;4.09;4.07;4.07;4.08;13105288;0
05.09.2025;09:45;4.08;4.09;4.07;4.09;4.08;14539324;0
05.09.2025;10:00;4.08;4.10;4.07;4.10;4.09;106527684;0
05.09.2025;10:15;4.10;4.15;4.06;4.13;4.11;98999580;0
05.09.2025;10:30;4.14;4.14;4.10;4.11;4.12;60783283;0
05.09.2025;10:45;4.12;4.13;4.10;4.10;4.12;38449936;0
05.09.2025;11:00;4.10;4.12;4.10;4.10;4.11;34642092;0
05.09.2025;11:15;4.10;4.11;4.09;4.10;4.10;23745194;0
05.09.2025;11:30;4.10;4.11;4.09;4.09;4.10;14398402;0
05.09.2025;11:45;4.09;4.12;4.09;4.12;4.11;13975514;0
05.09.2025;12:00;4.11;4.13;4.10;4.11;4.12;22107442;0
05.09.2025;12:15;4.11;4.16;4.11;4.13;4.13;67641767;0
05.09.2025;12:30;4.13;4.14;4.12;4.13;4.13;23462237;0
05.09.2025;12:45;4.13;4.14;4.12;4.12;4.13;18726159;0
05.09.2025;13:00;4.13;4.18;4.12;4.17;4.15;35698902;0
05.09.2025;13:15;4.17;4.20;4.16;4.18;4.18;89171101;0
05.09.2025;13:30;4.18;4.18;4.14;4.16;4.16;56409077;0
05.09.2025;13:45;4.16;4.16;4.15;4.16;4.15;4277323;0
05.09.2025;14:00;4.16;4.17;4.14;4.16;4.15;63784647;0
05.09.2025;14:15;4.16;4.16;4.12;4.14;4.14;26844268;0
05.09.2025;14:30;4.15;4.15;4.13;4.14;4.14;10112238;0
05.09.2025;14:45;4.14;4.15;4.12;4.12;4.13;19949635;0
05.09.2025;15:00;4.12;4.14;4.12;4.12;4.13;15940765;0
05.09.2025;15:15;4.12;4.14;4.12;4.13;4.13;4635752;0
05.09.2025;15:30;4.13;4.16;4.13;4.14;4.14;13965656;0
05.09.2025;15:45;4.15;4.15;4.09;4.11;4.12;47809543;0
05.09.2025;16:00;4.11;4.13;4.11;4.11;4.12;34665809;0
05.09.2025;16:15;4.12;4.13;4.11;4.12;4.12;49844404;0
05.09.2025;16:30;4.12;4.16;4.12;4.15;4.14;39709752;0
05.09.2025;16:45;4.15;4.15;4.13;4.14;4.14;26976184;0
05.09.2025;17:00;4.14;4.15;4.13;4.14;4.14;10374261;0
05.09.2025;17:15;4.14;4.17;4.12;4.16;4.14;72541180;0
05.09.2025;17:30;4.16;4.29;4.15;4.24;4.22;287500815;0
05.09.2025;17:45;4.24;4.26;4.21;4.23;4.24;224749871;0
05.09.2025;18:00;4.22;4.28;4.21;4.27;4.25;138745313;0
06.09.2025;09:30;4.28;4.30;4.27;4.29;4.29;14952779;0
06.09.2025;09:45;4.28;4.30;4.27;4.30;4.29;25920766;0
06.09.2025;10:00;4.30;4.31;4.24;4.29;4.27;126438304;0
06.09.2025;10:15;4.30;4.30;4.27;4.28;4.29;35833813;0
06.09.2025;10:30;4.28;4.28;4.25;4.26;4.27;63499807;0
06.09.2025;10:45;4.26;4.27;4.25;4.27;4.26;29250230;0
06.09.2025;11:00;4.27;4.28;4.26;4.27;4.27;41490394;0
06.09.2025;11:15;4.28;4.28;4.26;4.26;4.27;21416543;0
06.09.2025;11:30;4.27;4.27;4.22;4.22;4.24;120050518;0
06.09.2025;11:45;4.22;4.25;4.22;4.25;4.23;16675264;0
06.09.2025;12:00;4.25;4.25;4.24;4.24;4.24;9110541;0
06.09.2025;12:15;4.25;4.25;4.24;4.25;4.24;2546787;0
06.09.2025;12:30;4.25;4.26;4.24;4.26;4.25;14049039;0
06.09.2025;12:45;4.26;4.26;4.24;4.26;4.25;34496489;0
06.09.2025;13:00;4.26;4.26;4.25;4.25;4.26;2994057;0
06.09.2025;13:15;4.26;4.26;4.24;4.25;4.25;25217529;0
06.09.2025;13:30;4.25;4.25;4.24;4.25;4.24;3104436;0
06.09.2025;13:45;4.24;4.26;4.23;4.24;4.25;25553206;0
06.09.2025;14:00;4.24;4.25;4.23;4.25;4.24;10828532;0
06.09.2025;14:15;4.25;4.25;4.24;4.24;4.24;2927256;0
06.09.2025;14:30;4.24;4.24;4.23;4.24;4.23;18219711;0
06.09.2025;14:45;4.23;4.24;4.23;4.23;4.23;16768164;0
06.09.2025;15:00;4.24;4.25;4.23;4.24;4.24;24118896;0
06.09.2025;15:15;4.23;4.24;4.22;4.23;4.23;28183221;0
06.09.2025;15:30;4.24;4.25;4.23;4.25;4.24;32276560;0
06.09.2025;15:45;4.24;4.25;4.24;4.25;4.24;11697118;0
06.09.2025;16:00;4.24;4.26;4.24;4.24;4.25;16814017;0
06.09.2025;16:15;4.24;4.24;4.17;4.19;4.20;102542343;0
06.09.2025;16:30;4.18;4.20;4.15;4.17;4.17;95232842;0
06.09.2025;16:45;4.17;4.18;4.14;4.16;4.16;96796887;0
06.09.2025;17:00;4.15;4.16;4.09;4.12;4.12;144853056;0
06.09.2025;17:15;4.12;4.14;4.10;4.13;4.12;85185744;0
06.09.2025;17:30;4.13;4.14;4.11;4.11;4.12;49953987;0
06.09.2025;17:45;4.11;4.12;4.06;4.08;4.09;207119630;0
06.09.2025;18:00;4.08;4.09;4.06;4.06;4.08;69479608;0
07.09.2025;09:30;4.06;4.09;4.05;4.07;4.07;41821544;0
07.09.2025;09:45;4.07;4.07;4.06;4.06;4.07;12258576;0
07.09.2025;10:00;4.06;4.13;4.06;4.12;4.10;145041295;0
07.09.2025;10:15;4.13;4.13;4.10;4.10;4.12;97177469;0
07.09.2025;10:30;4.11;4.14;4.10;4.14;4.12;74565992;0
07.09.2025;10:45;4.14;4.14;4.11;4.12;4.12;60606464;0
07.09.2025;11:00;4.12;4.13;4.09;4.10;4.11;30883191;0
07.09.2025;11:15;4.09;4.11;4.09;4.11;4.10;22841812;0
07.09.2025;11:30;4.11;4.11;4.09;4.10;4.10;16761265;0
07.09.2025;11:45;4.09;4.10;4.09;4.10;4.10;9871834;0
07.09.2025;12:00;4.10;4.10;4.09;4.09;4.10;15069584;0
07.09.2025;12:15;4.09;4.10;4.09;4.10;4.10;5539751;0
07.09.2025;12:30;4.10;4.10;4.07;4.07;4.09;29770675;0
07.09.2025;12:45;4.08;4.08;4.06;4.07;4.07;24311478;0
07.09.2025;13:00;4.06;4.07;4.06;4.06;4.07;5393445;0
07.09.2025;13:15;4.06;4.11;4.06;4.10;4.09;44942094;0
07.09.2025;13:30;4.10;4.12;4.08;4.08;4.10;49429019;0
07.09.2025;13:45;4.09;4.10;4.08;4.09;4.09;8548152;0
07.09.2025;14:00;4.10;4.11;4.09;4.11;4.10;14454699;0
07.09.2025;14:15;4.11;4.12;4.10;4.11;4.11;38541754;0
07.09.2025;14:30;4.12;4.12;4.10;4.11;4.11;18344773;0
07.09.2025;14:45;4.10;4.11;4.08;4.09;4.10;15644153;0
07.09.2025;15:00;4.09;4.11;4.08;4.10;4.10;57743863;0
07.09.2025;15:15;4.10;4.11;4.09;4.10;4.10;16211068;0
07.09.2025;15:30;4.10;4.12;4.10;4.12;4.11;28174863;0
07.09.2025;15:45;4.12;4.12;4.00;4.10;4.06;233826691;0
07.09.2025;16:00;4.11;4.14;4.09;4.11;4.12;189578747;0
07.09.2025;16:15;4.11;4.11;4.08;4.10;4.10;38177629;0
07.09.2025;16:30;4.10;4.11;4.09;4.11;4.10;25412514;0
07.09.2025;16:45;4.11;4.11;4.08;4.10;4.10;31129307;0
07.09.2025;17:00;4.09;4.11;4.09;4.10;4.10;27105307;0
07.09.2025;17:15;4.10;4.11;4.06;4.10;4.09;98813034;0
07.09.2025;17:30;4.11;4.11;4.09;4.09;4.10;50366730;0
07.09.2025;17:45;4.10;4.11;4.09;4.10;4.10;65769141;0
07.09.2025;18:00;4.10;4.12;4.08;4.12;4.10;68289916;0
10.09.2025;09:30;4.17;4.27;4.17;4.27;4.22;39339670;0
10.09.2025;09:45;4.27;4.28;4.22;4.23;4.25;58587236;0
10.09.2025;10:00;4.22;4.23;4.17;4.19;4.20;92833230;0
10.09.2025;10:15;4.19;4.20;4.17;4.20;4.18;62582903;0
10.09.2025;10:30;4.20;4.26;4.19;4.22;4.23;179782392;0
10.09.2025;10:45;4.23;4.23;4.20;4.22;4.21;53014085;0
10.09.2025;11:00;4.23;4.24;4.22;4.23;4.23;31055685;0
10.09.2025;11:15;4.24;4.24;4.22;4.23;4.23;39288248;0
10.09.2025;11:30;4.23;4.23;4.22;4.23;4.22;55274887;0
10.09.2025;11:45;4.23;4.24;4.22;4.23;4.23;11166604;0
10.09.2025;12:00;4.23;4.27;4.22;4.25;4.24;77290627;0
10.09.2025;12:15;4.25;4.36;4.25;4.30;4.31;206158185;0
10.09.2025;12:30;4.30;4.33;4.29;4.30;4.31;104172518;0
10.09.2025;12:45;4.31;4.31;4.27;4.29;4.29;53723932;0
10.09.2025;13:00;4.30;4.30;4.29;4.30;4.30;6624210;0
10.09.2025;13:15;4.29;4.31;4.28;4.29;4.30;29170161;0
10.09.2025;13:30;4.29;4.30;4.28;4.29;4.29;32203178;0
