Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
04.09.2025;18:00;332.80;332.95;331.60;331.85;332.28;160319274;0
05.09.2025;09:30;331.90;331.90;330.60;331.10;331.25;18671680;0
05.09.2025;09:45;331.00;331.60;330.80;331.40;331.20;7020825;0
05.09.2025;10:00;331.30;331.80;327.00;328.00;329.40;359105946;0
05.09.2025;10:15;328.00;328.60;327.00;328.20;327.80;181975534;0
05.09.2025;10:30;328.25;328.75;327.90;328.45;328.32;68547260;0
05.09.2025;10:45;328.35;328.55;327.35;327.40;327.95;79776735;0
05.09.2025;11:00;327.35;327.95;327.15;327.70;327.55;52082275;0
05.09.2025;11:15;327.80;327.90;326.45;327.05;327.18;112365417;0
05.09.2025;11:30;327.10;327.20;326.85;327.05;327.03;42488770;0
05.09.2025;11:45;327.05;327.05;326.55;326.90;326.80;29281520;0
05.09.2025;12:00;327.00;327.45;326.90;326.90;327.18;32681010;0
05.09.2025;12:15;326.90;327.00;326.55;326.90;326.77;20913110;0
05.09.2025;12:30;326.85;327.10;326.80;327.10;326.95;17524960;0
05.09.2025;12:45;327.05;327.55;326.50;326.55;327.02;43627830;0
05.09.2025;13:00;326.60;326.95;326.50;326.90;326.73;25289710;0
05.09.2025;13:15;326.90;327.10;326.65;327.10;326.88;20790170;0
05.09.2025;13:30;327.05;327.05;325.35;326.15;326.20;119890669;0
05.09.2025;13:45;326.20;326.40;325.95;326.25;326.18;16961730;0
05.09.2025;14:00;326.25;326.25;325.80;326.00;326.02;24092020;0
05.09.2025;14:15;326.15;326.85;326.10;326.55;326.48;55143635;0
05.09.2025;14:30;326.65;327.10;326.50;326.55;326.80;38270695;0
05.09.2025;14:45;326.45;326.60;325.85;326.20;326.23;17056695;0
05.09.2025;15:00;326.25;326.55;325.85;326.00;326.20;36102705;0
05.09.2025;15:15;326.00;326.45;326.00;326.30;326.23;7046660;0
05.09.2025;15:30;326.30;326.35;325.90;326.15;326.12;12065325;0
