Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
21.09.2018;00:00;5.16;5.36;5.16;5.35;5.26;28491;0
22.09.2018;00:00;5.46;5.46;5.33;5.36;5.39;21500;0
23.09.2018;00:00;5.30;5.30;5.16;5.16;5.23;38921;0
24.09.2018;00:00;5.25;5.26;5.25;5.26;5.26;25228;0
25.09.2018;00:00;5.27;5.34;5.27;5.34;5.31;9016;0
28.09.2018;00:00;5.41;5.60;5.39;5.60;5.49;97046;0
29.09.2018;00:00;5.64;5.73;5.64;5.73;5.68;43050;0
30.09.2018;00:00;5.82;5.82;5.56;5.56;5.69;12396;0
01.10.2018;00:00;5.56;5.65;5.50;5.65;5.58;5060;0
02.10.2018;00:00;5.59;5.59;5.45;5.53;5.52;24816;0
05.10.2018;00:00;5.61;5.68;5.56;5.56;5.62;20766;0
06.10.2018;00:00;5.49;5.49;5.40;5.40;5.44;19520;0
07.10.2018;00:00;5.38;5.65;5.38;5.65;5.52;47804;0
08.10.2018;00:00;5.63;5.63;5.41;5.41;5.52;63775;0
09.10.2018;00:00;5.46;5.48;5.36;5.40;5.42;9775;0
12.10.2018;00:00;5.49;5.59;5.48;5.56;5.54;34880;0
13.10.2018;00:00;5.54;5.55;5.50;5.50;5.53;45775;0
14.10.2018;00:00;5.59;5.59;5.53;5.53;5.56;1671;0
15.10.2018;00:00;5.46;5.67;5.46;5.66;5.57;49924;0
20.10.2018;00:00;5.58;5.58;5.34;5.42;5.46;47521;0
23.10.2018;00:00;5.41;5.48;5.34;5.42;5.41;91544;0
24.10.2018;00:00;5.43;5.52;5.39;5.52;5.45;24591;0
25.10.2018;00:00;5.38;5.45;5.27;5.29;5.36;50499;0
26.10.2018;00:00;5.28;5.37;5.18;5.18;5.27;54600;0
27.10.2018;00:00;5.22;5.39;5.17;5.39;5.28;243953;0
30.10.2018;00:00;5.36;5.37;5.30;5.30;5.34;98048;0
31.10.2018;00:00;5.31;5.41;5.29;5.39;5.35;101713;0
01.11.2018;00:00;5.40;5.44;5.36;5.42;5.40;130934;0
02.11.2018;00:00;5.39;5.39;5.34;5.37;5.37;53075;0
03.11.2018;00:00;5.46;5.53;5.44;5.47;5.49;162407;0
06.11.2018;00:00;5.52;5.57;5.48;5.50;5.53;229380;0
07.11.2018;00:00;5.51;5.60;5.50;5.60;5.55;198283;0
08.11.2018;00:00;5.54;5.64;5.53;5.56;5.59;192637;0
09.11.2018;00:00;5.60;5.60;5.35;5.42;5.47;443695;0
10.11.2018;00:00;5.37;5.43;4.93;5.02;5.18;1174316;0
13.11.2018;00:00;5.00;5.00;4.69;4.71;4.85;1548059;0
14.11.2018;00:00;4.75;4.81;4.58;4.74;4.69;2223036;0
15.11.2018;00:00;4.75;4.79;4.52;4.58;4.65;1570602;0
16.11.2018;00:00;4.50;4.63;4.29;4.46;4.46;4641382;0
17.11.2018;00:00;4.46;4.54;4.34;4.50;4.44;3318631;0
21.11.2018;00:00;4.58;4.63;4.36;4.61;4.50;7451420;0
22.11.2018;00:00;4.64;4.67;4.49;4.54;4.58;4330556;0
23.11.2018;00:00;4.58;4.59;4.49;4.52;4.54;3684937;0
