Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
26.07.2025;16:15;20.40;20.40;20.36;20.40;20.38;29490;0
26.07.2025;16:30;20.38;20.40;20.38;20.40;20.39;99021;0
26.07.2025;16:45;20.38;20.40;20.34;20.36;20.37;16906;0
26.07.2025;17:00;20.26;20.40;20.26;20.38;20.33;49115;0
26.07.2025;17:15;20.38;20.38;20.34;20.38;20.36;63463;0
26.07.2025;17:30;20.40;20.44;20.38;20.40;20.41;1222740;0
26.07.2025;17:45;20.40;20.40;20.38;20.38;20.39;151679;0
26.07.2025;18:00;20.40;20.40;20.38;20.40;20.39;1343288;0
29.07.2025;10:00;20.40;20.50;19.40;19.40;19.95;325869;0
29.07.2025;10:15;19.45;20.50;19.40;19.89;19.95;1151800;0
29.07.2025;10:30;19.89;20.00;19.45;19.80;19.73;432337;0
29.07.2025;10:45;19.80;19.85;19.05;19.19;19.45;1853429;0
29.07.2025;11:00;19.18;20.40;19.13;20.38;19.76;1126382;0
29.07.2025;11:15;20.38;20.78;20.00;20.02;20.39;1148924;0
29.07.2025;11:30;20.00;20.00;19.69;19.77;19.85;173331;0
29.07.2025;11:45;19.77;20.34;19.77;20.28;20.06;47455;0
29.07.2025;12:00;20.28;20.30;19.82;20.14;20.06;64819;0
29.07.2025;12:15;19.94;19.94;19.82;19.82;19.88;49645;0
29.07.2025;12:30;19.87;19.87;19.78;19.78;19.83;88837;0
29.07.2025;12:45;19.78;19.80;19.78;19.79;19.79;47676;0
29.07.2025;13:00;19.79;19.79;19.47;19.69;19.63;317814;0
29.07.2025;13:15;19.67;19.78;19.51;19.73;19.65;90475;0
29.07.2025;13:30;19.78;19.78;19.71;19.73;19.74;65272;0
29.07.2025;13:45;19.74;20.00;19.73;20.00;19.86;245444;0
29.07.2025;14:00;19.99;19.99;19.73;19.73;19.86;67853;0
29.07.2025;14:15;19.81;20.00;19.81;19.99;19.90;26403;0
29.07.2025;14:30;19.99;20.00;19.73;19.73;19.86;67282;0
29.07.2025;14:45;19.73;19.84;19.73;19.84;19.78;68729;0
29.07.2025;15:00;19.84;19.84;19.75;19.84;19.80;94358;0
29.07.2025;15:15;19.84;20.00;19.84;20.00;19.92;104267;0
29.07.2025;15:30;20.00;20.00;20.00;20.00;20.00;62980;0
29.07.2025;15:45;19.98;20.00;19.79;20.00;19.90;3353;0
29.07.2025;16:00;20.00;20.10;20.00;20.00;20.05;15086;0
29.07.2025;16:15;20.00;20.20;20.00;20.00;20.10;167662;0
29.07.2025;16:30;19.94;20.16;19.93;20.16;20.05;14257;0
29.07.2025;16:45;20.16;20.16;19.93;19.94;20.05;81859;0
29.07.2025;17:00;19.94;20.00;19.94;20.00;19.97;4374;0
29.07.2025;17:15;20.00;20.02;19.96;20.00;19.99;41148;0
