Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
02.04.2013;00:00;2.89;3.19;2.89;3.19;3.04;1822333;0
05.04.2013;00:00;3.52;3.56;3.31;3.56;3.43;2598384;0
06.04.2013;00:00;3.67;3.96;3.50;3.96;3.73;1799311;0
07.04.2013;00:00;3.93;4.15;3.69;3.77;3.92;4600144;0
08.04.2013;00:00;3.78;3.79;3.60;3.67;3.69;2330569;0
09.04.2013;00:00;0.00;3.69;3.61;3.61;3.65;870920;0
14.04.2013;00:00;3.58;3.64;3.47;3.57;3.56;598902;0
15.04.2013;00:00;0.00;3.94;3.58;3.81;3.76;1586261;0
16.04.2013;00:00;3.92;3.92;3.68;3.75;3.80;1165214;0
17.04.2013;00:00;0.00;3.82;3.69;3.75;3.75;322548;0
18.04.2013;00:00;0.00;3.78;3.70;3.75;3.74;239251;0
21.04.2013;00:00;0.00;3.91;3.69;3.75;3.80;738125;0
22.04.2013;00:00;3.63;3.89;3.29;3.56;3.59;7582799;0
23.04.2013;00:00;0.00;3.58;3.52;3.58;3.55;534685;0
24.04.2013;00:00;0.00;3.72;3.54;3.58;3.63;1445850;0
25.04.2013;00:00;0.00;3.66;3.58;3.63;3.62;353069;0
28.04.2013;00:00;0.00;3.71;3.59;3.63;3.65;365292;0
29.04.2013;00:00;0.00;3.70;3.53;3.65;3.62;349084;0
30.04.2013;00:00;0.00;4.00;3.65;3.92;3.83;1172437;0
01.05.2013;00:00;3.94;4.01;3.67;3.72;3.84;1310631;0
02.05.2013;00:00;3.75;3.87;3.61;3.87;3.74;936953;0
05.05.2013;00:00;4.00;4.05;3.83;4.01;3.94;745957;0
06.05.2013;00:00;4.02;4.25;3.96;4.24;4.11;842286;0
07.05.2013;00:00;4.32;4.36;4.11;4.36;4.24;1146303;0
08.05.2013;00:00;4.35;4.36;4.02;4.11;4.19;563687;0
09.05.2013;00:00;4.06;4.22;3.45;3.82;3.83;608398;0
12.05.2013;00:00;0.00;4.12;3.67;3.92;3.89;854580;0
13.05.2013;00:00;3.93;3.95;3.72;3.95;3.84;541099;0
16.05.2013;00:00;3.95;4.23;3.92;4.17;4.08;640218;0
