Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
15.01.2005;00:00;0.64;0.65;0.63;0.64;0.64;2911615;0
17.01.2005;00:00;0.64;0.65;0.63;0.64;0.64;1354318;0
18.01.2005;00:00;0.64;0.65;0.62;0.63;0.63;2648301;0
19.01.2005;00:00;0.63;0.64;0.62;0.62;0.63;1582311;0
22.01.2005;00:00;0.63;0.66;0.62;0.64;0.64;3948574;0
23.01.2005;00:00;0.65;0.68;0.65;0.66;0.66;4299995;0
24.01.2005;00:00;0.65;0.67;0.65;0.66;0.66;3271660;0
25.01.2005;00:00;0.67;0.73;0.66;0.71;0.70;19213760;0
26.01.2005;00:00;0.72;0.73;0.68;0.68;0.71;5135394;0
29.01.2005;00:00;0.69;0.71;0.68;0.69;0.70;3814360;0
30.01.2005;00:00;0.68;0.70;0.65;0.66;0.68;3426616;0
31.01.2005;00:00;0.67;0.68;0.64;0.65;0.66;1777029;0
01.02.2005;00:00;0.66;0.68;0.65;0.68;0.67;4740201;0
02.02.2005;00:00;0.67;0.69;0.66;0.66;0.68;2632943;0
05.02.2005;00:00;0.67;0.68;0.65;0.67;0.66;1401692;0
06.02.2005;00:00;0.67;0.68;0.66;0.67;0.67;2355937;0
07.02.2005;00:00;0.67;0.68;0.66;0.68;0.67;2160883;0
08.02.2005;00:00;0.68;0.71;0.68;0.70;0.69;6621453;0
09.02.2005;00:00;0.69;0.70;0.68;0.69;0.69;2558365;0
12.02.2005;00:00;0.69;0.72;0.69;0.72;0.71;6605593;0
13.02.2005;00:00;0.72;0.73;0.70;0.71;0.71;4239393;0
18.02.2005;00:00;0.71;0.73;0.70;0.72;0.71;9673819;0
19.02.2005;00:00;0.72;0.75;0.72;0.75;0.74;12443040;0
20.02.2005;00:00;0.75;0.77;0.73;0.74;0.75;12401340;0
23.02.2005;00:00;0.75;0.75;0.73;0.73;0.74;7325095;0
24.02.2005;00:00;0.73;0.74;0.66;0.68;0.70;7191933;0
25.02.2005;00:00;0.68;0.68;0.60;0.61;0.64;4401153;0
26.02.2005;00:00;0.62;0.65;0.62;0.65;0.63;4163965;0
27.02.2005;00:00;0.64;0.66;0.63;0.66;0.65;3137827;0
02.03.2005;00:00;0.66;0.68;0.65;0.66;0.66;4493770;0
03.03.2005;00:00;0.66;0.68;0.64;0.65;0.66;3673396;0
04.03.2005;00:00;0.65;0.67;0.65;0.65;0.66;2735859;0
05.03.2005;00:00;0.66;0.66;0.64;0.66;0.65;3000532;0
06.03.2005;00:00;0.66;0.68;0.65;0.66;0.66;3537826;0
09.03.2005;00:00;0.66;0.66;0.65;0.66;0.66;1692125;0
10.03.2005;00:00;0.66;0.66;0.64;0.65;0.65;1498619;0
11.03.2005;00:00;0.64;0.65;0.63;0.64;0.64;1879914;0
12.03.2005;00:00;0.65;0.66;0.64;0.65;0.65;1352458;0
13.03.2005;00:00;0.65;0.67;0.64;0.64;0.65;4209364;0
16.03.2005;00:00;0.64;0.65;0.63;0.64;0.64;1907820;0
17.03.2005;00:00;0.64;0.65;0.62;0.63;0.63;1663304;0
18.03.2005;00:00;0.61;0.63;0.61;0.63;0.62;3267781;0
19.03.2005;00:00;0.63;0.65;0.63;0.63;0.64;2901960;0
20.03.2005;00:00;0.64;0.64;0.63;0.63;0.63;2447788;0
24.03.2005;00:00;0.64;0.65;0.63;0.64;0.64;2698594;0
25.03.2005;00:00;0.64;0.66;0.64;0.65;0.65;3562031;0
26.03.2005;00:00;0.64;0.66;0.64;0.66;0.65;2495332;0
27.03.2005;00:00;0.66;0.66;0.64;0.65;0.65;2885106;0
28.03.2005;00:00;0.65;0.65;0.64;0.65;0.65;1086332;0
31.03.2005;00:00;0.64;0.64;0.62;0.63;0.63;1259553;0
01.04.2005;00:00;0.63;0.63;0.61;0.62;0.62;1378286;0
02.04.2005;00:00;0.62;0.63;0.61;0.62;0.62;1683397;0
03.04.2005;00:00;0.62;0.63;0.61;0.61;0.62;2178544;0
04.04.2005;00:00;0.61;0.62;0.61;0.62;0.61;900479;0
07.04.2005;00:00;0.62;0.62;0.61;0.61;0.61;436975;0
08.04.2005;00:00;0.61;0.62;0.61;0.62;0.62;1982930;0
09.04.2005;00:00;0.63;0.63;0.61;0.62;0.62;1681494;0
10.04.2005;00:00;0.62;0.62;0.61;0.62;0.62;741175;0
11.04.2005;00:00;0.62;0.64;0.62;0.63;0.63;4238229;0
14.04.2005;00:00;0.63;0.63;0.62;0.63;0.63;870431;0
15.04.2005;00:00;0.63;0.64;0.62;0.63;0.63;1478944;0
16.04.2005;00:00;0.63;0.64;0.62;0.62;0.63;2875259;0
17.04.2005;00:00;0.63;0.63;0.61;0.61;0.62;1761548;0
18.04.2005;00:00;0.61;0.62;0.59;0.61;0.60;1076001;0
23.04.2005;00:00;0.61;0.61;0.59;0.59;0.60;791448;0
24.04.2005;00:00;0.59;0.60;0.59;0.59;0.59;637075;0
25.04.2005;00:00;0.59;0.61;0.59;0.59;0.60;1245007;0
26.04.2005;00:00;0.59;0.60;0.58;0.58;0.59;1217808;0
27.04.2005;00:00;0.58;0.59;0.58;0.59;0.59;1958196;0
30.04.2005;00:00;0.59;0.60;0.58;0.59;0.59;1432921;0
01.05.2005;00:00;0.59;0.60;0.59;0.59;0.59;1113715;0
