Tarih;Saat;Acilis;Yuksek;Dusuk;Kapanis;Ortalama;Hacim;Lot
08.03.2022;00:00;5.40;5.90;5.32;5.63;5.61;782951872;0
11.03.2022;00:00;5.65;5.81;5.47;5.53;5.64;216295808;0
12.03.2022;00:00;5.57;5.62;5.46;5.46;5.54;127059600;0
13.03.2022;00:00;5.46;5.50;5.36;5.41;5.43;81420968;0
14.03.2022;00:00;5.41;5.72;5.36;5.54;5.54;196319808;0
15.03.2022;00:00;5.57;5.61;5.44;5.49;5.53;79407240;0
18.03.2022;00:00;5.53;5.59;5.47;5.52;5.53;85327312;0
19.03.2022;00:00;5.64;5.86;5.54;5.57;5.70;126372200;0
21.03.2022;00:00;5.61;5.61;5.51;5.53;5.56;58344020;0
22.03.2022;00:00;5.58;5.97;5.54;5.87;5.75;258666800;0
23.03.2022;00:00;5.92;6.11;5.78;5.89;5.95;183334400;0
26.03.2022;00:00;5.90;6.02;5.86;5.89;5.94;92514224;0
27.03.2022;00:00;5.92;5.94;5.80;5.85;5.87;87646080;0
28.03.2022;00:00;5.89;5.98;5.60;5.66;5.79;104645504;0
29.03.2022;00:00;5.71;5.98;5.62;5.91;5.80;125217904;0
30.03.2022;00:00;5.91;6.46;5.88;6.32;6.17;201175296;0
02.04.2022;00:00;6.38;6.61;6.22;6.37;6.41;150999104;0
03.04.2022;00:00;6.43;6.50;6.26;6.43;6.38;81832144;0
04.04.2022;00:00;6.44;6.45;6.27;6.30;6.36;52249180;0
05.04.2022;00:00;6.33;6.39;6.18;6.24;6.28;59081100;0
06.04.2022;00:00;6.27;6.86;6.22;6.66;6.54;288430208;0
09.04.2022;00:00;6.66;7.21;6.65;7.21;6.93;198159392;0
10.04.2022;00:00;7.32;7.79;7.23;7.71;7.51;243166704;0
11.04.2022;00:00;7.81;8.38;7.17;7.43;7.78;512989600;0
12.04.2022;00:00;7.47;7.81;7.26;7.80;7.54;219046896;0
13.04.2022;00:00;7.87;8.09;7.67;7.74;7.88;172234400;0
16.04.2022;00:00;7.66;7.93;7.48;7.72;7.70;100482304;0
17.04.2022;00:00;7.80;7.85;7.45;7.57;7.65;86693840;0
18.04.2022;00:00;7.63;7.74;7.44;7.73;7.59;93599400;0
19.04.2022;00:00;7.70;7.83;7.53;7.64;7.68;88083488;0
22.04.2022;00:00;7.64;7.98;7.57;7.83;7.78;156198304;0
25.04.2022;00:00;7.87;8.06;7.61;7.61;7.84;89107536;0
26.04.2022;00:00;7.67;7.74;7.41;7.57;7.57;75113584;0
27.04.2022;00:00;7.59;7.77;7.32;7.50;7.55;59651240;0
28.04.2022;00:00;7.54;7.76;7.50;7.74;7.63;68193664;0
29.04.2022;00:00;7.99;8.00;7.56;7.57;7.78;83641488;0
04.05.2022;00:00;7.57;7.68;7.48;7.65;7.58;75939080;0
05.05.2022;00:00;7.66;7.95;7.57;7.65;7.76;105813200;0
09.05.2022;00:00;7.71;7.76;7.56;7.57;7.66;55220940;0
10.05.2022;00:00;7.59;7.64;7.49;7.58;7.56;57265328;0
11.05.2022;00:00;7.63;8.33;7.61;8.16;7.97;336987296;0
12.05.2022;00:00;8.20;8.82;8.07;8.56;8.44;335641792;0
13.05.2022;00:00;8.64;8.80;8.15;8.22;8.47;204475200;0
16.05.2022;00:00;8.28;8.36;7.96;7.96;8.16;112169400;0
17.05.2022;00:00;8.03;8.21;7.83;7.83;8.02;142176400;0
18.05.2022;00:00;7.86;7.99;7.80;7.98;7.89;73917728;0
19.05.2022;00:00;8.04;8.12;7.81;7.90;7.96;76391504;0
20.05.2022;00:00;7.90;7.91;7.79;7.81;7.85;56673260;0
24.05.2022;00:00;7.84;7.96;7.79;7.90;7.88;63357608;0
25.05.2022;00:00;7.91;8.26;7.86;8.04;8.06;153494496;0
26.05.2022;00:00;8.05;8.40;8.01;8.31;8.20;164546800;0
27.05.2022;00:00;8.37;8.57;8.24;8.52;8.40;165691392;0
28.05.2022;00:00;8.52;8.53;8.16;8.22;8.34;152912192;0
31.05.2022;00:00;8.22;8.36;8.12;8.12;8.24;104867000;0
01.06.2022;00:00;8.14;8.19;7.91;7.93;8.05;68534400;0
02.06.2022;00:00;7.95;7.99;7.75;7.78;7.87;78416312;0
03.06.2022;00:00;7.83;7.84;7.62;7.62;7.73;66806568;0
04.06.2022;00:00;7.66;7.93;7.66;7.86;7.79;99396576;0
07.06.2022;00:00;7.88;7.98;7.80;7.80;7.89;60844940;0
08.06.2022;00:00;7.86;7.88;7.52;7.79;7.70;56589380;0
09.06.2022;00:00;7.80;7.93;7.70;7.79;7.81;93415136;0
10.06.2022;00:00;7.80;7.86;7.57;7.66;7.72;58662392;0
11.06.2022;00:00;7.68;7.71;7.50;7.52;7.61;60455980;0
14.06.2022;00:00;7.54;7.71;7.43;7.65;7.57;52724080;0
15.06.2022;00:00;7.67;7.73;7.54;7.57;7.63;36491192;0
16.06.2022;00:00;7.62;7.62;7.36;7.54;7.49;93702568;0
17.06.2022;00:00;7.56;7.97;7.56;7.93;7.76;121278400;0
18.06.2022;00:00;7.93;7.96;7.75;7.85;7.86;45444140;0
21.06.2022;00:00;7.85;8.43;7.73;8.43;8.08;201882496;0
23.06.2022;00:00;8.47;8.72;8.37;8.62;8.55;183176304;0
25.06.2022;00:00;8.62;8.76;8.42;8.55;8.59;109782000;0
26.06.2022;00:00;8.56;8.64;8.34;8.38;8.49;87103352;0
29.06.2022;00:00;8.41;8.60;8.33;8.53;8.47;79050016;0
30.06.2022;00:00;8.54;8.62;8.34;8.47;8.48;87528512;0
01.07.2022;00:00;8.46;8.46;8.25;8.30;8.36;55006872;0
02.07.2022;00:00;8.32;8.44;8.21;8.28;8.32;62138040;0
03.07.2022;00:00;8.29;8.39;8.21;8.28;8.30;58060940;0
06.07.2022;00:00;8.28;8.29;7.98;7.99;8.13;93054304;0
07.07.2022;00:00;8.00;8.12;7.40;7.40;7.76;69712736;0
08.07.2022;00:00;7.47;7.71;7.45;7.69;7.58;60472220;0
09.07.2022;00:00;7.75;8.14;7.71;7.86;7.93;95412176;0
10.07.2022;00:00;7.89;8.07;7.85;7.91;7.96;40237328;0
13.07.2022;00:00;7.97;8.14;7.81;7.82;7.98;50479488;0
14.07.2022;00:00;7.82;8.01;7.67;7.89;7.84;42293592;0
15.07.2022;00:00;7.90;8.28;7.83;8.19;8.05;121169600;0
16.07.2022;00:00;8.30;9.01;8.29;9.01;8.65;238428096;0
17.07.2022;00:00;9.01;9.41;8.82;9.29;9.11;250847392;0
20.07.2022;00:00;9.34;9.51;8.90;9.15;9.20;147712496;0
21.07.2022;00:00;9.15;9.20;8.77;8.87;8.99;76076256;0
22.07.2022;00:00;9.01;9.37;8.91;9.20;9.14;177891808;0
23.07.2022;00:00;9.26;9.30;8.47;8.78;8.89;96770680;0
24.07.2022;00:00;8.73;9.05;8.53;9.03;8.79;91917632;0
29.07.2022;00:00;9.12;9.24;8.94;9.11;9.09;102864096;0
30.07.2022;00:00;9.25;9.59;9.07;9.52;9.33;249180000;0
31.07.2022;00:00;9.68;10.16;9.63;10.09;9.89;276300416;0
01.08.2022;00:00;10.15;10.72;9.94;10.52;10.33;226608096;0
02.08.2022;00:00;10.53;11.14;10.28;10.67;10.71;301853184;0
05.08.2022;00:00;10.80;11.22;10.80;10.94;11.01;151152800;0
06.08.2022;00:00;11.02;11.03;10.59;10.64;10.81;127214096;0
07.08.2022;00:00;10.63;11.02;10.59;10.86;10.81;167420096;0
08.08.2022;00:00;10.89;11.18;10.61;11.05;10.89;170367296;0
09.08.2022;00:00;11.24;11.63;10.81;11.52;11.22;209711200;0
12.08.2022;00:00;11.65;12.53;11.61;12.02;12.07;202501504;0
13.08.2022;00:00;12.12;12.53;11.85;12.13;12.19;197030400;0
14.08.2022;00:00;12.34;12.42;11.94;12.09;12.18;141962096;0
15.08.2022;00:00;12.26;13.04;12.03;12.75;12.53;255715904;0
16.08.2022;00:00;12.92;13.61;12.84;13.33;13.22;287378208;0
19.08.2022;00:00;13.45;14.66;13.45;14.58;14.05;365257216;0
20.08.2022;00:00;14.70;14.72;13.57;13.78;14.14;276965408;0
21.08.2022;00:00;13.97;14.24;13.49;13.84;13.86;200510208;0
22.08.2022;00:00;13.88;14.26;13.70;13.83;13.98;165831504;0
23.08.2022;00:00;13.83;13.85;13.47;13.53;13.66;58530300;0
26.08.2022;00:00;14.09;14.78;13.93;14.08;14.36;359782304;0
28.08.2022;00:00;13.62;13.62;12.96;13.28;13.29;268498912;0
29.08.2022;00:00;13.28;13.71;13.08;13.14;13.39;208620608;0
30.08.2022;00:00;13.12;13.38;12.88;13.10;13.13;166831296;0
31.08.2022;00:00;13.11;13.41;13.07;13.28;13.24;135564000;0
03.09.2022;00:00;13.31;13.40;12.97;12.98;13.18;159004496;0
04.09.2022;00:00;12.98;13.31;12.86;13.09;13.09;222539808;0
05.09.2022;00:00;13.14;13.60;12.98;13.39;13.29;314013888;0
06.09.2022;00:00;13.90;14.04;13.47;13.57;13.76;283583104;0
07.09.2022;00:00;13.81;13.83;13.25;13.35;13.54;175430208;0
10.09.2022;00:00;13.35;14.18;13.16;14.01;13.67;270066304;0
11.09.2022;00:00;14.14;14.35;13.52;13.76;13.94;275002688;0
12.09.2022;00:00;13.80;15.13;13.70;14.93;14.41;515396896;0
13.09.2022;00:00;15.08;15.48;13.62;13.70;14.55;371351296;0
14.09.2022;00:00;13.70;14.18;13.70;13.91;13.94;160046592;0
17.09.2022;00:00;13.96;15.22;13.83;15.14;14.53;390075104;0
18.09.2022;00:00;15.47;16.15;15.29;15.36;15.72;356063616;0
19.09.2022;00:00;15.57;16.68;14.95;16.35;15.82;437624992;0
20.09.2022;00:00;16.36;16.99;16.08;16.38;16.53;296325184;0
21.09.2022;00:00;16.52;16.86;16.23;16.50;16.55;241494400;0
24.09.2022;00:00;17.48;17.59;16.77;17.23;17.18;224608896;0
25.09.2022;00:00;17.23;17.27;16.37;16.78;16.82;161378208;0
26.09.2022;00:00;16.64;17.27;16.64;17.26;16.95;216851200;0
29.09.2022;00:00;18.36;18.58;17.46;17.50;18.02;287884512;0
30.09.2022;00:00;17.50;18.58;17.33;18.45;17.95;301844288;0
03.10.2022;00:00;18.48;20.09;17.67;17.93;18.88;406917888;0
04.10.2022;00:00;18.24;18.58;18.00;18.19;18.29;252950400;0
05.10.2022;00:00;18.28;18.49;17.36;17.45;17.93;133184200;0
06.10.2022;00:00;17.45;17.63;16.65;17.24;17.14;156773504;0
07.10.2022;00:00;17.28;18.20;17.28;18.10;17.74;143759600;0
10.10.2022;00:00;18.14;18.48;18.12;18.25;18.30;180817792;0
11.10.2022;00:00;18.37;19.65;18.24;19.39;18.94;334680704;0
12.10.2022;00:00;19.45;19.53;17.93;18.28;18.73;167349600;0
13.10.2022;00:00;18.52;18.96;17.68;18.09;18.32;153182704;0
14.10.2022;00:00;18.45;18.50;17.56;17.72;18.03;214283600;0
17.10.2022;00:00;17.93;18.14;17.31;17.72;17.72;162728800;0
18.10.2022;00:00;17.72;18.05;17.18;17.32;17.61;208986096;0
19.10.2022;00:00;17.38;17.46;17.15;17.23;17.30;238841696;0
20.10.2022;00:00;17.30;18.01;17.20;17.72;17.61;219539200;0
21.10.2022;00:00;17.72;17.82;17.23;17.26;17.52;114462200;0
24.10.2022;00:00;17.37;17.53;17.12;17.12;17.33;170318304;0
25.10.2022;00:00;17.14;17.48;16.56;16.60;17.02;137272096;0
26.10.2022;00:00;16.65;16.98;15.56;16.08;16.27;171037296;0
27.10.2022;00:00;16.10;16.59;16.00;16.28;16.30;88934304;0
28.10.2022;00:00;16.37;16.78;16.18;16.65;16.48;119558000;0
01.11.2022;00:00;16.89;17.36;16.75;17.03;17.06;182021904;0
02.11.2022;00:00;17.04;17.20;16.27;16.43;16.74;173491504;0
03.11.2022;00:00;16.46;16.50;15.31;15.57;15.91;162574000;0
04.11.2022;00:00;15.57;15.72;14.04;14.08;14.88;159561408;0
05.11.2022;00:00;14.06;15.25;13.37;15.15;14.31;157897600;0
08.11.2022;00:00;15.56;15.59;14.39;14.68;14.99;96196976;0
09.11.2022;00:00;14.68;14.90;13.95;13.96;14.42;72815600;0
10.11.2022;00:00;14.00;14.29;12.93;13.00;13.61;99490544;0
11.11.2022;00:00;13.34;13.50;12.13;13.09;12.82;140220192;0
12.11.2022;00:00;13.18;13.81;12.96;13.59;13.39;112880600;0
15.11.2022;00:00;13.58;14.10;13.33;14.07;13.72;84366608;0
16.11.2022;00:00;14.07;14.42;13.83;14.04;14.12;101618400;0
17.11.2022;00:00;14.06;14.35;13.86;13.93;14.11;95514048;0
