[18:35:07] _on_progress(0%, Veri bölündü: %70 Egitim (54210 bar), %30 Test (23, , --:--) scan_label=True visible=True
[18:35:07] _on_progress(5%, Cache olusturuluyor..., 00:00, 00:00) scan_label=True visible=True
[18:35:07] _on_progress(10%, Hibrit Optimizer baslatiliyor (Strateji 5 (Oliver , 00:00, 00:00) scan_label=True visible=True
[18:35:07] _on_progress(10%, Iterative Coordinate Descent baslatiliyor..., 00:00, 00:00) scan_label=True visible=True
[18:35:08] _on_progress(10%, [R1] Yapisal optimizing..., 00:00, 00:00) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 25/360000 tarandı | En iyi: 0, 00:13, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 50/360000 tarandı | En iyi: 0, 00:13, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 75/360000 tarandı | En iyi: 0, 00:13, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 100/360000 tarandı | En iyi: 0, 00:13, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 125/360000 tarandı | En iyi: 0, 00:13, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 150/360000 tarandı | En iyi: 0, 00:13, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 175/360000 tarandı | En iyi: 1870, 00:13, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 200/360000 tarandı | En iyi: 1870, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 225/360000 tarandı | En iyi: 1870, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 250/360000 tarandı | En iyi: 1936, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 275/360000 tarandı | En iyi: 1936, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 300/360000 tarandı | En iyi: 1936, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 325/360000 tarandı | En iyi: 1936, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 350/360000 tarandı | En iyi: 1936, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 375/360000 tarandı | En iyi: 1936, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 400/360000 tarandı | En iyi: 1936, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 425/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 450/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 475/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 500/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 525/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 550/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 575/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 600/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 625/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:21] _on_progress(0%, [Yapisal_SAT] 650/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:22] _on_progress(0%, [Yapisal_SAT] 675/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:22] _on_progress(0%, [Yapisal_SAT] 700/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:22] _on_progress(0%, [Yapisal_SAT] 725/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:22] _on_progress(0%, [Yapisal_SAT] 750/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:22] _on_progress(0%, [Yapisal_SAT] 775/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:22] _on_progress(0%, [Yapisal_SAT] 800/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:22] _on_progress(0%, [Yapisal_SAT] 825/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:22] _on_progress(0%, [Yapisal_SAT] 850/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:22] _on_progress(0%, [Yapisal_SAT] 875/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:22] _on_progress(0%, [Yapisal_SAT] 900/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:22] _on_progress(0%, [Yapisal_SAT] 925/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:22] _on_progress(0%, [Yapisal_SAT] 950/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:22] _on_progress(0%, [Yapisal_SAT] 975/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:22] _on_progress(0%, [Yapisal_SAT] 1000/360000 tarandı | En iyi: 2445, 00:14, --:--) scan_label=True visible=True
[18:35:25] _on_progress(0%, [Yapisal_SAT] 1025/360000 tarandı | En iyi: 2445, 00:17, --:--) scan_label=True visible=True
[18:35:25] _on_progress(0%, [Yapisal_SAT] 1050/360000 tarandı | En iyi: 2445, 00:17, --:--) scan_label=True visible=True
[18:35:25] _on_progress(0%, [Yapisal_SAT] 1075/360000 tarandı | En iyi: 2445, 00:18, --:--) scan_label=True visible=True
[18:35:25] _on_progress(0%, [Yapisal_SAT] 1100/360000 tarandı | En iyi: 2445, 00:18, --:--) scan_label=True visible=True
[18:35:25] _on_progress(0%, [Yapisal_SAT] 1125/360000 tarandı | En iyi: 2445, 00:18, --:--) scan_label=True visible=True
[18:35:25] _on_progress(0%, [Yapisal_SAT] 1150/360000 tarandı | En iyi: 2445, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1175/360000 tarandı | En iyi: 2445, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1200/360000 tarandı | En iyi: 2691, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1225/360000 tarandı | En iyi: 2691, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1250/360000 tarandı | En iyi: 2691, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1275/360000 tarandı | En iyi: 2691, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1300/360000 tarandı | En iyi: 2691, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1325/360000 tarandı | En iyi: 2691, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1350/360000 tarandı | En iyi: 2691, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1375/360000 tarandı | En iyi: 2691, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1400/360000 tarandı | En iyi: 2691, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1425/360000 tarandı | En iyi: 2691, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1450/360000 tarandı | En iyi: 2691, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1475/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1500/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1525/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1550/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1575/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1600/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1625/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1650/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1675/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1700/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1725/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1750/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1775/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1800/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1825/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1850/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1875/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1900/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1925/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1950/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 1975/360000 tarandı | En iyi: 2757, 00:18, --:--) scan_label=True visible=True
[18:35:26] _on_progress(0%, [Yapisal_SAT] 2000/360000 tarandı | En iyi: 2757, 00:19, --:--) scan_label=True visible=True
[18:35:27] _on_progress(0%, [Yapisal_SAT] 2025/360000 tarandı | En iyi: 2757, 00:19, --:--) scan_label=True visible=True
[18:35:29] _on_progress(0%, [Yapisal_SAT] 2050/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:29] _on_progress(0%, [Yapisal_SAT] 2075/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2100/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2125/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2150/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2175/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2200/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2225/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2250/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2275/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2300/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2325/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2350/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2375/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2400/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2425/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2450/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2475/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2500/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2525/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2550/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2575/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2600/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2625/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2650/360000 tarandı | En iyi: 2757, 00:22, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2675/360000 tarandı | En iyi: 2757, 00:23, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2700/360000 tarandı | En iyi: 2757, 00:23, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2725/360000 tarandı | En iyi: 2757, 00:23, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2750/360000 tarandı | En iyi: 2757, 00:23, --:--) scan_label=True visible=True
[18:35:30] _on_progress(0%, [Yapisal_SAT] 2775/360000 tarandı | En iyi: 2757, 00:23, --:--) scan_label=True visible=True
[18:35:31] _on_progress(0%, [Yapisal_SAT] 2800/360000 tarandı | En iyi: 2757, 00:23, --:--) scan_label=True visible=True
[18:35:31] _on_progress(0%, [Yapisal_SAT] 2825/360000 tarandı | En iyi: 2757, 00:23, --:--) scan_label=True visible=True
[18:35:31] _on_progress(0%, [Yapisal_SAT] 2850/360000 tarandı | En iyi: 2757, 00:23, --:--) scan_label=True visible=True
[18:35:31] _on_progress(0%, [Yapisal_SAT] 2875/360000 tarandı | En iyi: 2757, 00:23, --:--) scan_label=True visible=True
[18:35:31] _on_progress(0%, [Yapisal_SAT] 2900/360000 tarandı | En iyi: 2757, 00:23, --:--) scan_label=True visible=True
[18:35:31] _on_progress(0%, [Yapisal_SAT] 2925/360000 tarandı | En iyi: 2757, 00:23, --:--) scan_label=True visible=True
[18:35:31] _on_progress(0%, [Yapisal_SAT] 2950/360000 tarandı | En iyi: 2757, 00:23, --:--) scan_label=True visible=True
[18:35:31] _on_progress(0%, [Yapisal_SAT] 2975/360000 tarandı | En iyi: 2757, 00:23, --:--) scan_label=True visible=True
