No;Yükselen;Y %;Düşen;D %;Senet;Hacim;H %; ; ; ; ; ; 
1;KONTR;10,00;BLCYT;-9,97;ASELS;13.318.382.271;;;;;;;
2;ATATR;10,00;RUBNS;-9,96;THYAO;12.800.391.692;;;;;;;
3;DMRGD;10,00;ENPRA;-9,96;SASA;11.691.849.030;;;;;;;
4;AAGYO;10,00;ZERGY;-9,95;ISCTR;9.909.951.703;;;;;;;
5;ALKLC;9,99;EFOR;-9,95;AKBNK;9.414.498.097;;;;;;;
6;MCARD;9,98;MEKAG;-8,69;EREGL;9.194.899.087;;;;;;;
7;SURGY;9,98;MOGAN;-7,83;TUPRS;8.977.611.738;;;;;;;
8;OZATD;9,97;ISKUR;-5,96;GLRMK;7.245.648.993;;;;;;;
9;SMRVA;9,97;ENSRI;-5,88;KRDMD;6.829.850.862;;;;;;;
10;GRTHO;9,96;YGGYO;-5,83;TRALT;6.162.865.938;;;;;;;
11;DOGUB;9,95;MMCAS;-4,79;YKBNK;5.400.951.854;;;;;;;
12;DGNMO;9,94;MARKA;-3,88;KCHOL;5.024.629.604;;;;;;;
13;PATEK;9,94;CEOEM;-3,80;GARAN;4.861.718.523;;;;;;;
14;KTSKR;9,93;UFUK;-3,54;SAHOL;4.438.285.133;;;;;;;
15;TMPOL;9,93;SERNT;-3,54;ASTOR;4.430.072.138;;;;;;;
16;BRKO;9,92;ULAS;-3,33;TEHOL;4.205.339.849;;;;;;;
17;CRDFA;9,92;TRCAS;-3,31;KTLEV;4.136.311.511;;;;;;;
18;BORLS;9,92;EKIZ;-3,09;BIMAS;3.535.826.326;;;;;;;
19;ANELE;9,90;HKTM;-3,02;MCARD;3.202.440.961;;;;;;;
20;ESCAR;9,63;FRIGO;-2,99;SISE;3.131.243.277;;;;;;;
21;KLMSN;9,48;CRFSA;-2,65;PGSUS;3.078.988.073;;;;;;;
22;RALYH;9,16;MERKO;-1,88;EKGYO;2.874.284.488;;;;;;;
23;KSTUR;9,02;AVTUR;-1,85;PETKM;2.828.843.956;;;;;;;
24;AEFES;8,43;SELVA;-1,77;ATATR;2.535.876.758;;;;;;;
25;MANAS;8,42;TEHOL;-1,73;AEFES;2.334.669.175;;;;;;;
26;YYLGD;8,31;BASGZ;-1,70;TCELL;2.323.898.993;;;;;;;
27;ULUFA;7,87;BAHKM;-1,65;ENKAI;2.103.075.609;;;;;;;
28;ENKAI;7,86;PEKGY;-1,65;EFOR;2.028.448.454;;;;;;;
29;DUNYH;7,85;DGATE;-1,62;MGROS;2.015.210.467;;;;;;;
30;KUVVA;7,82;KRDMD;-1,58;FROTO;1.952.218.321;;;;;;;
31;TCKRC;7,68;RYSAS;-1,54;TERA;1.904.931.974;;;;;;;
32;KAPLM;7,66;ATSYH;-1,52;PEKGY;1.812.686.590;;;;;;;
33;AYCES;7,58;ULUUN;-1,50;LXGYO;1.760.892.456;;;;;;;
34;SVGYO;7,52;ZGYO;-1,44;CVKMD;1.432.741.963;;;;;;;
35;HTTBT;7,38;AYGAZ;-1,35;TKFEN;1.401.784.185;;;;;;;
36;LILAK;7,04;MEYSU;-1,34;HALKB;1.374.461.388;;;;;;;
37;SASA;6,94;SAMAT;-1,28;GUBRF;1.349.068.230;;;;;;;
38;BRMEN;6,92;MRGYO;-1,27;DSTKF;1.324.192.014;;;;;;;
39;KGYO;6,82;BURVA;-1,26;ZERGY;1.299.428.545;;;;;;;
40;SMRTG;6,80;VRGYO;-1,21;MEYSU;1.290.307.452;;;;;;;
41;METRO;6,72;OBAMS;-1,19;TAVHL;1.255.311.735;;;;;;;
42;GEREL;6,52;ARZUM;-1,17;CANTE;1.176.447.869;;;;;;;
43;ISBTR;6,44;ATLAS;-1,17;IEYHO;1.149.895.740;;;;;;;
44;IHYAY;6,43;GUBRF;-1,17;VAKBN;1.137.176.056;;;;;;;
45;PSDTC;6,43;KENT;-1,15;PATEK;1.129.655.996;;;;;;;
46;KOPOL;6,38;ERSU;-1,11;MOGAN;1.111.838.483;;;;;;;
47;ADESE;6,32;DERHL;-1,09;CWENE;1.110.258.686;;;;;;;
48;DAGI;6,17;ENDAE;-1,07;KUYAS;1.108.914.915;;;;;;;
49;AGHOL;6,13;BYDNR;-1,06;BRSAN;1.070.968.010;;;;;;;
50;KBORU;6,09;GLRMK;-1,03;TTKOM;1.057.216.600;;;;;;;
51;EDATA;5,93;YYAPI;-0,99;ALKLC;1.011.118.255;;;;;;;
52;IMASM;5,93;MARTI;-0,98;ALARK;975.450.526;;;;;;;
53;GMTAS;5,89;AYDEM;-0,97;ULKER;968.270.880;;;;;;;
54;EGPRO;5,80;BSOKE;-0,95;ADESE;952.966.789;;;;;;;
55;ASELS;5,77;ALKA;-0,93;MARMR;932.231.508;;;;;;;
56;BALAT;5,56;YAYLA;-0,86;ENERY;870.227.422;;;;;;;
57;POLHO;5,46;SONME;-0,85;AAGYO;835.520.308;;;;;;;
58;QNBFK;5,41;SODSN;-0,83;MIATK;832.877.961;;;;;;;
59;TURGG;5,20;SKYLP;-0,83;VSNMD;826.508.064;;;;;;;
60;DYOBY;5,16;MACKO;-0,76;MEKAG;811.677.975;;;;;;;
61;TUCLK;5,12;UCAYM;-0,71;KRDMA;808.664.321;;;;;;;
62;BAKAB;5,08;GRNYO;-0,68;ANELE;791.608.902;;;;;;;
63;KRVGD;5,00;TKFEN;-0,65;MEGMT;788.716.480;;;;;;;
64;CGCAM;4,99;DOFRB;-0,64;TOASO;785.783.206;;;;;;;
65;ISMEN;4,91;GOKNR;-0,60;TRMET;782.010.767;;;;;;;
66;GIPTA;4,86;KLSYN;-0,60;ISMEN;780.922.821;;;;;;;
67;DSTKF;4,85;RYGYO;-0,59;ALVES;758.152.787;;;;;;;
68;DITAS;4,74;ODAS;-0,59;DOAS;754.516.651;;;;;;;
69;EKGYO;4,66;YIGIT;-0,59;KRDMB;726.564.722;;;;;;;
70;PKENT;4,66;ARFYE;-0,57;LILAK;726.470.264;;;;;;;
71;TLMAN;4,66;GLBMD;-0,57;AKHAN;724.205.180;;;;;;;
72;VAKKO;4,66;ALKIM;-0,54;SVGYO;712.504.609;;;;;;;
73;BIOEN;4,61;NETCD;-0,50;SKBNK;712.014.726;;;;;;;
74;SAHOL;4,56;GENTS;-0,49;KLRHO;681.802.427;;;;;;;
75;INFO;4,56;BURCE;-0,49;NETCD;667.431.349;;;;;;;
76;ALCAR;4,56;ICBCT;-0,47;RALYH;652.539.735;;;;;;;
77;DZGYO;4,53;DMSAS;-0,46;SURGY;650.405.370;;;;;;;
78;VANGD;4,52;ERCB;-0,44;ISKPL;647.577.574;;;;;;;
79;ETYAT;4,36;FONET;-0,44;GENKM;625.628.501;;;;;;;
80;LOGO;4,29;MOPAS;-0,43;ALTNY;623.333.251;;;;;;;
81;INTEK;4,27;BAGFS;-0,42;AKSEN;619.344.351;;;;;;;
82;AKHAN;4,24;BIGTK;-0,42;GUNDG;616.522.738;;;;;;;
83;MARMR;4,21;ALGYO;-0,40;DAPGM;613.337.468;;;;;;;
84;TRMET;4,17;KOCMT;-0,39;ENJSA;606.470.357;;;;;;;
85;IHAAS;4,15;PKART;-0,38;PSGYO;605.759.845;;;;;;;
86;AKBNK;4,12;OBASE;-0,37;PAHOL;604.666.352;;;;;;;
87;KTLEV;4,10;DCTTR;-0,36;DOFRB;603.662.809;;;;;;;
88;AZTEK;4,08;AKFGY;-0,36;ODAS;586.668.647;;;;;;;
89;LMKDC;3,99;SEGMN;-0,34;MAGEN;583.959.295;;;;;;;
90;EREGL;3,99;PNSUT;-0,31;ADEL;582.602.387;;;;;;;
91;SNGYO;3,89;TEKTU;-0,29;HEKTS;579.256.995;;;;;;;
92;GOZDE;3,87;IZFAS;-0,29;KTSKR;579.155.890;;;;;;;
93;SANKO;3,86;OYYAT;-0,27;QUAGR;570.368.375;;;;;;;
94;KLGYO;3,85;ELITE;-0,27;PASEU;538.650.820;;;;;;;
95;MHRGY;3,82;ORGE;-0,26;MAVI;529.094.793;;;;;;;
96;LRSHO;3,77;TUPRS;-0,20;ESCAR;527.518.641;;;;;;;
97;SEGYO;3,74;PETKM;-0,19;IZENR;524.082.596;;;;;;;
98;HEKTS;3,74;HOROZ;-0,17;DMRGD;506.497.110;;;;;;;
99;EGEGY;3,74;ULUSE;-0,17;ARCLK;488.126.156;;;;;;;
100;DESPC;3,73;MZHLD;-0,16;TSPOR;476.396.029;;;;;;;
101;TRHOL;3,70;BRKSN;-0,11;AGHOL;469.998.545;;;;;;;
102;INGRM;3,69;AYEN;-0,11;CEMZY;448.549.516;;;;;;;
103;RTALB;3,68;SDTTR;-0,09;BTCIM;447.279.144;;;;;;;
104;MTRKS;3,67;EUKYO;-0,09;OBAMS;443.504.147;;;;;;;
105;SUNTK;3,63;OYAYO;-0,09;OTKAR;443.448.382;;;;;;;
106;VAKBN;3,62;GZNMI;-0,08;KBORU;442.735.986;;;;;;;
107;EGGUB;3,60;DESA;-0,07;OYAKC;427.051.860;;;;;;;
108;CCOLA;3,59;MEGMT;-0,06;EUREN;424.647.307;;;;;;;
109;POLTK;3,59;VKFYO;-0,06;FZLGY;422.419.762;;;;;;;
110;KONYA;3,52;YGYO;0,00;SMRTG;411.423.608;;;;;;;
111;OFSYM;3,49;UMPAS;0,00;TCKRC;403.867.414;;;;;;;
112;EGEEN;3,47;SERVE;0,00;KAPLM;398.120.772;;;;;;;
113;DNISI;3,44;IDEAS;0,00;CIMSA;394.561.647;;;;;;;
114;ARCLK;3,44;MIPAZ;0,00;EUPWR;393.870.904;;;;;;;
115;TATEN;3,42;SANFM;0,00;EMPAE;390.184.959;;;;;;;
116;PASEU;3,42;ROYAL;0,00;GOKNR;384.377.970;;;;;;;
117;HALKB;3,41;PEHOL;0,00;KOPOL;383.855.989;;;;;;;
118;CEMTS;3,40;RNPOL;0,00;KLYPV;382.754.831;;;;;;;
119;EMNIS;3,35;KLNMA;0,00;EMKEL;381.678.783;;;;;;;
120;AGESA;3,34;ITTFH;0,00;GENIL;381.145.998;;;;;;;
121;ANGEN;3,34;METUR;0,00;TUKAS;373.793.561;;;;;;;
122;NIBAS;3,32;RHEAG;0,00;SOKM;371.978.320;;;;;;;
123;GEDIK;3,32;KERVT;0,00;HEDEF;370.101.425;;;;;;;
124;NETAS;3,31;QUAGR;0,00;CGCAM;367.894.894;;;;;;;
125;BARMA;3,30;QNBFL;0,00;NIBAS;366.229.791;;;;;;;
126;AKFIS;3,29;KARYE;0,00;MANAS;366.095.602;;;;;;;
127;GOLTS;3,29;AYES;0,00;ZGYO;359.094.334;;;;;;;
128;ESCOM;3,26;QNBFB;0,00;VAKFA;351.274.288;;;;;;;
129;ALARK;3,24;BJKAS;0,00;SDTTR;346.980.497;;;;;;;
130;VSNMD;3,24;IZTAR;0,00;VRGYO;346.122.607;;;;;;;
131;ALTNY;3,19;VERUS;0,00;KATMR;344.854.985;;;;;;;
132;FLAP;3,19;YBTAS;0,00;MARTI;340.411.269;;;;;;;
133;TTRAK;3,13;CEMAS;0,00;HDFGS;340.112.150;;;;;;;
134;INVEO;3,12;FORMT;0,00;ARMGD;339.175.733;;;;;;;
